"version","weather","variant","iter","best_acc","best_f1","best_acc_epoch","best_f1_epoch","epochs","train_acc","val_acc","val_f1","path"
"v6","黑天","module_c_full","01","0.966667","0.948265","38","30","48","0.978261","0.958333","0.948265","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_黑天_20260828_191632\result_summary_iter01.json"
"v6","黑天","module_c_full","02","0.933333","0.901726","47","47","60","0.990942","0.933333","0.901726","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_黑天_20260828_191632\result_summary_iter02.json"
"v6","黑天","module_c_full","03","0.966667","0.957368","48","48","60","0.987319","0.966667","0.957368","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_黑天_20260828_191632\result_summary_iter03.json"
"v6","黑天","module_c_no_classification_feedback","01","0.941667","0.906515","59","60","60","0.994565","0.941667","0.906515","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_黑天_20260828_222304\result_summary_iter01.json"
"v6","黑天","module_c_no_classification_feedback","02","0.875","0.855386","27","26","48","0.95471","0.866667","0.855386","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_黑天_20260828_222304\result_summary_iter02.json"
"v6","黑天","module_c_no_classification_feedback","03","0.95","0.945515","49","49","60","0.985507","0.95","0.945515","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_黑天_20260828_222304\result_summary_iter03.json"
"v6","黑天","module_c_no_cycle","01","0.966667","0.955667","46","55","60","1","0.966667","0.955667","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_黑天_20260828_195248\result_summary_iter01.json"
"v6","黑天","module_c_no_cycle","02","0.933333","0.903525","49","49","60","0.987319","0.933333","0.903525","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_黑天_20260828_195248\result_summary_iter02.json"
"v6","黑天","module_c_no_cycle","03","0.966667","0.948426","58","58","60","0.998188","0.966667","0.948426","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_黑天_20260828_195248\result_summary_iter03.json"
"v6","黑天","module_c_no_identity","01","0.958333","0.935115","38","30","48","0.980072","0.941667","0.935115","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_黑天_20260828_203202\result_summary_iter01.json"
