epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,5.041042200724283,4.975533199310303,2.7022858619689942,3.030996481577555,0.21836321155230204,0.0,0.0,21.050564193725585,0.0,1.0,0.0,0.0,0.0,0.11458333333333333,0.17916666666666667,0.11458333333333333,0.12708333333333333,0.16875,0.0,0.0,0.0,0.0,0.584342646598816,0.5724470138549804,0.3629193405310313,0.2706970055898031,1.9558138529459634,2.0805861790974935,5.837069511413574,0.0,0.0,0.0,0.0,0.0,2.6743521690368652,0.125,0.15738095238095237,0.2388015947467167,0.07916146186745625,0.125,0.125,0.125,2.636340320110321,0.10833333333333334,0.06826258188512188,0.07741935483870968,0.05118816403486569,0.049663978494623645,0.07916146186745625,7e-05,3.5e-05,0.5,223.44565963745117
2,3.8367032527923586,3.863969564437866,2.1284629265467325,2.3140088319778442,-0.09088764215509097,0.0,0.0,16.897562726338705,0.0,1.0,0.0,0.0,0.0,0.2520833333333333,0.33125,0.2520833333333333,0.23125,0.3375,0.0,0.0,0.0,0.0,0.5327478210131328,0.5263301114241282,0.3644191602865855,0.27075739900271095,1.8849285364151,2.0118745009104413,4.6160659472147625,0.0,0.0,0.0,0.0,0.0,2.0404205322265625,0.19166666666666668,0.3043050284629981,0.3837048368298368,0.27850928671443864,0.19166666666666668,0.19166666666666668,0.19166666666666668,1.9107007384300232,0.25833333333333336,0.3885908987653174,0.21505376344086022,0.2985592652801256,0.016196236559139793,0.27850928671443864,7e-05,3.5e-05,0.5,243.16527676582336
3,3.2671233495076497,3.2992716948191325,1.8997816642125447,1.865986696879069,-0.1071611326187849,0.0,0.0,15.486554845174153,0.0,1.0,0.0,0.0,0.0,0.4125,0.41458333333333336,0.4125,0.4,0.4,0.0,0.0,0.0,0.0,0.5902079641819,0.5491507709026336,0.3653674105803172,0.27056554357210794,1.8263443867365519,1.9454768896102905,3.759757232666016,0.0,0.0,0.0,0.0,0.0,1.7942586243152618,0.36666666666666664,0.5932237224157956,0.6234810556622593,0.4347033484533484,0.36666666666666664,0.36666666666666664,0.36666666666666664,1.6785187423229218,0.43333333333333335,0.48476681305441105,0.3333333333333333,0.38081129391028234,0.06666666666666671,0.4347033484533484,7e-05,3.5e-05,0.5,244.15643215179443
4,3.0658938884735107,2.831869061787923,1.6118298133214315,1.6267189661661783,-0.07298364179829757,0.2559199154376984,0.0,15.203607114156087,0.0,1.0,0.0,0.0,0.125,0.5395833333333333,0.5541666666666667,0.5395833333333333,0.5166666666666667,0.5125,0.0,0.0,0.0,0.2559199154376984,0.6325089891751607,0.5959233025709788,0.3594100217024485,0.26648857196172077,1.7155477364857992,1.8932748079299926,3.3600140889485677,0.014376400597393512,0.0016655536135658621,0.008577738516032695,0.02129934219022592,0.21000088055928548,1.4743348956108093,0.525,0.5989583333333334,0.7237566416881104,0.5574961394814335,0.525,0.525,0.525,1.4028392732143402,0.6166666666666667,0.6348023858666274,0.5333333333333333,0.5755843204352022,-0.016666666666666607,0.5574961394814335,7e-05,3.5e-05,0.5,240.1901969909668
5,2.9156065146128336,2.4608949184417725,1.3944018522898356,1.421990736325582,0.011726534056166808,0.4511936585108439,0.0,14.780383618672689,0.0,1.0,0.0,0.0,0.25,0.6125,0.63125,0.6125,0.60625,0.5895833333333333,0.0,0.0,0.0,0.4511936585108439,0.6388971885045369,0.6036480108896891,0.3380838930606842,0.25771931211153665,1.6965118964513144,1.8173896551132203,2.9045525709788005,0.02704671087364356,0.0032214914448559285,0.01696511854728063,0.040891268849372865,0.36306907137235006,1.464854657649994,0.6416666666666667,0.6979675579819442,0.7669192717409844,0.6447723329302277,0.6416666666666667,0.6416666666666667,0.6416666666666667,1.4195649921894073,0.6333333333333333,0.6496432768026216,0.6279569892473118,0.6347736976463251,-0.021706989247311848,0.6447723329302277,7e-05,3.5e-05,0.5,239.56688833236694
6,2.8034833431243897,2.1954610983530682,1.219605302810669,1.301141095161438,-0.010927944878737132,0.6113006273905436,0.8744027529444013,14.692652002970378,1.7195985657828194,1.0,0.0,0.05,0.375,0.6729166666666667,0.71875,0.6729166666666667,0.6770833333333334,0.71875,0.8744027529444013,0.8024219104221889,0.9463835869516645,0.6113006273905436,0.6191695511341095,0.6226604302724202,0.31884326934814455,0.250370125969251,1.62817702293396,1.7401840130488078,2.5760955969492594,0.03826119179526965,0.004694440029561519,0.024422654633720717,0.05873121271530787,0.4830179234345754,1.2240723073482513,0.7083333333333334,0.7423678751803753,0.8090460209196954,0.7093643115140793,0.7083333333333334,0.7083333333333334,0.7083333333333334,1.192055195569992,0.75,0.7393468948402259,0.7182795698924731,0.7194348631438282,-0.04119623655913973,0.7093643115140793,7e-05,3.5e-05,0.5,242.4164741039276
7,2.748475948969523,1.9927100817362466,1.1185805956522623,1.1655059973398845,0.04505619189391533,0.7422490199406941,0.8129830445562091,14.442040952046712,1.6701154027666365,1.0,0.0,0.1,0.5,0.73125,0.775,0.73125,0.7270833333333333,0.7458333333333333,0.8129830445562091,0.7664791430745806,0.8594869290079389,0.7422490199406941,0.6392972747484843,0.6367642879486084,0.3028832495212555,0.24477336704730987,1.5603209018707276,1.6632661501566568,2.308594989776611,0.0484613187611103,0.006119334294150273,0.031206417456269266,0.07484697997570038,0.5771487474441528,1.298543006181717,0.725,0.7693652330380019,0.8123501796453811,0.7122029691323171,0.725,0.725,0.7250000000000001,1.2820806056261063,0.7083333333333334,0.7007591513547271,0.6602150537634408,0.6665843104054197,0.0668682795698925,0.7122029691323171,7e-05,3.5e-05,0.5,243.47575902938843
8,2.7286448001861574,1.8569851875305177,1.0408301631609598,1.0882067243258158,0.04427074690659841,0.8583784143129984,0.8519435014043536,14.217329915364584,1.6687144041061401,1.0,0.0,0.15,0.625,0.7666666666666667,0.7854166666666667,0.7666666666666667,0.7708333333333334,0.8,0.8519435014043536,0.8046504429408482,0.8992365513529096,0.8583784143129984,0.6366474707921346,0.6822557548681895,0.289677361647288,0.24014355838298798,1.507892402013143,1.5872193415959677,2.1089146296183268,0.057935473322868344,0.007504486199468374,0.0376973107457161,0.08928108563025793,0.6590358217557272,1.0836729854345322,0.775,0.7529888063571076,0.8359195980318728,0.7452936357756151,0.775,0.775,0.775,1.084081158041954,0.7833333333333333,0.7548299363605091,0.8064516129032258,0.7825722448539476,-0.035618279569892386,0.7452936357756151,7e-05,3.5e-05,0.5,245.64470076560974
9,2.7141329129536946,1.744660751024882,0.9911969343821208,1.0046183904012045,0.03797345037261645,0.9580801288286845,0.8303614343915667,14.689886156717936,1.6356430564607893,1.0,0.0,0.2,0.75,0.8229166666666666,0.8145833333333333,0.8229166666666666,0.79375,0.8416666666666667,0.8303614343915667,0.7757299968174526,0.8849928634507316,0.9580801288286845,0.7064690351486206,0.6909617761770884,0.2780661404132843,0.23549325664838155,1.4408131837844849,1.511914610862732,1.9398736079533896,0.06673587163289388,0.00883099747200807,0.04322439432144165,0.10205424030621847,0.7274526039759318,1.0155828893184662,0.7916666666666666,0.7820522774327122,0.851463836402198,0.7647899361946543,0.7916666666666666,0.7916666666666666,0.7916666666666666,1.0197826325893402,0.8166666666666667,0.7829965145755552,0.8301075268817204,0.8105422803571618,-0.03635752688172045,0.7647899361946543,7e-05,3.5e-05,0.5,245.12717700004578
10,2.5885796705881754,1.5540136814117431,0.876282250881195,0.9036419034004212,-0.009606739816566309,1.0374480168024698,0.805024402482169,14.00727399190267,1.5641149623053414,1.0,0.0,0.25,0.875,0.8520833333333333,0.89375,0.8520833333333333,0.86875,0.8708333333333333,0.805024402482169,0.7193889277321952,0.8906598602022443,1.0374480168024698,0.7257361014684042,0.6653376340866088,0.26885966857274374,0.23227753539880117,1.340588593482971,1.4136643171310426,1.786483637491862,0.07528070708115896,0.010162142043312391,0.04692060103019079,0.11132606367270152,0.7815865993499755,0.9824398756027222,0.825,0.797086428064689,0.8810071821073943,0.8041545846088303,0.825,0.825,0.825,0.9860688149929047,0.825,0.8051715925993846,0.843010752688172,0.8208433578314067,0.025739247311827973,0.8041545846088303,7e-05,3.5e-05,0.5,240.82416772842407
