epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_adversarial_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,9.085779905319214,5.1405335664749146,3.4601239562034607,3.3608193397521973,-0.07472417689859867,3.9676634669303894,0.0,27.284947395324707,0.0,0.0,0.1171875,0.109375,0.1171875,0.125,0.078125,0.0,0.0,0.0,3.9676634669303894,0.9821135848760605,0.7790346443653107,0.3553117662668228,0.26643816381692886,3.476943016052246,2.1846506595611572,6.6741783618927,2.314735770225525,0.21621621621621623,0.056878306878306875,0.13425925925925927,0.07189542483660132,0.21621621621621623,0.21621621621621623,0.21621621621621623,2.2568612694740295,0.21621621621621623,0.06980994152046784,0.10606060606060606,0.03470540758676352,0.018939393939393936,0.21621621621621623,5e-05,2.5e-05,0.5,20.92135214805603
2,8.407821416854858,4.628920793533325,3.140778064727783,2.976285398006439,0.02594703808426857,3.771116554737091,0.0,23.442214012145996,0.0,0.0,0.1484375,0.15625,0.1484375,0.140625,0.1015625,0.0,0.0,0.0,3.771116554737091,0.9661837965250015,0.7449910789728165,0.35414059460163116,0.26760296523571014,3.43182110786438,2.1487976908683777,6.294394612312317,2.243502616882324,0.2702702702702703,0.06712962962962962,0.1527777777777778,0.0925925925925926,0.2702702702702703,0.2702702702702703,0.2702702702702703,2.192069172859192,0.24324324324324326,0.07897435897435896,0.13636363636363635,0.050144300144300144,0.0042613636363636465,0.2702702702702703,5e-05,2.5e-05,0.5,22.6925687789917
3,7.6235939264297485,4.151696681976318,2.818564295768738,2.666264593601227,0.024894583970308304,3.4644288420677185,0.0,22.232645511627197,0.0,0.0,0.2109375,0.2109375,0.2109375,0.1953125,0.1640625,0.0,0.0,0.0,3.4644288420677185,0.9535456746816635,0.8208329379558563,0.35376767814159393,0.26651614159345627,3.40984845161438,2.103540360927582,5.692471742630005,2.1779205203056335,0.21621621621621623,0.06532356532356533,0.125,0.08559276980329611,0.21621621621621623,0.21621621621621623,0.21621621621621623,2.1258351802825928,0.24324324324324326,0.13624338624338625,0.12121212121212122,0.07611181024835642,0.07410037878787878,0.21621621621621623,5e-05,2.5e-05,0.5,21.076395511627197
4,7.122435688972473,3.923486292362213,2.7101858854293823,2.4266008138656616,-0.009290853515267372,3.201736569404602,0.0,20.846670150756836,0.0,0.0,0.25,0.1953125,0.25,0.2109375,0.25,0.0,0.0,0.0,3.201736569404602,0.9319176226854324,0.6631997674703598,0.3519173115491867,0.264858603477478,3.360404074192047,2.0386685729026794,5.187335968017578,2.089441180229187,0.32432432432432434,0.31424131424131424,0.24537037037037035,0.24399460188933875,0.32432432432432434,0.32432432432432434,0.32432432432432434,2.0384445190429688,0.2702702702702703,0.16153911348419359,0.25757575757575757,0.21110948025893478,-0.04663825757575757,0.32432432432432434,5e-05,2.5e-05,0.5,21.8495192527771
5,6.6824164390563965,3.7196011543273926,2.5713850259780884,2.2964322566986084,0.028750896453857422,2.9541901350021362,0.0,19.680299282073975,0.0,0.0,0.3125,0.2109375,0.3125,0.3203125,0.359375,0.0,0.0,0.0,2.9541901350021362,0.8533018678426743,0.7269155830144882,0.3501247614622116,0.26288316398859024,3.3387468457221985,1.9505406618118286,4.711853742599487,1.9624821543693542,0.40540540540540543,0.3492063492063492,0.412037037037037,0.3391398724732058,0.40540540540540543,0.40540540540540543,0.40540540540540543,1.9380834102630615,0.40540540540540543,0.3432098765432099,0.4090909090909091,0.40489670823004154,-0.08877840909090912,0.40540540540540543,5e-05,2.5e-05,0.5,21.529370546340942
6,6.3939207792282104,3.443926990032196,2.264184594154358,2.359484910964966,0.0009793471544981003,2.9497000575065613,0.8754319250583649,18.51358699798584,1.9716137647628784,0.05,0.28125,0.390625,0.28125,0.3515625,0.296875,0.8754319250583649,0.8649521470069885,0.8859117031097412,2.9497000575065613,0.8003426939249039,0.6292932480573654,0.3504870682954788,0.2617378532886505,3.3162152767181396,2.0123924016952515,4.691068410873413,1.8122584223747253,0.4864864864864865,0.4712962962962963,0.5833333333333334,0.47941718775052106,0.4864864864864865,0.4864864864864865,0.4864864864864865,1.8147379159927368,0.5135135135135135,0.48474426807760135,0.4696969696969697,0.41831019970554856,-0.11813446969696972,0.4864864864864865,5e-05,2.5e-05,0.5,22.261091709136963
7,6.212155699729919,3.3219850659370422,2.2175581455230713,2.2088539004325867,0.07261338084936142,2.8683865666389465,0.8503333926200867,17.740832328796387,1.930561602115631,0.1,0.375,0.34375,0.375,0.34375,0.28125,0.8503333926200867,0.8446732461452484,0.8559934794902802,2.8683865666389465,0.8640757650136948,0.7307682186365128,0.3479191064834595,0.26089534163475037,3.2831022143363953,1.977803260087967,4.53436803817749,1.7053635716438293,0.5135135135135135,0.5224867724867726,0.6111111111111112,0.48960113960113955,0.5135135135135135,0.5135135135135135,0.5135135135135135,1.7287407517433167,0.5675675675675675,0.5798941798941799,0.5303030303030303,0.509907246749352,-0.18655303030303028,0.5135135135135135,5e-05,2.5e-05,0.5,22.24940061569214
8,6.025055408477783,3.2948842644691467,2.205078899860382,2.1796107292175293,0.0954393781721592,2.7015393376350403,0.8827669620513916,16.74266290664673,2.0194408297538757,0.15,0.359375,0.3046875,0.359375,0.3671875,0.328125,0.8827669620513916,0.863804817199707,0.9017291069030762,2.7015393376350403,0.8468924462795258,0.651035338640213,0.3449992910027504,0.2595411464571953,3.2923430800437927,1.9984613358974457,4.193259000778198,1.6005098223686218,0.7027027027027027,0.6957671957671958,0.7592592592592592,0.6932437932437933,0.7027027027027027,0.7027027027027027,0.7027027027027027,1.6267861127853394,0.7027027027027027,0.6687830687830688,0.6818181818181818,0.668174607864144,-0.31463068181818177,0.7027027027027027,5e-05,2.5e-05,0.5,22.22646403312683
9,6.061734557151794,3.2983559370040894,2.2735120058059692,2.0496878027915955,0.07475944980978966,2.740950584411621,0.809718132019043,17.55642318725586,1.8601942658424377,0.2,0.4453125,0.328125,0.4453125,0.515625,0.3828125,0.809718132019043,0.8011907637119293,0.8182454407215118,2.740950584411621,0.8499696850776672,0.6341768652200699,0.343562051653862,0.2579844370484352,3.2418389320373535,1.935181587934494,4.286144375801086,1.482678472995758,0.7027027027027027,0.7253968253968253,0.7592592592592592,0.7283728617061951,0.7027027027027027,0.7027027027027027,0.7027027027027027,1.5153652429580688,0.6756756756756757,0.684337267670601,0.7651515151515151,0.775834915893404,-0.24952651515151514,0.7027027027027027,5e-05,2.5e-05,0.5,21.529524564743042
10,5.459640741348267,2.8881912231445312,1.922736257314682,1.9309099614620209,0.10104742832481861,2.5411353707313538,0.8280851244926453,15.803870916366577,1.8631960153579712,0.25,0.4765625,0.4921875,0.4765625,0.4609375,0.4375,0.8280851244926453,0.8396123945713043,0.8165578544139862,2.5411353707313538,0.8873216211795807,0.6631321012973785,0.3409103602170944,0.25596369057893753,3.218748986721039,1.9151553809642792,3.888814091682434,1.413935899734497,0.7297297297297297,0.6887566137566137,0.7777777777777777,0.7167548500881834,0.7297297297297297,0.7297297297297297,0.7297297297297297,1.4406448602676392,0.7567567567567568,0.780952380952381,0.7803030303030303,0.7939503807141797,-0.3193655303030303,0.7297297297297297,5e-05,2.5e-05,0.5,22.14274287223816
