epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,5.970207293828328,6.097548842430115,3.5851181149482727,3.349907696247101,-0.42447173098723096,0.0,0.0,38.12097295125326,0.0,1.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.034722222222222224,0.06944444444444445,0.06944444444444445,0.08333333333333333,0.0,0.0,0.0,0.0,1.304588034749031,1.2977480739355087,0.37809689342975616,0.27568768461545307,1.8114129801591237,2.195054054260254,6.767045378684998,0.0,0.0,0.0,0.0,0.0,2.5506973266601562,0.08108108108108109,0.017543859649122806,0.08333333333333333,0.028985507246376812,0.08108108108108109,0.08108108108108109,0.08108108108108109,2.5998361110687256,0.05405405405405406,0.023391812865497078,0.06060606060606061,0.019975031210986267,0.00883838383838384,0.028985507246376812,7e-05,3.5e-05,0.5,27.94407033920288
2,4.9373765389124555,5.078586975733439,2.988405426343282,2.7869086861610413,-0.4707017218073209,0.0,0.0,32.456472078959145,0.0,1.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.125,0.1388888888888889,0.1527777777777778,0.125,0.0,0.0,0.0,0.0,1.4499955823024113,0.9962250043948492,0.3780712087949117,0.2744036813577016,1.7592284083366394,2.193792482217153,5.568839867909749,0.0,0.0,0.0,0.0,0.0,2.213683784008026,0.2972972972972973,0.26587301587301587,0.31481481481481477,0.2507936507936508,0.2972972972972973,0.2972972972972973,0.2972972972972973,2.304709553718567,0.2972972972972973,0.2236331569664903,0.29545454545454547,0.3686925167985774,-0.14267676767676768,0.2507936507936508,7e-05,3.5e-05,0.5,27.32515263557434
3,4.613967378934224,4.732968648274739,2.7143959403038025,2.6914304296175637,-0.3966708493729432,0.0,0.0,29.634365717569988,0.0,1.0,0.0,0.0,0.0,0.0,0.1597222222222222,0.18055555555555555,0.1597222222222222,0.1597222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,1.6113158961137135,1.145921876033147,0.3830553690592448,0.27561959127585095,1.7171798050403595,2.1864389181137085,5.289998610814412,0.0,0.0,0.0,0.0,0.0,1.9833300411701202,0.40540540540540543,0.4567580567580567,0.5092592592592592,0.40378218272955113,0.40540540540540543,0.40540540540540543,0.40540540540540543,2.049911916255951,0.40540540540540543,0.44017094017094016,0.42424242424242425,0.4649185059021124,-0.26452020202020204,0.40378218272955113,7e-05,3.5e-05,0.5,27.40499782562256
4,4.1774434844652815,4.275221467018127,2.4759174585342407,2.3990720013777413,-0.3259265050292015,0.0,0.0,28.489573001861572,0.0,1.0,0.0,0.0,0.0,0.0,0.2361111111111111,0.2569444444444444,0.2361111111111111,0.3055555555555556,0.24305555555555555,0.0,0.0,0.0,0.0,1.6304588913917542,1.1356260826190312,0.3824116562803586,0.2753190224369367,1.7257652978102367,2.151464104652405,4.842094421386719,0.0,0.0,0.0,0.0,0.0,1.7044796347618103,0.43243243243243246,0.5123456790123457,0.5231481481481481,0.4291819291819292,0.43243243243243246,0.43243243243243246,0.43243243243243246,1.783744215965271,0.43243243243243246,0.4558441558441559,0.5075757575757576,0.5504083355250489,-0.202020202020202,0.4291819291819292,7e-05,3.5e-05,0.5,27.168280839920044
5,4.0733587344487505,3.9592649141947427,2.295299788316091,2.218620181083679,-0.36093993422885734,0.2223758026957512,0.0,26.938444932301838,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.2847222222222222,0.2916666666666667,0.2847222222222222,0.2638888888888889,0.2847222222222222,0.0,0.0,0.0,0.2223758026957512,1.5462420135736465,1.0871078322331111,0.37941281000773114,0.27389626453320187,1.7253758013248444,2.163957635561625,4.5392629106839495,0.010117675177752972,0.001141234514458726,0.005751252717648943,0.016229681981106598,0.1891359587510427,1.6289550065994263,0.5135135135135135,0.6666666666666666,0.6712962962962963,0.5728956228956229,0.5135135135135135,0.5135135135135135,0.5135135135135135,1.685736507177353,0.6216216216216216,0.6516532849866183,0.5984848484848485,0.6381014951941789,-0.3345959595959596,0.5728956228956229,7e-05,3.5e-05,0.5,27.77209234237671
6,4.051818549633026,3.750229775905609,2.20354958375295,2.062240242958069,-0.3536051685611407,0.407670259475708,0.8105579316616058,26.179736773173016,2.3760874271392822,1.0,0.0,6.0,0.05,0.16666666666666666,0.3194444444444444,0.3125,0.3194444444444444,0.3958333333333333,0.2916666666666667,0.8105579316616058,0.7886350850264231,0.8324807782967886,0.407670259475708,1.4121286024649937,1.1085755328337352,0.3681299686431885,0.26827342559893924,1.6864807307720184,2.119244158267975,4.060295244057973,0.0196335989361008,0.0022356120171025395,0.011243205207089583,0.031788661144673824,0.33835795025030774,1.419653207063675,0.7297297297297297,0.7780423280423281,0.7962962962962963,0.7354139687473021,0.7297297297297297,0.7297297297297297,0.7297297297297297,1.5090559720993042,0.7297297297297297,0.7495553828887164,0.7196969696969697,0.734430797723101,-0.3238636363636364,0.7354139687473021,7e-05,3.5e-05,0.5,27.889323949813843
7,4.080947200457255,3.557589590549469,2.1629258493582406,1.8595516085624695,-0.3100695038835208,0.6163784662882487,0.7904970149199168,26.964168707529705,2.284679730733236,1.0,0.0,6.0,0.1,0.25,0.4375,0.3611111111111111,0.4375,0.3958333333333333,0.3819444444444444,0.7904970149199168,0.8239150444666544,0.7570789655049642,0.6163784662882487,1.4501354297002156,1.078879326581955,0.35522263248761493,0.26569364964962006,1.6250198086102803,2.07554296652476,4.102704127629598,0.02841780971114834,0.0033211706516643367,0.016250197698051732,0.046699718882640205,0.5128380159536997,1.352039709687233,0.7837837837837838,0.8216931216931216,0.8518518518518519,0.7728395061728395,0.7837837837837838,0.7837837837837838,0.7837837837837838,1.422084391117096,0.7027027027027027,0.690344223677557,0.7121212121212122,0.7254915135370543,-0.31628787878787884,0.7728395061728395,7e-05,3.5e-05,0.5,27.835436820983887
8,4.171275595823924,3.477419594923655,2.145090768734614,1.776438444852829,-0.3278106860816479,0.7921991397937139,0.7223499417304993,27.044851779937744,2.1757854223251343,1.0,0.0,6.0,0.15,0.3333333333333333,0.5069444444444444,0.4305555555555556,0.5069444444444444,0.3958333333333333,0.3472222222222222,0.7223499417304993,0.7609041333198547,0.6837957203388214,0.7921991397937139,1.4814619620641072,1.1953058044115703,0.3432712604602178,0.2611736406882604,1.5595941146214802,2.0688380797704062,3.92590723435084,0.03661560236165921,0.004352894223605593,0.02079458845158418,0.06206514034420252,0.6543178906043371,1.4127314388751984,0.6486486486486487,0.7685425685425685,0.7546296296296297,0.654060681511662,0.6486486486486487,0.6486486486486487,0.6486486486486487,1.4614010155200958,0.6486486486486487,0.6515552348885681,0.6363636363636364,0.651439746720441,-0.24053030303030304,0.654060681511662,7e-05,3.5e-05,0.5,28.528188467025757
9,3.842077652613322,3.0384896198908486,1.7725280225276947,1.6879488428433735,-0.33533333117763203,0.9041880120833715,0.6759075323740641,24.848737398783367,2.03772763411204,1.0,0.0,6.0,0.2,0.4166666666666667,0.5625,0.5,0.5625,0.4305555555555556,0.4305555555555556,0.6759075323740641,0.6105326215426127,0.7412824233373007,0.9041880120833715,1.3761337399482727,1.221502999464671,0.33306718866030377,0.2566535994410515,1.5835882723331451,2.0281814336776733,3.522233863671621,0.044408960888783135,0.005346950143575668,0.026393139269202948,0.07605680699149768,0.7337987025578817,1.2577893733978271,0.6756756756756757,0.7771604938271605,0.7592592592592592,0.7121471121471121,0.6756756756756757,0.6756756756756757,0.6756756756756757,1.265418529510498,0.7297297297297297,0.7588707588707589,0.7727272727272727,0.7967822748877769,-0.3421717171717171,0.7121471121471121,7e-05,3.5e-05,0.5,28.01309633255005
10,3.8077730337778726,2.7993863224983215,1.59460445245107,1.606375813484192,-0.3262654859572649,1.1062663197517395,0.6985281507174174,24.329198201497395,1.9368529915809631,1.0,0.0,6.0,0.25,0.5,0.5208333333333334,0.5555555555555556,0.5208333333333334,0.5347222222222222,0.4791666666666667,0.6985281507174174,0.6910733779271444,0.705982913573583,1.1062663197517395,1.4910660882790883,1.1662081529696782,0.3249030684431394,0.2526274373133977,1.5173265238602955,1.990201065937678,3.619237701098124,0.051984489895403385,0.006315686119099458,0.03034653017918269,0.08955905151863892,0.904809425274531,1.115872472524643,0.7837837837837838,0.8097883597883597,0.8333333333333334,0.792039442039442,0.7837837837837838,0.7837837837837838,0.7837837837837838,1.1404078602790833,0.7567567567567568,0.7543549043549044,0.8333333333333334,0.834609183692447,-0.29861111111111116,0.792039442039442,7e-05,3.5e-05,0.5,27.51820206642151
