epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,4.972524410639053,4.897624443738889,2.8170880048702927,2.8896338083805184,0.24966652815540633,0.0,0.0,33.21405220031738,0.0,1.0,0.0,0.0,0.0,0.0,0.15598290598290598,0.16666666666666666,0.15598290598290598,0.15598290598290598,0.1794871794871795,0.0,0.0,0.0,0.0,0.48434898028006923,0.5890675935989771,0.36114412240492993,0.2671470198875818,1.7361737061769535,2.0707598955203323,5.668486582927215,0.0,0.0,0.0,0.0,0.0,2.133275866508484,0.20833333333333334,0.37956349206349205,0.46133619826620886,0.3233472766369971,0.20833333333333334,0.20833333333333334,0.20833333333333334,2.2319026231765746,0.15833333333333333,0.24310383244206774,0.15913978494623657,0.2736569433053304,-0.003156878963330584,0.3233472766369971,7e-05,3.5e-05,0.5,63.16463255882263
2,3.593490313260983,3.5759359445327368,2.0897803795643344,2.0641048718721438,0.05851460331812119,0.0,0.0,26.62965916364621,0.0,1.0,0.0,0.0,0.0,0.0,0.39316239316239315,0.3696581196581197,0.39316239316239315,0.3525641025641026,0.3611111111111111,0.0,0.0,0.0,0.0,0.42018791956779283,0.6694413347121997,0.36146331903262013,0.2695464889208476,1.6534838798718574,2.0066083119465756,4.330170380763518,0.0,0.0,0.0,0.0,0.0,1.7670000553131104,0.36666666666666664,0.5871457489878542,0.6212865872197791,0.4746607997265892,0.36666666666666664,0.36666666666666664,0.36666666666666664,1.8775236845016479,0.31666666666666665,0.4448558816291375,0.3720430107526882,0.4667422196278597,-0.01947890818858561,0.4746607997265892,7e-05,3.5e-05,0.5,63.53267049789429
3,3.1405541530022254,3.1418791000659647,1.7991989850997925,1.8648334191395686,-0.0044165117522844905,0.0,0.0,25.960263423430614,0.0,1.0,0.0,0.0,0.0,0.0,0.44017094017094016,0.47863247863247865,0.44017094017094016,0.42094017094017094,0.45085470085470086,0.0,0.0,0.0,0.0,0.432302536872717,0.5431512089876028,0.36196548969317704,0.2683438673997537,1.6348545031669812,1.9558620758545704,3.822558341882168,0.0,0.0,0.0,0.0,0.0,1.6629157662391663,0.425,0.47156734307897097,0.6142838780166457,0.46789748508098894,0.425,0.425,0.425,1.7637709498405456,0.375,0.47137277053563614,0.4731182795698925,0.511451011708813,-0.052178108629721554,0.46789748508098894,7e-05,3.5e-05,0.5,61.28431153297424
4,2.8641405288989725,2.6693736284207077,1.517563358331338,1.5997364459893642,-0.0027749094192702803,0.1955993970235189,0.0,24.32197071955754,0.0,1.0,0.0,0.0,0.0,0.1,0.5726495726495726,0.6089743589743589,0.5726495726495726,0.5662393162393162,0.5769230769230769,0.0,0.0,0.0,0.1955993970235189,0.4146492397173857,0.5747561752796173,0.34023957604017013,0.25783644769436276,1.5803232131860194,1.8674395634577825,3.205885960505559,0.010887666891973753,0.0012891822231885714,0.00632129314665993,0.016806955186602395,0.16029430008851564,1.396175092458725,0.625,0.6242424242424243,0.76990513463207,0.622112405568288,0.625,0.625,0.625,1.5005010724067689,0.5583333333333333,0.5831103473998295,0.632258064516129,0.6288992167185219,-0.06601874827681276,0.622112405568288,7e-05,3.5e-05,0.5,63.088290214538574
5,2.7258720764747033,2.367444918705867,1.3225492529380016,1.4512439278455882,0.020654071719409563,0.3522309783177498,0.0,23.228756562257423,0.0,1.0,0.0,0.0,0.0,0.2,0.6367521367521367,0.7008547008547008,0.6367521367521367,0.6217948717948718,0.688034188034188,0.0,0.0,0.0,0.3522309783177498,0.427948623131483,0.5457663711829063,0.307697451267487,0.24326430528591841,1.4620869434796846,1.7578019392796052,2.8676856481111965,0.019692637885992344,0.002432643000084238,0.011696696114272643,0.03164043363470297,0.28676856939609235,1.4467325508594513,0.6166666666666667,0.6279271004378764,0.7755285541605796,0.6134012208122115,0.6166666666666667,0.6166666666666667,0.6166666666666667,1.5047089517116548,0.5666666666666667,0.5892588290698458,0.6344086021505376,0.6120375108461344,-0.01261373035566582,0.6134012208122115,7e-05,3.5e-05,0.5,61.448296785354614
6,2.673210064570109,2.18031636873881,1.2307746058855302,1.3188079289900951,0.05010740841046358,0.477861470136887,0.9357242176407262,22.562868509537136,2.4453650524741724,1.0,0.0,19.0,0.05,0.3,0.6901709401709402,0.7307692307692307,0.6901709401709402,0.688034188034188,0.7457264957264957,0.9357242176407262,0.9521793409397727,0.9192690974787662,0.477861470136887,0.4067104141681622,0.689110231705201,0.28535474645785797,0.23588986274523613,1.3566895967874772,1.6677398223143358,2.5580140810746412,0.027394055938109372,0.003538347858314713,0.016280275315810472,0.045028976331918664,0.38370212759727085,1.2537173867225646,0.7166666666666667,0.708736370892443,0.8323337585002485,0.7037129069064548,0.7166666666666667,0.7166666666666667,0.7166666666666667,1.2812076807022095,0.7,0.7008169934329835,0.7161290322580646,0.6947064234776323,-0.028094844223876536,0.7037129069064548,7e-05,3.5e-05,0.5,61.56590533256531
7,2.587157524549044,2.001929047780159,1.1495828949488127,1.1838140518237383,0.0007034143170294089,0.5850174457598956,0.8004996870693407,22.627785829397347,2.1756932672701383,1.0,0.0,19.0,0.1,0.4,0.7585470085470085,0.7756410256410257,0.7585470085470085,0.7628205128205128,0.782051282051282,0.8004996870693407,0.8019893200773942,0.7990100477871142,0.5850174457598956,0.4741751658610808,0.7055393442129477,0.27169385093909043,0.2294468180491374,1.294038020647489,1.5725288391113281,2.3210352017329288,0.03477681447298099,0.004588936288387348,0.02070460929415929,0.05661103578332143,0.46420704707121235,1.1803254663944245,0.7416666666666667,0.7139154876926616,0.8195642286310367,0.7224197409356918,0.7416666666666667,0.7416666666666667,0.7416666666666667,1.1910790383815766,0.7583333333333333,0.7289713180882922,0.7763440860215054,0.7583118367490999,-0.013523573200992622,0.7224197409356918,7e-05,3.5e-05,0.5,60.96312165260315
8,2.632458442296737,1.9120129683078864,1.1068518956502278,1.1182792095037608,0.030402276903772965,0.7113247758302933,0.7758690557981792,22.021923700968426,2.1742764774121737,1.0,0.0,19.0,0.15,0.5,0.7841880341880342,0.8162393162393162,0.7841880341880342,0.811965811965812,0.7628205128205128,0.7758690557981792,0.7603463624653063,0.7913917522681387,0.7113247758302933,0.5407378528362665,0.7501567357625717,0.2609754021351154,0.22281939937518194,1.2470651207826076,1.5272917930896466,2.254206363971417,0.041756063317641236,0.005570485113331905,0.02494130178521841,0.06872813346294257,0.5635515909928542,1.0478053569793702,0.8166666666666667,0.7488571735282261,0.8873800510200298,0.7784164483177641,0.8166666666666667,0.8166666666666667,0.8166666666666667,1.0700589776039124,0.8083333333333333,0.7690847637504614,0.843010752688172,0.8067919555642771,-0.03104494072236008,0.7784164483177641,7e-05,3.5e-05,0.5,62.166306018829346
9,2.50269881884257,1.7305428706682646,0.9739225583198743,1.0508615084183521,0.0010166911479945367,0.7718509313387748,0.7761905852117037,19.18214827317458,2.091224607668425,1.0,0.0,19.0,0.2,0.6,0.8461538461538461,0.8696581196581197,0.8461538461538461,0.8418803418803419,0.8547008547008547,0.7761905852117037,0.7726946755459434,0.7796864948774639,0.7718509313387748,0.5585714486929086,0.770578431777465,0.2488227203870431,0.21609160227653307,1.1672287094287384,1.4292065027432563,2.0103316796131625,0.04777396260163723,0.006482747920717184,0.02801348923299557,0.07717715318386371,0.6030995280314715,1.041274517774582,0.8166666666666667,0.7388573232323232,0.8861258704180232,0.7767682023196728,0.8166666666666667,0.8166666666666667,0.8166666666666667,1.0299927055835725,0.8416666666666667,0.7940595574614285,0.8365591397849462,0.7996909913394393,0.005321202095395661,0.7767682023196728,7e-05,3.5e-05,0.5,60.556787729263306
10,2.482607052876399,1.627316679709997,0.9227513456955935,0.978562918993143,-0.08701699160230465,0.8813954607034341,0.770199389834153,18.887851861807015,2.069084506285818,1.0,0.0,19.0,0.25,0.7,0.8611111111111112,0.8867521367521367,0.8611111111111112,0.8760683760683761,0.8653846153846154,0.770199389834153,0.7589483480704459,0.7814504598316393,0.8813954607034341,0.627673246157475,0.7283851511967487,0.24124863056036142,0.2107109266978044,1.0910389239971454,1.3106710605132275,1.9856971899668376,0.054039695037481114,0.007374882518958587,0.03054909083323601,0.08257227830397777,0.6949940033448048,1.0539058446884155,0.8166666666666667,0.7317380536130536,0.8779584016195894,0.7608398562032282,0.8166666666666667,0.8166666666666667,0.8166666666666667,1.0347020268440246,0.8333333333333334,0.7868886210146372,0.8494623655913979,0.8164676375364558,0.026606010476978192,0.7608398562032282,7e-05,3.5e-05,0.5,63.315377712249756
