epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,5.003669202327728,5.071297883987427,2.984050929546356,2.8989540487527847,-0.22542897914536297,0.0,0.0,35.161938428878784,0.0,1.0,0.0,0.0,0.0,0.0,0.16145833333333334,0.109375,0.16145833333333334,0.09375,0.09375,0.0,0.0,0.0,0.0,1.179874498397112,0.28207290172576904,0.35448516719043255,0.2714342996478081,1.5827684998512268,1.7840659841895103,6.028499901294708,0.0,0.0,0.0,0.0,0.0,1.9286473592122395,0.23076923076923078,0.20634920634920637,0.1875,0.10113960113960113,0.23076923076923078,0.23076923076923078,0.23076923076923078,1.9687460660934448,0.19230769230769232,0.0641025641025641,0.2708333333333333,0.15776353276353275,-0.17708333333333331,0.10113960113960113,7e-05,3.5e-05,0.5,33.49264597892761
2,3.9689617305994034,4.051394060254097,2.407065063714981,2.283790200948715,-0.2747744657099247,0.0,0.0,28.679190278053284,0.0,1.0,0.0,0.0,0.0,0.0,0.3125,0.21875,0.3125,0.23958333333333334,0.24479166666666666,0.0,0.0,0.0,0.0,1.176892664283514,0.28822639491409063,0.3548729456961155,0.271877059713006,1.4755691289901733,1.7820845916867256,4.7975214421749115,0.0,0.0,0.0,0.0,0.0,1.803873618443807,0.23076923076923078,0.0701058201058201,0.25,0.10950080515297907,0.23076923076923078,0.23076923076923078,0.23076923076923078,1.8452366987864177,0.2692307692307692,0.13997113997113997,0.2708333333333333,0.1738922324288178,-0.031249999999999972,0.10950080515297907,7e-05,3.5e-05,0.5,29.69064450263977
3,3.4692700654268265,3.5311604738235474,2.044532485306263,2.0647609755396843,-0.20630127005279064,0.0,0.0,25.50763428211212,0.0,1.0,0.0,0.0,0.0,0.0,0.359375,0.3541666666666667,0.359375,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.1395493783056736,0.27317853923887014,0.3539307713508606,0.26911504194140434,1.4723599776625633,1.7570572718977928,4.340675517916679,0.0,0.0,0.0,0.0,0.0,1.6530751585960388,0.2692307692307692,0.10317460317460318,0.3333333333333333,0.1574074074074074,0.2692307692307692,0.2692307692307692,0.2692307692307692,1.659126083056132,0.3076923076923077,0.1962962962962963,0.28125,0.19401455026455028,0.052083333333333315,0.1574074074074074,7e-05,3.5e-05,0.5,28.911096811294556
4,3.073898121714592,3.1370227336883545,1.8415018692612648,1.7993344366550446,-0.21041539497673512,0.0,0.0,24.00442624092102,0.0,1.0,0.0,0.0,0.0,0.0,0.390625,0.4322916666666667,0.390625,0.4270833333333333,0.4427083333333333,0.0,0.0,0.0,0.0,1.2019090130925179,0.28461510874331,0.35170740634202957,0.26889787055552006,1.4135002195835114,1.7078064233064651,3.771020397543907,0.0,0.0,0.0,0.0,0.0,1.7083006699879963,0.34615384615384615,0.19696969696969693,0.43333333333333335,0.24652014652014653,0.34615384615384615,0.34615384615384615,0.34615384615384615,1.7398917277654011,0.38461538461538464,0.2707070707070707,0.23958333333333334,0.17665945165945166,0.18749999999999997,0.24652014652014653,7e-05,3.5e-05,0.5,29.330702543258667
5,2.943111225962639,2.8143910467624664,1.6806316897273064,1.5746656954288483,-0.23805153579451144,0.20013564359396696,0.0,22.303293704986572,0.0,1.0,0.0,0.0,0.0,0.1,0.546875,0.5260416666666666,0.546875,0.5,0.4270833333333333,0.0,0.0,0.0,0.20013564359396696,1.2372137531638145,0.32456750329583883,0.34317469969391823,0.26602903008461,1.4786768928170204,1.6538877710700035,3.340484157204628,0.010981590894516557,0.0013301451181177981,0.005914707813644782,0.014884989301208407,0.16702421009540558,1.5723826885223389,0.4230769230769231,0.3814814814814815,0.5,0.3326118326118326,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.5741519927978516,0.4230769230769231,0.3326118326118326,0.3958333333333333,0.350789492958941,0.10416666666666669,0.3326118326118326,7e-05,3.5e-05,0.5,29.385619401931763
6,2.980667471885681,2.6456770598888397,1.5524046421051025,1.518433891236782,-0.12795777106657624,0.3733777180314064,0.0,22.16338574886322,0.0,1.0,0.0,0.0,0.0,0.2,0.59375,0.5572916666666666,0.59375,0.5104166666666666,0.5572916666666666,0.0,0.0,0.0,0.3733777180314064,1.2006668075919151,0.2763752220198512,0.3268699534237385,0.2588989734649658,1.3042790293693542,1.6272762566804886,3.1014383882284164,0.02091967803426087,0.0025889896787703037,0.010434232652187347,0.029290971695445478,0.3101438470184803,1.5422555009524028,0.38461538461538464,0.3141025641025641,0.3666666666666667,0.25925925925925924,0.38461538461538464,0.38461538461538464,0.38461538461538464,1.5046510299046834,0.38461538461538464,0.2647058823529412,0.4270833333333333,0.32365003417634997,0.08333333333333331,0.25925925925925924,7e-05,3.5e-05,0.5,28.840436935424805
7,3.0382931381464005,2.514152228832245,1.5643984004855156,1.3191024847328663,-0.030703923985129222,0.5333520863205194,0.8545110300183296,22.113220632076263,2.296174705028534,1.0,0.0,8.0,0.05555555555555555,0.3,0.671875,0.5833333333333334,0.671875,0.6041666666666666,0.5833333333333334,0.8545110300183296,0.6917842254042625,1.017237849533558,0.5333520863205194,1.0752942375838757,0.31887398287653923,0.3115092720836401,0.2514337170869112,1.3597548976540565,1.5890443325042725,2.918290212750435,0.029904890339821577,0.0037715056823799387,0.016317059053108096,0.04290419816970825,0.4377435501664877,1.2527099053064983,0.5769230769230769,0.7452380952380953,0.6708333333333334,0.5709475709475709,0.5769230769230769,0.5769230769230769,0.5769230769230769,1.267396072546641,0.5,0.4735449735449735,0.6875,0.6897785383166739,-0.08333333333333337,0.5709475709475709,7e-05,3.5e-05,0.5,29.4046528339386
8,2.917663037776947,2.286713570356369,1.409938458353281,1.2177431732416153,-0.11275444435887039,0.6647757738828659,0.8155487403273582,21.480597138404846,2.2728105634450912,1.0,0.0,8.0,0.1111111111111111,0.4,0.7083333333333334,0.671875,0.7083333333333334,0.7291666666666666,0.6145833333333334,0.8155487403273582,0.6444159522652626,0.9866815209388733,0.6647757738828659,1.236100286245346,0.37193151470273733,0.29921047762036324,0.2458789423108101,1.3913550898432732,1.5744278207421303,2.6818235218524933,0.03829894308000803,0.004917578771710396,0.02226168243214488,0.056679399218410254,0.5363647099584341,1.3316307465235393,0.6538461538461539,0.6666666666666666,0.65,0.5916666666666667,0.6538461538461539,0.6538461538461539,0.6538461538461539,1.3265205423037212,0.5769230769230769,0.5822390572390571,0.625,0.5276406599936011,0.10416666666666663,0.5916666666666667,7e-05,3.5e-05,0.5,29.289023399353027
9,2.8640884906053543,2.1033425331115723,1.2101302482187748,1.2405725233256817,-0.07328351563774049,0.7827310264110565,0.8241031095385551,19.904322504997253,2.258092164993286,1.0,0.0,8.0,0.16666666666666666,0.5,0.7291666666666666,0.7760416666666666,0.7291666666666666,0.7291666666666666,0.671875,0.8241031095385551,0.7099148705601692,0.9382913410663605,0.7827310264110565,1.3351527713239193,0.39369192719459534,0.2884344980120659,0.23966727778315544,1.2049621865153313,1.4843009635806084,2.5184483900666237,0.04614951857365668,0.005991682031890377,0.02409924316452816,0.06679354584775865,0.6296120975166559,1.7499802112579346,0.34615384615384615,0.3478632478632479,0.39999999999999997,0.2828282828282828,0.34615384615384615,0.34615384615384615,0.34615384615384615,1.6678699254989624,0.5,0.412987012987013,0.4583333333333333,0.383511836457138,0.2708333333333333,0.2828282828282828,7e-05,3.5e-05,0.5,29.419470071792603
10,2.975331634283066,2.091191314160824,1.1844697371125221,1.2593354806303978,-0.011455140309408307,0.8875769041478634,0.7402214109897614,21.166850447654724,2.0747734755277634,1.0,0.0,8.0,0.2222222222222222,0.6,0.6927083333333334,0.7447916666666666,0.6927083333333334,0.71875,0.6979166666666666,0.7402214109897614,0.6699177846312523,0.8105250373482704,0.8875769041478634,1.1482386253774166,0.4102738220244646,0.27756158635020256,0.23617306910455227,1.245415635406971,1.499490648508072,2.347385421395302,0.053291825111955404,0.007085191959049553,0.029889976023696363,0.08097249688580632,0.7042156532406807,1.180100957552592,0.5769230769230769,0.5944444444444444,0.6208333333333333,0.4921236171236172,0.5769230769230769,0.5769230769230769,0.5769230769230769,1.1866117517153423,0.6153846153846154,0.6183862433862434,0.75,0.7294311664059562,-0.03125,0.4921236171236172,7e-05,3.5e-05,0.5,28.764698028564453
