epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.463703675703569,5.555250124497847,3.4108375202525747,3.299096389250322,-0.30515464463017206,0.0,0.0,33.52948639609597,0.0,1.0,0.0,0.0,0.0,0.0,0.07575757575757576,0.05303030303030303,0.07575757575757576,0.09090909090909091,0.09848484848484848,0.0,0.0,0.0,0.0,1.2770618037744002,1.3573496450077405,0.37635777213356714,0.275310063903982,1.8071693181991577,2.2005618160421196,6.734297188845548,0.0,0.0,0.0,0.0,0.0,2.6107977628707886,0.08108108108108109,0.031746031746031744,0.08333333333333333,0.044893378226711564,0.08108108108108109,0.08108108108108109,0.08108108108108109,2.671529769897461,0.05405405405405406,0.04938271604938272,0.06818181818181818,0.0442085326953748,0.022727272727272735,0.044893378226711564,7e-05,3.5e-05,0.5,3.1140990257263184,3.833984375,13.879974603652954,3.357830762863159,3.3181886672973633,10.947803258895874,31.50479745864868
2,4.493315956809304,4.622955473986539,2.804462432861328,2.797681591727517,-0.4321315478194844,0.0,0.0,28.136980923739348,0.0,1.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.17424242424242425,0.13636363636363635,0.09848484848484848,0.18181818181818182,0.0,0.0,0.0,0.0,1.353313077579845,1.1103147322481328,0.3771507062695243,0.2746254395354878,1.8237160010771318,2.246559576554732,5.483755068345503,0.0,0.0,0.0,0.0,0.0,2.272513061761856,0.3783783783783784,0.19365079365079363,0.4074074074074074,0.2577825033965385,0.3783783783783784,0.3783783783783784,0.37837837837837834,2.319325864315033,0.32432432432432434,0.21864061864061865,,,,0.2577825033965385,7e-05,3.5e-05,0.5,3.1137938499450684,3.833984375,3.6664786338806152,3.480187177658081,3.299351453781128,0.0,10.447016716003418
3,4.02838828346946,4.108474558049982,2.428020325574008,2.5853142738342285,-0.26695417443459685,0.0,0.0,26.305720069191672,0.0,1.0,0.0,0.0,0.0,0.0,0.17424242424242425,0.22727272727272727,0.17424242424242425,0.1590909090909091,0.1893939393939394,0.0,0.0,0.0,0.0,1.594738711010326,1.1391109011389993,0.37808723883195355,0.2738513323393735,1.7888160835612903,2.2214347449215976,5.148130893707275,0.0,0.0,0.0,0.0,0.0,2.0145459175109863,0.43243243243243246,0.4369488536155203,0.5324074074074073,0.4035051368384701,0.43243243243243246,0.43243243243243246,0.43243243243243246,2.110489308834076,0.4864864864864865,0.5247377703518055,,,,0.4035051368384701,7e-05,3.5e-05,0.5,3.1137938499450684,3.833984375,3.7002344131469727,3.281586170196533,3.3192811012268066,0.0,10.301101684570312
4,3.7418890432877974,3.81361046704379,2.350478779185902,2.25097195668654,-0.23907133665951816,0.0,0.0,24.92246558449485,0.0,1.0,0.0,0.0,0.0,0.0,0.3181818181818182,0.19696969696969696,0.3181818181818182,0.3106060606060606,0.3181818181818182,0.0,0.0,0.0,0.0,1.6250282309272073,1.1811081983826377,0.3813531994819641,0.27503677931698883,1.7661413171074607,2.176790800961581,4.779199080033735,0.0,0.0,0.0,0.0,0.0,1.7628887593746185,0.5135135135135135,0.5681818181818181,0.6851851851851852,0.5469135802469136,0.5135135135135135,0.5135135135135135,0.5135135135135135,1.8689463138580322,0.5135135135135135,0.5104155104155104,,,,0.5469135802469136,7e-05,3.5e-05,0.5,3.1137938499450684,3.833984375,3.7657012939453125,3.39052414894104,3.3976032733917236,0.0,10.553828716278076
5,3.452945839275013,3.5084585710005327,2.1761499643325806,2.0497055378827183,-0.18504233082587068,0.0,0.0,23.6285457611084,0.0,1.0,0.0,0.0,0.0,0.0,0.4015151515151515,0.2803030303030303,0.4015151515151515,0.3560606060606061,0.32575757575757575,0.0,0.0,0.0,0.0,1.5067663951353594,1.0713134462183171,0.3823005800897425,0.2752551084214991,1.7501546036113391,2.12945277040655,4.427823500199751,0.0,0.0,0.0,0.0,0.0,1.5762334764003754,0.6486486486486487,0.7617283950617284,0.7546296296296295,0.6761904761904762,0.6486486486486487,0.6486486486486487,0.6486486486486487,1.6591456234455109,0.5945945945945946,0.6089947089947091,0.6515151515151515,0.6860175405770457,-0.2954545454545454,0.6761904761904762,7e-05,3.5e-05,0.5,3.1137938499450684,3.833984375,3.544771909713745,3.3595993518829346,3.2835607528686523,10.844197034835815,21.03312921524048
6,3.4725207415494053,3.285457069223577,1.9130115509033203,2.111454725265503,-0.18245282498272983,0.24179953743111005,0.7181447863578796,22.955644087357953,2.1128501892089844,1.0,0.0,5.0,0.05,0.1,0.3409090909090909,0.49242424242424243,0.3409090909090909,0.45454545454545453,0.3484848484848485,0.7181447863578796,0.7045299530029296,0.7317596435546875,0.24179953743111005,1.6486507979306309,1.1397013501687483,0.378985887224024,0.2741074968468059,1.7035162232138894,2.105664361606945,4.079475684599443,0.012127548964186148,0.0013705374440178275,0.0068140652200037784,0.012633986263112589,0.2039737863974138,1.492366909980774,0.6486486486486487,0.632716049382716,0.7638888888888888,0.660968660968661,0.6486486486486487,0.6486486486486487,0.6486486486486487,,,,,,,0.660968660968661,7e-05,3.5e-05,0.5,3.1147327423095703,3.833984375,3.5651469230651855,3.3854830265045166,0.0,0.0,6.950629949569702
7,3.310140371322632,2.922797593203458,1.7387292818589644,1.8216436126015403,-0.21094307845289056,0.4506257176399231,0.7344947457313538,21.301770643754438,2.167173075675964,1.0,0.0,5.0,0.1,0.2,0.4621212121212121,0.5378787878787878,0.4621212121212121,0.4015151515151515,0.45454545454545453,0.7344947457313538,0.7249477744102478,0.7440416932106018,0.4506257176399231,1.787084622816606,1.2912590557878667,0.36589073592966254,0.26853958585045556,1.7356843731620095,2.052684112028642,3.7523141991008413,0.023417008194056423,0.002685395810245113,0.013885475779798899,0.024632209573279728,0.3752314258705486,1.4198121428489685,0.5945945945945946,0.5566137566137566,0.6851851851851852,0.5897805897805898,0.5945945945945946,0.5945945945945946,0.5945945945945946,,,,,,,0.5897805897805898,7e-05,3.5e-05,0.5,3.1147327423095703,3.833984375,3.670107126235962,3.2687950134277344,0.0,0.0,6.939840793609619
8,3.5631346702575684,2.9762846773320977,1.8333695585077459,1.7583310820839622,-0.2225494161248207,0.6536148461428556,0.7039319276809692,22.411278811368074,2.068253207206726,1.0,0.0,5.0,0.15,0.3,0.48484848484848486,0.5075757575757576,0.48484848484848486,0.5,0.45454545454545453,0.7039319276809692,0.7247752189636231,0.6830886483192444,0.6536148461428556,1.5006954128091985,1.169172763824463,0.351393230936744,0.2627383145419034,1.6950072050094604,2.056954351338473,3.6303861141204834,0.03373375060883435,0.003941074669869108,0.020340086553584446,0.03702517700466243,0.5445579425855116,1.300334483385086,0.7297297297297297,0.7864197530864198,0.7962962962962963,0.7433640433640434,0.7297297297297297,0.7297297297297297,0.7297297297297297,1.3646929562091827,0.7297297297297297,0.7433640433640434,,,,0.7433640433640434,7e-05,3.5e-05,0.5,3.1147327423095703,3.833984375,3.7990238666534424,3.2997961044311523,3.3263401985168457,0.0,10.42516016960144
9,3.7778901837088843,2.997206449508667,1.8709142316471448,1.7327572432431309,-0.15417265688831155,0.8269355459646746,0.7225894451141357,22.766085364601828,2.0821063041687013,1.0,0.0,5.0,0.2,0.4,0.5151515151515151,0.48484848484848486,0.5151515151515151,0.5227272727272727,0.5454545454545454,0.7225894451141357,0.7460759997367858,0.6991029262542725,0.8269355459646746,1.4070938283746892,1.1531913659789346,0.3397903767499057,0.2605267139998349,1.5930120294744319,1.985650983723727,3.435830094597556,0.04349317029118538,0.005210534161464734,0.025488193570212883,0.04765562408349731,0.6871660243381154,1.2305869162082672,0.8648648648648649,0.8999999999999999,0.8935185185185185,0.8869809203142538,0.8648648648648649,0.8648648648648649,0.8648648648648649,1.312775582075119,0.8108108108108109,0.818923668923669,,,,0.8869809203142538,7e-05,3.5e-05,0.5,3.1147327423095703,3.833984375,3.9008712768554688,3.3226916790008545,3.36647629737854,0.0,10.59103798866272
10,3.395966269753196,2.5271744294600054,1.5184682932767002,1.5518555532802234,-0.2023940858515826,0.9295100678097118,0.6901455402374268,21.22485941106623,2.101547598838806,1.0,0.0,5.0,0.25,0.5,0.6060606060606061,0.6439393939393939,0.6060606060606061,0.5454545454545454,0.6136363636363636,0.6901455402374268,0.6755525231361389,0.7047385811805725,0.9295100678097118,1.4320878874171863,1.0895555507053027,0.327760867097161,0.2551279934969815,1.6641460006887263,1.9538138021122327,3.026913642883301,0.052441737191243606,0.006378199947489934,0.03328291953287341,0.0586144131692973,0.7567284107208252,1.1692293286323547,0.8918918918918919,0.9129629629629628,0.9212962962962963,0.9040564373897708,0.8918918918918919,0.8918918918918919,0.8918918918918919,1.2628886699676514,0.7837837837837838,0.7930976430976431,0.8560606060606061,0.8456954025812785,-0.31060606060606066,0.9040564373897708,7e-05,3.5e-05,0.5,3.1147327423095703,3.8359375,3.650944948196411,3.3409156799316406,3.391244649887085,11.150644779205322,21.53375005722046
