epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,4.692291098971699,4.659816187481548,2.764131501663563,2.9164380639098413,0.10824960080343624,0.0,0.0,29.465382908665855,0.0,1.0,0.0,0.0,0.0,0.0,0.13565891472868216,0.18023255813953487,0.13565891472868216,0.12209302325581395,0.1744186046511628,0.0,0.0,0.0,0.0,1.900001470432725,1.0123451532319534,0.34448045630787694,0.2613983570143234,1.8192540961642598,2.200374442477559,5.690878091856491,0.0,0.0,0.0,0.0,0.0,2.105581771243702,0.3409090909090909,0.41134332246386573,0.3561626644959978,0.31144610771429243,0.3409090909090909,0.3409090909090909,0.3409090909090909,2.0976216251199897,0.29545454545454547,0.23875346339114456,0.3037475345167653,0.30150840489129127,-0.18165451126095133,0.31144610771429243,7e-05,3.5e-05,0.5,3.1140990257263184,3.833984375,23.33071208000183,11.263559579849243,11.046496391296387,12.829390525817871,58.471158504486084
2,3.7167705491531726,3.714792168417642,2.118815175322599,2.4553493011829466,0.006594669506993405,0.0,0.0,24.22634058220442,0.0,1.0,0.0,0.0,0.0,0.0,0.21705426356589147,0.36627906976744184,0.21705426356589147,0.23837209302325582,0.3488372093023256,0.0,0.0,0.0,0.0,2.0388847423154255,1.1173785412034323,0.3469480241453925,0.2628227666366932,1.732162359148957,2.1806435695914335,4.658291001652563,0.0,0.0,0.0,0.0,0.0,2.006746086207303,0.4015151515151515,0.4504189767347662,0.43417785917785917,0.3665019414834329,0.4015151515151515,0.4015151515151515,0.4015151515151515,2.0206442421132866,0.36363636363636365,0.36819829543406773,,,,0.3665019414834329,7e-05,3.5e-05,0.5,3.1137938499450684,3.833984375,12.61543607711792,11.082322835922241,11.345231771469116,0.0,35.04299068450928
3,3.39934498210286,3.396490130313607,1.940848480823428,2.239448766375697,0.009516251208477242,0.0,0.0,22.97741313313329,0.0,1.0,0.0,0.0,0.0,0.0,0.3081395348837209,0.4127906976744186,0.3081395348837209,0.3023255813953488,0.39341085271317827,0.0,0.0,0.0,0.0,1.849848894185798,1.1117194863252862,0.34863212981889413,0.26243057361868927,1.7708602228830026,2.1549087901448094,4.272493273712868,0.0,0.0,0.0,0.0,0.0,1.9018134854056619,0.4393939393939394,0.5385501113571288,0.565299823633157,0.45907690711612276,0.4393939393939394,0.4393939393939394,0.4393939393939394,1.9026885682886296,0.38636363636363635,0.40489440740558735,,,,0.45907690711612276,7e-05,3.5e-05,0.5,3.1137938499450684,3.833984375,12.79966115951538,11.180702447891235,11.213361263275146,0.0,35.19372487068176
4,3.173844287561816,3.1668729227642682,1.79876596983089,2.1047800169434656,0.023237890412294588,0.0,0.0,22.763194727343183,0.0,1.0,0.0,0.0,0.0,0.0,0.35658914728682173,0.5096899224806202,0.35658914728682173,0.3507751937984496,0.4418604651162791,0.0,0.0,0.0,0.0,1.9519435694051344,1.0473812347234681,0.34848729191824446,0.26347235261007795,1.7281017608420794,2.1131360198176186,3.8736732782319536,0.0,0.0,0.0,0.0,0.0,1.7278017672625454,0.5,0.6701208300499081,0.5911409578076244,0.5190145798950758,0.5,0.5,0.5,1.7215801585804333,0.5681818181818182,0.5710020188350987,,,,0.5190145798950758,7e-05,3.5e-05,0.5,3.1137938499450684,3.833984375,12.6024808883667,11.21514081954956,11.209405183792114,0.0,35.027026891708374
5,2.7917284910068956,2.802708720051965,1.529312399930732,1.9590712896613187,-0.03660073807073194,0.0,0.0,20.845690638519997,0.0,1.0,0.0,0.0,0.0,0.0,0.42829457364341084,0.6375968992248062,0.42829457364341084,0.39341085271317827,0.5813953488372093,0.0,0.0,0.0,0.0,2.1555522818898045,1.0742049023162488,0.34936595448227814,0.2637457431748856,1.7049992583518805,2.0603835499563883,3.5286358234494233,0.0,0.0,0.0,0.0,0.0,1.499065269123424,0.6666666666666666,0.7415019762845849,0.7218050468050468,0.6742880297583338,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.47676682472229,0.6818181818181818,0.6964389870016005,0.6607495069033531,0.673398850930255,-0.26733865419017483,0.6742880297583338,7e-05,3.5e-05,0.5,3.1137938499450684,3.833984375,12.709392070770264,11.051833391189575,11.592572927474976,12.71286392211914,48.066662311553955
6,2.7806942462921143,2.5680519425591757,1.4252448276031848,1.758164832758349,0.034744627990348394,0.202218918952831,0.9311609239805312,20.825765432313432,2.5274164222535633,1.0,0.0,21.0,0.05,0.1,0.5077519379844961,0.6821705426356589,0.5077519379844961,0.5058139534883721,0.6531007751937985,0.9311609239805312,1.0859680970509846,0.7763537551675525,0.202218918952831,1.933097855989323,1.174717293229214,0.32497932190118833,0.25578259936598846,1.6276714995849964,1.999867137088332,3.331841990005138,0.010399338810942894,0.0012789129734385846,0.006510686291771573,0.011999202935501586,0.16659210171810415,1.3942703117023816,0.7272727272727273,0.7988418117829883,0.7657305657305657,0.7298805344984011,0.7272727272727273,0.7272727272727273,0.7272727272727273,1.355858407237313,0.7348484848484849,0.7389370616835831,,,,0.7298805344984011,7e-05,3.5e-05,0.5,3.1147327423095703,3.833984375,13.36390733718872,11.708238124847412,11.769131660461426,0.0,36.84227967262268
7,2.737048542776773,2.3960737516713695,1.3272308679514153,1.6443737357161765,-0.07771334723504476,0.3642888186975967,0.86771141347431,20.41970579014268,2.4415351776849654,1.0,0.0,21.0,0.1,0.2,0.5562015503875969,0.7364341085271318,0.5562015503875969,0.5658914728682171,0.7112403100775194,0.86771141347431,0.9676950942902338,0.7677277440116519,0.3642888186975967,1.7668167380399482,1.0826126863790113,0.2902408256087192,0.2440709527148757,1.5841731110284494,1.9417523783306743,2.9732527289279673,0.018575413715700772,0.002440709458274204,0.012673385506279247,0.023301028624870056,0.29732528086318527,1.2153471383181484,0.7727272727272727,0.8324675324675324,0.7985347985347986,0.7630594727296869,0.7727272727272727,0.7727272727272727,0.7727272727272727,1.233048601584001,0.8106060606060606,0.8162345255399426,,,,0.7630594727296869,7e-05,3.5e-05,0.5,3.1147327423095703,3.833984375,13.363330364227295,11.934480428695679,11.611891984939575,0.0,36.90970277786255
8,2.736184375230656,2.263679548751476,1.3063331080037495,1.4728407471678977,-0.08474354748072666,0.497927866702856,0.8098124294053941,19.865088773328203,2.332108503296262,1.0,0.0,21.0,0.15,0.3,0.6569767441860465,0.7577519379844961,0.6569767441860465,0.6821705426356589,0.748062015503876,0.8098124294053941,0.9094141154062181,0.710210749081203,0.497927866702856,1.7400412559509277,1.195288551408191,0.2715145931687466,0.23555320293404336,1.5649558749309807,1.8721243115358575,2.6696064472198486,0.02606540116979632,0.003533297976435617,0.01877947065026261,0.03369823626654093,0.40044098330098526,1.163978321985765,0.7803030303030303,0.8330268496935163,0.7987993487993488,0.7745721099887768,0.7803030303030303,0.7803030303030303,0.7803030303030304,1.1673145294189453,0.803030303030303,0.8124475641029805,,,,0.7745721099887768,7e-05,3.5e-05,0.5,3.1147327423095703,3.833984375,13.196977138519287,11.512615203857422,11.492319107055664,0.0,36.20269536972046
9,2.691460232402003,2.0702542454697364,1.155918397182642,1.406670600868935,-0.09197854199771617,0.6487995441569838,0.7278260872477577,20.021239214165266,2.2118831816173734,1.0,0.0,21.0,0.2,0.4,0.6976744186046512,0.8255813953488372,0.6976744186046512,0.687984496124031,0.7945736434108527,0.7278260872477577,0.8167195093064081,0.6389326807998476,0.6487995441569838,1.7947837862857552,1.1393291700718016,0.256144710751467,0.22932592692763307,1.4501446263734685,1.8078006339627644,2.621490844460421,0.03278652457303779,0.004586518384776143,0.02320231505951216,0.04338721567115118,0.524298181367475,1.085238592191176,0.8257575757575758,0.8406552295441184,0.8216320716320717,0.7962538598811444,0.8257575757575758,0.8257575757575758,0.8257575757575757,1.101571505719965,0.8181818181818182,0.7980094430965867,,,,0.7962538598811444,7e-05,3.5e-05,0.5,3.1147327423095703,3.833984375,12.89344048500061,11.343822717666626,11.164585828781128,0.0,35.401849031448364
10,2.614992618560791,1.915593194407086,1.0875347741814547,1.2739361011704733,-0.10496340243708949,0.730888448482336,0.6905880059514727,18.71431729959887,2.1126534314382646,1.0,0.0,21.0,0.25,0.5,0.7693798449612403,0.8604651162790697,0.7693798449612403,0.7538759689922481,0.8468992248062015,0.6905880059514727,0.7999893540427798,0.5811866592793238,0.730888448482336,1.7142578141633855,1.1754874323689661,0.2457763046719307,0.22076800638853117,1.4362378841222718,1.701722272606783,2.323933387911597,0.039324207707893015,0.00551920025717727,0.02872475713144901,0.05105166674353356,0.5809833469778992,1.0601571039720015,0.8712121212121212,0.8820738440303658,0.8633292633292634,0.8303453111932444,0.8712121212121212,0.8712121212121212,0.8712121212121212,1.0810184424573726,0.8484848484848485,0.814524397744212,0.8560157790927022,0.849655303189742,-0.10213981010045414,0.8303453111932444,7e-05,3.5e-05,0.5,3.1147327423095703,3.833984375,13.067302942276001,11.053385972976685,11.002133846282959,12.588567018508911,47.711389780044556
11,2.6735900834549304,1.8550021260283713,1.0684086611104566,1.2101438378178797,-0.10507058005693347,0.8501091419264327,0.6744682448250907,18.386307760726574,2.057874162991842,1.0,0.0,21.0,0.3,0.6,0.7674418604651163,0.8527131782945736,0.7674418604651163,0.7926356589147286,0.8798449612403101,0.6744682448250907,0.7194476326306661,0.629488868372781,0.8501091419264327,1.5894408336905546,1.0702516187069029,0.2365446354067603,0.21266219470390055,1.342407270919445,1.6296430798464043,2.265003293059593,0.04541657024691271,0.006379865683875111,0.032217774626820586,0.05866714852840402,0.679501010928043,0.9781551848758351,0.8712121212121212,0.8843702593702594,0.9113451363451364,0.8851588643482171,0.8712121212121212,0.8712121212121212,0.8712121212121212,0.986651523546739,0.8712121212121212,0.8989226184628484,,,,0.8851588643482171,7e-05,3.5e-05,0.5,3.1147327423095703,3.833984375,13.103417873382568,11.508595943450928,11.136005163192749,0.0,35.748018980026245
12,2.6852580558422,1.7705572621766912,1.0195443754972413,1.1554044928661613,-0.1125865894434757,0.9484767872233724,0.6691259060587201,18.56559915320818,1.9746333133606684,1.0,0.0,21.0,0.35,0.7,0.7926356589147286,0.8875968992248062,0.7926356589147286,0.8488372093023255,0.9050387596899225,0.6691259060587201,0.7024964349610465,0.6357553828330267,0.9484767872233724,1.4222354583962018,1.1186139140018196,0.2284669986990995,0.20690459913985673,1.3181091352950696,1.548882473346799,2.1627800409183946,0.05117660916821901,0.007241660999783943,0.03690705686634363,0.0650530627300573,0.7569729976875837,0.9231696074659174,0.9242424242424242,0.9235688321895219,0.9226393976393977,0.9168703367614438,0.9242424242424242,0.9242424242424242,0.9242424242424242,0.9425119215791876,0.9242424242424242,0.9192978828422407,,,,0.9168703367614438,7e-05,3.5e-05,0.5,3.1147327423095703,3.833984375,12.863184213638306,11.105712890625,11.182340145111084,0.0,35.15123724937439
13,2.775466469831245,1.7559221567109573,1.0203097379484842,1.1317114746847818,-0.13058883198645227,1.0587209851242776,0.6529183103924706,18.9075194514075,1.9715524855114164,1.0,0.0,21.0,0.4,0.8,0.810077519379845,0.874031007751938,0.810077519379845,0.8585271317829457,0.8895348837209303,0.6529183103924706,0.7375798154444921,0.5682568010829744,1.0587209851242776,1.477035871771879,1.1054940861324931,0.21932726024195207,0.20154787842617478,1.2492004508195922,1.5025221719298252,2.115650925525399,0.05614778139563494,0.008061914942985358,0.0399744160646616,0.0721210646767949,0.8462603868440141,0.9052082408558239,0.9242424242424242,0.9162583095916429,0.9269536019536021,0.9113871242876681,0.9242424242424242,0.9242424242424242,0.9242424242424242,,,,,,,0.9113871242876681,7e-05,3.5e-05,0.5,3.1147327423095703,3.833984375,13.049309730529785,11.091797113418579,0.0,0.0,24.142090559005737
14,2.730651700219443,1.6476930851160094,0.9569701496944871,1.0626507124235465,-0.1337396603207602,1.123080543307371,0.6624288445427304,17.818614116934842,1.9238995881307692,1.0,0.0,21.0,0.45,0.9,0.8565891472868217,0.9011627906976745,0.8565891472868217,0.8604651162790697,0.8972868217054264,0.6624288445427304,0.7325378855069479,0.5923198120934623,1.123080543307371,1.4203799644181894,1.0336246157801428,0.21294303827507552,0.19751393795013428,1.1925371580345685,1.4232014362202134,1.987622346988944,0.0613275924914105,0.008888127628800481,0.04293133561001267,0.07685287885887679,0.8944300329962442,0.9302563504739241,0.9166666666666666,0.9111301044634378,0.9354192104192105,0.9141704769907351,0.9166666666666666,0.9166666666666666,0.9166666666666666,,,,,,,0.9141704769907351,7e-05,3.5e-05,0.5,3.1147327423095703,3.833984375,13.006115913391113,10.724809169769287,0.0,0.0,23.7309250831604
