epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,4.55927821306082,4.526408696785952,2.4674683931546335,2.4222826957702637,0.1095650470457398,0.0,0.0,30.862188681578026,0.0,1.0,0.0,0.0,0.0,0.0,0.24786324786324787,0.24572649572649571,0.24786324786324787,0.2264957264957265,0.2692307692307692,0.0,0.0,0.0,0.0,0.5135263617222126,0.556434052112775,0.360021452109019,0.2661433968788538,1.726491582699311,2.0726626408405795,4.894617447486291,0.0,0.0,0.0,0.0,0.0,1.8768170475959778,0.2833333333333333,0.478578154425612,0.5291556976074474,0.38648294483647255,0.2833333333333333,0.2833333333333333,0.2833333333333333,1.9561064958572387,0.275,0.38868389354984906,0.1956989247311828,0.30973732155576733,0.03079680176454369,0.38648294483647255,0.0001,3.5e-05,0.35,3.1140990257263184,3.833984375,22.79124426841736,11.06166124343872,11.12401533126831,12.162687063217163,57.13960790634155
2,2.9033075815592055,2.919660666050055,1.629459595068907,1.517883572822962,-0.05451030694903471,0.0,0.0,24.18438231639373,0.0,1.0,0.0,0.0,0.0,0.0,0.5641025641025641,0.5064102564102564,0.5641025641025641,0.48504273504273504,0.47649572649572647,0.0,0.0,0.0,0.0,0.4766878558275027,0.5363636834499164,0.36054660341678524,0.2666680277922215,1.6327456969481249,1.9737867667124822,3.2920534182817507,0.0,0.0,0.0,0.0,0.0,1.510792511701584,0.4583333333333333,0.6579753212336705,0.7046872798463466,0.5646057183557183,0.4583333333333333,0.4583333333333333,0.4583333333333333,1.6358509302139281,0.36666666666666664,0.4950187256840772,,,,0.5646057183557183,0.0001,3.5e-05,0.35,3.1137938499450684,3.833984375,11.47694182395935,10.84568977355957,11.959791421890259,0.0,34.28242301940918
3,2.3501398166020713,2.3672682444254556,1.2460113886075141,1.3191256614831777,-0.05709472790551491,0.0,0.0,22.98944986783541,0.0,1.0,0.0,0.0,0.0,0.0,0.6410256410256411,0.6645299145299145,0.6410256410256411,0.6153846153846154,0.6837606837606838,0.0,0.0,0.0,0.0,0.4681200003012633,0.48402516887738156,0.35949302178162795,0.2650535687422141,1.5703242436433449,1.876712108269716,2.6268076254771304,0.0,0.0,0.0,0.0,0.0,1.1627158164978026,0.6333333333333333,0.656540404040404,0.7765690698484973,0.6252003374335692,0.6333333333333333,0.6333333333333333,0.6333333333333333,1.2600830078125,0.6083333333333333,0.622997477976698,,,,0.6252003374335692,0.0001,3.5e-05,0.35,3.1137938499450684,3.833984375,12.264282464981079,11.20163106918335,10.92521595954895,0.0,34.39112949371338
4,1.9654108255337446,1.8173266496413794,0.965816230345995,1.0017769367266924,-0.06279356395586944,0.16692226169965205,0.0,20.579128020848984,0.0,1.0,0.0,0.0,0.0,0.125,0.7756410256410257,0.7799145299145299,0.7756410256410257,0.7393162393162394,0.7735042735042735,0.0,0.0,0.0,0.16692226169965205,0.4824270789439862,0.5144311965276034,0.33091698243067813,0.25439953001645893,1.5040287574132283,1.7608529726664226,2.101904725417113,0.01323667896959262,0.0015899970864829344,0.007520143659068988,0.013206396992198931,0.13136904533856955,1.069732117652893,0.7166666666666667,0.7162698412698413,0.838629689504557,0.6783207070707071,0.7166666666666667,0.7166666666666667,0.7166666666666667,1.1047165930271148,0.7083333333333334,0.666424878144827,,,,0.6783207070707071,0.0001,3.5e-05,0.35,3.1137938499450684,3.833984375,11.702694654464722,11.040943622589111,11.14999508857727,0.0,33.8936333656311
5,1.9151271612216265,1.6206698478796544,0.8633825931793604,0.890926141005296,-0.019905474132452257,0.30042894375629914,0.0,19.719759623209637,0.0,1.0,0.0,0.0,0.0,0.25,0.8183760683760684,0.8269230769230769,0.8183760683760684,0.8141025641025641,0.8183760683760684,0.0,0.0,0.0,0.30042894375629914,0.46627028859578645,0.4982894552059663,0.28977751884704983,0.2373326546870745,1.3973504595267467,1.6602428234540498,1.8832234969505897,0.023182200888792675,0.002966658224184544,0.013973504257125732,0.02490364172710822,0.2354029371188237,1.090291440486908,0.675,0.6869609557109557,0.8170898560612241,0.6758483653336596,0.675,0.675,0.675,1.1206704795360565,0.65,0.6486515782455681,0.6860215053763441,0.6690837159828205,0.12808105872622,0.6758483653336596,0.0001,3.5e-05,0.35,3.1137938499450684,3.833984375,11.61388635635376,11.088599443435669,11.280581951141357,12.320409536361694,46.30347728729248
6,1.8214151920416417,1.4314986834159265,0.761942330079201,0.7877133427522122,0.0455743378171554,0.37624420263828373,0.9415958210041648,19.261563129914112,2.410275383999473,1.0,0.0,19.0,0.05,0.375,0.8525641025641025,0.8717948717948718,0.8525641025641025,0.8739316239316239,0.8611111111111112,0.9415958210041648,0.9452973133639285,0.9378943255073146,0.37624420263828373,0.4328908901184033,0.56235154851889,0.26337629824112624,0.22766337409997597,1.2380471902015882,1.5085959679041154,1.5259443521499634,0.031605154992296144,0.004268688436311025,0.018570707275126226,0.03394341053297886,0.2861145658370776,0.9262481302022934,0.7666666666666667,0.8218524251805985,0.8898619937856417,0.8205436056998557,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.9287762641906738,0.775,0.8139430014430015,,,,0.8205436056998557,0.0001,3.5e-05,0.35,3.1147327423095703,3.833984375,11.920020818710327,11.153547048568726,11.082438468933105,0.0,34.15700554847717
7,1.6982434223859737,1.260397576368772,0.694739261498818,0.6654803500725672,-0.04556078234544167,0.45151407902057356,0.8457379466608951,17.596996013934795,2.191335627907201,1.0,0.0,19.0,0.1,0.5,0.905982905982906,0.8910256410256411,0.905982905982906,0.9081196581196581,0.9081196581196581,0.8457379466608951,0.8464422665144268,0.8450336236702768,0.45151407902057356,0.4686225889584957,0.6077291675103016,0.24220547958826408,0.21881427749609336,1.1613681285809248,1.4000578782497308,1.3531780548584766,0.03875287574453232,0.005470357035310605,0.023227362129359674,0.04200173551455522,0.33829451371461916,0.8573194146156311,0.825,0.7639880952380953,0.9105513389049974,0.8018569385610218,0.825,0.825,0.825,,,,,,,0.8018569385610218,0.0001,3.5e-05,0.35,3.1147327423095703,3.833984375,11.727431058883667,11.042552471160889,0.0,0.0,22.77098298072815
8,1.6636188060809405,1.1558716816779895,0.6177144455604064,0.6331261449899429,-0.035207950533964694,0.5183095099070133,0.8257581717089603,16.44536947592711,2.159922725275943,1.0,0.0,19.0,0.15,0.625,0.9102564102564102,0.9252136752136753,0.9102564102564102,0.9252136752136753,0.9081196581196581,0.8257581717089603,0.7804225055794967,0.8710938347013373,0.5183095099070133,0.5434546080919412,0.6378750587121035,0.22979149107749647,0.21139476620233977,1.0658569626319103,1.3001047403384478,1.2292569187971263,0.04595829909428572,0.006606086443823118,0.026646424419222735,0.04875392982592949,0.3841427870285817,0.6075270265340805,0.9333333333333333,0.8592171717171717,0.951317306765345,0.8922883168418883,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.6140986531972885,0.9333333333333333,0.8922883168418883,,,,0.8922883168418883,0.0001,3.5e-05,0.35,3.1147327423095703,3.833984375,12.036734819412231,11.025748014450073,11.212459087371826,0.0,34.27494192123413
9,1.6370574633280437,1.0553072706246986,0.5637865517383966,0.578259656062493,0.05113381247680921,0.5664100578198066,0.7857867322470012,14.34931682317685,2.033071047381351,0.9743589743589743,0.0,19.0,0.2,0.75,0.9508547008547008,0.9572649572649573,0.9508547008547008,0.9508547008547008,0.9465811965811965,0.7857867322470012,0.7651585120903818,0.8064149492665341,0.5664100578198066,0.5734819754576072,0.682685605990581,0.21638670563697815,0.20310650116358048,0.9829339660131015,1.1833035028897798,1.1075490758969233,0.05193280801177025,0.007616494065867021,0.029488018307930384,0.05324865982700617,0.41533090594487315,0.5730741560459137,0.95,0.8878205128205129,0.968115725737677,0.9213106833642547,0.95,0.95,0.9500000000000001,0.5587726891040802,0.95,0.92229674244167,,,,0.9213106833642547,0.0001,3.5e-05,0.35,3.1147327423095703,3.833984375,11.937394857406616,10.904021501541138,10.784111499786377,0.0,33.62552785873413
10,1.6687848567962646,1.0376883791043208,0.5659535641853626,0.5549821227024763,-0.06470508980922975,0.650508001828805,0.8302052052397477,13.930650442074507,2.090097797544379,0.9487179487179487,0.0,19.0,0.25,0.875,0.9487179487179487,0.9529914529914529,0.9487179487179487,0.9743589743589743,0.9423076923076923,0.8302052052397477,0.8379311812551398,0.8224792323614422,0.650508001828805,0.5275524976925973,0.6788300994114999,0.20481101022316858,0.19425941315981057,0.897937380350553,1.0708362185038054,1.1119074729772715,0.05734708322546421,0.008498849132313179,0.03142780863130704,0.056218899881992586,0.48645951885443467,0.5957959294319153,0.9333333333333333,0.8823145604395605,0.9585003411222923,0.909155831363278,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.600663247704506,0.9333333333333333,0.9104166666666667,0.956989247311828,0.9303812837001018,0.017369727047146344,0.909155831363278,0.0001,3.5e-05,0.35,3.1147327423095703,3.833984375,11.83802056312561,11.008527040481567,11.013243198394775,12.283244132995605,46.14303493499756
