variant,domain,runs,best_val_acc_mean,best_val_acc_std,best_val_f1_mean,best_val_f1_std,best_train_full_acc_mean,best_train_full_acc_std,generalization_gap_mean,generalization_gap_std
full,逆光,6,0.990990990990991,0.012740662724081912,0.9921888810777699,0.011061268552347557,0.9722222222222222,0.03233901130016591,-0.01876876876876878,0.020294958543201656
full,雨天,6,0.9487179487179487,0.04796996649710182,0.9538591038591039,0.04633415884692672,0.9392361111111112,0.04436434839993277,-0.00948183760683761,0.027433104143457718
full,雾天,3,0.9823232323232324,0.0035712463696290246,0.9801605295579402,0.0040037447374240915,0.9901380670611439,0.008052234525914454,0.007814834737911633,0.011287161893423506
full,黑天,3,0.9777777777777777,0.007856742013183834,0.9730578806455196,0.001909335315371098,0.9899641577060931,0.006166541410066383,0.01218637992831543,0.004483869535195956
no_classification_feedback,逆光,3,0.990990990990991,0.012740662724081912,0.994681861348528,0.007520983807492234,0.9671717171717171,0.030512742357562076,-0.023819273819273845,0.03934910911098532
no_classification_feedback,雨天,3,0.6923076923076923,0.08308641921035718,0.7218956968956969,0.08309112206549044,0.6944444444444444,0.08391004148329563,0.002136752136752129,0.024280594396075883
no_classification_feedback,雾天,3,0.9797979797979798,0.0035712463696290246,0.979067103442543,0.002824928536374085,0.9934253780407627,0.005655703660120052,0.013627398242782843,0.0033964132718787726
no_classification_feedback,黑天,3,0.9361111111111111,0.049222347629637064,0.9208004356636049,0.05561910686652907,0.9612903225806452,0.023228461284615965,0.025179211469534057,0.02631328509313197
no_cycle,逆光,6,0.9954954954954955,0.01007237827702606,0.997340930674264,0.0059458597692302025,0.9810606060606061,0.010488161443078368,-0.014434889434889428,0.010444100355534702
no_cycle,雨天,4,0.875,0.11971057305758398,0.8967285029785029,0.10291142277467384,0.8776041666666667,0.0741616190932195,0.002604166666666685,0.0674990958883067
no_cycle,雾天,3,0.9848484848484849,0.006185580158543373,0.9831686844959198,0.004920116870941809,0.9914529914529915,0.0049199965638053,0.006604506604506584,0.010115036420002112
no_cycle,黑天,3,0.9777777777777777,0.007856742013183834,0.9673462548161343,0.0057085141509689765,0.9906810035842294,0.004418934769153385,0.012903225806451682,0.004187570410590622
no_identity,逆光,3,1.0,0.0,1.0,0.0,0.9924242424242424,0.006185580158543373,-0.007575757575757569,0.006185580158543373
no_identity,雨天,3,0.9358974358974359,0.09065471553673686,0.9512447429114096,0.06895034581167159,0.9027777777777778,0.0644001284409424,-0.03311965811965811,0.028135030090307024
no_identity,雾天,3,0.9747474747474748,0.014284985478516098,0.9765743756086845,0.00935159556558389,0.9868507560815253,0.005176862507568556,0.01210328133405055,0.013331633706610077
no_identity,黑天,3,0.9722222222222222,0.01039349274103869,0.9700863549018209,0.0054114672171841835,0.9842293906810036,0.009010612967725104,0.012007168458781359,0.013011665992807234
no_paired_contrastive,逆光,3,0.9819819819819819,0.025481325448163877,0.9871996316440761,0.018102454532318988,0.9873737373737373,0.0035712463696290246,0.005391755391755404,0.023896687139177714
no_paired_contrastive,雨天,3,0.9487179487179487,0.04796996649710183,0.9607244607244607,0.03302016818292404,0.9166666666666666,0.05953620902598,-0.03205128205128205,0.0153851718204216
no_paired_contrastive,雾天,3,0.9823232323232324,0.009448629764580652,0.9817183669669359,0.0067764096250702895,0.9927679158448389,0.0060970535802075424,0.010444683521606582,0.012766218874019025
no_paired_contrastive,黑天,3,0.9805555555555555,0.003928371006591917,0.9774884386203432,0.004717625960124216,0.9885304659498207,0.0010137731629914861,0.00797491039426527,0.0045213174951766535
no_prototype_contrastive,逆光,3,0.990990990990991,0.012740662724081912,0.994681861348528,0.007520983807492234,0.9797979797979798,0.0035712463696290246,-0.011193011193011193,0.011383243904149356
no_prototype_contrastive,雨天,3,0.8717948717948718,0.06537204504606135,0.9049145299145299,0.042120261357261,0.875,0.0837662366792696,0.0032051282051281937,0.04406808462619047
no_prototype_contrastive,雾天,3,0.9848484848484849,0.010713739108887075,0.9837178554698771,0.007732300739351562,0.9953977646285338,0.0033524125664647015,0.010549279780048973,0.008730127925388735
no_prototype_contrastive,黑天,3,0.975,0.006804138174397693,0.972140542706795,0.007595573172218333,0.9935483870967742,0.0017559066256510132,0.018548387096774237,0.007831151618795966
