epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,5.553059220314026,5.60436487197876,3.430199980735779,3.344869375228882,-0.17101861722767353,0.0,0.0,18.090055465698242,0.0,1.0,0.0,0.0,0.0,0.0546875,0.06640625,0.0546875,0.07421875,0.078125,0.0,0.0,0.0,0.0,0.9794839918613434,1.7225503027439117,0.3567031994462013,0.2704436555504799,2.140654444694519,2.1878870725631714,6.603989958763123,0.0,0.0,0.0,0.0,0.0,2.6482927799224854,0.21621621621621623,0.08126984126984127,0.2222222222222222,0.1114594218042494,0.21621621621621623,0.21621621621621623,0.21621621621621623,2.633847236633301,0.16216216216216217,0.06376811594202898,0.12878787878787878,0.06356245380635624,-0.054569128787878785,0.1114594218042494,7e-05,3.5e-05,0.5,53.14738583564758
2,4.704874753952026,4.694231748580933,2.8637399673461914,2.816141366958618,0.035476519260555506,0.0,0.0,15.428904056549072,0.0,1.0,0.0,0.0,0.0,0.1640625,0.1796875,0.1640625,0.140625,0.125,0.0,0.0,0.0,0.0,0.9144232720136642,1.7470764517784119,0.35582470893859863,0.2703971788287163,2.066928803920746,2.18438720703125,5.6633219718933105,0.0,0.0,0.0,0.0,0.0,2.462270736694336,0.1891891891891892,0.10777777777777778,0.2037037037037037,0.12880861156723225,0.1891891891891892,0.1891891891891892,0.18918918918918917,2.434566020965576,0.1891891891891892,0.11789987789987791,0.19696969696969696,0.13075684380032207,-0.05634469696969696,0.12880861156723225,7e-05,3.5e-05,0.5,54.04404330253601
3,4.205075442790985,4.180517852306366,2.549181342124939,2.5097485780715942,0.08185870805755258,0.0,0.0,13.409705400466919,0.0,1.0,0.0,0.0,0.0,0.2109375,0.203125,0.2109375,0.18359375,0.25,0.0,0.0,0.0,0.0,0.8916735500097275,1.6348687708377838,0.3544822633266449,0.2698393389582634,2.071500390768051,2.1416707634925842,5.1345977783203125,0.0,0.0,0.0,0.0,0.0,2.315368413925171,0.13513513513513514,0.12698412698412698,0.14814814814814814,0.08333333333333333,0.13513513513513514,0.13513513513513514,0.13513513513513514,2.2434818744659424,0.21621621621621623,0.1693121693121693,0.16666666666666666,0.0940100825252589,0.016927083333333343,0.08333333333333333,7e-05,3.5e-05,0.5,52.264758825302124
4,3.9430190324783325,3.90675950050354,2.4021763801574707,2.3147432804107666,0.1208648607134819,0.0,0.0,12.586957454681396,0.0,1.0,0.0,0.0,0.0,0.33203125,0.27734375,0.33203125,0.234375,0.2265625,0.0,0.0,0.0,0.0,0.8312176465988159,1.557301253080368,0.35279934853315353,0.26931698620319366,2.0513120889663696,2.116865813732147,4.927649617195129,0.0,0.0,0.0,0.0,0.0,2.1657660007476807,0.32432432432432434,0.28286528286528284,0.3055555555555556,0.22677317840716535,0.32432432432432434,0.32432432432432434,0.32432432432432434,2.0986063480377197,0.2702702702702703,0.1730319063652397,0.21212121212121213,0.1606005106005106,0.022253787878787873,0.22677317840716535,7e-05,3.5e-05,0.5,54.60192036628723
5,3.6813844442367554,3.6321813464164734,2.186236262321472,2.2245309948921204,0.16401038318872452,0.0,0.0,11.577904462814331,0.0,1.0,0.0,0.0,0.0,0.3359375,0.3515625,0.3359375,0.33984375,0.28125,0.0,0.0,0.0,0.0,0.8096260875463486,1.5557541251182556,0.3533649444580078,0.26831502467393875,2.0173844397068024,2.1090307235717773,4.492326140403748,0.0,0.0,0.0,0.0,0.0,1.915037751197815,0.3783783783783784,0.4893029675638372,0.4259259259259259,0.3931631586804001,0.3783783783783784,0.3783783783783784,0.37837837837837834,1.8662300109863281,0.4594594594594595,0.4031746031746032,0.32575757575757575,0.39608137151996803,0.014086174242424254,0.3931631586804001,7e-05,3.5e-05,0.5,53.69836950302124
6,3.651423215866089,3.35036039352417,2.052772581577301,1.9962891042232513,0.15241361781954765,0.25533875823020935,0.8765258193016052,11.302179336547852,1.95480877161026,1.0,0.0,0.05,0.1,0.4140625,0.3671875,0.4140625,0.3828125,0.359375,0.8765258193016052,0.8881192207336426,0.8649323582649231,0.25533875823020935,0.8416585177183151,1.4838505387306213,0.35216405242681503,0.26816071569919586,2.0199241936206818,2.0891953706741333,4.235532283782959,0.011269250186160207,0.001340803544735536,0.008079697145149112,0.01880275784060359,0.21177661418914795,1.5760130882263184,0.6216216216216216,0.8314814814814815,0.7222222222222221,0.7308641975308643,0.6216216216216216,0.6216216216216216,0.6216216216216216,1.545575499534607,0.6486486486486487,0.7368606701940036,0.5227272727272727,0.6005554473897061,-0.1399147727272727,0.7308641975308643,7e-05,3.5e-05,0.5,56.39401364326477
7,3.7114383578300476,3.1771900057792664,1.9696485698223114,1.857756108045578,0.18298344314098358,0.47935332357883453,0.8295713067054749,10.860543966293335,1.7759547233581543,1.0,0.0,0.1,0.2,0.46875,0.4296875,0.46875,0.4375,0.3828125,0.8295713067054749,0.8470574915409088,0.8120851516723633,0.47935332357883453,0.8483846485614777,1.5752989053726196,0.3498643711209297,0.2667246460914612,1.9818754196166992,2.0533223152160645,3.929970622062683,0.022391320671886206,0.002667246328201145,0.015855004312470555,0.03695979993790388,0.39299706369638443,1.3404425382614136,0.7837837837837838,0.8452380952380953,0.8194444444444443,0.8000712250712252,0.7837837837837838,0.7837837837837838,0.7837837837837838,1.3176718950271606,0.7837837837837838,0.7831773165106499,0.7954545454545454,0.80302869736832,-0.3579545454545454,0.8000712250712252,7e-05,3.5e-05,0.5,53.16176414489746
8,3.74521005153656,2.9821847081184387,1.8524126410484314,1.738110899925232,0.25616803765296936,0.6861749291419983,0.902977705001831,10.98304796218872,1.777249038219452,1.0,0.0,0.15,0.3,0.51171875,0.5,0.51171875,0.54296875,0.46875,0.902977705001831,0.9122624695301056,0.8936929106712341,0.6861749291419983,0.8727760463953018,1.5514223873615265,0.34491613507270813,0.26513583958148956,1.8929129540920258,2.032474398612976,3.7251139879226685,0.03311194945126772,0.003977037500590086,0.022714955732226372,0.05487681087106466,0.5587671399116516,1.2025713920593262,0.8648648648648649,0.8637566137566137,0.8981481481481483,0.8533096533096534,0.8648648648648649,0.8648648648648649,0.8648648648648649,1.184971570968628,0.8378378378378378,0.8507936507936509,0.8484848484848485,0.849902864913112,-0.3055160984848485,0.8533096533096534,7e-05,3.5e-05,0.5,53.464433908462524
9,3.869655191898346,2.9218400716781616,1.8162417113780975,1.7009207010269165,0.24229691177606583,0.8751260340213776,0.8154188394546509,11.45798945426941,1.8267894983291626,1.0,0.0,0.2,0.4,0.51171875,0.47265625,0.51171875,0.51953125,0.51953125,0.8154188394546509,0.8039988577365875,0.8268388509750366,0.8751260340213776,0.892654687166214,1.4984641373157501,0.3394066244363785,0.26278596371412277,1.9144574999809265,2.011824309825897,3.533157169818878,0.043444049544632435,0.005255719181150198,0.030631321016699076,0.07242567092180252,0.7066314518451691,1.1497712135314941,0.8918918918918919,0.9156084656084656,0.9120370370370371,0.9002713336046669,0.8918918918918919,0.8918918918918919,0.8918918918918919,1.1554712057113647,0.7837837837837838,0.7800347800347801,0.8484848484848485,0.846983402987936,-0.3289535984848485,0.9002713336046669,7e-05,3.5e-05,0.5,51.874311685562134
10,3.8522921800613403,2.769433856010437,1.6760962307453156,1.6820580959320068,0.16459299623966217,1.0334804952144623,0.8438546359539032,11.11064887046814,1.7561148405075073,1.0,0.0,0.25,0.5,0.5390625,0.546875,0.5390625,0.578125,0.5625,0.8438546359539032,0.833745002746582,0.853964239358902,1.0334804952144623,0.8951048851013184,1.4450522065162659,0.33469903469085693,0.2608771324157715,1.901294320821762,1.9748517870903015,3.304144501686096,0.05355184432119131,0.006521928473375738,0.03802588488906622,0.08886833488941193,0.826036125421524,1.075925350189209,0.918918918918919,0.9063492063492065,0.9537037037037037,0.9160962494295828,0.918918918918919,0.918918918918919,0.918918918918919,1.0929934978485107,0.7837837837837838,0.7884818884818885,0.8257575757575758,0.831482177222519,-0.2476325757575758,0.9160962494295828,7e-05,3.5e-05,0.5,55.540271520614624
