epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,5.093473851680756,5.121914207935333,3.061660408973694,3.169621467590332,-0.09480121452361345,0.0,0.0,15.529786467552185,0.0,1.0,0.0,0.0,0.0,0.080078125,0.10546875,0.080078125,0.109375,0.107421875,0.0,0.0,0.0,0.0,0.489566657692194,1.1829174160957336,0.3524996340274811,0.2654615268111229,2.130773365497589,2.1978719532489777,6.2003971338272095,0.0,0.0,0.0,0.0,0.0,2.4337757428487143,0.09848484848484848,0.14889637111859333,0.06631393298059965,0.05951104613385315,0.09848484848484848,0.09848484848484848,0.09848484848484848,2.514130194981893,0.06818181818181818,0.04533106960950764,0.08875739644970414,0.05362173592755272,0.020617603550295863,0.05951104613385315,7e-05,3.5e-05,0.5,159.24680280685425
2,4.236328125,4.251404523849487,2.4665561616420746,2.745920807123184,-0.05025462666526437,0.0,0.0,12.471231341362,0.0,1.0,0.0,0.0,0.0,0.154296875,0.25,0.154296875,0.140625,0.263671875,0.0,0.0,0.0,0.0,0.47934459522366524,1.006214700639248,0.3527006171643734,0.2656956873834133,2.138963371515274,2.2062661945819855,5.306137144565582,0.0,0.0,0.0,0.0,0.0,2.114666700363159,0.25,0.14025500910746813,0.17738434405101072,0.14744131570756958,0.25,0.25,0.25,2.159635901451111,0.2727272727272727,0.1834971232595001,0.2504930966469428,0.14089516979806638,-0.1098680966469428,0.14744131570756958,7e-05,3.5e-05,0.5,135.41466236114502
3,3.869104027748108,3.8835122883319855,2.1677579283714294,2.639622211456299,-0.04802743345499039,0.0,0.0,11.417991280555725,0.0,1.0,0.0,0.0,0.0,0.185546875,0.330078125,0.185546875,0.197265625,0.302734375,0.0,0.0,0.0,0.0,0.44218742474913597,0.9646479412913322,0.3528539277613163,0.26623738557100296,2.1036289632320404,2.1836061477661133,4.721651673316956,0.0,0.0,0.0,0.0,0.0,2.087242841720581,0.3409090909090909,0.1949406249256324,0.2197802197802198,0.18675775846318482,0.3409090909090909,0.3409090909090909,0.3409090909090909,2.130070447921753,0.3181818181818182,0.21044375530522264,0.388560157790927,0.2807561063561365,-0.191294532790927,0.18675775846318482,7e-05,3.5e-05,0.5,140.19542145729065
4,3.5680792033672333,3.586619257926941,1.9818968325853348,2.468803822994232,-0.06180023052729666,0.0,0.0,10.627586603164673,0.0,1.0,0.0,0.0,0.0,0.208984375,0.419921875,0.208984375,0.271484375,0.443359375,0.0,0.0,0.0,0.0,0.4449920020997524,0.8298064023256302,0.35427479445934296,0.26558103784918785,2.1021976470947266,2.1710828244686127,4.480295479297638,0.0,0.0,0.0,0.0,0.0,1.941731055577596,0.42424242424242425,0.3305732766259082,0.3257190340523674,0.3040529370791181,0.42424242424242425,0.42424242424242425,0.4242424242424243,1.9987643559773762,0.4393939393939394,0.3453293043234528,0.4457593688362919,0.3695675503894315,-0.1742749938362919,0.3040529370791181,7e-05,3.5e-05,0.5,205.41110277175903
5,3.270545184612274,3.2837541699409485,1.7866989523172379,2.303162008523941,-0.04402995645068586,0.0,0.0,10.264907479286194,0.0,1.0,0.0,0.0,0.0,0.294921875,0.49609375,0.294921875,0.267578125,0.47265625,0.0,0.0,0.0,0.0,0.48006462305784225,0.928714208304882,0.35488128289580345,0.2666137032210827,2.0805584490299225,2.157798796892166,4.300648510456085,0.0,0.0,0.0,0.0,0.0,1.779495080312093,0.553030303030303,0.5878306878306878,0.4601478768145435,0.4656062245736863,0.553030303030303,0.553030303030303,0.553030303030303,1.8060140212376912,0.5681818181818182,0.5208967694860386,0.5739644970414202,0.5377295032057627,-0.30638637204142016,0.4656062245736863,7e-05,3.5e-05,0.5,125.42914509773254
6,3.309190422296524,3.0678307116031647,1.6953614801168442,2.1114912629127502,-0.00796362990513444,0.2437488306313753,0.8049153387546539,10.283583521842957,1.6063428819179535,1.0,0.0,0.05,0.1,0.3515625,0.541015625,0.3515625,0.3046875,0.521484375,0.8049153387546539,0.8658349215984344,0.7439957559108734,0.2437488306313753,0.5058742687106133,0.8877640962600708,0.35212567076087,0.26429498940706253,2.0618303418159485,2.130398154258728,4.0259911715984344,0.011268022004514933,0.0013214749342296273,0.008247321704402566,0.019173582550138235,0.20129956118762493,1.5654406150182087,0.5075757575757576,0.5735034754642598,0.42656355989689326,0.43741884381597196,0.5075757575757576,0.5075757575757576,0.5075757575757576,1.5825262467066448,0.5606060606060606,0.5215514882181549,0.5483234714003945,0.5118332259497831,-0.2436359714003945,0.43741884381597196,7e-05,3.5e-05,0.5,142.78755068778992
7,3.4118738174438477,2.967497795820236,1.6181777864694595,2.075876906514168,-0.014501902624033391,0.4487265273928642,0.7591901868581772,10.521027326583862,1.5178276896476746,1.0,0.0,0.1,0.2,0.380859375,0.55859375,0.380859375,0.384765625,0.57421875,0.7591901868581772,0.8269471377134323,0.6914332509040833,0.4487265273928642,0.4584714360535145,0.9136921465396881,0.34269437938928604,0.26021376997232437,2.0170280039310455,2.0984869599342346,3.65480375289917,0.02193244150839746,0.002602137654321268,0.016136224614456296,0.03777276258915663,0.36548038572072983,1.5426771640777588,0.5606060606060606,0.6096360538517402,0.5200413783747116,0.4888474888474888,0.5606060606060606,0.5606060606060606,0.5606060606060606,1.5939255555470784,0.5833333333333334,0.49564241633207146,0.631163708086785,0.6325231858501336,-0.246398083086785,0.4888474888474888,7e-05,3.5e-05,0.5,220.7759292125702
8,3.4857702553272247,2.819356292486191,1.5510715693235397,1.9512073695659637,0.06242643063887954,0.6476860791444778,0.7724782675504684,10.90740954875946,1.484630137681961,1.0,0.0,0.15,0.3,0.41796875,0.626953125,0.41796875,0.4140625,0.634765625,0.7724782675504684,0.8520593643188477,0.6928971707820892,0.6476860791444778,0.5153904296457767,0.9037929698824883,0.3309152163565159,0.25557930395007133,1.9994502514600754,2.0717054307460785,3.498028874397278,0.03176786098629236,0.00383368949405849,0.023993402952328324,0.05593604827299714,0.5247043594717979,1.4530116319656372,0.6893939393939394,0.7487595250753146,0.7222832722832722,0.6971880867042157,0.6893939393939394,0.6893939393939394,0.6893939393939394,1.480822006861369,0.696969696969697,0.6746383659262746,0.717948717948718,0.7145241769169378,-0.30388621794871795,0.6971880867042157,7e-05,3.5e-05,0.5,168.68688988685608
9,3.5328885912895203,2.6833325624465942,1.4813989251852036,1.8491286933422089,0.015583640895783901,0.8448809236288071,0.7892155200242996,11.510786056518555,1.494830697774887,1.0,0.0,0.2,0.4,0.486328125,0.630859375,0.486328125,0.423828125,0.61328125,0.7892155200242996,0.8250388950109482,0.7533921599388123,0.8448809236288071,0.49469248950481415,0.8372095599770546,0.3199196271598339,0.2516148779541254,1.9804066568613052,2.045455425977707,3.421263486146927,0.0409497139044106,0.005032297456637025,0.031686507631093264,0.07363639306277037,0.6842527016997337,1.3254530032475789,0.7575757575757576,0.7805555555555554,0.8033984533984534,0.7613068956052428,0.7575757575757576,0.7575757575757576,0.7575757575757576,1.345751166343689,0.7575757575757576,0.739411877046872,0.7396449704142012,0.7473405911051987,-0.3158168454142012,0.7613068956052428,7e-05,3.5e-05,0.5,186.03199553489685
10,3.5294032990932465,2.51983779668808,1.4156909584999084,1.6986874490976334,0.032698955619707704,0.9997558146715164,0.7589104771614075,11.946097373962402,1.4451697766780853,1.0,0.0,0.25,0.5,0.53125,0.6796875,0.53125,0.49609375,0.681640625,0.7589104771614075,0.7735863775014877,0.7442345917224884,0.9997558146715164,0.5543313249945641,0.8279718086123466,0.3090742528438568,0.24770253337919712,1.9119195342063904,1.9908438622951508,3.2167594134807587,0.04945187922567129,0.00619256345089525,0.03823838988319039,0.08958797808736563,0.8041898533701897,1.253614902496338,0.7651515151515151,0.9079695767195768,0.7504002170668838,0.7951212146096273,0.7651515151515151,0.7651515151515151,0.765151515151515,1.2710004250208538,0.7954545454545454,0.7985701160705058,0.7830374753451677,0.8101198399267582,-0.28694372534516766,0.7951212146096273,7e-05,3.5e-05,0.5,209.0136387348175
