epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,5.243516504764557,5.152718901634216,3.000312775373459,3.311394304037094,0.30265853367745876,0.0,0.0,15.835405826568604,0.0,1.0,0.0,0.0,0.0,0.091796875,0.125,0.091796875,0.08203125,0.109375,0.0,0.0,0.0,0.0,0.6232713609933853,0.5421942733228207,0.3629365600645542,0.2710915505886078,2.0180410891771317,2.082945376634598,6.464914798736572,0.0,0.0,0.0,0.0,0.0,2.8306081295013428,0.175,0.1492059426229508,0.20501094434021264,0.09511107019589621,0.175,0.175,0.175,2.7564265727996826,0.2,0.1149813925004711,0.11612903225806452,0.055057477119521844,-0.03409778225806452,0.09511107019589621,7e-05,3.5e-05,0.5,105.24628615379333
2,4.2049660086631775,4.155828297138214,2.4132420122623444,2.6809021830558777,0.1637924900278449,0.0,0.0,12.24423062801361,0.0,1.0,0.0,0.0,0.0,0.2265625,0.251953125,0.2265625,0.154296875,0.294921875,0.0,0.0,0.0,0.0,0.5669505298137665,0.4738536514341831,0.36378536000847816,0.2710883356630802,1.9935147911310196,2.054622560739517,5.095273673534393,0.0,0.0,0.0,0.0,0.0,2.567450761795044,0.14166666666666666,0.19302721088435373,0.2700515947467167,0.08197567177130446,0.14166666666666666,0.14166666666666666,0.14166666666666666,2.5163878202438354,0.15,0.109321853609129,0.1032258064516129,0.058625762066129045,0.0510710685483871,0.08197567177130446,7e-05,3.5e-05,0.5,105.70638370513916
3,3.619123637676239,3.6077566742897034,2.097424164414406,2.32358855009079,0.03788995440118015,0.0,0.0,10.97784674167633,0.0,1.0,0.0,0.0,0.0,0.27734375,0.357421875,0.27734375,0.294921875,0.349609375,0.0,0.0,0.0,0.0,0.5512366369366646,0.479682132601738,0.36478960141539574,0.2708568349480629,1.9276299625635147,2.0084086060523987,4.424965143203735,0.0,0.0,0.0,0.0,0.0,2.1691272258758545,0.21666666666666667,0.2725765626307422,0.31635894593211666,0.15333122142715166,0.21666666666666667,0.21666666666666667,0.21666666666666667,2.0737422704696655,0.25,0.18745808341225578,0.18064516129032257,0.1272993739732502,0.11427671370967743,0.15333122142715166,7e-05,3.5e-05,0.5,107.02990078926086
4,3.2337941229343414,3.2373028695583344,1.8807909786701202,2.0869414657354355,-0.011695662629790604,0.0,0.0,10.539807081222534,0.0,1.0,0.0,0.0,0.0,0.353515625,0.451171875,0.353515625,0.353515625,0.39453125,0.0,0.0,0.0,0.0,0.597280316054821,0.4786936938762665,0.36690324544906616,0.2707456238567829,1.8685811311006546,1.952194169163704,4.035353630781174,0.0,0.0,0.0,0.0,0.0,1.8650609850883484,0.38333333333333336,0.5099723193473193,0.6052544960783296,0.45545908012121317,0.38333333333333336,0.38333333333333336,0.38333333333333336,1.7527241706848145,0.5083333333333333,0.539875992063492,0.35053763440860214,0.3973141198210817,0.002977990591397861,0.45545908012121317,7e-05,3.5e-05,0.5,106.36581993103027
5,2.9441888332366943,2.9644598066806793,1.7568101286888123,1.8579226285219193,-0.06756976339966059,0.0,0.0,9.969086766242981,0.0,1.0,0.0,0.0,0.0,0.484375,0.517578125,0.484375,0.455078125,0.5078125,0.0,0.0,0.0,0.0,0.6318974867463112,0.514294046908617,0.36760926991701126,0.27025149017572403,1.831275686621666,1.9060953855514526,3.6366730630397797,0.0,0.0,0.0,0.0,0.0,1.780465006828308,0.4583333333333333,0.5769711293608353,0.7101395588769661,0.5205521905731989,0.4583333333333333,0.4583333333333333,0.4583333333333333,1.6858971118927002,0.5,0.5527431741707547,0.4,0.47046326861108034,0.05507812499999998,0.5205521905731989,7e-05,3.5e-05,0.5,103.94327974319458
6,2.851148933172226,2.6588956713676453,1.5714975148439407,1.6729202717542648,-0.04680513357743621,0.20629476942121983,0.9390539973974228,9.662803769111633,1.7291455268859863,1.0,0.0,0.05,0.1,0.54296875,0.603515625,0.54296875,0.541015625,0.5625,0.9390539973974228,0.812604695558548,1.0655033141374588,0.20629476942121983,0.621871329843998,0.5601435452699661,0.3627724088728428,0.2685998007655144,1.8115979582071304,1.8647332936525345,3.3449106216430664,0.011608717730268836,0.0013429989921860397,0.0072463921387679875,0.01678259903565049,0.16724553517997265,1.6162822842597961,0.5916666666666667,0.6317726370851371,0.7618358080148907,0.6009821428571429,0.5916666666666667,0.5916666666666667,0.5916666666666667,1.5533145666122437,0.5916666666666667,0.6063434271583894,0.5505376344086022,0.5752505210312808,-0.00952200940860215,0.6009821428571429,7e-05,3.5e-05,0.5,106.46519780158997
7,2.805184930562973,2.4381655752658844,1.4482486844062805,1.5229491144418716,-0.05950620933435857,0.3848711997270584,0.9488063007593155,9.813530564308167,1.7460068464279175,1.0,0.0,0.1,0.2,0.634765625,0.681640625,0.634765625,0.642578125,0.634765625,0.9488063007593155,0.8546407967805862,1.042971819639206,0.3848711997270584,0.6182078048586845,0.5523704215884209,0.3492504581809044,0.2631460875272751,1.7691659182310104,1.8191936016082764,3.0889187157154083,0.02235203026793897,0.0026314608403481543,0.014153328025713563,0.03274548379704356,0.3088918775320053,1.5758236050605774,0.5833333333333334,0.7097583462732919,0.7539899952910292,0.6440236403962806,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.5042630434036255,0.6166666666666667,0.6614471977504812,0.556989247311828,0.6249494148785832,0.08558887768817203,0.6440236403962806,7e-05,3.5e-05,0.5,107.3327534198761
8,2.7831217646598816,2.258781760931015,1.3259349167346954,1.4351491183042526,-0.028746635653078556,0.5329640693962574,0.8446003645658493,9.732863545417786,1.5339836776256561,1.0,0.0,0.15,0.3,0.673828125,0.7265625,0.673828125,0.640625,0.71484375,0.8446003645658493,0.7520779669284821,0.9371227622032166,0.5329640693962574,0.6927983909845352,0.576740600168705,0.33446379005908966,0.2577414736151695,1.7377694100141525,1.7785148173570633,2.8096746504306793,0.03210852388292551,0.0038661220169160515,0.02085323305800557,0.04801990045234561,0.42145121470093727,1.484463393688202,0.6166666666666667,0.6869243663424698,0.7679440290621362,0.6403629769808388,0.6166666666666667,0.6166666666666667,0.6166666666666667,1.435420572757721,0.7,0.6910443722943723,0.621505376344086,0.6435710389754146,0.01911962365591402,0.6403629769808388,7e-05,3.5e-05,0.5,107.51491212844849
9,2.770288974046707,2.1076646894216537,1.2410133183002472,1.3333098143339157,-0.017727868049405515,0.6679426580667496,0.8187264204025269,9.640878200531006,1.4631291627883911,1.0,0.0,0.2,0.4,0.70703125,0.7578125,0.70703125,0.73828125,0.76171875,0.8187264204025269,0.7118702232837677,0.9255826324224472,0.6679426580667496,0.6595863923430443,0.6629072725772858,0.3214183337986469,0.25313472002744675,1.660438820719719,1.7080923467874527,2.6221130788326263,0.04114154865965247,0.0050626942538656294,0.026567022316157818,0.06149132177233696,0.5244226269423962,1.4849790930747986,0.6,0.7053960133004251,0.7599651971835164,0.6555069930069931,0.6,0.6,0.6,1.4375728368759155,0.625,0.6711800573888093,0.5870967741935483,0.6525642452956382,0.15118447580645167,0.6555069930069931,7e-05,3.5e-05,0.5,107.03182625770569
10,2.740972548723221,1.9709429740905762,1.1688097417354584,1.234051138162613,-0.02519351290538907,0.7775875851511955,0.8232410997152328,10.0477774143219,1.384795367717743,1.0,0.0,0.25,0.5,0.77734375,0.796875,0.77734375,0.767578125,0.80078125,0.8232410997152328,0.7433003485202789,0.9031818509101868,0.7775875851511955,0.6821288764476776,0.6936765611171722,0.310099583119154,0.2489224560558796,1.6006018966436386,1.6392299085855484,2.4157316386699677,0.04961593262851238,0.006223061413038522,0.032012036768719554,0.07376534957438707,0.6039329096674919,1.2400147318840027,0.725,0.7515475387185915,0.819410854919206,0.731425951708354,0.725,0.725,0.7250000000000001,1.2184571027755737,0.7833333333333333,0.7672802624406189,0.7397849462365591,0.7426687304501756,0.027793178763440896,0.731425951708354,7e-05,3.5e-05,0.5,107.1030638217926
