epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,5.303002059459686,5.247644603252411,3.133774161338806,3.2521084249019623,0.18452460318803787,0.0,0.0,16.56662392616272,0.0,1.0,0.0,0.0,0.0,0.0859375,0.11328125,0.0859375,0.126953125,0.11328125,0.0,0.0,0.0,0.0,0.9395086914300919,0.347957793623209,0.3661128729581833,0.2707468420267105,2.032529890537262,2.083121806383133,6.360485911369324,0.0,0.0,0.0,0.0,0.0,2.7991772890090942,0.075,0.19653614457831325,0.07908707146512024,0.03651392521382625,0.075,0.075,0.075,2.7628315687179565,0.058333333333333334,0.024429690160027242,0.08602150537634409,0.035378810763082066,0.04093161962365591,0.03651392521382625,7e-05,3.5e-05,0.5,112.98169493675232
2,4.210077166557312,4.175687909126282,2.5052646100521088,2.569882184267044,0.11463088309392333,0.0,0.0,13.137372851371765,0.0,1.0,0.0,0.0,0.0,0.19140625,0.234375,0.19140625,0.2265625,0.224609375,0.0,0.0,0.0,0.0,0.9849079847335815,0.38431376963853836,0.37026292085647583,0.27154790982604027,1.9961863458156586,2.0813072323799133,5.1075931787490845,0.0,0.0,0.0,0.0,0.0,2.332934617996216,0.2916666666666667,0.14889219576719576,0.24682418699186992,0.1629203216374269,0.2916666666666667,0.2916666666666667,0.2916666666666667,2.3341838121414185,0.2916666666666667,0.13813610358325806,0.3419354838709677,0.17860545096137628,-0.11537298387096773,0.1629203216374269,7e-05,3.5e-05,0.5,104.57669734954834
3,3.5544563829898834,3.5362710058689117,2.1004975140094757,2.208882436156273,0.06061792909167707,0.0,0.0,11.343464851379395,0.0,1.0,0.0,0.0,0.0,0.322265625,0.349609375,0.322265625,0.279296875,0.33984375,0.0,0.0,0.0,0.0,0.8819272741675377,0.4166502356529236,0.37239598110318184,0.272627878934145,1.9659182727336884,2.0451226830482483,4.453975319862366,0.0,0.0,0.0,0.0,0.0,2.4107112884521484,0.10833333333333334,0.1274770904925544,0.24352134146341464,0.09111204013377927,0.10833333333333334,0.10833333333333334,0.10833333333333334,2.4616090059280396,0.09166666666666666,0.06254221546774738,0.11612903225806452,0.08053508448717547,0.16316784274193546,0.09111204013377927,7e-05,3.5e-05,0.5,111.01648259162903
4,3.1171757876873016,3.117471009492874,1.871177539229393,1.917374610900879,-0.0009840072598308325,0.0,0.0,10.646177291870117,0.0,1.0,0.0,0.0,0.0,0.45703125,0.455078125,0.45703125,0.396484375,0.44140625,0.0,0.0,0.0,0.0,0.8302960321307182,0.4365260787308216,0.3718322217464447,0.2737073339521885,1.8892297446727753,1.9877445995807648,3.971188962459564,0.0,0.0,0.0,0.0,0.0,2.2410663962364197,0.15,0.36296296296296304,0.31115154728622385,0.17342420059811364,0.15,0.15,0.15,2.2483572959899902,0.14166666666666666,0.15408545564795567,0.15483870967741936,0.19863553215335172,0.24164566532258064,0.17342420059811364,7e-05,3.5e-05,0.5,106.6015522480011
5,2.8339864015579224,2.851787745952606,1.7470706850290298,1.699564814567566,-0.059337861835956573,0.0,0.0,10.477883696556091,0.0,1.0,0.0,0.0,0.0,0.521484375,0.5234375,0.521484375,0.498046875,0.517578125,0.0,0.0,0.0,0.0,0.8143694773316383,0.40760357305407524,0.3722831793129444,0.2739791013300419,1.860113576054573,1.9462897777557373,3.4931825399398804,0.0,0.0,0.0,0.0,0.0,2.0063567757606506,0.25,0.5271239177489178,0.529954870818471,0.39849482495078165,0.25,0.25,0.25,1.941632866859436,0.31666666666666665,0.4348285335354301,0.2537634408602151,0.3831291079697724,0.24428343413978493,0.39849482495078165,7e-05,3.5e-05,0.5,111.65422248840332
6,2.791187971830368,2.613083392381668,1.5631857365369797,1.6152272373437881,-0.04623714601621032,0.19197577238082886,0.9591313749551773,10.409856915473938,1.8652365505695343,1.0,0.0,0.05,0.1,0.595703125,0.607421875,0.595703125,0.564453125,0.578125,0.9591313749551773,0.9156195968389511,1.0026431679725647,0.19197577238082886,0.8237677067518234,0.3972517400979996,0.372172586619854,0.27357297390699387,1.8148478716611862,1.8825491070747375,3.2853757441043854,0.0,0.0013678648392669857,0.007259391830302775,0.01694294111803174,0.16426878981292248,1.71272873878479,0.45,0.6492611537368571,0.6576841272460308,0.5462136635568206,0.45,0.45,0.45,1.6217817068099976,0.5083333333333333,0.5955756812315162,0.47096774193548385,0.5632756647849047,0.09348538306451615,0.5462136635568206,7e-05,3.5e-05,0.5,106.58150911331177
7,2.638518661260605,2.3148110806941986,1.4110462367534637,1.3904074281454086,-0.0566008654423058,0.3406878560781479,0.9079548865556717,9.942036628723145,1.7165914177894592,1.0,0.0,0.1,0.2,0.69140625,0.69140625,0.69140625,0.66796875,0.705078125,0.9079548865556717,0.8692307025194168,0.9466790705919266,0.3406878560781479,0.87664395570755,0.40060100331902504,0.36986685171723366,0.27230236679315567,1.7684627026319504,1.8241916596889496,2.8651131987571716,0.0,0.002723023615544662,0.014147702604532242,0.03283544862642884,0.2865113243460655,1.5798605680465698,0.5,0.5984848484848485,0.6379860142950016,0.5260278427403505,0.5,0.5,0.5,1.518826186656952,0.55,0.5585244720997897,0.535483870967742,0.5392249458713773,0.13248487903225803,0.5260278427403505,7e-05,3.5e-05,0.5,110.12845039367676
8,2.694401651620865,2.2255546152591705,1.3388849794864655,1.364107221364975,-0.0862084839027375,0.4947095885872841,0.9214658737182617,10.4752596616745,1.6731424629688263,1.0,0.0,0.15,0.3,0.703125,0.71875,0.703125,0.705078125,0.708984375,0.9214658737182617,0.8630661964416504,0.9798655807971954,0.4947095885872841,0.8917283043265343,0.3933953158557415,0.3665428124368191,0.2701246626675129,1.7040812969207764,1.7664065659046173,2.7717922627925873,0.0,0.004051869851537049,0.020448975963518023,0.04769297828897834,0.4157688580453396,1.3810006380081177,0.6583333333333333,0.6929608585858585,0.783304381196746,0.6572155631196509,0.6583333333333333,0.6583333333333333,0.6583333333333333,1.3215945363044739,0.7333333333333333,0.715917352908632,0.6881720430107527,0.69381417337066,0.016906081989247257,0.6572155631196509,7e-05,3.5e-05,0.5,106.61421942710876
9,2.700339913368225,2.079463869333267,1.2534994930028915,1.2707144767045975,-0.021401240723207593,0.6272963881492615,0.8810967206954956,10.825072884559631,1.6210030317306519,1.0,0.0,0.2,0.4,0.775390625,0.7734375,0.775390625,0.76953125,0.771484375,0.8810967206954956,0.86550173163414,0.8966917544603348,0.6272963881492615,0.9004636406898499,0.40527523308992386,0.36358172073960304,0.2676418498158455,1.6683339029550552,1.7139912396669388,2.622031718492508,0.0,0.005352836917154491,0.026693343417719007,0.06170368241146207,0.5244063548743725,1.6165433526039124,0.5666666666666667,0.6549325062873613,0.7379851723038362,0.5509754310705398,0.5666666666666667,0.5666666666666667,0.5666666666666667,1.5143619179725647,0.65,0.636828727223464,0.5397849462365591,0.5207813457694415,0.22974630376344085,0.5509754310705398,7e-05,3.5e-05,0.5,107.61596274375916
10,2.6526971757411957,1.927482396364212,1.1644881516695023,1.173837348818779,-0.04400945175439119,0.7384176552295685,0.8978925943374634,10.606568932533264,1.6141147017478943,1.0,0.0,0.25,0.5,0.818359375,0.814453125,0.818359375,0.81640625,0.8046875,0.8978925943374634,0.888146162033081,0.9076390117406845,0.7384176552295685,0.9204843267798424,0.43190472573041916,0.35959694534540176,0.26458489149808884,1.608653038740158,1.641510620713234,2.4557143449783325,0.0,0.006614622368942946,0.032173060113564134,0.0738679813221097,0.6139285862445831,1.2872602343559265,0.7083333333333334,0.752784541847042,0.813307384556059,0.7264986051750758,0.7083333333333334,0.7083333333333334,0.7083333333333334,1.2199339866638184,0.7833333333333333,0.7622364076123165,0.7204301075268817,0.7348111275064929,0.09597614247311825,0.7264986051750758,7e-05,3.5e-05,0.5,107.42144870758057
