epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,5.688202381134033,5.740308523178101,3.4755356907844543,3.484265923500061,-0.17368711531162262,0.0,0.0,17.747436046600342,0.0,1.0,0.0,0.0,0.0,0.0546875,0.08203125,0.0546875,0.078125,0.0703125,0.0,0.0,0.0,0.0,1.2900530993938446,1.319991648197174,0.37585509568452835,0.27661313861608505,2.1933352947235107,2.222429573535919,6.898004531860352,0.0,0.0,0.0,0.0,0.0,2.862126350402832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9055569171905518,0.0,0.0,0.007575757575757576,0.006944444444444444,0.07054924242424243,0.0,7e-05,3.5e-05,0.5,54.46709704399109
2,4.807504177093506,4.832080841064453,2.8052820563316345,3.1181520819664,-0.08192214369773865,0.0,0.0,14.718350172042847,0.0,1.0,0.0,0.0,0.0,0.0703125,0.16015625,0.0703125,0.0546875,0.12890625,0.0,0.0,0.0,0.0,1.3989777565002441,1.3314841985702515,0.37633924931287766,0.2751116678118706,2.1629125475883484,2.234827160835266,5.973011374473572,0.0,0.0,0.0,0.0,0.0,2.6408274173736572,0.02702702702702703,0.010101010101010102,0.027777777777777776,0.014814814814814815,0.02702702702702703,0.02702702702702703,0.02702702702702703,2.652988910675049,0.10810810810810811,0.05925925925925926,0.06060606060606061,0.051710189297427586,-0.005918560606060608,0.014814814814814815,7e-05,3.5e-05,0.5,54.16876173019409
3,4.2653473019599915,4.278018593788147,2.5770625472068787,2.6168556809425354,-0.042237360030412674,0.0,0.0,12.968141078948975,0.0,1.0,0.0,0.0,0.0,0.1875,0.22265625,0.1875,0.2109375,0.2109375,0.0,0.0,0.0,0.0,1.4482011795043945,1.2354295551776886,0.3777933716773987,0.27483008801937103,2.1125810742378235,2.2074162364006042,5.293370008468628,0.0,0.0,0.0,0.0,0.0,2.457529306411743,0.2972972972972973,0.24126984126984125,0.2916666666666667,0.1919191919191919,0.2972972972972973,0.2972972972972973,0.2972972972972973,2.4570424556732178,0.24324324324324326,0.12376256545503193,0.22727272727272727,0.12901455816629057,-0.016335227272727265,0.1919191919191919,7e-05,3.5e-05,0.5,53.38423776626587
4,4.027798116207123,4.043940782546997,2.4859599471092224,2.396893620491028,-0.05380908027291298,0.0,0.0,12.538968801498413,0.0,1.0,0.0,0.0,0.0,0.28515625,0.26953125,0.28515625,0.234375,0.25390625,0.0,0.0,0.0,0.0,1.451215237379074,1.150462567806244,0.3775828257203102,0.2753457650542259,2.091839551925659,2.185244143009186,4.928989410400391,0.0,0.0,0.0,0.0,0.0,2.2770018577575684,0.2972972972972973,0.12804232804232804,0.3055555555555556,0.17024041585445093,0.2972972972972973,0.2972972972972973,0.2972972972972973,2.291501760482788,0.21621621621621623,0.10531400966183574,0.29545454545454547,0.28571467361789943,-0.06107954545454547,0.17024041585445093,7e-05,3.5e-05,0.5,54.35481119155884
5,3.8066369891166687,3.8289560675621033,2.3068960309028625,2.34163099527359,-0.07439699023962021,0.0,0.0,12.440218448638916,0.0,1.0,0.0,0.0,0.0,0.23828125,0.29296875,0.23828125,0.3046875,0.30859375,0.0,0.0,0.0,0.0,1.3683472573757172,1.0552771389484406,0.3777637556195259,0.27540290355682373,2.0548744797706604,2.16121643781662,4.609074831008911,0.0,0.0,0.0,0.0,0.0,2.004579544067383,0.40540540540540543,0.3005019671686338,0.48148148148148145,0.354851684263449,0.40540540540540543,0.40540540540540543,0.40540540540540543,2.0351083278656006,0.40540540540540543,0.41860670194003524,0.3939393939393939,0.42037022359603005,-0.08925189393939392,0.354851684263449,7e-05,3.5e-05,0.5,55.04473161697388
6,3.4304245710372925,3.4432632327079773,2.061939984560013,2.125112771987915,-0.0575995035469532,0.004441162687726319,0.83378666639328,11.062000751495361,1.7432288527488708,1.0,0.0,0.05,0.1,0.3515625,0.41015625,0.3515625,0.32421875,0.328125,0.83378666639328,0.8757809102535248,0.7917923629283905,0.004441162687726319,1.4802155196666718,1.057591661810875,0.37971389293670654,0.27589279413223267,2.036206901073456,2.145288109779358,4.128365218639374,0.0,0.0,0.0,0.0,0.0,1.7665905952453613,0.4864864864864865,0.5333333333333333,0.5416666666666666,0.4832445332445332,0.4864864864864865,0.4864864864864865,0.4864864864864865,1.772086501121521,0.4864864864864865,0.49455667789001123,0.5606060606060606,0.6139719702019314,-0.23638731060606055,0.4832445332445332,7e-05,3.5e-05,0.5,55.51430797576904
7,3.105108380317688,3.133026123046875,1.8970773220062256,1.9014597237110138,-0.12125815451145172,0.00845975591801107,0.7936528325080872,10.246309995651245,1.6895339488983154,1.0,0.0,0.1,0.2,0.4765625,0.4375,0.4765625,0.421875,0.43359375,0.7936528325080872,0.829854428768158,0.7574512362480164,0.00845975591801107,1.4771928191184998,0.9398802220821381,0.3787268176674843,0.2745564877986908,2.0125875771045685,2.113260507583618,3.838264524936676,0.0,0.0,0.0,0.0,0.0,1.584540843963623,0.5675675675675675,0.5355820105820105,0.5787037037037037,0.5202861952861952,0.5675675675675675,0.5675675675675675,0.5675675675675675,1.5639228820800781,0.6486486486486487,0.6170551670551669,0.6666666666666666,0.6978486216196342,-0.24479166666666663,0.5202861952861952,7e-05,3.5e-05,0.5,56.196561336517334
8,3.0116756558418274,3.066833972930908,1.8629130423069,1.852186143398285,-0.2257871925830841,0.012577836168929935,0.8533636033535004,10.076076030731201,1.6730376482009888,1.0,0.0,0.15,0.3,0.48828125,0.4921875,0.48828125,0.4296875,0.50390625,0.8533636033535004,0.8687161505222321,0.8380110263824463,0.012577836168929935,1.4552456140518188,0.9405327439308167,0.3772904500365257,0.2737414762377739,2.013636827468872,2.0924183130264282,3.753426194190979,0.0,0.0,0.0,0.0,0.0,1.46908700466156,0.6756756756756757,0.7563932980599648,0.7546296296296295,0.7180113096779763,0.6756756756756757,0.6756756756756757,0.6756756756756757,1.4390754699707031,0.7297297297297297,0.7735770402437069,0.7045454545454546,0.7360038462979639,-0.2748579545454546,0.7180113096779763,7e-05,3.5e-05,0.5,50.850231885910034
9,2.8314188718795776,2.874850809574127,1.7728552222251892,1.695377767086029,-0.1974012702703476,0.015788408229127526,0.8419270813465118,9.799723625183105,1.6897554993629456,1.0,0.0,0.2,0.4,0.5625,0.51171875,0.5625,0.44921875,0.5546875,0.8419270813465118,0.8606568574905396,0.8231973052024841,0.015788408229127526,1.329203724861145,0.926283061504364,0.3767067417502403,0.2736433669924736,1.9704400300979614,2.050595283508301,3.5122883319854736,0.0,0.0,0.0,0.0,0.0,1.4295555353164673,0.7027027027027027,0.7888007054673722,0.7731481481481481,0.7460977294310628,0.7027027027027027,0.7027027027027027,0.7027027027027027,1.4012235403060913,0.6486486486486487,0.6644263144263144,0.75,0.7723752264904037,-0.30078125,0.7460977294310628,7e-05,3.5e-05,0.5,54.976569175720215
10,2.6587184071540833,2.694771409034729,1.5820256769657135,1.7119165062904358,-0.18213610351085663,0.018587791360914707,0.807506799697876,9.450854539871216,1.6028595566749573,1.0,0.0,0.25,0.5,0.5625,0.62109375,0.5625,0.51171875,0.58203125,0.807506799697876,0.810584157705307,0.8044294714927673,0.018587791360914707,1.2799632549285889,0.8443557918071747,0.37703101336956024,0.2743914723396301,1.934324949979782,2.0532901883125305,3.4763569831848145,0.0,0.0,0.0,0.0,0.0,1.3499274253845215,0.7027027027027027,0.7888007054673722,0.7731481481481481,0.7460977294310628,0.7027027027027027,0.7027027027027027,0.7027027027027027,1.3127349615097046,0.7297297297297297,0.7690796857463524,0.8181818181818182,0.8373948581774153,-0.30646306818181823,0.7460977294310628,7e-05,3.5e-05,0.5,54.1131055355072
