epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,5.243516504764557,5.152718901634216,3.000312775373459,3.311394304037094,0.30265853367745876,0.0,0.0,15.835405826568604,0.0,1.0,0.0,0.0,0.0,0.091796875,0.125,0.091796875,0.08203125,0.109375,0.0,0.0,0.0,0.0,0.6232713609933853,0.5421942733228207,0.3629365600645542,0.2710915505886078,2.0180410891771317,2.082945376634598,6.464914798736572,0.0,0.0,0.0,0.0,0.0,2.8306081295013428,0.175,0.1492059426229508,0.20501094434021264,0.09511107019589621,0.175,0.175,0.175,2.7564265727996826,0.2,0.1149813925004711,0.11612903225806452,0.055057477119521844,-0.03409778225806452,0.09511107019589621,7e-05,3.5e-05,0.5,107.4874517917633
2,4.2049660086631775,4.155828297138214,2.4132420122623444,2.6809021830558777,0.1637924900278449,0.0,0.0,12.24423062801361,0.0,1.0,0.0,0.0,0.0,0.2265625,0.251953125,0.2265625,0.154296875,0.294921875,0.0,0.0,0.0,0.0,0.5669505298137665,0.4738536514341831,0.36378536000847816,0.2710883356630802,1.9935147911310196,2.054622560739517,5.095273673534393,0.0,0.0,0.0,0.0,0.0,2.567450761795044,0.14166666666666666,0.19302721088435373,0.2700515947467167,0.08197567177130446,0.14166666666666666,0.14166666666666666,0.14166666666666666,2.5163878202438354,0.15,0.109321853609129,0.1032258064516129,0.058625762066129045,0.0510710685483871,0.08197567177130446,7e-05,3.5e-05,0.5,107.05692315101624
3,3.619123637676239,3.6077566742897034,2.097424164414406,2.32358855009079,0.03788995440118015,0.0,0.0,10.97784674167633,0.0,1.0,0.0,0.0,0.0,0.27734375,0.357421875,0.27734375,0.294921875,0.349609375,0.0,0.0,0.0,0.0,0.5512366369366646,0.479682132601738,0.36478960141539574,0.2708568349480629,1.9276299625635147,2.0084086060523987,4.424965143203735,0.0,0.0,0.0,0.0,0.0,2.1691272258758545,0.21666666666666667,0.2725765626307422,0.31635894593211666,0.15333122142715166,0.21666666666666667,0.21666666666666667,0.21666666666666667,2.0737422704696655,0.25,0.18745808341225578,0.18064516129032257,0.1272993739732502,0.11427671370967743,0.15333122142715166,7e-05,3.5e-05,0.5,108.7004656791687
4,3.2337941229343414,3.2373028695583344,1.8807909786701202,2.0869414657354355,-0.011695662629790604,0.0,0.0,10.539807081222534,0.0,1.0,0.0,0.0,0.0,0.353515625,0.451171875,0.353515625,0.353515625,0.39453125,0.0,0.0,0.0,0.0,0.597280316054821,0.4786936938762665,0.36690324544906616,0.2707456238567829,1.8685811311006546,1.952194169163704,4.035353630781174,0.0,0.0,0.0,0.0,0.0,1.8650609850883484,0.38333333333333336,0.5099723193473193,0.6052544960783296,0.45545908012121317,0.38333333333333336,0.38333333333333336,0.38333333333333336,1.7527241706848145,0.5083333333333333,0.539875992063492,0.35053763440860214,0.3973141198210817,0.002977990591397861,0.45545908012121317,7e-05,3.5e-05,0.5,105.54244828224182
5,2.9441888332366943,2.9644598066806793,1.7568101286888123,1.8579226285219193,-0.06756976339966059,0.0,0.0,9.969086766242981,0.0,1.0,0.0,0.0,0.0,0.484375,0.517578125,0.484375,0.455078125,0.5078125,0.0,0.0,0.0,0.0,0.6318974867463112,0.514294046908617,0.36760926991701126,0.27025149017572403,1.831275686621666,1.9060953855514526,3.6366730630397797,0.0,0.0,0.0,0.0,0.0,1.780465006828308,0.4583333333333333,0.5769711293608353,0.7101395588769661,0.5205521905731989,0.4583333333333333,0.4583333333333333,0.4583333333333333,1.6858971118927002,0.5,0.5527431741707547,0.4,0.47046326861108034,0.05507812499999998,0.5205521905731989,7e-05,3.5e-05,0.5,102.62741470336914
6,2.647617429494858,2.6601195335388184,1.5720547437667847,1.6739459186792374,-0.04832416167482734,0.0019951442518504336,0.9579145312309265,9.531424760818481,1.753690391778946,1.0,0.0,0.05,0.1,0.544921875,0.6015625,0.544921875,0.541015625,0.55859375,0.9579145312309265,0.83097904920578,1.0848500430583954,0.0019951442518504336,0.59925926476717,0.5408231168985367,0.3671136423945427,0.2705596461892128,1.8127932101488113,1.8656959980726242,3.3518892526626587,0.0,0.0,0.0,0.0,0.0,1.6387929320335388,0.575,0.6154761904761905,0.7539793352193936,0.5878395909645909,0.575,0.575,0.575,1.5557550191879272,0.575,0.5939281686256364,0.5290322580645161,0.5606014349596156,0.011983366935483852,0.5878395909645909,7e-05,3.5e-05,0.5,109.84064626693726
7,2.4481443762779236,2.4630634486675262,1.4702270925045013,1.5274405926465988,-0.06147270696237683,0.0035227338375989348,0.998319149017334,9.491956949234009,1.7802629470825195,1.0,0.0,0.1,0.2,0.634765625,0.671875,0.634765625,0.64453125,0.62890625,0.998319149017334,0.899977296590805,1.0966609716415405,0.0035227338375989348,0.5302779823541641,0.4762173369526863,0.3661491833627224,0.27144860476255417,1.778755098581314,1.8272362351417542,3.1452243328094482,0.0,0.0,0.0,0.0,0.0,1.597462236881256,0.575,0.7119829244829246,0.7509412148032244,0.6403818257765627,0.575,0.575,0.575,1.4941498041152954,0.625,0.6620156596200647,0.5483870967741935,0.6054113955284812,0.0961441532258065,0.6403818257765627,7e-05,3.5e-05,0.5,103.80858564376831
8,2.290412813425064,2.2822039127349854,1.339926615357399,1.449657455086708,0.01066082064062357,0.005010617373045534,1.001550480723381,9.35128116607666,1.7482302486896515,1.0,0.0,0.15,0.3,0.662109375,0.71484375,0.662109375,0.6171875,0.7109375,1.001550480723381,0.9022479206323624,1.1008529961109161,0.005010617373045534,0.5217898637056351,0.43261346966028214,0.3667868971824646,0.274695061147213,1.7586998492479324,1.7946163564920425,2.8907375633716583,0.0,0.0,0.0,0.0,0.0,1.5374045372009277,0.5333333333333333,0.640187324929972,0.6970794261853381,0.5873381178247548,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.4211448431015015,0.6583333333333333,0.6644842282623216,0.5612903225806452,0.6018489016437323,0.05589717741935485,0.5873381178247548,7e-05,3.5e-05,0.5,109.58636617660522
9,2.1381509006023407,2.1355104744434357,1.2581829875707626,1.3497346639633179,-0.011682059790473431,0.0061450451030395925,1.0022908598184586,9.139407932758331,1.6905207335948944,1.0,0.0,0.2,0.4,0.69140625,0.771484375,0.69140625,0.720703125,0.732421875,1.0022908598184586,0.8973579108715057,1.1072238087654114,0.0061450451030395925,0.44101209938526154,0.436851441860199,0.3714410290122032,0.27950338646769524,1.7026009559631348,1.7436067909002304,2.706439048051834,0.0,0.0,0.0,0.0,0.0,1.5131273865699768,0.5916666666666667,0.6885401225118968,0.7599295091176057,0.6451655061415498,0.5916666666666667,0.5916666666666667,0.5916666666666667,1.4178807139396667,0.6916666666666667,0.7091496570822464,0.5720430107526882,0.6272338523959868,0.14866011424731185,0.6451655061415498,7e-05,3.5e-05,0.5,108.32688546180725
10,2.0044005513191223,2.0106238424777985,1.1907829344272614,1.2612937241792679,-0.04504407336935401,0.007289896544534713,1.0435605943202972,8.80198746919632,1.6716495156288147,1.0,0.0,0.25,0.5,0.765625,0.78515625,0.765625,0.740234375,0.7734375,1.0435605943202972,0.9545573890209198,1.132563829421997,0.007289896544534713,0.42306945472955704,0.410061564296484,0.3769529052078724,0.28516674786806107,1.6587878614664078,1.6923264861106873,2.5421548187732697,0.0,0.0,0.0,0.0,0.0,1.3259357213974,0.7416666666666667,0.767483813700919,0.8277720589325839,0.7503711415396198,0.7416666666666667,0.7416666666666667,0.7416666666666667,1.236343264579773,0.825,0.7992718651788201,0.7397849462365591,0.7317604891366387,0.00044942876344089555,0.7503711415396198,7e-05,3.5e-05,0.5,106.24784779548645
11,1.95761938393116,1.9668526649475098,1.154791921377182,1.2493242770433426,-0.057148954132571816,0.007911436376161873,1.1110108196735382,9.812211394309998,1.80677330493927,1.0,0.0,0.3,0.6,0.732421875,0.8125,0.732421875,0.7578125,0.779296875,1.1110108196735382,0.9982334077358246,1.2237882316112518,0.007911436376161873,0.4019426666200161,0.35152747482061386,0.38514556363224983,0.2911747843027115,1.6406206637620926,1.6787485629320145,2.515379309654236,0.0,0.0,0.0,0.0,0.0,1.3213053345680237,0.775,0.7648582506992119,0.8453662754265883,0.7528774046313343,0.775,0.775,0.775,1.280441403388977,0.8083333333333333,0.7816542314164382,0.7505376344086021,0.7369232872463338,0.007274865591397894,0.7528774046313343,7e-05,3.5e-05,0.5,106.40637230873108
12,1.8762691617012024,1.8831420093774796,1.1192151308059692,1.1752721667289734,-0.052668546326458454,0.008927723742090166,1.1318151354789734,8.728644251823425,1.7699720859527588,1.0,0.0,0.35,0.7,0.8125,0.828125,0.8125,0.7734375,0.806640625,1.1318151354789734,1.027203381061554,1.2364269495010376,0.008927723742090166,0.40266213566064835,0.326131671667099,0.392081905156374,0.2962399944663048,1.6003850400447845,1.6528163850307465,2.424629896879196,0.0,0.0,0.0,0.0,0.0,1.193564236164093,0.7916666666666666,0.7631254839334107,0.851463836402198,0.76005915217645,0.7916666666666666,0.7916666666666666,0.7916666666666666,1.1585209965705872,0.7833333333333333,0.747648089466019,0.8086021505376344,0.7797365865006896,-0.0351646505376344,0.76005915217645,7e-05,3.5e-05,0.5,106.46200132369995
13,1.7650536745786667,1.7925812304019928,1.0783079415559769,1.098882034420967,-0.12422897201031446,0.00974114309065044,1.1042553782463074,7.971331238746643,1.7175775170326233,1.0,0.0,0.4,0.8,0.85546875,0.859375,0.85546875,0.826171875,0.849609375,1.1042553782463074,1.0260628908872604,1.182447910308838,0.00974114309065044,0.3752843737602234,0.3205115497112274,0.4004847817122936,0.30189546197652817,1.5579272657632828,1.570015475153923,2.3651583790779114,0.0,0.0,0.0,0.0,0.0,1.1657483577728271,0.7916666666666666,0.7716840145148969,0.8597786922780295,0.7821598785939872,0.7916666666666666,0.7916666666666666,0.7916666666666666,1.1220478415489197,0.825,0.8100736285715332,0.7870967741935484,0.7825928701681518,0.0390751008064516,0.7821598785939872,7e-05,3.5e-05,0.5,107.89100170135498
14,1.7837050408124924,1.7882440090179443,1.088033840060234,1.0772464275360107,-0.05123559944331646,0.010831729043275118,1.1160104870796204,8.562816798686981,1.701498657464981,1.0,0.0,0.45,0.9,0.849609375,0.84765625,0.849609375,0.818359375,0.85546875,1.1160104870796204,1.022457867860794,1.2095631659030914,0.010831729043275118,0.38556626811623573,0.30216254480183125,0.4099672883749008,0.3092864193022251,1.5533319562673569,1.5507637113332748,2.2498539090156555,0.0,0.0,0.0,0.0,0.0,1.226722002029419,0.7916666666666666,0.7805735930735931,0.8480374344637336,0.7673968608251135,0.7916666666666666,0.7916666666666666,0.7916666666666666,1.2201772928237915,0.8083333333333333,0.7840316868374144,0.8064516129032258,0.7787622054068186,0.011907762096774244,0.7673968608251135,7e-05,3.5e-05,0.5,106.77040839195251
15,1.7060586661100388,1.7268061935901642,1.0261146053671837,1.077987089753151,-0.10592446196824312,0.011029778164811432,1.1419515907764435,7.895452678203583,1.7017955482006073,1.0,0.0,0.5,1.0,0.8671875,0.888671875,0.8671875,0.802734375,0.8515625,1.1419515907764435,1.0480261445045471,1.2358770370483398,0.011029778164811432,0.33961254358291626,0.29066048562526703,0.4192795753479004,0.31653960421681404,1.5361377894878387,1.532137393951416,2.253779351711273,0.0,0.0,0.0,0.0,0.0,1.077243447303772,0.875,0.8372887477639599,0.909853335953548,0.8539538207370824,0.875,0.875,0.875,1.035942256450653,0.8916666666666667,0.8781217306546726,0.8494623655913979,0.825374581008236,-0.04672799059139787,0.8539538207370824,7e-05,3.5e-05,0.5,102.9333062171936
16,1.6159504055976868,1.6450945883989334,0.9786760434508324,1.025259330868721,-0.1360354172065854,0.0116664816159755,1.1886334717273712,8.158878028392792,1.7550398409366608,1.0,0.0,0.55,1.0,0.8828125,0.888671875,0.8828125,0.853515625,0.87890625,1.1886334717273712,1.0835092067718506,1.2937577068805695,0.0116664816159755,0.31745316833257675,0.28859783709049225,0.42707208171486855,0.32433538511395454,1.5056169480085373,1.4961196780204773,2.1313975751399994,0.0,0.0,0.0,0.0,0.0,1.2091459035873413,0.775,0.7566914080071975,0.8490064581494858,0.7494468866442697,0.775,0.775,0.775,1.1396859884262085,0.8083333333333333,0.7904343348435853,0.8,0.7830656990928646,0.053515624999999956,0.7494468866442697,7e-05,3.5e-05,0.5,105.10067343711853
17,1.5634821653366089,1.591693937778473,0.9377041906118393,1.0061380788683891,-0.13493824563920498,0.012269694125279784,1.1587395668029785,6.775058090686798,1.710469663143158,1.0,0.0,0.6,1.0,0.892578125,0.912109375,0.892578125,0.8359375,0.875,1.1587395668029785,1.0509516894817352,1.2665274143218994,0.012269694125279784,0.3201036974787712,0.26416744478046894,0.4354441650211811,0.33045271784067154,1.483579233288765,1.476953148841858,2.11591374874115,0.0,0.0,0.0,0.0,0.0,1.2347415089607239,0.7416666666666667,0.7481770833333333,0.8343029749942528,0.7378996730446583,0.7416666666666667,0.7416666666666667,0.7416666666666667,1.1552788019180298,0.825,0.7910744006117584,0.7935483870967742,0.7718631954277325,0.04238911290322578,0.7378996730446583,7e-05,3.5e-05,0.5,104.74286127090454
18,1.5548104643821716,1.5806467086076736,0.9450149536132812,0.9778950586915016,-0.12773746997117996,0.012485008919611573,1.1806494295597076,6.5022337436676025,1.7230754792690277,1.0,0.0,0.65,1.0,0.90625,0.9296875,0.90625,0.849609375,0.9140625,1.1806494295597076,1.1041829884052277,1.25711590051651,0.012485008919611573,0.29510991647839546,0.25368169881403446,0.44223957508802414,0.33745647594332695,1.4613149911165237,1.42648246884346,2.010059878230095,0.0,0.0,0.0,0.0,0.0,1.093390166759491,0.8416666666666667,0.7965751262626264,0.8930085688436696,0.8197503731252325,0.8416666666666667,0.8416666666666667,0.8416666666666667,1.0400698482990265,0.8666666666666667,0.845304416112343,0.875268817204301,0.8417438437356097,-0.025659442204301053,0.8197503731252325,7e-05,3.5e-05,0.5,104.619393825531
19,1.5303643643856049,1.5516414195299149,0.9141820222139359,0.9807068035006523,-0.11764807906001806,0.014017387758940458,1.1842150390148163,6.746706783771515,1.7202719748020172,0.875,0.0,0.7,1.0,0.888671875,0.9375,0.888671875,0.87109375,0.888671875,1.1842150390148163,1.1298490166664124,1.238581120967865,0.014017387758940458,0.30811161175370216,0.26402667351067066,0.4487944282591343,0.344562865793705,1.4862721413373947,1.4409327954053879,2.0157069265842438,0.0,0.0,0.0,0.0,0.0,0.9812279939651489,0.8916666666666667,0.8506601037851038,0.908651412876625,0.8606092981092981,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.9605146050453186,0.9083333333333333,0.8801701737901249,0.9139784946236559,0.8923709680796685,-0.04288474462365588,0.8606092981092981,7e-05,3.5e-05,0.5,105.9096360206604
20,1.5013249218463898,1.5172961503267288,0.9066896513104439,0.9393946751952171,-0.10074176266789436,0.014251293381676078,1.221171796321869,5.750758469104767,1.743098646402359,0.75,0.0,0.75,1.0,0.912109375,0.939453125,0.912109375,0.89453125,0.931640625,1.221171796321869,1.1736192107200623,1.268724411725998,0.014251293381676078,0.29076284542679787,0.2521435897797346,0.4550274908542633,0.35137201473116875,1.4425584077835083,1.4018318355083466,1.9011593908071518,0.0,0.0,0.0,0.0,0.0,1.0765761137008667,0.8583333333333333,0.8393413040503558,0.8913019145488658,0.8368813890611608,0.8583333333333333,0.8583333333333333,0.8583333333333333,1.0476473569869995,0.875,0.8575064032808956,0.8903225806451613,0.9002513085880691,0.004208669354838657,0.8368813890611608,7e-05,3.5e-05,0.5,103.07988691329956
21,1.5092979669570923,1.524080753326416,0.9061241149902344,0.9507025554776192,-0.1006959187798202,0.015426022000610828,1.1759202778339386,6.815011560916901,1.7196432948112488,1.0,0.0,0.8,1.0,0.916015625,0.939453125,0.916015625,0.904296875,0.908203125,1.1759202778339386,1.1004219949245453,1.2514185309410095,0.015426022000610828,0.30496177077293396,0.2459675632417202,0.462883111089468,0.35849152877926826,1.4117405861616135,1.3955604583024979,1.9863338619470596,0.0,0.0,0.0,0.0,0.0,0.9836885929107666,0.8916666666666667,0.8565152002652003,0.9253725463295983,0.8760327635327635,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.9587885141372681,0.9166666666666666,0.9003389154704944,0.9247311827956989,0.8945263350593753,-0.02043430779569888,0.8760327635327635,7e-05,3.5e-05,0.5,108.22024703025818
22,1.4446541965007782,1.4635231494903564,0.8799033835530281,0.8978765904903412,-0.11458844575099647,0.015507578733377159,1.240383893251419,6.057108551263809,1.7456215023994446,0.875,0.0,0.85,1.0,0.953125,0.955078125,0.953125,0.919921875,0.9296875,1.240383893251419,1.1608534753322601,1.3199143409729004,0.015507578733377159,0.282303836196661,0.2389593031257391,0.46868210658431053,0.36535266786813736,1.4189274460077286,1.384294018149376,1.9297706633806229,0.0,0.0,0.0,0.0,0.0,1.0226682126522064,0.8416666666666667,0.8100845410628019,0.899417125822216,0.8376408644265787,0.8416666666666667,0.8416666666666667,0.8416666666666667,0.9957612752914429,0.8583333333333333,0.8562605708245242,0.8731182795698925,0.8486048467721242,0.04680359543010748,0.8376408644265787,7e-05,3.5e-05,0.5,97.66380262374878
23,1.4291279166936874,1.4343049079179764,0.8611812517046928,0.8817287683486938,-0.07526274444535375,0.01740184356458485,1.2681359648704529,5.784004509449005,1.765148103237152,0.75,0.0,0.9,1.0,0.94921875,0.962890625,0.94921875,0.92578125,0.927734375,1.2681359648704529,1.1820489764213562,1.354222983121872,0.01740184356458485,0.2861315943300724,0.26630787923932076,0.4740476422011852,0.37333785369992256,1.4084269106388092,1.36455500125885,1.9147754609584808,0.0,0.0,0.0,0.0,0.0,1.0297854542732239,0.8916666666666667,0.8454590548340548,0.9116645052985191,0.8565007400335415,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.9929773807525635,0.9083333333333333,0.8963632760596953,0.9182795698924732,0.8874788366424314,0.007501680107526831,0.8565007400335415,7e-05,3.5e-05,0.5,107.6565945148468
24,1.4309085011482239,1.441239446401596,0.8610897809267044,0.892537958920002,-0.0906296600587666,0.0168579873861745,1.2596571147441864,5.850318789482117,1.7584814429283142,0.875,0.0,0.95,1.0,0.947265625,0.962890625,0.947265625,0.94921875,0.9296875,1.2596571147441864,1.2246606051921844,1.294653594493866,0.0168579873861745,0.2701514307409525,0.23685570992529392,0.4781695529818535,0.3798474408686161,1.403372660279274,1.3546353876590729,1.8783673346042633,0.0,0.0,0.0,0.0,0.0,0.9536817073822021,0.9083333333333333,0.854987026862027,0.9206527996129005,0.86627331002331,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.9258610010147095,0.925,0.9020964360587002,0.9397849462365592,0.9073662132999994,0.009433803763440829,0.86627331002331,7e-05,3.5e-05,0.5,102.59745121002197
25,1.4063645005226135,1.4007124602794647,0.8367148414254189,0.8676886409521103,-0.04066262929700315,0.017850792268291116,1.2554650008678436,4.776324689388275,1.766754388809204,0.375,0.0,1.0,1.0,0.947265625,0.97265625,0.947265625,0.9296875,0.931640625,1.2554650008678436,1.1548308730125427,1.3560991287231445,0.017850792268291116,0.2732569854706526,0.23676564171910286,0.48260416463017464,0.3866598345339298,1.4009609520435333,1.333691656589508,1.8688130527734756,0.0,0.0,0.0,0.0,0.0,0.9947178959846497,0.8583333333333333,0.8105113636363637,0.8911795554657432,0.8292359260752724,0.8583333333333333,0.8583333333333333,0.8583333333333333,0.9510761797428131,0.8833333333333333,0.8612312660106778,0.9204301075268817,0.8886465268213279,0.009257392473118298,0.8292359260752724,7e-05,3.5e-05,0.5,107.14529705047607
26,1.3775973170995712,1.3955099433660507,0.845730222761631,0.845815010368824,-0.11647057812660933,0.01702854281757027,1.299094557762146,4.880145967006683,1.831710696220398,0.25,0.0,1.0,1.0,0.966796875,0.970703125,0.966796875,0.947265625,0.9296875,1.299094557762146,1.2001200914382935,1.3980689644813538,0.01702854281757027,0.26582691073417664,0.22070286981761456,0.48745230585336685,0.39112556353211403,1.3879526853561401,1.3250256478786469,1.8043422251939774,0.0,0.0,0.0,0.0,0.0,0.9728230834007263,0.8916666666666667,0.8484253065774805,0.9218547226898235,0.87302237617455,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.9469038248062134,0.9,0.8806274181913568,0.9268817204301075,0.8959481019497282,0.020383904569892475,0.87302237617455,7e-05,3.5e-05,0.5,108.49749827384949
27,1.3726338893175125,1.3910572975873947,0.8463176861405373,0.8380609750747681,-0.12042197026312351,0.017703154124319553,1.29234179854393,4.896573603153229,1.7911511063575745,0.375,0.0,1.0,1.0,0.966796875,0.966796875,0.966796875,0.927734375,0.92578125,1.29234179854393,1.1807312071323395,1.403952419757843,0.017703154124319553,0.2838066555559635,0.2219977304339409,0.49114809557795525,0.39608457684516907,1.3588027209043503,1.3045432418584824,1.8352024108171463,0.0,0.0,0.0,0.0,0.0,0.9601479768753052,0.8916666666666667,0.8589972527472528,0.9290377570467708,0.8842214700193423,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.9276853799819946,0.9083333333333333,0.8981265843314872,0.9333333333333333,0.9078413517065737,-0.005598958333333348,0.8842214700193423,7e-05,3.5e-05,0.5,107.60549211502075
28,1.354229062795639,1.3704683929681778,0.8282051831483841,0.8342511504888535,-0.11034824978560209,0.016865152632817626,1.295067846775055,4.257199794054031,1.8026305437088013,0.125,0.0,1.0,1.0,0.96484375,0.974609375,0.96484375,0.931640625,0.912109375,1.295067846775055,1.1851992905139923,1.4049363732337952,0.016865152632817626,0.27023904025554657,0.21162245608866215,0.49356966838240623,0.40165966004133224,1.3594621866941452,1.3066398203372955,1.7859795093536377,0.0,0.0,0.0,0.0,0.0,0.919073760509491,0.9083333333333333,0.8682765151515152,0.9297111954853207,0.8793835282651071,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.9537549912929535,0.9166666666666666,0.8902905904261001,0.9591397849462365,0.9385267924636205,-0.02749915994623653,0.8793835282651071,7e-05,3.5e-05,0.5,99.91094946861267
29,1.3451201170682907,1.376102551817894,0.8313500359654427,0.8380808308720589,-0.16213332954794168,0.01765755983069539,1.2814172208309174,4.195888489484787,1.8065078556537628,0.125,0.0,1.0,1.0,0.96875,0.97265625,0.96875,0.931640625,0.95703125,1.2814172208309174,1.2084226608276367,1.3544118106365204,0.01765755983069539,0.25817890651524067,0.24632280133664608,0.49680638313293457,0.405494574457407,1.3882641941308975,1.315605714917183,1.7936579883098602,0.0,0.0,0.0,0.0,0.0,0.9356429278850555,0.9083333333333333,0.8804127585377586,0.918893887793013,0.8810937912725401,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.9416805505752563,0.9333333333333333,0.9254273613718738,0.9655913978494624,0.9484449899379342,-0.03395077284946235,0.8810937912725401,7e-05,3.5e-05,0.5,102.65430021286011
30,1.3432535976171494,1.3841336220502853,0.8386665806174278,0.8391800820827484,-0.19158320873975754,0.016594949760474265,1.2188092172145844,4.350220799446106,1.6854436099529266,0.25,0.0,1.0,1.0,0.974609375,0.97265625,0.974609375,0.9296875,0.931640625,1.2188092172145844,1.1653439104557037,1.2722744941711426,0.016594949760474265,0.24533068016171455,0.228810740634799,0.49943505227565765,0.41030023247003555,1.3663157373666763,1.2933026105165482,1.7761341780424118,0.0,0.0,0.0,0.0,0.0,1.0210598707199097,0.875,0.8369525049005431,0.9002902088632471,0.8282952082498254,0.875,0.875,0.875,0.96180260181427,0.9083333333333333,0.8764487456564115,0.9053763440860215,0.8664572291419582,0.024311155913978477,0.8282952082498254,7e-05,3.5e-05,0.5,103.33188796043396
31,1.3278281390666962,1.3572980761528015,0.8207382708787918,0.8254766315221786,-0.15861752815544605,0.018115326762199402,1.279723882675171,4.037995517253876,1.765908032655716,0.25,0.0,1.0,1.0,0.978515625,0.978515625,0.978515625,0.95703125,0.958984375,1.279723882675171,1.220612347126007,1.3388353884220123,0.018115326762199402,0.2760805692523718,0.24150019139051437,0.5013392195105553,0.41408441588282585,1.3328213691711426,1.275649532675743,1.791203498840332,0.0,0.0,0.0,0.0,0.0,0.9467113614082336,0.9083333333333333,0.8609683794466404,0.9386531416621554,0.8867409429003631,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.9224856495857239,0.9083333333333333,0.9203896346931716,0.9161290322580645,0.8623819261304561,0.040902217741935476,0.8867409429003631,7e-05,3.5e-05,0.5,104.77272701263428
32,1.2951961755752563,1.3359190821647644,0.7924496307969093,0.8361069113016129,-0.19483564235270023,0.017727794591337442,1.228176862001419,3.5391620993614197,1.6682384610176086,0.0,0.0,1.0,1.0,0.96484375,0.99609375,0.96484375,0.958984375,0.955078125,1.228176862001419,1.1724510490894318,1.283902645111084,0.017727794591337442,0.26577758975327015,0.24073081277310848,0.5033596530556679,0.41681717336177826,1.3238378018140793,1.2661188542842865,1.7617785334587097,0.0,0.0,0.0,0.0,0.0,0.9264991581439972,0.8833333333333333,0.846356658692185,0.9159152088632471,0.8635685950180632,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.9274320602416992,0.9,0.8773373617123618,0.9526881720430107,0.9169734824634542,0.006296202956989294,0.8635685950180632,7e-05,3.5e-05,0.5,113.13098192214966
33,1.2764510214328766,1.314720556139946,0.7954906597733498,0.7988152652978897,-0.18926508072763681,0.01850996958091855,1.2631821036338806,3.2927037477493286,1.7743016481399536,0.0,0.0,1.0,1.0,0.986328125,0.98828125,0.986328125,0.9609375,0.966796875,1.2631821036338806,1.195286363363266,1.331077754497528,0.01850996958091855,0.2655509077012539,0.2633053604513407,0.5052368268370628,0.4203662872314453,1.309166505932808,1.2527067810297012,1.743246391415596,0.0,0.0,0.0,0.0,0.0,0.8984068930149078,0.9416666666666667,0.8996653256164127,0.9543660872531499,0.9216042585970122,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.905671238899231,0.9333333333333333,0.912530138159069,0.9505376344086022,0.9249418070497947,0.010399865591397828,0.9216042585970122,7e-05,3.5e-05,0.5,106.13680911064148
34,1.2994552999734879,1.332483783364296,0.8111904561519623,0.801989734172821,-0.17091093864291906,0.018244777340441942,1.2277277708053589,3.8115600645542145,1.708178073167801,0.0,0.0,1.0,1.0,0.982421875,0.978515625,0.982421875,0.95703125,0.966796875,1.2277277708053589,1.1550562977790833,1.3003993034362793,0.018244777340441942,0.2703699991106987,0.25090935081243515,0.5069365128874779,0.4246727377176285,1.3052167743444443,1.2498337924480438,1.7522698938846588,0.0,0.0,0.0,0.0,0.0,0.8652403354644775,0.925,0.8944444444444444,0.9410854919205928,0.9085648528686503,0.925,0.925,0.925,0.8909060657024384,0.9166666666666666,0.918506816388192,0.9548387096774194,0.9317375730869893,0.0021925403225806495,0.9085648528686503,7e-05,3.5e-05,0.5,103.65576839447021
