epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_adversarial_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,10.05057601928711,5.348213863372803,3.291843366622925,3.163647270202637,-0.0016097739338874818,4.702845191955566,0.0,30.15293769836426,0.0,0.0,0.1375,0.13125,0.1375,0.16875,0.13125,0.0,0.0,0.0,4.702845191955566,0.9645529985427856,0.819524085521698,0.3543847382068634,0.2665618538856506,3.470986318588257,2.1800423145294188,6.270115661621094,2.256259858608246,0.1891891891891892,0.04583333333333333,0.10648148148148147,0.06339031339031338,0.1891891891891892,0.1891891891891892,0.18918918918918917,2.197184383869171,0.24324324324324326,0.08024691358024691,0.13636363636363635,0.04940730203888098,0.03238636363636366,0.06339031339031338,7e-05,3.5e-05,0.5,25.926201343536377
2,8.80792007446289,4.587445449829102,2.806607961654663,2.739750051498413,0.18142253458499907,4.166048145294189,0.0,25.223400497436522,0.0,0.0,0.175,0.1875,0.175,0.21875,0.1375,0.0,0.0,0.0,4.166048145294189,0.9446917533874511,0.7512763381004334,0.35385549664497373,0.26619415879249575,3.4073251724243163,2.1331042766571047,5.458953952789306,2.086493968963623,0.2702702702702703,0.17627401837928156,0.17592592592592593,0.14282828282828283,0.2702702702702703,0.2702702702702703,0.2702702702702703,2.0192670226097107,0.2702702702702703,0.13675213675213677,0.23484848484848486,0.08551872401637658,-0.016098484848484862,0.14282828282828283,7e-05,3.5e-05,0.5,26.163562297821045
3,7.91131067276001,4.023242330551147,2.491005849838257,2.3572870254516602,0.09063675105571747,3.8608774185180663,0.0,22.71518440246582,0.0,0.0,0.30625,0.28125,0.30625,0.29375,0.1875,0.0,0.0,0.0,3.8608774185180663,0.9208138942718506,0.7065614581108093,0.3523076713085175,0.264359188079834,3.379703998565674,2.0850762367248534,5.000695419311524,1.876237392425537,0.2702702702702703,0.09852216748768473,0.16203703703703706,0.10582010582010581,0.2702702702702703,0.2702702702702703,0.2702702702702703,1.8331522345542908,0.1891891891891892,0.09515669515669517,0.1893939393939394,0.06636343946285467,0.10435606060606062,0.10582010582010581,7e-05,3.5e-05,0.5,26.691848278045654
4,7.0382918357849125,3.703099822998047,2.310075521469116,2.1431143283843994,0.022165127843618394,3.328542423248291,0.0,21.28789825439453,0.0,0.0,0.35625,0.36875,0.35625,0.41875,0.2375,0.0,0.0,0.0,3.328542423248291,0.8147531270980835,0.611844289302826,0.3498732507228851,0.2629577875137329,3.33840012550354,1.9621171712875367,4.2053492069244385,1.6967713236808777,0.40540540540540543,0.44619883040935676,0.4074074074074074,0.3504232804232804,0.40540540540540543,0.40540540540540543,0.40540540540540543,1.6397214531898499,0.3783783783783784,0.32892416225749554,0.29545454545454547,0.289221357208335,0.12329545454545454,0.3504232804232804,7e-05,3.5e-05,0.5,26.318813800811768
5,6.7420025825500485,3.4697895526885985,2.164073181152344,2.0087944507598876,0.004691754281520843,3.270805549621582,0.0,20.085523986816405,0.0,0.0,0.425,0.35,0.425,0.48125,0.36875,0.0,0.0,0.0,3.270805549621582,0.8770896673202515,0.6675931334495544,0.3469933867454529,0.2603387475013733,3.29928035736084,1.9776395559310913,4.12121057510376,1.4871224761009216,0.5135135135135135,0.4205128205128205,0.4907407407407407,0.4177387914230019,0.5135135135135135,0.5135135135135135,0.5135135135135135,1.4458297491073608,0.5945945945945946,0.6163394597605124,0.5151515151515151,0.5462063378578805,-0.03390151515151513,0.4177387914230019,7e-05,3.5e-05,0.5,26.89103674888611
6,6.684079933166504,3.4463057041168215,2.1534086227416993,1.989072608947754,0.040076613426208496,3.225751209259033,0.8654367029666901,19.894375228881835,1.9352517127990723,0.05,0.43125,0.30625,0.43125,0.425,0.3625,0.8654367029666901,0.8846736550331116,0.8461997807025909,3.225751209259033,0.8462824344635009,0.632637882232666,0.34569355845451355,0.25957201719284057,3.2529444217681887,1.8978043794631958,4.065488481521607,1.305659294128418,0.7837837837837838,0.7546296296296295,0.8148148148148148,0.7753968253968253,0.7837837837837838,0.7837837837837838,0.7837837837837838,1.2886956930160522,0.7567567567567568,0.7603378103378103,0.7727272727272727,0.7818340518819419,-0.3477272727272727,0.7753968253968253,7e-05,3.5e-05,0.5,26.951459646224976
7,5.948320579528809,2.98561110496521,1.846566128730774,1.7523769855499267,0.00525299534201622,2.961133670806885,0.8136945962905884,18.278728866577147,1.8222975730895996,0.1,0.49375,0.45625,0.49375,0.48125,0.48125,0.8136945962905884,0.7121368646621704,0.915252298116684,2.961133670806885,0.9432205200195313,0.6371554791927337,0.34542641043663025,0.2574386954307556,3.206710433959961,1.895157527923584,3.6605371475219726,1.2835646867752075,0.8108108108108109,0.8129629629629629,0.8425925925925926,0.8148789482122816,0.8108108108108109,0.8108108108108109,0.8108108108108109,1.2582744359970093,0.8378378378378378,0.8365400032066699,0.8484848484848485,0.8571052260813832,-0.3672348484848485,0.8148789482122816,7e-05,3.5e-05,0.5,26.577674388885498
8,5.8279643058776855,2.922212600708008,1.7965490818023682,1.7317901372909545,0.05984765291213989,2.887797451019287,0.8054893314838409,18.17775115966797,1.7914010286331177,0.15,0.50625,0.5,0.50625,0.525,0.475,0.8054893314838409,0.7714956700801849,0.839482992887497,2.887797451019287,0.9485506772994995,0.6768798112869263,0.34210681915283203,0.2562141418457031,3.1998034000396727,1.8244929790496827,3.555644655227661,1.3640817403793335,0.8378378378378378,0.9047619047619047,0.8888888888888888,0.8653198653198654,0.8378378378378378,0.8378378378378378,0.8378378378378378,1.3444691896438599,0.8378378378378378,0.8606918861820823,0.8560606060606061,0.8371417962451314,-0.33106060606060606,0.8653198653198654,7e-05,3.5e-05,0.5,27.272926092147827
9,5.5661540031433105,2.87743239402771,1.839308261871338,1.597114133834839,-0.0057447440922260284,2.690444993972778,0.8055944442749023,18.137813758850097,1.8568078875541687,0.2,0.5875,0.48125,0.5875,0.5625,0.6,0.8055944442749023,0.7496050000190735,0.8615838885307312,2.690444993972778,0.859770905971527,0.667838966846466,0.34094809293746947,0.25486551523208617,3.1559167385101317,1.7945472717285156,3.2591323375701906,1.2994596362113953,0.8648648648648649,0.9079365079365078,0.9074074074074073,0.8857463524130192,0.8648648648648649,0.8648648648648649,0.8648648648648649,1.3000268936157227,0.8378378378378378,0.8668647256882551,0.9015151515151515,0.9051195676195677,-0.3390151515151515,0.8857463524130192,7e-05,3.5e-05,0.5,26.545600414276123
10,5.330329513549804,2.654584789276123,1.5911236524581909,1.636094093322754,-0.02102571725845337,2.6820523262023928,0.7704039216041565,17.957381820678712,1.6634799242019653,0.25,0.56875,0.59375,0.56875,0.59375,0.5125,0.7704039216041565,0.7830560207366943,0.7577517926692963,2.6820523262023928,0.86960768699646,0.7061723709106446,0.3387395918369293,0.25363945960998535,3.159021091461182,1.8391556978225707,3.2362708568573,1.2260199785232544,0.918918918918919,0.9407407407407405,0.9444444444444444,0.9331088664421999,0.918918918918919,0.918918918918919,0.918918918918919,1.2252861857414246,0.8918918918918919,0.9144517066085694,0.8863636363636364,0.883746761885399,-0.29261363636363635,0.9331088664421999,7e-05,3.5e-05,0.5,26.094647884368896
