epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_adversarial_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,9.618311166763306,5.025224566459656,3.0834962725639343,2.987274408340454,-0.24668607115745544,4.667092561721802,0.0,34.920915603637695,0.0,0.0,0.125,0.0625,0.125,0.1015625,0.15625,0.0,0.0,0.0,4.667092561721802,0.8754783868789673,1.7075865864753723,0.3549756109714508,0.27002964168787,3.482987701892853,1.8100485801696777,6.263773322105408,2.1868064403533936,0.34615384615384615,0.13888888888888887,0.22916666666666666,0.16379310344827586,0.34615384615384615,0.34615384615384615,0.34615384615384615,2.32486629486084,0.23076923076923078,0.1027077497665733,0.3125,0.15462184873949578,-0.2109375,0.16379310344827586,7e-05,3.5e-05,0.5,21.439289093017578
2,8.20884370803833,4.251468539237976,2.622863531112671,2.5055463910102844,-0.03411354683339596,3.967609167098999,0.0,28.955379009246826,0.0,0.0,0.25,0.25,0.25,0.234375,0.2578125,0.0,0.0,0.0,3.967609167098999,0.8958306461572647,1.9147680699825287,0.3535163849592209,0.2693103104829788,3.4708598852157593,1.7789334058761597,5.194330215454102,2.1189076900482178,0.2692307692307692,0.12310606060606061,0.20833333333333334,0.15350877192982457,0.2692307692307692,0.2692307692307692,0.2692307692307692,2.24814510345459,0.23076923076923078,0.11212121212121212,0.25,0.15844095641913358,-0.015625,0.15350877192982457,7e-05,3.5e-05,0.5,21.504411697387695
3,7.176577210426331,3.736124634742737,2.279817044734955,2.2404733896255493,-0.017532633617520332,3.445712447166443,0.0,25.511873245239258,0.0,0.0,0.296875,0.3125,0.296875,0.328125,0.3203125,0.0,0.0,0.0,3.445712447166443,0.8003498762845993,1.8332660496234894,0.35302408784627914,0.2674082964658737,3.4533597230911255,1.7578590512275696,4.397165298461914,2.101708173751831,0.2692307692307692,0.15674603174603174,0.25833333333333336,0.1762820512820513,0.2692307692307692,0.2692307692307692,0.2692307692307692,2.2423954010009766,0.15384615384615385,0.07017543859649124,0.23958333333333334,0.15871409292461924,0.08854166666666666,0.1762820512820513,7e-05,3.5e-05,0.5,22.23258066177368
4,6.652339458465576,3.311630129814148,1.9883800745010376,2.035769373178482,-0.017566464841365814,3.345979392528534,0.0,22.44182014465332,0.0,0.0,0.4453125,0.3984375,0.4453125,0.3984375,0.4453125,0.0,0.0,0.0,3.345979392528534,0.744333803653717,1.7839197218418121,0.3508487790822983,0.26682237535715103,3.4261248111724854,1.7292419373989105,4.25225043296814,2.259101390838623,0.2692307692307692,0.22619047619047616,0.3,0.2298534798534799,0.2692307692307692,0.2692307692307692,0.2692307692307692,2.382206439971924,0.19230769230769232,0.18333333333333335,0.22916666666666666,0.1850527749404154,0.16927083333333334,0.2298534798534799,7e-05,3.5e-05,0.5,21.958824396133423
5,6.239256262779236,3.1126787662506104,1.8824098706245422,1.8927215039730072,-0.059403086081147194,3.1443983912467957,0.0,21.817792415618896,0.0,0.0,0.4296875,0.4921875,0.4296875,0.421875,0.4375,0.0,0.0,0.0,3.1443983912467957,0.810971811413765,1.9113010466098785,0.3480776250362396,0.26396627724170685,3.392259120941162,1.688386231660843,3.95397412776947,2.3226821422576904,0.2692307692307692,0.20555555555555557,0.35000000000000003,0.23395445134575574,0.2692307692307692,0.2692307692307692,0.2692307692307692,2.4423930644989014,0.19230769230769232,0.18560606060606058,0.21875,0.23107009949115212,0.203125,0.23395445134575574,7e-05,3.5e-05,0.5,21.655462503433228
6,5.640347957611084,2.827249765396118,1.7036352157592773,1.7286378145217896,0.05914923641830683,2.7953532934188843,0.7851380407810211,20.075363636016846,2.04911732673645,0.05,0.515625,0.4921875,0.515625,0.4765625,0.4765625,0.7851380407810211,0.8581742644309998,0.7121018171310425,2.7953532934188843,0.7845569998025894,1.683606892824173,0.34609031677246094,0.262381374835968,3.3678258657455444,1.665963739156723,3.417792558670044,2.3083720207214355,0.2692307692307692,0.25,0.35000000000000003,0.23792270531400964,0.2692307692307692,0.2692307692307692,0.2692307692307692,2.389381170272827,0.23076923076923078,0.2261904761904762,0.22916666666666666,0.2577777777777778,0.24739583333333334,0.23792270531400964,7e-05,3.5e-05,0.5,22.673351287841797
7,5.537331581115723,2.7440901398658752,1.6384908854961395,1.7009219229221344,0.0014555947855114937,2.7928048372268677,0.7953172922134399,20.735774040222168,1.8885075449943542,0.1,0.5234375,0.5390625,0.5234375,0.609375,0.515625,0.7953172922134399,0.8705639243125916,0.7200706899166107,2.7928048372268677,0.792195200920105,1.7524727880954742,0.34288088232278824,0.2610217481851578,3.367714047431946,1.6686234176158905,3.4083542227745056,2.08657169342041,0.3076923076923077,0.25163398692810457,0.39166666666666666,0.27164502164502163,0.3076923076923077,0.3076923076923077,0.3076923076923077,2.142862319946289,0.3076923076923077,0.36296296296296293,0.2916666666666667,0.36243317789807356,0.3177083333333333,0.27164502164502163,7e-05,3.5e-05,0.5,21.09046506881714
8,5.3594337701797485,2.761160135269165,1.761883705854416,1.537348449230194,-0.05283998139202595,2.614125669002533,0.8414236009120941,20.171703815460205,1.9202502369880676,0.15,0.6015625,0.515625,0.6015625,0.6484375,0.5625,0.8414236009120941,0.839876800775528,0.8429704010486603,2.614125669002533,0.9183783233165741,1.7020382583141327,0.3408334106206894,0.26104068011045456,3.3235663175582886,1.5960415601730347,3.1424872875213623,1.9315645694732666,0.3076923076923077,0.4747474747474747,0.3875,0.27720797720797724,0.3076923076923077,0.3076923076923077,0.3076923076923077,1.979588270187378,0.34615384615384615,0.30317460317460315,0.4375,0.4497426552514862,0.2109375,0.27720797720797724,7e-05,3.5e-05,0.5,21.008185386657715
9,5.018441915512085,2.4777228832244873,1.5673019289970398,1.4006476700305939,0.020530063891783357,2.5345600843429565,0.7720543146133423,18.68935775756836,1.9315678477287292,0.2,0.671875,0.5859375,0.671875,0.6484375,0.578125,0.7720543146133423,0.7590048611164093,0.78510382771492,2.5345600843429565,0.8742510974407196,1.6379095613956451,0.33726584166288376,0.2601250633597374,3.321030557155609,1.6070758700370789,3.014941394329071,1.821601152420044,0.4230769230769231,0.4588744588744588,0.46249999999999997,0.35864135864135865,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.8860636949539185,0.4230769230769231,0.34487734487734484,0.46875,0.40388553017863366,0.1796875,0.35864135864135865,7e-05,3.5e-05,0.5,22.35659670829773
10,4.628027677536011,2.32136732339859,1.4068731665611267,1.4069141447544098,-0.006777917966246605,2.3086937069892883,0.7762377858161926,17.51907777786255,1.9050382375717163,0.25,0.625,0.671875,0.625,0.71875,0.6796875,0.7762377858161926,0.820482611656189,0.7319929301738739,2.3086937069892883,0.8906640708446503,1.536697655916214,0.3348551616072655,0.2583034187555313,3.305697798728943,1.5927855670452118,2.667305648326874,1.9351017475128174,0.34615384615384615,0.4928571428571428,0.4208333333333334,0.3101010101010101,0.34615384615384615,0.34615384615384615,0.34615384615384615,1.978313684463501,0.3076923076923077,0.23911273911273914,0.4583333333333333,0.44522173045806235,0.2604166666666667,0.3101010101010101,7e-05,3.5e-05,0.5,23.438894987106323
11,4.393022656440735,2.111006021499634,1.326190322637558,1.207408756017685,-0.008273538202047348,2.2844987511634827,0.7488454282283783,17.163976192474365,1.797690749168396,0.3,0.8046875,0.7109375,0.8046875,0.7421875,0.6953125,0.7488454282283783,0.7157337069511414,0.7819571495056152,2.2844987511634827,0.8671612739562988,1.7287359535694122,0.33505579829216003,0.2578292042016983,3.2430492639541626,1.5197083950042725,2.6386645436286926,1.9316036701202393,0.3076923076923077,0.15993265993265993,0.39999999999999997,0.22756410256410256,0.3076923076923077,0.3076923076923077,0.3076923076923077,1.9715142250061035,0.3076923076923077,0.24843674843674846,0.46875,0.5047712901371437,0.2734375,0.22756410256410256,7e-05,3.5e-05,0.5,20.065139532089233
