epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_adversarial_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,9.291149457295736,4.7958104610443115,2.830417776107788,3.0236811955769856,0.20399857660134632,4.434139315287272,0.0,28.081906127929688,0.0,0.0,0.14166666666666666,0.17083333333333334,0.14166666666666666,0.1875,0.17291666666666666,0.0,0.0,0.0,4.434139315287272,0.9971316019694011,0.342148224512736,0.3635174115498861,0.2704572816689809,3.503385559717814,2.085710302988688,5.860400708516439,2.364667296409607,0.30833333333333335,0.17388117283950616,0.2210054934902496,0.1395827912221355,0.30833333333333335,0.30833333333333335,0.30833333333333335,2.354171633720398,0.325,0.1730595757335448,0.3311827956989247,0.12908094028610287,-0.14368279569892473,0.1395827912221355,7e-05,3.5e-05,0.5,337.40234375
2,7.009222094217936,3.5380438327789308,2.1833590984344484,2.0841304540634153,0.10045168623328209,3.4410427729288737,0.0,21.148418935139976,0.0,0.0,0.35,0.35208333333333336,0.35,0.31875,0.3416666666666667,0.0,0.0,0.0,3.4410427729288737,0.9819048325220744,0.34646435181299845,0.3543309430281321,0.2655625323454539,3.411671272913615,1.9910894473393759,4.362601439158122,2.1787264347076416,0.16666666666666666,0.2997115384615384,0.3331741429302405,0.18524106967201598,0.16666666666666666,0.16666666666666666,0.16666666666666666,2.123971998691559,0.2,0.1871950532507887,0.15698924731182795,0.126976815345626,0.16176075268817203,0.18524106967201598,7e-05,3.5e-05,0.5,339.63951420783997
3,5.968202877044678,3.0176692326863606,1.8278581460316976,1.8304787238438924,-0.06346191142996152,2.969572162628174,0.0,19.752779388427733,0.0,0.0,0.47291666666666665,0.48541666666666666,0.47291666666666665,0.49583333333333335,0.42916666666666664,0.0,0.0,0.0,2.969572162628174,0.8785554647445679,0.34222559730211893,0.3465614040692647,0.26116334398587543,3.3163923740386965,1.8812219699223836,3.669041140874227,2.048651307821274,0.2916666666666667,0.6572871572871573,0.5167263321690682,0.4299221445824707,0.2916666666666667,0.2916666666666667,0.2916666666666667,1.9635189473628998,0.31666666666666665,0.41776980167073047,0.26881720430107525,0.3890316664224134,0.2270161290322581,0.4299221445824707,7e-05,3.5e-05,0.5,336.50484585762024
4,5.124825636545817,2.599491659800212,1.559156092007955,1.6005162954330445,-0.07411898324886958,2.547569672266642,0.0,18.591447194417317,0.0,0.0,0.5916666666666667,0.5958333333333333,0.5916666666666667,0.6145833333333334,0.6041666666666666,0.0,0.0,0.0,2.547569672266642,0.92688041528066,0.3382707178592682,0.33759774764378864,0.25739025870958965,3.2280813376108806,1.7762086709340414,3.050499407450358,1.4570325016975403,0.5916666666666667,0.667436974789916,0.7328627761422034,0.5883799231730458,0.5916666666666667,0.5916666666666667,0.5916666666666667,1.4009114801883698,0.6416666666666667,0.6151781101542503,0.5849462365591398,0.6019852922102057,0.029637096774193572,0.5883799231730458,7e-05,3.5e-05,0.5,338.30878257751465
5,4.571380011240641,2.230748748779297,1.3421481609344483,1.3670779148737588,-0.025682560416559377,2.3483359972635904,0.0,18.413117853800454,0.0,0.0,0.7,0.725,0.7,0.6625,0.7104166666666667,0.0,0.0,0.0,2.3483359972635904,0.9491217970848084,0.38163315256436664,0.3287026604016622,0.25312610069910685,3.1506769180297853,1.6895557085673014,2.770873959859212,1.5568826496601105,0.525,0.6921043811668811,0.7345238933918679,0.589378854549583,0.525,0.525,0.525,1.4951656758785248,0.6,0.6373809436189835,0.4817204301075269,0.5535974809948798,0.18077956989247307,0.589378854549583,7e-05,3.5e-05,0.5,307.05635833740234
6,4.380885648727417,2.11207693417867,1.2781743288040162,1.282927147547404,-0.02158080612619718,2.2752829869588216,0.9598346863474164,17.96183058420817,1.8650835582188197,0.05,0.74375,0.7541666666666667,0.74375,0.71875,0.7229166666666667,0.9598346863474164,0.8783677475793021,1.0413016421454293,2.2752829869588216,0.9679792126019796,0.3737623145182927,0.32145421107610067,0.250927139321963,3.110417032241821,1.6387442032496133,2.6709388732910155,1.324600100517273,0.6833333333333333,0.7104031385281386,0.7942155438675853,0.6727540911635956,0.6833333333333333,0.6833333333333333,0.6833333333333333,1.2395600974559784,0.7,0.6821598855385155,0.7096774193548387,0.6943699405714366,0.009072580645161255,0.6727540911635956,7e-05,3.5e-05,0.5,180.91676330566406
7,3.9654565811157227,1.9730948527654013,1.2132448593775431,1.1690000693003337,-0.027409788593649863,2.000584626197815,0.9219503062111991,16.312748527526857,1.7934472220284599,0.1,0.7958333333333333,0.7729166666666667,0.7958333333333333,0.8291666666666667,0.8020833333333334,0.9219503062111991,0.8742889932223729,0.9696116021701268,2.000584626197815,0.9682277242342631,0.40354137818018593,0.3159087220827738,0.2482055425643921,2.977267281214396,1.4782459179560343,2.286520497004191,1.2919844090938568,0.7583333333333333,0.7221565315315316,0.8454113489903522,0.7214401979155476,0.7583333333333333,0.7583333333333333,0.7583333333333333,1.2280150055885315,0.8333333333333334,0.7888392077928311,0.7870967741935484,0.7294962558426599,0.04206989247311832,0.7214401979155476,7e-05,3.5e-05,0.5,181.06841039657593
8,3.7649818897247314,1.8124074538548787,1.0938001155853272,1.1055498043696086,0.00787204752365748,1.95021280447642,0.8672861627170018,15.71102294921875,1.712396400315421,0.15,0.8625,0.85625,0.8625,0.8041666666666667,0.8333333333333334,0.8672861627170018,0.8645785025187901,0.8699938314301627,1.95021280447642,0.9695495128631592,0.45618011156717936,0.3090265432993571,0.2433572789033254,2.9503599484761556,1.4164684136708579,2.2212688604990642,1.3230455815792084,0.6833333333333333,0.6892957554141764,0.8035398621791783,0.6705869050793476,0.6833333333333333,0.6833333333333333,0.6833333333333333,1.2948671579360962,0.7083333333333334,0.7056390547565928,0.7784946236559139,0.7360772350401767,0.025672043010752765,0.6705869050793476,7e-05,3.5e-05,0.5,181.82662916183472
9,3.6134488582611084,1.773238968849182,1.0848919113477071,1.058995540936788,-0.004186492040753364,1.8414657990137735,0.8227856755256653,15.152839024861654,1.6878169775009155,0.2,0.8583333333333333,0.85625,0.8583333333333333,0.8875,0.8354166666666667,0.8227856755256653,0.8136560235704694,0.8319153359958104,1.8414657990137735,0.9784323652585347,0.5119067211945851,0.3020575483640035,0.24188632468382518,2.885205348332723,1.3541960795720418,2.069843117396037,1.280776470899582,0.75,0.7204992923742924,0.8457830610534747,0.7251176371358259,0.75,0.75,0.75,1.260399580001831,0.7666666666666667,0.7433798075876418,0.7913978494623656,0.737992098952335,0.09610215053763438,0.7251176371358259,7e-05,3.5e-05,0.5,185.0736539363861
10,3.453959083557129,1.6787329117457073,1.0268301049868265,1.0029274106025696,-0.03645822840432326,1.786163624127706,0.8621820552008492,14.661892509460449,1.5988517318453108,0.25,0.8854166666666666,0.8770833333333333,0.8854166666666666,0.89375,0.88125,0.8621820552008492,0.7936682445662362,0.9306958402906146,1.786163624127706,0.9949263413747151,0.4906539599100749,0.29762654304504393,0.2385145882765452,2.8146796067555746,1.2995968500773112,2.0000139713287353,1.0635645240545273,0.8583333333333333,0.8259948666198665,0.9072735986177132,0.8325709211908722,0.8583333333333333,0.8583333333333333,0.8583333333333333,1.0528761744499207,0.875,0.8491600239120505,0.9032258064516129,0.8760176141424953,-0.009475806451612834,0.8325709211908722,7e-05,3.5e-05,0.5,181.37128949165344
