epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_adversarial_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,9.93750286102295,5.348929119110108,3.2926589488983153,3.163492727279663,-0.0016383096575737,4.589065265655518,0.0,30.170444107055665,0.0,0.0,0.1375,0.13125,0.1375,0.16875,0.13125,0.0,0.0,0.0,4.589065265655518,0.9644976019859314,0.8194492340087891,0.35503212809562684,0.2666609466075897,3.4717565536499024,2.1808478832244873,6.269306945800781,2.2548301219940186,0.1891891891891892,0.04583333333333333,0.10648148148148147,0.06339031339031338,0.1891891891891892,0.1891891891891892,0.18918918918918917,2.196213960647583,0.24324324324324326,0.08024691358024691,0.13636363636363635,0.04940730203888098,0.03238636363636366,0.06339031339031338,7e-05,3.5e-05,0.5,26.539754152297974
2,8.68268928527832,4.581277370452881,2.8106219291687013,2.724085474014282,0.1717728190124035,4.0498803615570065,0.0,25.27675018310547,0.0,0.0,0.1875,0.19375,0.1875,0.21875,0.1375,0.0,0.0,0.0,4.0498803615570065,0.9143326163291932,0.7480374217033386,0.3562876880168915,0.26673595905303954,3.4081116199493406,2.133832597732544,5.454117298126221,2.074955999851227,0.24324324324324326,0.06517094017094018,0.1388888888888889,0.0857142857142857,0.24324324324324326,0.24324324324324326,0.24324324324324326,2.000479519367218,0.24324324324324326,0.08178053830227744,0.24242424242424243,0.08594944150499706,-0.02367424242424243,0.0857142857142857,7e-05,3.5e-05,0.5,26.707642555236816
3,7.806108474731445,4.029358386993408,2.495469570159912,2.359829044342041,0.1061465322971344,3.744906187057495,0.0,22.737376022338868,0.0,0.0,0.28125,0.275,0.28125,0.2875,0.19375,0.0,0.0,0.0,3.744906187057495,0.9221835613250733,0.7085514426231384,0.3571339249610901,0.26566116213798524,3.3817771911621093,2.0876010417938233,4.994816780090332,1.8889893293380737,0.2702702702702703,0.13194444444444445,0.16666666666666666,0.10916179337231968,0.2702702702702703,0.2702702702702703,0.2702702702702703,1.844942569732666,0.21621621621621623,0.07777777777777778,0.19696969696969696,0.06330302642250395,0.09053030303030302,0.10916179337231968,7e-05,3.5e-05,0.5,25.275318145751953
4,6.927892875671387,3.6986326694488527,2.317126178741455,2.125394654273987,0.12184443324804306,3.1927067756652834,0.0,21.09833679199219,0.0,0.0,0.3625,0.325,0.3625,0.45,0.225,0.0,0.0,0.0,3.1927067756652834,0.8283504486083985,0.6506666302680969,0.3570706069469452,0.26452499628067017,3.3347566604614256,1.9604871273040771,4.168928766250611,1.6957083940505981,0.40540540540540543,0.44619883040935676,0.4074074074074074,0.3504232804232804,0.40540540540540543,0.40540540540540543,0.40540540540540543,1.635304570198059,0.40540540540540543,0.3776455026455027,0.32575757575757575,0.3184457637702858,0.12424242424242427,0.3504232804232804,7e-05,3.5e-05,0.5,24.647220373153687
5,6.574967956542968,3.4236722946166993,2.115992879867554,2.011814522743225,0.010427215695381164,3.148167371749878,0.0,20.25396842956543,0.0,0.0,0.40625,0.3625,0.40625,0.4625,0.3375,0.0,0.0,0.0,3.148167371749878,0.8767433762550354,0.6706523418426513,0.3564677178859711,0.2627293050289154,3.302894115447998,1.985086488723755,4.101336526870727,1.4636181592941284,0.6216216216216216,0.6746913580246914,0.6759259259259259,0.6320987654320986,0.6216216216216216,0.6216216216216216,0.6216216216216216,1.4319357872009277,0.6486486486486487,0.6891774891774891,0.5681818181818182,0.5932713853789591,-0.10568181818181821,0.6320987654320986,7e-05,3.5e-05,0.5,26.52269411087036
6,6.461920070648193,3.3167327880859374,2.039216661453247,1.9654094219207763,0.06610676646232605,3.125355291366577,0.882301539182663,19.581425857543945,1.907443106174469,0.05,0.375,0.39375,0.375,0.4625,0.38125,0.882301539182663,0.8990218639373779,0.865581214427948,3.125355291366577,0.848937165737152,0.6369446754455567,0.3569257497787476,0.26214401721954345,3.2646896839141846,1.9167820453643798,4.076535320281982,1.3063138723373413,0.7567567567567568,0.7422839506172839,0.7962962962962963,0.7605820105820106,0.7567567567567568,0.7567567567567568,0.7567567567567567,1.2987395524978638,0.7297297297297297,0.7482044099691157,0.7954545454545454,0.8033011743068751,-0.3329545454545454,0.7605820105820106,7e-05,3.5e-05,0.5,25.830201625823975
7,5.881322383880615,3.010322666168213,1.8650892972946167,1.761897587776184,0.027289853990077974,2.8628126621246337,0.810039222240448,18.584545135498047,1.815467655658722,0.1,0.53125,0.45625,0.53125,0.54375,0.4625,0.810039222240448,0.7063329517841339,0.9137455523014069,2.8628126621246337,0.9545285940170288,0.6570701241493225,0.35927067399024964,0.2600896656513214,3.2180673122406005,1.9108052015304566,3.674985885620117,1.242885172367096,0.7567567567567568,0.7227513227513227,0.7777777777777778,0.7442458775792109,0.7567567567567568,0.7567567567567568,0.7567567567567567,1.2261438369750977,0.8648648648648649,0.8798263464930132,0.8484848484848485,0.862927603360889,-0.30473484848484855,0.7442458775792109,7e-05,3.5e-05,0.5,26.227651834487915
8,5.7011114120483395,2.8941320896148683,1.773317575454712,1.7243301391601562,0.02250991463661194,2.8002262115478516,0.7855100333690643,18.344030380249023,1.7293168902397156,0.15,0.5,0.49375,0.5,0.54375,0.45625,0.7855100333690643,0.7390603423118591,0.8319597244262695,2.8002262115478516,0.9443137884140015,0.6775546669960022,0.35787909030914306,0.25974284410476683,3.2056238651275635,1.8346987247467041,3.5864266395568847,1.2809656262397766,0.8108108108108109,0.8659611992945325,0.8611111111111112,0.8411151666053627,0.8108108108108109,0.8108108108108109,0.8108108108108109,1.26530122756958,0.8378378378378378,0.8631129219364514,0.8636363636363636,0.8566659943004029,-0.3198863636363637,0.8411151666053627,7e-05,3.5e-05,0.5,26.36055874824524
9,5.470346736907959,2.8780954837799073,1.8470189571380615,1.5862716674804687,-0.025106121599674226,2.5997830867767333,0.7955371737480164,18.276599884033203,1.789922058582306,0.2,0.6125,0.4875,0.6125,0.5375,0.53125,0.7955371737480164,0.7394662499427795,0.8516080677509308,2.5997830867767333,0.8672223329544068,0.6688107132911683,0.35833278894424436,0.2586668789386749,3.1690667152404783,1.81150221824646,3.2825698375701906,1.2874730229377747,0.8378378378378378,0.8955908289241622,0.8888888888888888,0.864395589885786,0.8378378378378378,0.8378378378378378,0.8378378378378378,1.3053467869758606,0.8378378378378378,0.8631610219845514,0.8863636363636364,0.8928264730503516,-0.3488636363636364,0.864395589885786,7e-05,3.5e-05,0.5,26.139668464660645
10,5.182262420654297,2.617234802246094,1.5468705654144288,1.6467143535614013,-0.008324044942855834,2.56752462387085,0.7271101474761963,17.52145175933838,1.6344493627548218,0.25,0.59375,0.6375,0.59375,0.58125,0.49375,0.7271101474761963,0.7206328213214874,0.7335875034332275,2.56752462387085,0.8808442711830139,0.702186894416809,0.35869513750076293,0.2580718040466309,3.1689587116241453,1.853201937675476,3.222550106048584,1.227853149175644,0.918918918918919,0.9407407407407405,0.9444444444444444,0.9331088664421999,0.918918918918919,0.918918918918919,0.918918918918919,1.2417359948158264,0.8648648648648649,0.8700617283950618,0.9090909090909091,0.9185998710115766,-0.327840909090909,0.9331088664421999,7e-05,3.5e-05,0.5,25.52355170249939
