epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_adversarial_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,9.171954854329426,4.796088409423828,2.830270544687907,3.0243353684743246,0.1970865378777186,4.316740687688192,0.0,28.093219375610353,0.0,0.0,0.14166666666666666,0.17083333333333334,0.14166666666666666,0.18541666666666667,0.17708333333333334,0.0,0.0,0.0,4.316740687688192,0.9926343202590943,0.3432919651269913,0.3664094547430674,0.27126535574595134,3.5036351044972736,2.0860244989395142,5.858489259084066,2.363494634628296,0.2916666666666667,0.11175595238095237,0.20483416481892092,0.12065844681634155,0.2916666666666667,0.2916666666666667,0.2916666666666667,2.3532704412937164,0.325,0.17383814102564105,0.3247311827956989,0.11575991575991575,-0.13931451612903223,0.12065844681634155,7e-05,3.5e-05,0.5,74.79424977302551
2,6.881427319844564,3.5282689730326333,2.1747862895329795,2.0822811047236125,0.06955879131952922,3.3322907129923505,0.0,21.13451728820801,0.0,0.0,0.3541666666666667,0.3458333333333333,0.3541666666666667,0.32708333333333334,0.3416666666666667,0.0,0.0,0.0,3.3322907129923505,0.9666525999704997,0.34450213114420575,0.36411512494087217,0.26831827163696287,3.410816717147827,1.9898717164993287,4.36936813990275,2.2809090614318848,0.11666666666666667,0.12705595107703543,0.2692201091591335,0.10438065245478037,0.11666666666666667,0.11666666666666667,0.11666666666666667,2.2120100259780884,0.15833333333333333,0.11490009561376838,0.12903225806451613,0.09355265763885681,0.1980510752688172,0.10438065245478037,7e-05,3.5e-05,0.5,75.0222601890564
3,5.826053333282471,3.016013431549072,1.8194260438283285,1.8409037272135416,-0.07635465065638224,2.832946300506592,0.0,19.581504821777344,0.0,0.0,0.47291666666666665,0.48541666666666666,0.47291666666666665,0.4666666666666667,0.4583333333333333,0.0,0.0,0.0,2.832946300506592,0.8671854058901469,0.3272025227546692,0.3630482772986094,0.26579935749371847,3.312666893005371,1.8780612548192341,3.629288641611735,1.9995127618312836,0.2833333333333333,0.5995206093189964,0.5119186398613758,0.40388132382614556,0.2833333333333333,0.2833333333333333,0.2833333333333333,1.9032052755355835,0.325,0.39516242529400425,0.27741935483870966,0.39276510270560855,0.189247311827957,0.40388132382614556,7e-05,3.5e-05,0.5,76.52063918113708
4,4.999336115519205,2.5945139567057294,1.5750827074050904,1.568355886141459,-0.09775306669374308,2.434148073196411,0.0,18.89283167521159,0.0,0.0,0.5895833333333333,0.5854166666666667,0.5895833333333333,0.6333333333333333,0.6104166666666667,0.0,0.0,0.0,2.434148073196411,0.8812152544657389,0.3515840510527293,0.36150981187820436,0.2643541375796,3.2270959854125976,1.777291472752889,3.0405709584554037,1.4887444972991943,0.6333333333333333,0.7110990127758421,0.7570486247580627,0.6057766803545014,0.6333333333333333,0.6333333333333333,0.6333333333333333,1.409199446439743,0.6916666666666667,0.6495523396976052,0.5526881720430108,0.5605337966391183,0.08064516129032251,0.6057766803545014,7e-05,3.5e-05,0.5,74.39362692832947
5,4.447540060679118,2.234602109591166,1.3572342236836752,1.3497968355814616,-0.08071222317715486,2.2371516545613606,0.0,18.718207550048827,0.0,0.0,0.7145833333333333,0.71875,0.7145833333333333,0.69375,0.7166666666666667,0.0,0.0,0.0,2.2371516545613606,0.9014320373535156,0.38555818796157837,0.35963073174158733,0.2623455027739207,3.148025878270467,1.6889058033625284,2.7599327405293783,1.545997530221939,0.5416666666666666,0.6200223387723388,0.7530812241840874,0.5703810690943044,0.5416666666666666,0.5416666666666666,0.5416666666666666,1.4481877982616425,0.6416666666666667,0.6358444913163895,0.524731182795699,0.5658937711851829,0.169018817204301,0.5703810690943044,7e-05,3.5e-05,0.5,77.15554785728455
6,4.314935843149821,2.1558074235916136,1.2889368216196695,1.333647092183431,-0.02786141186952591,2.167486810684204,0.9700517654418945,18.355971590677896,1.8838663271495275,0.05,0.7229166666666667,0.7333333333333333,0.7229166666666667,0.6979166666666666,0.7145833333333333,0.9700517654418945,0.920086111341204,1.020017419542585,2.167486810684204,0.918978238105774,0.3920829614003499,0.3561419705549876,0.2602118790149689,3.1211775143941245,1.6463058471679688,2.658921559651693,1.3126651048660278,0.7166666666666667,0.732805735930736,0.8104332206764604,0.7054251809686592,0.7166666666666667,0.7166666666666667,0.7166666666666667,1.233463615179062,0.75,0.7314169457423562,0.7591397849462366,0.7365996347270817,-0.061223118279569944,0.7054251809686592,7e-05,3.5e-05,0.5,73.15716123580933
7,3.8181602795918783,1.946760074297587,1.189835246404012,1.1644998033841452,-0.06957087268431981,1.8922714869181314,0.9377978103501456,15.78611348470052,1.7763602222715105,0.1,0.8083333333333333,0.7979166666666667,0.8083333333333333,0.8020833333333334,0.8,0.9377978103501456,0.8691905651773725,1.00640503849302,1.8922714869181314,0.9494201461474101,0.39843228658040364,0.35729316075642903,0.2588859419027964,2.9745591640472413,1.476052212715149,2.27371031443278,1.2656953930854797,0.775,0.6978388022795916,0.8532678217858495,0.7282307285763314,0.775,0.775,0.775,1.2084823250770569,0.7833333333333333,0.7498180550672363,0.7741935483870968,0.7096264188793242,0.027889784946236618,0.7282307285763314,7e-05,3.5e-05,0.5,76.63177967071533
8,3.621169376373291,1.8118643760681152,1.0857997099558512,1.1170226017634073,-0.0781746563812097,1.8327573617299397,0.8662443671907697,15.778361256917318,1.7069109337670463,0.15,0.825,0.8520833333333333,0.825,0.84375,0.84375,0.8662443671907697,0.8278121522494725,0.904676582132067,1.8327573617299397,0.9767833431561788,0.4272470772266388,0.3554910679658254,0.2555667519569397,2.9528956413269043,1.421032460530599,2.189117932319641,1.2701717615127563,0.7583333333333333,0.719951923076923,0.8350987725159252,0.7165662504839334,0.7583333333333333,0.7583333333333333,0.7583333333333333,1.232164591550827,0.7833333333333333,0.7533434211812843,0.810752688172043,0.768455115402545,0.032997311827956954,0.7165662504839334,7e-05,3.5e-05,0.5,77.2092821598053
9,3.5169530073801676,1.75814102490743,1.0736255526542664,1.0531007885932921,-0.025441877792278925,1.7664445161819458,0.8319130028997149,15.22346248626709,1.662186861038208,0.2,0.8583333333333333,0.8416666666666667,0.8583333333333333,0.9041666666666667,0.8395833333333333,0.8319130028997149,0.8127229639462062,0.8511030333382743,1.7664445161819458,0.9871539155642192,0.5126712322235107,0.3515931765238444,0.25399760007858274,2.87860639890035,1.3494041681289672,2.1017095963160197,1.1899281740188599,0.7916666666666666,0.7380973193473194,0.8758477074357244,0.7675667705116643,0.7916666666666666,0.7916666666666666,0.7916666666666666,1.1436143815517426,0.8083333333333333,0.7893147840531562,0.8279569892473119,0.7856658262754025,0.0762096774193548,0.7675667705116643,7e-05,3.5e-05,0.5,78.01792168617249
10,3.3189844608306887,1.6566778977711996,1.0037449240684508,1.0045123020807902,-0.05368352606892586,1.6784116506576539,0.8437083959579468,13.870427322387695,1.5671808549336024,0.25,0.88125,0.8729166666666667,0.88125,0.9125,0.88125,0.8437083959579468,0.7962797965322223,0.8911369868687221,1.6784116506576539,0.9675722678502401,0.5181708633899689,0.3517378667990367,0.2523396134376526,2.810124890009562,1.2929912010828655,1.9790481487909952,1.0921860486268997,0.8666666666666667,0.8306136718608115,0.9080587360677499,0.8407133742149806,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.0507281422615051,0.875,0.8413768419448606,0.8731182795698925,0.8391404947366357,0.03938172043010746,0.8407133742149806,7e-05,3.5e-05,0.5,74.93524122238159
