epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_adversarial_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,9.244909524917603,4.8258376121521,2.830482006072998,3.069778025150299,0.07331454008817673,4.397077322006226,0.0,30.916128158569336,0.0,0.0,0.09375,0.15625,0.09375,0.1328125,0.1640625,0.0,0.0,0.0,4.397077322006226,1.4632850587368011,0.9255653321743011,0.3507956340909004,0.262925386428833,3.4994248747825623,1.8154016137123108,5.90997314453125,2.3924777507781982,0.038461538461538464,0.013888888888888888,0.03333333333333333,0.0196078431372549,0.038461538461538464,0.038461538461538464,0.038461538461538464,2.312427520751953,0.07692307692307693,0.047619047619047616,0.0625,0.03344389165284688,0.0703125,0.0196078431372549,7e-05,3.5e-05,0.5,21.640735149383545
2,7.828536152839661,4.065475940704346,2.4748314023017883,2.4471455216407776,-0.03835510462522507,3.7745668292045593,0.0,26.36860466003418,0.0,0.0,0.2109375,0.25,0.2109375,0.2421875,0.2890625,0.0,0.0,0.0,3.7745668292045593,1.4083262085914612,0.8563188016414642,0.347637377679348,0.2607947289943695,3.496208071708679,1.8145688474178314,4.954330921173096,2.288729667663574,0.15384615384615385,0.06666666666666667,0.13333333333333333,0.08888888888888889,0.15384615384615385,0.15384615384615385,0.15384615384615385,2.2302703857421875,0.19230769230769232,0.07936507936507936,0.17708333333333334,0.1146796146796147,0.06510416666666666,0.08888888888888889,7e-05,3.5e-05,0.5,20.953121423721313
3,7.241257667541504,3.695609986782074,2.1778621077537537,2.3349967002868652,0.004377501085400581,3.5443344116210938,0.0,25.079023361206055,0.0,0.0,0.3046875,0.2890625,0.3046875,0.3046875,0.3671875,0.0,0.0,0.0,3.5443344116210938,1.5204770267009735,0.8159034103155136,0.34698114544153214,0.2598128616809845,3.468528389930725,1.7983257472515106,4.606106281280518,2.2892556190490723,0.15384615384615385,0.09722222222222221,0.18333333333333335,0.12549019607843137,0.15384615384615385,0.15384615384615385,0.15384615384615385,2.371598243713379,0.15384615384615385,0.06349206349206349,0.125,0.09056499056499055,0.1796875,0.12549019607843137,7e-05,3.5e-05,0.5,21.99814534187317
4,6.590428352355957,3.3063610792160034,1.9663286805152893,2.0615883469581604,0.05574503820389509,3.267343759536743,0.0,21.798015117645264,0.0,0.0,0.421875,0.359375,0.421875,0.3984375,0.390625,0.0,0.0,0.0,3.267343759536743,1.491893321275711,0.8589231818914413,0.34131471812725067,0.2580973356962204,3.4477996230125427,1.7513228952884674,4.191815495491028,2.2576587200164795,0.11538461538461539,0.05787037037037037,0.19999999999999998,0.08624708624708625,0.11538461538461539,0.11538461538461539,0.11538461538461539,2.3044657707214355,0.11538461538461539,0.049999999999999996,0.11458333333333333,0.08087024087024086,0.2838541666666667,0.08624708624708625,7e-05,3.5e-05,0.5,22.77198839187622
5,6.2395259141922,3.1648172736167908,1.9340229332447052,1.8935297131538391,0.06755512207746506,3.054442048072815,0.0,20.905014991760254,0.0,0.0,0.421875,0.421875,0.421875,0.40625,0.4375,0.0,0.0,0.0,3.054442048072815,1.546755850315094,0.9956543892621994,0.33771343529224396,0.2559879198670387,3.4290964007377625,1.7439895868301392,3.8693647980690002,2.2111306190490723,0.3076923076923077,0.15993265993265993,0.3833333333333333,0.223015873015873,0.3076923076923077,0.3076923076923077,0.3076923076923077,2.2295615673065186,0.2692307692307692,0.1851851851851852,0.21875,0.15445665445665446,0.1875,0.223015873015873,7e-05,3.5e-05,0.5,21.810057401657104
6,5.486046195030212,2.703999161720276,1.6482722163200378,1.624195396900177,0.04698617197573185,2.7679511308670044,0.9463467597961426,18.387686729431152,2.149546504020691,0.05,0.5625,0.515625,0.5625,0.5546875,0.5390625,0.9463467597961426,1.0685197412967682,0.8241738677024841,2.7679511308670044,1.714632511138916,0.9949617087841034,0.3369971886277199,0.2573332339525223,3.4105740189552307,1.730324923992157,3.4258387088775635,2.124603033065796,0.23076923076923078,0.11958874458874458,0.31666666666666665,0.16666666666666666,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.138984441757202,0.19230769230769232,0.14175824175824178,0.17708333333333334,0.13217503350882284,0.37760416666666663,0.16666666666666666,7e-05,3.5e-05,0.5,21.37215256690979
7,5.490435242652893,2.8545387983322144,1.7775324881076813,1.656932771205902,0.09243032429367304,2.608167350292206,0.8712843954563141,19.587758541107178,2.108110785484314,0.1,0.609375,0.453125,0.609375,0.546875,0.6328125,0.8712843954563141,1.0473929643630981,0.69517582654953,2.608167350292206,1.4986050724983215,0.9586306810379028,0.333514079451561,0.2564444839954376,3.386015236377716,1.692799150943756,3.184014618396759,2.0925140380859375,0.3076923076923077,0.17165242165242164,0.39999999999999997,0.21311150722915428,0.3076923076923077,0.3076923076923077,0.3076923076923077,2.0757808685302734,0.3076923076923077,0.21176470588235297,0.17708333333333334,0.12708646751199945,0.36979166666666663,0.21311150722915428,7e-05,3.5e-05,0.5,20.89785122871399
8,5.254043340682983,2.6967350840568542,1.7418411374092102,1.4690676629543304,0.10768304765224457,2.5250033140182495,0.9515469372272491,18.312828540802002,2.1214953660964966,0.15,0.671875,0.5234375,0.671875,0.6015625,0.53125,0.9515469372272491,1.1838903427124023,0.719203531742096,2.5250033140182495,1.5831630229949951,0.9153506010770798,0.33142003417015076,0.25647424906492233,3.3783268332481384,1.6910947859287262,3.051333963871002,2.057262420654297,0.23076923076923078,0.08158508158508158,0.3333333333333333,0.1297134238310709,0.23076923076923078,0.23076923076923078,0.23076923076923078,1.9855514764785767,0.23076923076923078,0.1297134238310709,0.25,0.249360162744647,0.3515625,0.1297134238310709,7e-05,3.5e-05,0.5,20.743234395980835
9,5.32059645652771,2.7366808652877808,1.7210786044597626,1.5624651610851288,0.09732839372009039,2.554716944694519,0.821612149477005,19.92569351196289,1.9790621995925903,0.2,0.6328125,0.5234375,0.6328125,0.625,0.578125,0.821612149477005,0.9679602086544037,0.6752641201019287,2.554716944694519,1.7255015969276428,0.9460834562778473,0.33099034428596497,0.25464142858982086,3.398735821247101,1.7245582938194275,3.0815229415893555,2.0158088207244873,0.2692307692307692,0.25252525252525254,0.3666666666666667,0.19017094017094016,0.2692307692307692,0.2692307692307692,0.2692307692307692,1.9324531555175781,0.2692307692307692,0.19444444444444445,0.2916666666666667,0.2970851498437706,0.3333333333333333,0.19017094017094016,7e-05,3.5e-05,0.5,21.805652856826782
10,4.7637165784835815,2.2961589097976685,1.428775280714035,1.3344363570213318,0.15633994340896606,2.4206557273864746,0.8201436698436737,17.274202346801758,2.003552734851837,0.25,0.71875,0.625,0.71875,0.7109375,0.765625,0.8201436698436737,0.9882893264293671,0.651997983455658,2.4206557273864746,1.513608157634735,1.0597562789916992,0.32815322279930115,0.2535853981971741,3.331883192062378,1.6463411152362823,2.8898592591285706,1.8581750392913818,0.34615384615384615,0.48148148148148145,0.4833333333333334,0.3522727272727273,0.34615384615384615,0.34615384615384615,0.34615384615384615,1.8017070293426514,0.34615384615384615,0.3522727272727273,0.3541666666666667,0.38871900824341377,0.3567708333333333,0.3522727272727273,7e-05,3.5e-05,0.5,20.753049850463867
