epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_adversarial_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,9.475541114807129,5.028073191642761,3.0340436697006226,3.0677376985549927,0.07505309581756592,4.424951791763306,0.0,33.71291971206665,0.0,0.0,0.1484375,0.09375,0.1484375,0.1484375,0.0703125,0.0,0.0,0.0,4.424951791763306,0.36789020895957947,0.628939300775528,0.3469903916120529,0.2717476710677147,3.485926866531372,1.8021970391273499,6.324546456336975,2.9410789012908936,0.23076923076923078,0.05555555555555555,0.125,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.9061498641967773,0.2692307692307692,0.16025641025641027,0.3125,0.1866537717601547,-0.1640625,0.07692307692307693,7e-05,3.5e-05,0.5,20.6882746219635
2,7.739721775054932,4.171927213668823,2.4093684554100037,2.711628794670105,-0.03321969136595726,3.577760338783264,0.0,28.767465114593506,0.0,0.0,0.1640625,0.2265625,0.1640625,0.2109375,0.1953125,0.0,0.0,0.0,3.577760338783264,0.3891109228134155,0.6664456874132156,0.34701842069625854,0.26999759674072266,3.473535120487213,1.791337937116623,5.023068428039551,2.575343370437622,0.15384615384615385,0.16666666666666666,0.20833333333333334,0.1638888888888889,0.15384615384615385,0.15384615384615385,0.15384615384615385,2.5448696613311768,0.2692307692307692,0.29074074074074074,0.23958333333333334,0.1891552861084922,-0.028645833333333343,0.1638888888888889,7e-05,3.5e-05,0.5,20.80170440673828
3,7.096541166305542,3.7646528482437134,2.295977294445038,2.2595009207725525,0.007882287725806236,3.3295236825942993,0.0,25.31225872039795,0.0,0.0,0.3125,0.28125,0.3125,0.28125,0.2109375,0.0,0.0,0.0,3.3295236825942993,0.3254917338490486,0.576115645468235,0.3442733883857727,0.26842866092920303,3.4552968740463257,1.7571193277835846,4.647617340087891,2.415675163269043,0.07692307692307693,0.030303030303030304,0.16666666666666666,0.05128205128205129,0.07692307692307693,0.07692307692307693,0.07692307692307693,2.3379945755004883,0.15384615384615385,0.19393939393939394,0.1875,0.19685483598527076,0.09375,0.05128205128205129,7e-05,3.5e-05,0.5,21.22421908378601
4,6.515137314796448,3.458280920982361,2.136529564857483,2.0334637463092804,0.06842570938169956,3.036328673362732,0.0,22.99276828765869,0.0,0.0,0.390625,0.359375,0.390625,0.4140625,0.4140625,0.0,0.0,0.0,3.036328673362732,0.3987613320350647,0.7289640605449677,0.3402739465236664,0.26836515963077545,3.446578621864319,1.7767566740512848,4.195812702178955,2.492471933364868,0.23076923076923078,0.11805555555555557,0.25,0.14080459770114942,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.3990416526794434,0.23076923076923078,0.16049382716049382,0.28125,0.22782874617737003,0.1328125,0.14080459770114942,7e-05,3.5e-05,0.5,21.115719079971313
5,5.839607119560242,3.138624906539917,1.9241219758987427,1.8684660494327545,0.015230026096105576,2.6964131593704224,0.0,21.20304250717163,0.0,0.0,0.46875,0.421875,0.46875,0.4296875,0.328125,0.0,0.0,0.0,2.6964131593704224,0.3516121879220009,0.6090078353881836,0.33771856874227524,0.2667643874883652,3.4127882719039917,1.7258974015712738,3.681535243988037,2.374159336090088,0.2692307692307692,0.20454545454545456,0.2916666666666667,0.2006172839506173,0.2692307692307692,0.2692307692307692,0.2692307692307692,2.2054290771484375,0.3076923076923077,0.26807760141093473,0.2916666666666667,0.25021712697585546,0.13802083333333331,0.2006172839506173,7e-05,3.5e-05,0.5,20.54474663734436
6,5.535053610801697,3.0087850093841553,1.8723375797271729,1.7483807504177094,0.02223483845591545,2.5195981860160828,1.0009939670562744,20.278793811798096,2.1602612733840942,0.05,0.515625,0.421875,0.515625,0.4765625,0.4609375,1.0009939670562744,1.09884113073349,0.9031467735767365,2.5195981860160828,0.4003344178199768,0.7505460828542709,0.3356010913848877,0.2658062130212784,3.402596592903137,1.696654051542282,3.411726415157318,2.348404884338379,0.34615384615384615,0.30833333333333335,0.375,0.2888888888888888,0.34615384615384615,0.34615384615384615,0.34615384615384615,2.1814260482788086,0.34615384615384615,0.2888888888888888,0.2604166666666667,0.2023715415019763,0.21614583333333331,0.2888888888888888,7e-05,3.5e-05,0.5,20.720223903656006
7,5.025320887565613,2.624492824077606,1.550758719444275,1.6518986821174622,-0.03539418615400791,2.411446452140808,0.9605962932109833,18.478817462921143,1.9330264925956726,0.1,0.515625,0.5390625,0.515625,0.546875,0.5703125,0.9605962932109833,1.1125240325927734,0.8086685836315155,2.411446452140808,0.41030970960855484,0.5899270921945572,0.3347800225019455,0.26574715971946716,3.354902923107147,1.6389337182044983,3.251461386680603,2.1642777919769287,0.34615384615384615,0.293859649122807,0.375,0.28055555555555556,0.34615384615384615,0.34615384615384615,0.34615384615384615,2.01288104057312,0.38461538461538464,0.31388888888888894,0.28125,0.23821733821733818,0.265625,0.28055555555555556,7e-05,3.5e-05,0.5,21.02097249031067
8,4.9285889863967896,2.654909610748291,1.6378406286239624,1.5647216141223907,0.016699383035302162,2.268669545650482,0.9013558328151703,17.95191240310669,1.9580496549606323,0.15,0.578125,0.5859375,0.578125,0.625,0.65625,0.9013558328151703,0.9113346934318542,0.8913769721984863,2.268669545650482,0.3468479514122009,0.7032677084207535,0.33184288442134857,0.2645086944103241,3.3221620321273804,1.6058572232723236,3.035020589828491,1.8912988901138306,0.4230769230769231,0.2261904761904762,0.5,0.30994152046783624,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.7419697046279907,0.46153846153846156,0.44327485380116954,0.3645833333333333,0.3408383263646422,0.2604166666666667,0.30994152046783624,7e-05,3.5e-05,0.5,22.001655101776123
9,4.778702020645142,2.509879946708679,1.4782033562660217,1.5871948301792145,0.01451089046895504,2.2644688487052917,0.8945201337337494,18.585469722747803,2.045482873916626,0.2,0.5546875,0.6640625,0.5546875,0.625,0.5625,0.8945201337337494,0.9780606627464294,0.8109796047210693,2.2644688487052917,0.369499146938324,0.6910893321037292,0.332563653588295,0.2656068354845047,3.317667543888092,1.6191878616809845,3.023163855075836,1.8134703636169434,0.4230769230769231,0.2196969696969697,0.5,0.30416666666666664,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.6760131120681763,0.5,0.4857142857142857,0.4166666666666667,0.36598943691966945,0.20833333333333331,0.30416666666666664,7e-05,3.5e-05,0.5,20.737231016159058
10,4.530420780181885,2.376958966255188,1.5273959338665009,1.307020127773285,-0.02868841402232647,2.1620684564113617,0.8847040235996246,17.778197765350342,1.9074820280075073,0.25,0.75,0.6640625,0.75,0.6328125,0.703125,0.8847040235996246,1.0085179805755615,0.7608900964260101,2.1620684564113617,0.40654927492141724,0.7173588424921036,0.3278914988040924,0.2611788362264633,3.3015490770339966,1.5681507885456085,2.8723056316375732,1.849916696548462,0.38461538461538464,0.19023569023569023,0.4666666666666666,0.26746031746031745,0.38461538461538464,0.38461538461538464,0.38461538461538464,1.6972646713256836,0.38461538461538464,0.3047008547008547,0.4166666666666667,0.3673991465753479,0.21614583333333331,0.26746031746031745,7e-05,3.5e-05,0.5,21.785346508026123
