epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_adversarial_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,9.027008883158366,4.804937744140625,2.8384107907613116,3.0254262924194335,0.22369607190291088,4.154962317148844,0.0,28.088054529825847,0.0,0.0,0.14375,0.175,0.14375,0.1875,0.16875,0.0,0.0,0.0,4.154962317148844,0.997110911210378,0.3462971051534017,0.3632876257101695,0.26992278297742206,3.5035207748413084,2.0865039825439453,5.862210241953532,2.3735545873641968,0.30833333333333335,0.183378721859114,0.2210054934902496,0.1408153549546992,0.30833333333333335,0.30833333333333335,0.30833333333333335,2.3627862632274628,0.31666666666666665,0.17224683918232309,0.3311827956989247,0.12706678415959305,-0.14368279569892473,0.1408153549546992,7e-05,3.5e-05,0.5,80.14633822441101
2,6.729312610626221,3.5363577683766683,2.17866956392924,2.088751125335693,0.07753028372923533,3.16969575881958,0.0,21.062586085001627,0.0,0.0,0.35625,0.35,0.35625,0.31666666666666665,0.325,0.0,0.0,0.0,3.16969575881958,0.9708162466684978,0.3389854967594147,0.3542985002199809,0.2659858206907908,3.4147624174753823,1.993632698059082,4.36460854212443,2.281413733959198,0.125,0.258739837398374,0.29422010915913355,0.14327693442968586,0.125,0.125,0.125,2.2336888909339905,0.15833333333333333,0.15119727796358232,0.12903225806451613,0.08993181969714836,0.18763440860215053,0.14327693442968586,7e-05,3.5e-05,0.5,77.10705399513245
3,5.709169069925944,3.0213560740152996,1.835289216041565,1.8247183005015055,-0.09802617530028025,2.717220910390218,0.0,19.71689135233561,0.0,0.0,0.475,0.47708333333333336,0.475,0.5,0.43125,0.0,0.0,0.0,2.717220910390218,0.8809338808059692,0.3501578708489736,0.3463812549908956,0.26201967398325604,3.3228887557983398,1.8887519836425781,3.687828286488851,2.031189262866974,0.2916666666666667,0.5604630171740828,0.5048936526534618,0.3900201068403768,0.2916666666666667,0.2916666666666667,0.2916666666666667,1.966362714767456,0.2916666666666667,0.37030241116326024,0.2838709677419355,0.3985580488338785,0.2161290322580645,0.3900201068403768,7e-05,3.5e-05,0.5,74.05947065353394
4,4.858799584706625,2.608408069610596,1.560426394144694,1.6122795661290488,-0.10864764923850695,2.2829858303070067,0.0,18.711766052246094,0.0,0.0,0.59375,0.6104166666666667,0.59375,0.6083333333333333,0.5958333333333333,0.0,0.0,0.0,2.2829858303070067,0.9072551449139913,0.3404991547266642,0.3377285142739614,0.25829418897628786,3.234652344385783,1.7854166666666667,3.039201752344767,1.5612483024597168,0.5333333333333333,0.6098271098271099,0.7008454827251221,0.558156237903956,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.5229913294315338,0.5916666666666667,0.5830361749963143,0.5075268817204301,0.5409257370244323,0.10080645161290314,0.558156237903956,7e-05,3.5e-05,0.5,77.11885690689087
5,4.324298175175985,2.246674823760986,1.3519645611445108,1.3764773289362588,-0.06711446906750401,2.097757681210836,0.0,18.207676060994466,0.0,0.0,0.7083333333333334,0.70625,0.7083333333333334,0.6729166666666667,0.69375,0.0,0.0,0.0,2.097757681210836,0.9226765116055806,0.3739267408847809,0.3290936052799225,0.25403907100359596,3.169805367787679,1.7144808292388916,2.7692902723948163,1.5734922587871552,0.5166666666666667,0.7031055419213315,0.7338611150249537,0.5842159338482867,0.5166666666666667,0.5166666666666667,0.5166666666666667,1.4937471449375153,0.6083333333333333,0.6400330577575158,0.4817204301075269,0.5418615044456312,0.1911962365591398,0.5842159338482867,7e-05,3.5e-05,0.5,77.99795866012573
6,4.109329684575399,2.110788917541504,1.2540913661321005,1.3179962793986002,-0.03320643343031406,2.008502697944641,0.9773691381726947,17.397258122762043,1.9073152201516288,0.05,0.7354166666666667,0.7604166666666666,0.7354166666666667,0.7229166666666667,0.7416666666666667,0.9773691381726947,0.9000923803874424,1.054645904472896,2.008502697944641,0.9819120049476624,0.37661670247713724,0.32223024368286135,0.2505804737408956,3.1393930912017822,1.6705764452616374,2.638573439915975,1.3168505728244781,0.6583333333333333,0.7472587719298245,0.7867057551409355,0.6945912416283987,0.6583333333333333,0.6583333333333333,0.6583333333333333,1.253193587064743,0.7416666666666667,0.7347451232977549,0.6709677419354839,0.7041951783174671,0.05194892473118273,0.6945912416283987,7e-05,3.5e-05,0.5,76.63547134399414
7,3.774544127782186,1.9889497677485148,1.2290681680043538,1.1690486749013265,-0.01441310408214728,1.7899182955423991,0.9109385354178292,17.10451800028483,1.792664681162153,0.1,0.8125,0.7791666666666667,0.8125,0.8145833333333333,0.7979166666666667,0.9109385354178292,0.8291040488651821,0.992773039000375,1.7899182955423991,1.003355093797048,0.40159666538238525,0.317560734351476,0.24840387801329294,2.996211385726929,1.5027638991673788,2.324418830871582,1.4219872653484344,0.7,0.7188876638712165,0.800934285756661,0.6673709256429845,0.7,0.7,0.7,1.355600267648697,0.775,0.7403818594731457,0.7311827956989247,0.6943872074815781,0.08340053763440858,0.6673709256429845,7e-05,3.5e-05,0.5,80.84703803062439
8,3.53599222501119,1.8343110720316569,1.1123875856399537,1.1106515487035116,-0.05171533102790515,1.717195741335551,0.8614302788461957,15.358302370707195,1.7160731894629342,0.15,0.8395833333333333,0.825,0.8395833333333333,0.8229166666666666,0.8229166666666666,0.8614302788461957,0.8259451729910714,0.8969154102461678,1.717195741335551,0.9889620701471965,0.4376248260339101,0.3108254452546438,0.2439134548107783,2.971333408355713,1.4406481583913167,2.2215334018071493,1.279143214225769,0.7,0.6772569444444444,0.8144035180090323,0.6774231750043245,0.7,0.7,0.7,1.264387309551239,0.725,0.6952314410056147,0.7677419354838709,0.7234115769848866,0.0551747311827957,0.6774231750043245,7e-05,3.5e-05,0.5,76.51800036430359
9,3.37791117032369,1.770120898882548,1.0798580567042033,1.0619428435961404,-0.05169835363825162,1.623299781481425,0.799680735383715,14.594678433736165,1.6450989416667394,0.2,0.8625,0.84375,0.8625,0.8916666666666667,0.8208333333333333,0.799680735383715,0.8080138223511832,0.7913476824760437,1.623299781481425,1.0098962624867758,0.5321108599503835,0.3032868762811025,0.24218785762786865,2.916127077738444,1.3939778645833334,2.0825658480326337,1.2329317927360535,0.7833333333333333,0.7430799592564298,0.8662680108862506,0.7560626015594931,0.7833333333333333,0.7833333333333333,0.7833333333333333,1.2260138988494873,0.7833333333333333,0.7600389312270117,0.8236559139784946,0.7725357231107262,0.06801075268817214,0.7560626015594931,7e-05,3.5e-05,0.5,76.1097640991211
10,3.233935801188151,1.6702212969462076,1.0209371368090312,0.9988987843195597,-0.016628844228883586,1.5687031507492066,0.833867575441088,14.679364585876465,1.580162627356393,0.25,0.8895833333333333,0.86875,0.8895833333333333,0.8958333333333334,0.86875,0.833867575441088,0.7874513438769749,0.8802838325500488,1.5687031507492066,1.0193295200665793,0.5044590572516123,0.2979001144568125,0.23841172258059184,2.8594816525777182,1.354009175300598,2.0037221829096477,1.0630976408720016,0.8666666666666667,0.8096566627816627,0.9085634672856306,0.8296493800127521,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.0547366291284561,0.875,0.8365714885247729,0.9053763440860215,0.868024412946589,-0.009543010752688152,0.8296493800127521,7e-05,3.5e-05,0.5,73.95588564872742
