epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_adversarial_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,9.149655520915985,4.830590307712555,2.8137116134166718,3.1028904914855957,-0.07843233412131667,4.3425949066877365,0.0,27.220978021621704,0.0,0.0,0.125,0.173828125,0.125,0.140625,0.17578125,0.0,0.0,0.0,4.3425949066877365,1.0846317484974861,1.0090185403823853,0.36553893238306046,0.2629594411700964,3.485230341553688,2.175776995718479,6.011323511600494,2.4608639240264893,0.13636363636363635,0.1683964183964184,0.1851851851851852,0.09828990181931357,0.13636363636363635,0.13636363636363635,0.13636363636363635,2.4547019958496095,0.16666666666666666,0.12791685587007223,0.14201183431952663,0.12429330922585494,-0.0013868343195266308,0.09828990181931357,7e-05,3.5e-05,0.5,77.54772615432739
2,7.482943147420883,3.899389237165451,2.24453853815794,2.54592427611351,-0.057864683447405696,3.600913390517235,0.0,21.445613265037537,0.0,0.0,0.228515625,0.302734375,0.228515625,0.232421875,0.310546875,0.0,0.0,0.0,3.600913390517235,1.0138285979628563,0.8216028474271297,0.3554765656590462,0.25743506476283073,3.456250160932541,2.133909195661545,4.8800704181194305,2.044078302383423,0.3409090909090909,0.4368075987069122,0.4421957671957672,0.34581261750979714,0.3409090909090909,0.3409090909090909,0.3409090909090909,2.0488511323928833,0.2878787878787879,0.2916150072637012,0.3431952662721893,0.3525175617699798,-0.11077339127218933,0.34581261750979714,7e-05,3.5e-05,0.5,81.23462080955505
3,6.619014769792557,3.481238901615143,1.9476908221840858,2.3593048080801964,-0.18621951388195157,3.193641722202301,0.0,19.78865361213684,0.0,0.0,0.271484375,0.453125,0.271484375,0.26171875,0.48828125,0.0,0.0,0.0,3.193641722202301,1.0813060700893402,0.8212461918592453,0.34398977272212505,0.25205374881625175,3.4310545921325684,2.1154351979494095,4.263496413826942,2.0053693532943724,0.25,0.4724312922350389,0.35545380545380545,0.2308948998789562,0.25,0.25,0.25,1.954313039779663,0.2803030303030303,0.27659317161122926,0.3431952662721893,0.38041500158894936,-0.08147651627218933,0.2308948998789562,7e-05,3.5e-05,0.5,79.49913954734802
4,5.9086894094944,3.1063041388988495,1.713507354259491,2.142764389514923,-0.24333664868026972,2.875386267900467,0.0,18.651436388492584,0.0,0.0,0.349609375,0.541015625,0.349609375,0.345703125,0.552734375,0.0,0.0,0.0,2.875386267900467,1.1117627322673798,0.7540400587022305,0.33297315798699856,0.24772703181952238,3.3859961330890656,2.068769872188568,3.7858403474092484,1.712639832496643,0.5,0.552784869451536,0.5608974358974358,0.4765669793594855,0.5,0.5,0.5,1.6880243301391602,0.4772727272727273,0.44585580817464876,0.5443786982248521,0.5623409544500091,-0.19867557322485208,0.4765669793594855,7e-05,3.5e-05,0.5,80.70487952232361
5,5.481619894504547,2.8596873730421066,1.554726503789425,2.007632225751877,-0.20512127690017223,2.683468908071518,0.0,19.498918652534485,0.0,0.0,0.416015625,0.607421875,0.416015625,0.4296875,0.630859375,0.0,0.0,0.0,2.683468908071518,1.141445029526949,0.7684876918792725,0.32498346269130707,0.243599534034729,3.346482962369919,2.005342110991478,3.5003318935632706,1.6728554964065552,0.4696969696969697,0.6103028988679816,0.6158390991724325,0.5084085819901422,0.4696969696969697,0.4696969696969697,0.4696969696969697,1.6467003345489502,0.4772727272727273,0.5061607008975431,0.5562130177514792,0.6020665626107804,-0.12652551775147924,0.5084085819901422,7e-05,3.5e-05,0.5,80.53797197341919
6,5.117031842470169,2.6354119032621384,1.4494941160082817,1.8244889825582504,-0.15747813927009702,2.5288633853197098,0.8067899122834206,19.973016381263733,1.852241411805153,0.05,0.470703125,0.65234375,0.470703125,0.46875,0.654296875,0.8067899122834206,0.7724606245756149,0.8411191925406456,2.5288633853197098,1.1859109848737717,0.7933244444429874,0.31815944984555244,0.24010488484054804,3.3203750401735306,1.9855485931038857,3.264527812600136,1.4279714822769165,0.6515151515151515,0.6912315754421017,0.7181183014516347,0.658722763031969,0.6515151515151515,0.6515151515151515,0.6515151515151515,1.39805428981781,0.6363636363636364,0.6317054779307484,0.73767258382643,0.7543665187128457,-0.26892258382643,0.658722763031969,7e-05,3.5e-05,0.5,83.67385220527649
7,4.797471761703491,2.4324567764997482,1.3343064486980438,1.6894620805978775,-0.12656952440738678,2.4029858708381653,0.7269082367420197,20.202990412712097,1.6578892022371292,0.1,0.54296875,0.712890625,0.54296875,0.576171875,0.74609375,0.7269082367420197,0.7254918143153191,0.7283246666193008,2.4029858708381653,1.2338339909911156,0.8202686794102192,0.3121471330523491,0.23699431773275137,3.281731501221657,1.9336812198162079,3.073572039604187,1.311648964881897,0.7575757575757576,0.7861036516007276,0.7937728937728937,0.755346133532408,0.7575757575757576,0.7575757575757576,0.7575757575757576,1.2853907108306886,0.7272727272727273,0.7042722224865082,0.796844181459566,0.789805345002885,-0.22067230645956604,0.755346133532408,7e-05,3.5e-05,0.5,81.17408013343811
8,4.391623437404633,2.250842906534672,1.2718781754374504,1.506099596619606,-0.1781959009822458,2.1942392736673355,0.7019160389900208,19.16784781217575,1.5715619176626205,0.15,0.626953125,0.751953125,0.626953125,0.626953125,0.759765625,0.7019160389900208,0.7269871309399605,0.6768449395895004,2.1942392736673355,1.2262720242142677,0.8812405616044998,0.3081888537853956,0.23447577003389597,3.2176809161901474,1.854655772447586,2.7568748742341995,1.3012662410736084,0.7424242424242424,0.8029041740152851,0.7956111789445123,0.7524998312279014,0.7424242424242424,0.7424242424242424,0.7424242424242424,1.284124493598938,0.7272727272727273,0.7370375556293054,0.7652859960552268,0.7686078144341115,-0.13833287105522685,0.7524998312279014,7e-05,3.5e-05,0.5,77.68943166732788
9,4.238294094800949,2.1530641615390778,1.215293012559414,1.4427248910069466,-0.1581114106811583,2.1326633989810944,0.682807557284832,18.958643972873688,1.5501450449228287,0.2,0.666015625,0.787109375,0.666015625,0.6875,0.796875,0.682807557284832,0.6885764896869659,0.6770386323332787,2.1326633989810944,1.136137492954731,0.9465295188128948,0.30268457159399986,0.23233340121805668,3.208863615989685,1.8190442770719528,2.6610256135463715,1.135387361049652,0.8409090909090909,0.868725382873456,0.8809218559218559,0.8553444782626801,0.8409090909090909,0.8409090909090909,0.8409090909090909,1.1392793893814086,0.8409090909090909,0.8542087542087542,0.8402366863905325,0.8503407308682019,-0.1527366863905325,0.8553444782626801,7e-05,3.5e-05,0.5,80.82940769195557
10,4.037727519869804,2.05005856603384,1.198100984096527,1.310704044997692,-0.10145643120631576,2.018105871975422,0.6893506944179535,19.103366434574127,1.5110429674386978,0.25,0.73828125,0.802734375,0.73828125,0.740234375,0.791015625,0.6893506944179535,0.6404866650700569,0.7382147461175919,2.018105871975422,1.1715023554861546,0.8992742784321308,0.2971449885517359,0.23030608985573053,3.1616261154413223,1.7822262346744537,2.488344967365265,1.128823471069336,0.8106060606060606,0.8097162097162096,0.7859686609686609,0.7568848957027416,0.8106060606060606,0.8106060606060606,0.8106060606060606,1.1174025416374207,0.803030303030303,0.7549403341822437,0.8698224852071006,0.862973106060014,-0.1295881102071006,0.7568848957027416,7e-05,3.5e-05,0.5,83.08328866958618
