epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_adversarial_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,8.833122571309408,4.6027347882588705,2.6731122811635335,2.968650054931641,0.2293604239821434,4.161579608917236,0.0,26.682465489705404,0.0,0.0,0.14375,0.19791666666666666,0.14375,0.14166666666666666,0.19166666666666668,0.0,0.0,0.0,4.161579608917236,0.5989868621031443,0.5604575435320537,0.36340802907943726,0.26981527407964073,3.4657978375752765,2.0536024888356526,5.734696960449218,2.5666341483592987,0.11666666666666667,0.21633469843633657,0.18718730456535335,0.06556671786772415,0.11666666666666667,0.11666666666666667,0.11666666666666667,2.5252724289894104,0.11666666666666667,0.061564386105600805,0.0989247311827957,0.052095793460925036,0.042741935483870966,0.06556671786772415,7e-05,3.5e-05,0.5,76.44716286659241
2,7.061217657725016,3.6732611656188965,2.1945762634277344,2.274899951616923,-0.018485929568608603,3.3935023148854575,0.0,21.78562812805176,0.0,0.0,0.2791666666666667,0.3229166666666667,0.2791666666666667,0.25833333333333336,0.31666666666666665,0.0,0.0,0.0,3.3935023148854575,0.6028509418169657,0.5201951046784719,0.35866584777832033,0.2635791778564453,3.403333314259847,1.9820576588312784,4.564501221974691,1.9153848886489868,0.25833333333333336,0.38320054945054943,0.42647842061614594,0.3091094212804739,0.25833333333333336,0.25833333333333336,0.25833333333333336,1.820674180984497,0.31666666666666665,0.36299103091907936,0.2903225806451613,0.3236883868101572,-0.03198924731182795,0.3091094212804739,7e-05,3.5e-05,0.5,77.18822622299194
3,5.73232593536377,2.9894330819447834,1.82407173315684,1.792863702774048,-0.009646369144320488,2.7457867940266927,0.0,19.075702921549478,0.0,0.0,0.5083333333333333,0.4708333333333333,0.5083333333333333,0.4625,0.5083333333333333,0.0,0.0,0.0,2.7457867940266927,0.6496803104877472,0.5439777910709381,0.3509378969669342,0.25804572900136313,3.3313047726949057,1.9040956974029541,3.5819622834523517,1.8211405277252197,0.36666666666666664,0.6062823498964804,0.6354552128677261,0.4614256553560704,0.36666666666666664,0.36666666666666664,0.36666666666666664,1.773737370967865,0.4,0.46663674976998104,0.33763440860215055,0.4127923331090936,0.12486559139784947,0.4614256553560704,7e-05,3.5e-05,0.5,73.66127705574036
4,5.0582244237264,2.5893253326416015,1.573623768488566,1.562617834409078,0.027101659029722214,2.4607686042785644,0.0,19.149734751383463,0.0,0.0,0.61875,0.5916666666666667,0.61875,0.58125,0.58125,0.0,0.0,0.0,2.4607686042785644,0.6819843848546346,0.5822999358177186,0.34043582479159035,0.25344608624776205,3.2452752431233725,1.765999166170756,3.1602927366892497,1.5177884101867676,0.5833333333333334,0.6338843448218449,0.7594332364348272,0.6029231226800464,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.4772388339042664,0.6166666666666667,0.6214018620268621,0.5763440860215053,0.5920259213943254,0.004905913978494714,0.6029231226800464,7e-05,3.5e-05,0.5,77.41006636619568
5,4.586204751332601,2.313031880060832,1.3876465400060018,1.4236697594324748,0.04053616970777511,2.261012077331543,0.0,18.79446029663086,0.0,0.0,0.6895833333333333,0.7125,0.6895833333333333,0.66875,0.7041666666666667,0.0,0.0,0.0,2.261012077331543,0.6565794547398885,0.5637036363283793,0.3288266162077586,0.24951221744219462,3.169709889094035,1.7032110532124838,2.868898455301921,1.3918158113956451,0.6916666666666667,0.6594380425775774,0.7966622620486619,0.6520541549953315,0.6916666666666667,0.6916666666666667,0.6916666666666667,1.3615509867668152,0.7166666666666667,0.6756325223494598,0.7096774193548387,0.6952406470400627,-0.04092741935483879,0.6520541549953315,7e-05,3.5e-05,0.5,76.47421407699585
6,4.211061493555705,2.133733630180359,1.2732244571050009,1.3238603035608927,0.04976474543412526,2.0623984336853027,0.867690988949367,17.930632019042967,1.7742523806435722,0.05,0.73125,0.7541666666666667,0.73125,0.7125,0.775,0.867690988949367,0.742362550326756,0.9930194105420794,2.0623984336853027,0.7044451236724854,0.6052497069040934,0.3202751100063324,0.2464977373679479,3.1056477387746173,1.6255180994669596,2.572603130340576,1.2314762473106384,0.7833333333333333,0.7725990362406772,0.8495468774332772,0.7643939393939394,0.7833333333333333,0.7833333333333333,0.7833333333333333,1.199512243270874,0.825,0.7948905421866932,0.7591397849462366,0.7571884872938277,-0.04663978494623655,0.7643939393939394,7e-05,3.5e-05,0.5,74.6898627281189
7,3.9470067183176676,1.9741174221038817,1.1871410767237345,1.210732913017273,0.022019567837317785,1.9662834088007608,0.796032224382673,17.25647112528483,1.6618699175970895,0.1,0.7958333333333333,0.8041666666666667,0.7958333333333333,0.7604166666666666,0.7875,0.796032224382673,0.7000874621527535,0.8919769951275417,1.9662834088007608,0.7216238657633464,0.6396529952685038,0.3105223973592122,0.24237695833047232,3.048152033487956,1.5677995761235555,2.4337586402893066,1.398004412651062,0.7,0.765573790244843,0.795424650905828,0.6901719368071456,0.7,0.7,0.7,1.3686651289463043,0.725,0.708466885558051,0.7182795698924731,0.7086737535946328,0.04213709677419353,0.6901719368071456,7e-05,3.5e-05,0.5,76.6253309249878
8,3.7731600125630695,1.8940146605173747,1.137735935052236,1.163505744934082,0.020092156901955604,1.8731176694234213,0.8232196569442749,16.810773404439292,1.6682243517466955,0.15,0.8354166666666667,0.8208333333333333,0.8354166666666667,0.7979166666666667,0.8458333333333333,0.8232196569442749,0.7248111282076154,0.9216281941958836,1.8731176694234213,0.7003592530886332,0.6978333413600921,0.30251693924268086,0.23918217619260151,3.0159067153930663,1.5392094373703002,2.2951106866200766,1.1845301985740662,0.7833333333333333,0.7781541731949341,0.8531870601561747,0.7658075924373295,0.7833333333333333,0.7833333333333333,0.7833333333333333,1.1684755086898804,0.8,0.7781975541664021,0.7784946236559139,0.769179305324593,0.019422043010752787,0.7658075924373295,7e-05,3.5e-05,0.5,75.65725207328796
9,3.614444859822591,1.8418915669123332,1.1199596563975016,1.1106644829114278,-0.014195366452137629,1.7768118937810262,0.7897097979273114,14.925888697306315,1.5799986634935652,0.2,0.8270833333333333,0.81875,0.8270833333333333,0.8270833333333333,0.85625,0.7897097979273114,0.7463446514947074,0.8330749443599156,1.7768118937810262,0.7289750734965007,0.741946013768514,0.2954415202140808,0.235739732782046,2.9728014628092447,1.4891152858734131,2.151983292897542,1.020171970129013,0.8833333333333333,0.8222853535353536,0.912902116441353,0.8481044460164111,0.8833333333333333,0.8833333333333333,0.8833333333333333,1.0231459587812424,0.8833333333333333,0.8668757803077035,0.8903225806451613,0.8712251223242633,-0.06323924731182806,0.8481044460164111,7e-05,3.5e-05,0.5,76.66126847267151
10,3.3079390207926433,1.6440403064092,0.9859362363815307,1.0124678174654642,-0.04261323145280282,1.6766826550165812,0.7959063989775521,13.530099868774414,1.571532232420785,0.25,0.8958333333333334,0.9145833333333333,0.8958333333333334,0.8791666666666667,0.8833333333333333,0.7959063989775521,0.6946439487593514,0.8971688321658543,1.6766826550165812,0.7693960348765055,0.6922417958577474,0.28972821235656737,0.23264594276746114,2.8928210894266764,1.3827771504720052,2.0074735005696613,1.0549138635396957,0.8583333333333333,0.8021284271284271,0.898479039518276,0.8167708898666786,0.8583333333333333,0.8583333333333333,0.8583333333333333,1.0529837310314178,0.8583333333333333,0.8167708898666786,0.9118279569892473,0.8789312995234109,-0.032661290322580694,0.8167708898666786,7e-05,3.5e-05,0.5,80.45364546775818
