variant=no_classification_feedback | domain=雨天 | iteration=03
mode=expected-curve simulation | requested_peak_val_acc=0.9615
==============================================================================
Starting Dual_D standalone training
Simulated run: no_classification_feedback/雨天/iter03
Device: cuda
Source train samples: 992
Target train samples: 96
Target val samples: 26
Classes: 14
Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=117/0
source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
target_train classes: present 6/14 | absent 8 | counts [0:7, 2:19, 9:32, 10:12, 11:6, 13:20]
target_val classes: present 6/14 | absent 8 | counts [0:2, 2:5, 9:8, 10:4, 11:2, 13:5]
Paired training classes: 6/14 | class ids [0, 2, 9, 10, 11, 13]
Runtime profile: batch=16 | paired_steps=6 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=40 | early_stop=15 after min_epoch=50
Augmentation profile: base=0.650 | visible=0.700 | infrared=0.500 | freeze_frozen_batch_norm_stats=True
VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/0 | AIS alignment: none | AIS rows train/val: 0/0
Effective Dual-D loss weights: {"adv_auxiliary": 0.02, "adv_primary": 0.02, "classification": 0.0, "contrastive": 0.025, "cycle": 0.12, "identity": 0.025, "prototype_contrastive": 0.015}
Model parameters: total=17277714 | trainable=17120210
Epoch 001/060 | loss 5.5897 | cls 5.5679 | tal 0.0726 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.0625 | train_full 0.1667 | val_acc 0.1479 | val_f1 0.0871 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 32.388/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.4/0.4s | 2.2s
Epoch 002/060 | loss 4.9464 | cls 4.9366 | tal 0.0328 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1562 | train_full n/a | val_acc 0.2219 | val_f1 0.2069 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 29.268/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
Epoch 003/060 | loss 4.4853 | cls 4.4898 | tal -0.0148 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2083 | train_full n/a | val_acc 0.2219 | val_f1 0.2257 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.803/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 004/060 | loss 4.1604 | cls 4.1361 | tal 0.0811 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3229 | train_full n/a | val_acc 0.2959 | val_f1 0.2242 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 24.179/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
Epoch 005/060 | loss 3.7917 | cls 3.8154 | tal -0.0792 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3438 | train_full 0.3854 | val_acc 0.3329 | val_f1 0.2549 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 23.306/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.5/0.5s | 2.2s
Epoch 006/060 | loss 3.8076 | cls 3.8173 | tal -0.0639 | dual_g 0.0095 | dual_d 0.0000 | train_acc 0.4896 | train_full n/a | val_acc 0.4437 | val_f1 0.3354 | adv/moduleC 0.00/0.08 | disc_steps 0 | grad(main/disc) 22.816/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
Epoch 007/060 | loss 3.5955 | cls 3.5870 | tal -0.0323 | dual_g 0.0182 | dual_d 0.0000 | train_acc 0.4583 | train_full n/a | val_acc 0.3698 | val_f1 0.2636 | adv/moduleC 0.00/0.17 | disc_steps 0 | grad(main/disc) 21.998/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.6/0.4/0.0/0.0s | 1.0s
Epoch 008/060 | loss 3.3164 | cls 3.3174 | tal -0.0927 | dual_g 0.0268 | dual_d 0.0000 | train_acc 0.5729 | train_full n/a | val_acc 0.3698 | val_f1 0.2636 | adv/moduleC 0.00/0.25 | disc_steps 0 | grad(main/disc) 20.199/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.3s
Epoch 009/060 | loss 3.2187 | cls 3.2321 | tal -0.1691 | dual_g 0.0374 | dual_d 0.9086 | train_acc 0.5625 | train_full n/a | val_acc 0.3329 | val_f1 0.2368 | adv/moduleC 0.05/0.33 | disc_steps 3 | grad(main/disc) 20.061/2.447 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.0s
Epoch 010/060 | loss 3.0796 | cls 3.0534 | tal -0.0659 | dual_g 0.0460 | dual_d 0.8302 | train_acc 0.6562 | train_full 0.4792 | val_acc 0.3329 | val_f1 0.3190 | adv/moduleC 0.10/0.42 | disc_steps 3 | grad(main/disc) 19.231/2.299 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.4/0.4s | 1.9s
Epoch 011/060 | loss 2.9742 | cls 2.9422 | tal -0.0804 | dual_g 0.0561 | dual_d 0.8070 | train_acc 0.6042 | train_full n/a | val_acc 0.4437 | val_f1 0.4238 | adv/moduleC 0.15/0.50 | disc_steps 3 | grad(main/disc) 18.814/2.171 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
Epoch 012/060 | loss 2.8430 | cls 2.8114 | tal -0.1175 | dual_g 0.0668 | dual_d 0.9161 | train_acc 0.6979 | train_full n/a | val_acc 0.5178 | val_f1 0.5274 | adv/moduleC 0.20/0.58 | disc_steps 3 | grad(main/disc) 18.829/2.301 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 013/060 | loss 2.7797 | cls 2.7469 | tal -0.1346 | dual_g 0.0732 | dual_d 0.8928 | train_acc 0.6979 | train_full n/a | val_acc 0.5917 | val_f1 0.5794 | adv/moduleC 0.25/0.67 | disc_steps 3 | grad(main/disc) 18.690/2.346 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
Epoch 014/060 | loss 2.5833 | cls 2.5488 | tal -0.1605 | dual_g 0.0826 | dual_d 0.8864 | train_acc 0.7396 | train_full n/a | val_acc 0.2959 | val_f1 0.2029 | adv/moduleC 0.30/0.75 | disc_steps 3 | grad(main/disc) 17.047/2.320 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 015/060 | loss 2.7386 | cls 2.6996 | tal -0.1724 | dual_g 0.0908 | dual_d 0.8261 | train_acc 0.7604 | train_full 0.6146 | val_acc 0.4808 | val_f1 0.4805 | adv/moduleC 0.35/0.83 | disc_steps 3 | grad(main/disc) 19.554/2.221 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.4/0.4s | 2.2s
Epoch 016/060 | loss 2.6378 | cls 2.5885 | tal -0.1545 | dual_g 0.0957 | dual_d 0.9543 | train_acc 0.7500 | train_full n/a | val_acc 0.6656 | val_f1 0.6967 | adv/moduleC 0.40/0.92 | disc_steps 3 | grad(main/disc) 18.339/2.429 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
Epoch 017/060 | loss 2.6709 | cls 2.5961 | tal -0.1059 | dual_g 0.1066 | dual_d 0.9575 | train_acc 0.6875 | train_full n/a | val_acc 0.7766 | val_f1 0.7995 | adv/moduleC 0.45/1.00 | disc_steps 3 | grad(main/disc) 19.796/2.447 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 018/060 | loss 2.2136 | cls 2.1299 | tal -0.0731 | dual_g 0.1057 | dual_d 0.9095 | train_acc 0.7917 | train_full n/a | val_acc 0.6286 | val_f1 0.6577 | adv/moduleC 0.50/1.00 | disc_steps 3 | grad(main/disc) 15.115/2.416 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 019/060 | loss 2.4711 | cls 2.3866 | tal -0.0834 | dual_g 0.1095 | dual_d 0.8844 | train_acc 0.8333 | train_full n/a | val_acc 0.6656 | val_f1 0.6903 | adv/moduleC 0.55/1.00 | disc_steps 3 | grad(main/disc) 16.737/2.311 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.3s
Epoch 020/060 | loss 2.4495 | cls 2.3585 | tal -0.0553 | dual_g 0.1076 | dual_d 0.9953 | train_acc 0.8021 | train_full 0.8542 | val_acc 0.7027 | val_f1 0.7288 | adv/moduleC 0.60/1.00 | disc_steps 3 | grad(main/disc) 17.476/2.424 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.4/0.4s | 2.0s
Epoch 021/060 | loss 2.3033 | cls 2.2153 | tal -0.0645 | dual_g 0.1074 | dual_d 0.9487 | train_acc 0.8854 | train_full n/a | val_acc 0.6286 | val_f1 0.6746 | adv/moduleC 0.65/1.00 | disc_steps 3 | grad(main/disc) 15.362/2.304 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 022/060 | loss 2.3512 | cls 2.2800 | tal -0.1256 | dual_g 0.1088 | dual_d 0.9871 | train_acc 0.8750 | train_full n/a | val_acc 0.6286 | val_f1 0.6597 | adv/moduleC 0.70/1.00 | disc_steps 3 | grad(main/disc) 17.409/2.497 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.3s
Epoch 023/060 | loss 2.2395 | cls 2.1633 | tal -0.1011 | dual_g 0.1066 | dual_d 1.0861 | train_acc 0.8646 | train_full n/a | val_acc 0.6286 | val_f1 0.6597 | adv/moduleC 0.75/1.00 | disc_steps 3 | grad(main/disc) 16.883/2.493 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.3s
Epoch 024/060 | loss 2.2604 | cls 2.2025 | tal -0.1605 | dual_g 0.1060 | dual_d 0.9520 | train_acc 0.8438 | train_full n/a | val_acc 0.6656 | val_f1 0.6912 | adv/moduleC 0.80/1.00 | disc_steps 3 | grad(main/disc) 15.688/2.307 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 025/060 | loss 1.9840 | cls 1.9156 | tal -0.1314 | dual_g 0.1077 | dual_d 0.8414 | train_acc 0.9583 | train_full 0.9688 | val_acc 0.8876 | val_f1 0.9065 | adv/moduleC 0.85/1.00 | disc_steps 3 | grad(main/disc) 12.918/2.219 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.4/0.4s | 1.9s
Epoch 026/060 | loss 1.9087 | cls 1.8727 | tal -0.2404 | dual_g 0.1081 | dual_d 0.8833 | train_acc 0.9583 | train_full n/a | val_acc 0.8876 | val_f1 0.9065 | adv/moduleC 0.90/1.00 | disc_steps 3 | grad(main/disc) 12.710/2.257 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.1s
Epoch 027/060 | loss 2.1729 | cls 2.1009 | tal -0.1069 | dual_g 0.1040 | dual_d 1.0865 | train_acc 0.9271 | train_full n/a | val_acc 0.8876 | val_f1 0.9065 | adv/moduleC 0.95/1.00 | disc_steps 3 | grad(main/disc) 14.974/2.489 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 028/060 | loss 2.1935 | cls 2.1290 | tal -0.1358 | dual_g 0.1052 | dual_d 1.0533 | train_acc 0.8438 | train_full n/a | val_acc 0.8505 | val_f1 0.8698 | adv/moduleC 1.00/1.00 | disc_steps 3 | grad(main/disc) 15.639/2.445 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 029/060 | loss 2.1821 | cls 2.1053 | tal -0.0839 | dual_g 0.1019 | dual_d 1.0311 | train_acc 0.8750 | train_full n/a | val_acc 0.9245 | val_f1 0.9315 | adv/moduleC 1.00/1.00 | disc_steps 3 | grad(main/disc) 16.397/2.406 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
Epoch 030/060 | loss 1.9712 | cls 1.9103 | tal -0.1355 | dual_g 0.1015 | dual_d 1.0518 | train_acc 0.9167 | train_full 1.0000 | val_acc 0.9615 | val_f1 0.9673 | adv/moduleC 1.00/1.00 | disc_steps 3 | grad(main/disc) 12.721/2.519 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.5/0.5s | 2.3s
Epoch 031/060 | loss 1.9464 | cls 1.8803 | tal -0.1286 | dual_g 0.1047 | dual_d 1.0030 | train_acc 0.9479 | train_full n/a | val_acc 0.9245 | val_f1 0.9315 | adv/moduleC 1.00/1.00 | disc_steps 3 | grad(main/disc) 13.011/2.270 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 032/060 | loss 1.9523 | cls 1.8849 | tal -0.1244 | dual_g 0.1047 | dual_d 0.9829 | train_acc 0.9479 | train_full n/a | val_acc 0.9615 | val_f1 0.9673 | adv/moduleC 1.00/1.00 | disc_steps 3 | grad(main/disc) 14.242/2.501 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
Epoch 033/060 | loss 2.0188 | cls 1.9595 | tal -0.1336 | dual_g 0.0993 | dual_d 1.0649 | train_acc 0.9479 | train_full n/a | val_acc 0.8876 | val_f1 0.9065 | adv/moduleC 1.00/1.00 | disc_steps 3 | grad(main/disc) 14.226/2.381 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 034/060 | loss 2.0584 | cls 2.0130 | tal -0.1800 | dual_g 0.0993 | dual_d 1.0554 | train_acc 0.9062 | train_full n/a | val_acc 0.9245 | val_f1 0.9315 | adv/moduleC 1.00/1.00 | disc_steps 3 | grad(main/disc) 14.624/2.424 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
