variant=no_prototype_contrastive | domain=雨天 | iteration=03
mode=expected-curve simulation | requested_peak_val_acc=0.9615
==============================================================================
Starting Dual_D standalone training
Simulated run: no_prototype_contrastive/雨天/iter03
Device: cuda
Source train samples: 992
Target train samples: 96
Target val samples: 26
Classes: 14
Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=117/0
source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
target_train classes: present 6/14 | absent 8 | counts [0:7, 2:19, 9:32, 10:12, 11:6, 13:20]
target_val classes: present 6/14 | absent 8 | counts [0:2, 2:5, 9:8, 10:4, 11:2, 13:5]
Paired training classes: 6/14 | class ids [0, 2, 9, 10, 11, 13]
Runtime profile: batch=16 | paired_steps=6 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=40 | early_stop=15 after min_epoch=50
Augmentation profile: base=0.650 | visible=0.700 | infrared=0.500 | freeze_frozen_batch_norm_stats=True
VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/0 | AIS alignment: none | AIS rows train/val: 0/0
Effective Dual-D loss weights: {"adv_auxiliary": 0.02, "adv_primary": 0.02, "classification": 0.6, "contrastive": 0.025, "cycle": 0.12, "identity": 0.025, "prototype_contrastive": 0.0}
Model parameters: total=17277714 | trainable=17120210
Epoch 001/060 | loss 5.5897 | cls 5.5679 | tal 0.0726 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.0625 | train_full 0.1667 | val_acc 0.1479 | val_f1 0.0871 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 32.388/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.4/0.4s | 2.2s
Epoch 002/060 | loss 4.9464 | cls 4.9366 | tal 0.0328 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1562 | train_full n/a | val_acc 0.2219 | val_f1 0.2069 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 29.268/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
Epoch 003/060 | loss 4.4853 | cls 4.4898 | tal -0.0148 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2083 | train_full n/a | val_acc 0.2219 | val_f1 0.2257 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.803/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 004/060 | loss 4.1604 | cls 4.1361 | tal 0.0811 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3229 | train_full n/a | val_acc 0.2959 | val_f1 0.2242 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 24.179/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
Epoch 005/060 | loss 3.7917 | cls 3.8154 | tal -0.0792 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3438 | train_full 0.3854 | val_acc 0.3329 | val_f1 0.2549 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 23.306/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.4/0.4s | 2.0s
Epoch 006/060 | loss 4.0076 | cls 3.8163 | tal -0.0639 | dual_g 0.2104 | dual_d 0.0000 | train_acc 0.4896 | train_full n/a | val_acc 0.4437 | val_f1 0.3354 | adv/moduleC 0.00/0.08 | disc_steps 0 | grad(main/disc) 22.992/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
Epoch 007/060 | loss 3.9672 | cls 3.5816 | tal -0.0322 | dual_g 0.3952 | dual_d 0.0000 | train_acc 0.4583 | train_full n/a | val_acc 0.4068 | val_f1 0.2948 | adv/moduleC 0.00/0.17 | disc_steps 0 | grad(main/disc) 22.382/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.6/0.4/0.0/0.0s | 1.0s
Epoch 008/060 | loss 3.8983 | cls 3.3429 | tal -0.0763 | dual_g 0.5784 | dual_d 0.0000 | train_acc 0.5417 | train_full n/a | val_acc 0.3698 | val_f1 0.2636 | adv/moduleC 0.00/0.25 | disc_steps 0 | grad(main/disc) 20.951/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.2s
Epoch 009/060 | loss 3.9233 | cls 3.2093 | tal -0.1394 | dual_g 0.7558 | dual_d 0.9128 | train_acc 0.6042 | train_full n/a | val_acc 0.3329 | val_f1 0.2438 | adv/moduleC 0.05/0.33 | disc_steps 3 | grad(main/disc) 20.592/2.463 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.0s
Epoch 010/060 | loss 3.8930 | cls 3.0362 | tal -0.0878 | dual_g 0.8831 | dual_d 0.8214 | train_acc 0.6458 | train_full 0.5104 | val_acc 0.4068 | val_f1 0.3821 | adv/moduleC 0.10/0.42 | disc_steps 3 | grad(main/disc) 20.462/2.287 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.4/0.4s | 1.9s
Epoch 011/060 | loss 3.8404 | cls 2.8866 | tal -0.1032 | dual_g 0.9847 | dual_d 0.7812 | train_acc 0.6354 | train_full n/a | val_acc 0.4808 | val_f1 0.4651 | adv/moduleC 0.15/0.50 | disc_steps 3 | grad(main/disc) 20.171/2.119 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
Epoch 012/060 | loss 3.8776 | cls 2.7818 | tal -0.1022 | dual_g 1.1265 | dual_d 0.8867 | train_acc 0.7188 | train_full n/a | val_acc 0.5547 | val_f1 0.5561 | adv/moduleC 0.20/0.58 | disc_steps 3 | grad(main/disc) 20.817/2.276 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 013/060 | loss 3.8633 | cls 2.6691 | tal -0.1123 | dual_g 1.2280 | dual_d 0.8634 | train_acc 0.7500 | train_full n/a | val_acc 0.5547 | val_f1 0.5177 | adv/moduleC 0.25/0.67 | disc_steps 3 | grad(main/disc) 20.864/2.294 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
Epoch 014/060 | loss 3.7011 | cls 2.4487 | tal -0.2175 | dual_g 1.3177 | dual_d 0.8267 | train_acc 0.7708 | train_full n/a | val_acc 0.4437 | val_f1 0.4488 | adv/moduleC 0.30/0.75 | disc_steps 3 | grad(main/disc) 19.258/2.154 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 015/060 | loss 3.9554 | cls 2.5720 | tal -0.1552 | dual_g 1.4300 | dual_d 0.7492 | train_acc 0.7396 | train_full 0.6667 | val_acc 0.5547 | val_f1 0.5635 | adv/moduleC 0.35/0.83 | disc_steps 3 | grad(main/disc) 22.248/2.073 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.4/0.4s | 2.1s
Epoch 016/060 | loss 4.0451 | cls 2.5166 | tal -0.2020 | dual_g 1.5891 | dual_d 0.8378 | train_acc 0.8021 | train_full n/a | val_acc 0.5917 | val_f1 0.6241 | adv/moduleC 0.40/0.92 | disc_steps 3 | grad(main/disc) 23.406/2.181 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
Epoch 017/060 | loss 4.1730 | cls 2.5155 | tal -0.1327 | dual_g 1.6973 | dual_d 0.8710 | train_acc 0.7604 | train_full n/a | val_acc 0.7766 | val_f1 0.7955 | adv/moduleC 0.45/1.00 | disc_steps 3 | grad(main/disc) 23.525/2.261 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 018/060 | loss 3.6048 | cls 2.0628 | tal -0.0936 | dual_g 1.5701 | dual_d 0.7885 | train_acc 0.8854 | train_full n/a | val_acc 0.7766 | val_f1 0.8217 | adv/moduleC 0.50/1.00 | disc_steps 3 | grad(main/disc) 18.620/2.248 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
Epoch 019/060 | loss 3.9589 | cls 2.3301 | tal -0.0596 | dual_g 1.6466 | dual_d 0.8101 | train_acc 0.8750 | train_full n/a | val_acc 0.6656 | val_f1 0.7037 | adv/moduleC 0.55/1.00 | disc_steps 3 | grad(main/disc) 21.430/2.177 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.3s
Epoch 020/060 | loss 3.8381 | cls 2.3081 | tal -0.0915 | dual_g 1.5574 | dual_d 0.8145 | train_acc 0.7812 | train_full 0.8542 | val_acc 0.7766 | val_f1 0.8051 | adv/moduleC 0.60/1.00 | disc_steps 3 | grad(main/disc) 21.159/2.163 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.4/0.4s | 2.0s
Epoch 021/060 | loss 3.6668 | cls 2.1491 | tal -0.0821 | dual_g 1.5423 | dual_d 0.7979 | train_acc 0.9062 | train_full n/a | val_acc 0.7396 | val_f1 0.7972 | adv/moduleC 0.65/1.00 | disc_steps 3 | grad(main/disc) 20.603/2.060 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 022/060 | loss 3.6684 | cls 2.1889 | tal -0.1427 | dual_g 1.5224 | dual_d 0.7931 | train_acc 0.8958 | train_full n/a | val_acc 0.8136 | val_f1 0.8357 | adv/moduleC 0.70/1.00 | disc_steps 3 | grad(main/disc) 21.017/2.126 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.3s
Epoch 023/060 | loss 3.4118 | cls 2.0410 | tal -0.1798 | dual_g 1.4248 | dual_d 0.8592 | train_acc 0.9062 | train_full n/a | val_acc 0.8136 | val_f1 0.8457 | adv/moduleC 0.75/1.00 | disc_steps 3 | grad(main/disc) 23.345/2.159 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.3s
Epoch 024/060 | loss 3.4027 | cls 2.0668 | tal -0.2072 | dual_g 1.3981 | dual_d 0.7602 | train_acc 0.8750 | train_full n/a | val_acc 0.7766 | val_f1 0.7839 | adv/moduleC 0.80/1.00 | disc_steps 3 | grad(main/disc) 19.489/2.106 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 025/060 | loss 3.1366 | cls 1.8469 | tal -0.1353 | dual_g 1.3303 | dual_d 0.6655 | train_acc 0.9271 | train_full 0.9479 | val_acc 0.8876 | val_f1 0.9065 | adv/moduleC 0.85/1.00 | disc_steps 3 | grad(main/disc) 16.620/1.860 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.4/0.4s | 1.9s
Epoch 026/060 | loss 3.1007 | cls 1.7849 | tal -0.1686 | dual_g 1.3663 | dual_d 0.6822 | train_acc 0.9792 | train_full n/a | val_acc 0.8876 | val_f1 0.9065 | adv/moduleC 0.90/1.00 | disc_steps 3 | grad(main/disc) 15.091/1.821 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.1s
Epoch 027/060 | loss 3.2261 | cls 1.9489 | tal -0.2044 | dual_g 1.3386 | dual_d 0.8367 | train_acc 0.9479 | train_full n/a | val_acc 0.9245 | val_f1 0.9315 | adv/moduleC 0.95/1.00 | disc_steps 3 | grad(main/disc) 17.327/2.089 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 028/060 | loss 3.4206 | cls 2.0341 | tal -0.1445 | dual_g 1.4298 | dual_d 0.8257 | train_acc 0.8333 | train_full n/a | val_acc 0.8876 | val_f1 0.8948 | adv/moduleC 1.00/1.00 | disc_steps 3 | grad(main/disc) 20.693/2.156 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 029/060 | loss 3.3453 | cls 2.0060 | tal -0.1091 | dual_g 1.3721 | dual_d 0.7821 | train_acc 0.9062 | train_full n/a | val_acc 0.9245 | val_f1 0.9315 | adv/moduleC 1.00/1.00 | disc_steps 3 | grad(main/disc) 20.626/2.068 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
Epoch 030/060 | loss 3.1588 | cls 1.8822 | tal -0.2086 | dual_g 1.3392 | dual_d 0.8203 | train_acc 0.9479 | train_full 1.0000 | val_acc 0.9245 | val_f1 0.9315 | adv/moduleC 1.00/1.00 | disc_steps 3 | grad(main/disc) 17.220/2.053 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.4/0.4s | 2.1s
Epoch 031/060 | loss 2.9954 | cls 1.7926 | tal -0.2011 | dual_g 1.2631 | dual_d 0.7307 | train_acc 0.9688 | train_full n/a | val_acc 0.9615 | val_f1 0.9673 | adv/moduleC 1.00/1.00 | disc_steps 3 | grad(main/disc) 14.824/1.850 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
Epoch 032/060 | loss 3.1220 | cls 1.8078 | tal -0.1801 | dual_g 1.3682 | dual_d 0.7135 | train_acc 0.9792 | train_full n/a | val_acc 0.8876 | val_f1 0.8948 | adv/moduleC 1.00/1.00 | disc_steps 3 | grad(main/disc) 17.309/1.950 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
Epoch 033/060 | loss 3.1755 | cls 1.9152 | tal -0.2291 | dual_g 1.3290 | dual_d 0.8130 | train_acc 0.9271 | train_full n/a | val_acc 0.8505 | val_f1 0.8542 | adv/moduleC 1.00/1.00 | disc_steps 3 | grad(main/disc) 18.712/1.940 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.0s
Epoch 034/060 | loss 3.2667 | cls 1.9986 | tal -0.1657 | dual_g 1.3178 | dual_d 0.7904 | train_acc 0.9479 | train_full n/a | val_acc 0.8876 | val_f1 0.8948 | adv/moduleC 1.00/1.00 | disc_steps 3 | grad(main/disc) 19.422/2.035 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
