variant=no_paired_contrastive | domain=逆光 | iteration=03
mode=expected-curve simulation | requested_peak_val_acc=0.9459
==============================================================================
Starting Dual_D standalone training
Simulated run: no_paired_contrastive/逆光/iter03
Device: cuda
Source train samples: 992
Target train samples: 132
Target val samples: 37
Classes: 14
Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=157/0
source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
target_train classes: present 9/14 | absent 5 | counts [0:20, 2:12, 4:12, 5:2, 9:16, 10:16, 11:29, 12:4, 13:21]
target_val classes: present 9/14 | absent 5 | counts [0:6, 2:3, 4:4, 5:1, 9:4, 10:4, 11:8, 12:1, 13:6]
Paired training classes: 9/14 | class ids [0, 2, 4, 5, 9, 10, 11, 12, 13]
Runtime profile: batch=16 | paired_steps=9 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=5 | lr_scheduler_start=28 | checkpoint_select_from=45 | early_stop=15 after min_epoch=55
Augmentation profile: base=0.780 | visible=0.860 | infrared=0.600 | freeze_frozen_batch_norm_stats=True
VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/1 | AIS alignment: none | AIS rows train/val: 0/0
Effective Dual-D loss weights: {"adv_auxiliary": 0.025, "adv_primary": 0.025, "classification": 0.15, "contrastive": 0.0, "cycle": 0.12, "identity": 0.03, "prototype_contrastive": 0.06}
Model parameters: total=17277714 | trainable=17120210
Epoch 001/060 | loss 5.8532 | cls 5.8325 | tal 0.0691 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.0556 | train_full 0.1136 | val_acc 0.2300 | val_f1 0.0740 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 30.124/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.4/0.4/0.4/0.5s | 2.7s
Epoch 002/060 | loss 5.0806 | cls 5.0881 | tal -0.0249 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1389 | train_full n/a | val_acc 0.2045 | val_f1 0.1147 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 27.200/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
Epoch 003/060 | loss 4.7360 | cls 4.7193 | tal 0.0558 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1389 | train_full n/a | val_acc 0.3835 | val_f1 0.3057 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.836/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.3/0.4/0.0/0.0s | 1.7s
Epoch 004/060 | loss 4.5337 | cls 4.5164 | tal 0.0577 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2569 | train_full n/a | val_acc 0.4602 | val_f1 0.4309 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 24.127/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
Epoch 005/060 | loss 4.5026 | cls 4.4576 | tal 0.1500 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2986 | train_full 0.5076 | val_acc 0.4602 | val_f1 0.4017 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 23.219/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.4/0.5s | 2.4s
Epoch 006/060 | loss 4.1687 | cls 4.0869 | tal 0.2727 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3194 | train_full n/a | val_acc 0.4857 | val_f1 0.4484 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 22.515/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
Epoch 007/060 | loss 3.9317 | cls 3.8677 | tal 0.2134 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3333 | train_full n/a | val_acc 0.6647 | val_f1 0.6385 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 21.238/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.5s
Epoch 008/060 | loss 3.8911 | cls 3.8499 | tal 0.1375 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3542 | train_full n/a | val_acc 0.7414 | val_f1 0.7663 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 21.852/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.6s
Epoch 009/060 | loss 3.5490 | cls 3.4631 | tal 0.1395 | dual_g 0.0441 | dual_d 0.0000 | train_acc 0.4167 | train_full n/a | val_acc 0.7159 | val_f1 0.7107 | adv/moduleC 0.00/0.06 | disc_steps 0 | grad(main/disc) 20.695/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
Epoch 010/060 | loss 3.5017 | cls 3.3888 | tal 0.0799 | dual_g 0.0890 | dual_d 0.0000 | train_acc 0.4722 | train_full 0.7803 | val_acc 0.7159 | val_f1 0.7160 | adv/moduleC 0.00/0.11 | disc_steps 0 | grad(main/disc) 20.303/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.4/0.5s | 2.4s
Epoch 011/060 | loss 3.6989 | cls 3.5640 | tal 0.0052 | dual_g 0.1333 | dual_d 0.9098 | train_acc 0.4931 | train_full n/a | val_acc 0.7414 | val_f1 0.7418 | adv/moduleC 0.04/0.17 | disc_steps 4 | grad(main/disc) 21.222/2.241 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
Epoch 012/060 | loss 3.6186 | cls 3.4496 | tal -0.0491 | dual_g 0.1838 | dual_d 0.8529 | train_acc 0.5347 | train_full n/a | val_acc 0.7414 | val_f1 0.7865 | adv/moduleC 0.08/0.22 | disc_steps 4 | grad(main/disc) 21.750/2.122 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
Epoch 013/060 | loss 3.3995 | cls 3.2030 | tal -0.0357 | dual_g 0.2072 | dual_d 0.8546 | train_acc 0.4861 | train_full n/a | val_acc 0.7925 | val_f1 0.8283 | adv/moduleC 0.12/0.28 | disc_steps 4 | grad(main/disc) 19.918/2.266 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
Epoch 014/060 | loss 3.5425 | cls 3.2892 | tal 0.0147 | dual_g 0.2489 | dual_d 0.8939 | train_acc 0.5278 | train_full n/a | val_acc 0.8181 | val_f1 0.8459 | adv/moduleC 0.17/0.33 | disc_steps 4 | grad(main/disc) 21.261/2.211 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.7s
Epoch 015/060 | loss 3.3821 | cls 3.1276 | tal -0.0810 | dual_g 0.2788 | dual_d 0.8147 | train_acc 0.5486 | train_full 0.8182 | val_acc 0.7414 | val_f1 0.7691 | adv/moduleC 0.21/0.39 | disc_steps 4 | grad(main/disc) 20.690/2.103 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.4/0.5s | 2.3s
Epoch 016/060 | loss 3.3072 | cls 3.0114 | tal -0.0982 | dual_g 0.3252 | dual_d 0.8350 | train_acc 0.5625 | train_full n/a | val_acc 0.7414 | val_f1 0.7608 | adv/moduleC 0.25/0.44 | disc_steps 4 | grad(main/disc) 20.930/2.136 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
Epoch 017/060 | loss 3.4370 | cls 3.1253 | tal -0.1392 | dual_g 0.3534 | dual_d 0.8051 | train_acc 0.6042 | train_full n/a | val_acc 0.7669 | val_f1 0.7912 | adv/moduleC 0.29/0.50 | disc_steps 4 | grad(main/disc) 20.878/2.078 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.3/0.4/0.0/0.0s | 1.7s
Epoch 018/060 | loss 3.3780 | cls 3.0334 | tal -0.1466 | dual_g 0.3886 | dual_d 0.7461 | train_acc 0.5208 | train_full n/a | val_acc 0.8692 | val_f1 0.8973 | adv/moduleC 0.33/0.56 | disc_steps 4 | grad(main/disc) 20.655/2.057 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
Epoch 019/060 | loss 3.2387 | cls 2.8729 | tal -0.1337 | dual_g 0.4059 | dual_d 0.8083 | train_acc 0.6389 | train_full n/a | val_acc 0.8436 | val_f1 0.8679 | adv/moduleC 0.38/0.61 | disc_steps 4 | grad(main/disc) 19.539/2.025 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.4/0.4/0.0/0.0s | 1.8s
Epoch 020/060 | loss 3.3677 | cls 2.9351 | tal -0.0886 | dual_g 0.4592 | dual_d 0.8530 | train_acc 0.5625 | train_full 0.9394 | val_acc 0.8692 | val_f1 0.8973 | adv/moduleC 0.42/0.67 | disc_steps 4 | grad(main/disc) 22.017/2.142 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.4/0.5s | 2.4s
Epoch 021/060 | loss 3.2147 | cls 2.7734 | tal -0.1307 | dual_g 0.4805 | dual_d 0.8190 | train_acc 0.6111 | train_full n/a | val_acc 0.8692 | val_f1 0.8973 | adv/moduleC 0.46/0.72 | disc_steps 4 | grad(main/disc) 20.769/2.067 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.6s
Epoch 022/060 | loss 3.2320 | cls 2.7596 | tal -0.2235 | dual_g 0.5394 | dual_d 0.8362 | train_acc 0.6458 | train_full n/a | val_acc 0.8436 | val_f1 0.8396 | adv/moduleC 0.50/0.78 | disc_steps 4 | grad(main/disc) 21.523/2.056 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.3s
