variant=no_identity | domain=黑天 | iteration=03
mode=expected-curve simulation | requested_peak_val_acc=0.9750
==============================================================================
Starting Dual_D standalone training
Simulated run: no_identity/黑天/iter03
Device: cuda
Source train samples: 992
Target train samples: 465
Target val samples: 120
Classes: 14
Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=578/0
source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
target_train classes: present 8/14 | absent 6 | counts [0:100, 2:11, 3:16, 6:89, 9:162, 10:12, 11:44, 13:31]
target_val classes: present 8/14 | absent 6 | counts [0:26, 2:3, 3:5, 6:23, 9:41, 10:3, 11:11, 13:8]
Paired training classes: 8/14 | class ids [0, 2, 3, 6, 9, 10, 11, 13]
Runtime profile: batch=16 | paired_steps=30 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=40 | early_stop=15 after min_epoch=55
Augmentation profile: base=0.600 | visible=0.600 | infrared=0.550 | freeze_frozen_batch_norm_stats=True
VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/0 | AIS alignment: none | AIS rows train/val: 0/0
Effective Dual-D loss weights: {"adv_auxiliary": 0.025, "adv_primary": 0.025, "classification": 0.65, "contrastive": 0.055, "cycle": 0.12, "identity": 0.0, "prototype_contrastive": 0.025}
Model parameters: total=17277714 | trainable=17120210
Epoch 001/060 | loss 4.8772 | cls 4.8145 | tal 0.2089 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1729 | train_full 0.1785 | val_acc 0.1802 | val_f1 0.2114 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.940/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.8/0.4/0.4/0.7s | 4.4s
Epoch 002/060 | loss 3.6565 | cls 3.6636 | tal -0.0237 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3958 | train_full n/a | val_acc 0.5653 | val_f1 0.5533 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 21.319/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.1s
Epoch 003/060 | loss 3.0990 | cls 3.1021 | tal -0.0104 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.5437 | train_full n/a | val_acc 0.4916 | val_f1 0.5738 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 20.189/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.5/0.4/0.0/0.0s | 3.0s
Epoch 004/060 | loss 2.6002 | cls 2.5989 | tal 0.0044 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.6583 | train_full n/a | val_acc 0.7046 | val_f1 0.6871 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 19.117/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
Epoch 005/060 | loss 2.3177 | cls 2.3357 | tal -0.0601 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.7000 | train_full 0.8000 | val_acc 0.7947 | val_f1 0.7572 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 17.862/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.7/0.4/0.4/0.7s | 4.3s
Epoch 006/060 | loss 2.1783 | cls 2.0637 | tal -0.0768 | dual_g 0.1377 | dual_d 0.0000 | train_acc 0.8146 | train_full n/a | val_acc 0.7701 | val_f1 0.7297 | adv/moduleC 0.00/0.08 | disc_steps 0 | grad(main/disc) 17.437/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
Epoch 007/060 | loss 2.1679 | cls 1.9268 | tal -0.0677 | dual_g 0.2615 | dual_d 0.0000 | train_acc 0.8333 | train_full n/a | val_acc 0.8111 | val_f1 0.7952 | adv/moduleC 0.00/0.17 | disc_steps 0 | grad(main/disc) 16.521/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
Epoch 008/060 | loss 2.1515 | cls 1.8019 | tal -0.0881 | dual_g 0.3760 | dual_d 0.8827 | train_acc 0.8521 | train_full n/a | val_acc 0.8848 | val_f1 0.8709 | adv/moduleC 0.05/0.25 | disc_steps 15 | grad(main/disc) 16.528/1.953 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
Epoch 009/060 | loss 2.0770 | cls 1.6586 | tal -0.0979 | dual_g 0.4477 | dual_d 0.8314 | train_acc 0.8938 | train_full n/a | val_acc 0.8767 | val_f1 0.8505 | adv/moduleC 0.10/0.33 | disc_steps 15 | grad(main/disc) 14.058/1.853 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.7/0.4/0.0/0.0s | 3.1s
Epoch 010/060 | loss 2.1447 | cls 1.6279 | tal -0.1439 | dual_g 0.5599 | dual_d 0.7999 | train_acc 0.9062 | train_full 0.9247 | val_acc 0.8848 | val_f1 0.8738 | adv/moduleC 0.15/0.42 | disc_steps 15 | grad(main/disc) 14.707/1.780 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.6/0.4/0.4/0.7s | 4.2s
Epoch 011/060 | loss 2.1165 | cls 1.5447 | tal -0.1438 | dual_g 0.6150 | dual_d 0.7991 | train_acc 0.9333 | train_full n/a | val_acc 0.9094 | val_f1 0.8814 | adv/moduleC 0.20/0.50 | disc_steps 15 | grad(main/disc) 13.521/1.768 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
Epoch 012/060 | loss 2.1162 | cls 1.4638 | tal -0.1508 | dual_g 0.6976 | dual_d 0.7993 | train_acc 0.9479 | train_full n/a | val_acc 0.9258 | val_f1 0.9177 | adv/moduleC 0.25/0.58 | disc_steps 15 | grad(main/disc) 12.690/1.750 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.7/0.4/0.0/0.0s | 3.2s
Epoch 013/060 | loss 2.1809 | cls 1.4358 | tal -0.1078 | dual_g 0.7774 | dual_d 0.7525 | train_acc 0.9583 | train_full n/a | val_acc 0.9340 | val_f1 0.9001 | adv/moduleC 0.30/0.67 | disc_steps 15 | grad(main/disc) 12.379/1.659 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
Epoch 014/060 | loss 2.2096 | cls 1.4008 | tal -0.1086 | dual_g 0.8413 | dual_d 0.7345 | train_acc 0.9646 | train_full n/a | val_acc 0.9176 | val_f1 0.8940 | adv/moduleC 0.35/0.75 | disc_steps 15 | grad(main/disc) 12.682/1.605 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.7/0.4/0.0/0.0s | 3.2s
Epoch 015/060 | loss 2.1963 | cls 1.3280 | tal -0.1337 | dual_g 0.9084 | dual_d 0.7724 | train_acc 0.9604 | train_full 0.9763 | val_acc 0.9422 | val_f1 0.9270 | adv/moduleC 0.40/0.83 | disc_steps 15 | grad(main/disc) 10.401/1.636 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.6/0.4/0.4/0.7s | 4.1s
Epoch 016/060 | loss 2.2600 | cls 1.3409 | tal -0.2369 | dual_g 0.9902 | dual_d 0.7780 | train_acc 0.9542 | train_full n/a | val_acc 0.9504 | val_f1 0.9455 | adv/moduleC 0.45/0.92 | disc_steps 15 | grad(main/disc) 12.122/1.683 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.1s
Epoch 017/060 | loss 2.2866 | cls 1.3026 | tal -0.2070 | dual_g 1.0461 | dual_d 0.7644 | train_acc 0.9875 | train_full n/a | val_acc 0.9586 | val_f1 0.9494 | adv/moduleC 0.50/1.00 | disc_steps 15 | grad(main/disc) 9.785/1.603 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
Epoch 018/060 | loss 2.2542 | cls 1.2850 | tal -0.2128 | dual_g 1.0330 | dual_d 0.8090 | train_acc 0.9667 | train_full n/a | val_acc 0.9258 | val_f1 0.9031 | adv/moduleC 0.55/1.00 | disc_steps 15 | grad(main/disc) 8.901/1.685 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
Epoch 019/060 | loss 2.2051 | cls 1.2545 | tal -0.2141 | dual_g 1.0149 | dual_d 0.8022 | train_acc 0.9771 | train_full n/a | val_acc 0.9586 | val_f1 0.9414 | adv/moduleC 0.60/1.00 | disc_steps 15 | grad(main/disc) 8.004/1.632 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
Epoch 020/060 | loss 2.1888 | cls 1.2415 | tal -0.1884 | dual_g 1.0037 | dual_d 0.8060 | train_acc 0.9812 | train_full 0.9957 | val_acc 0.9667 | val_f1 0.9573 | adv/moduleC 0.65/1.00 | disc_steps 15 | grad(main/disc) 7.854/1.651 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.8/0.4/0.4/0.7s | 4.4s
Epoch 021/060 | loss 2.2245 | cls 1.2553 | tal -0.0976 | dual_g 0.9984 | dual_d 0.8150 | train_acc 0.9854 | train_full n/a | val_acc 0.9504 | val_f1 0.9377 | adv/moduleC 0.70/1.00 | disc_steps 15 | grad(main/disc) 8.353/1.602 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.7/0.4/0.0/0.0s | 3.1s
Epoch 022/060 | loss 2.2179 | cls 1.2437 | tal -0.0941 | dual_g 1.0025 | dual_d 0.8098 | train_acc 0.9875 | train_full n/a | val_acc 0.9667 | val_f1 0.9706 | adv/moduleC 0.75/1.00 | disc_steps 15 | grad(main/disc) 8.321/1.605 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
Epoch 023/060 | loss 2.1716 | cls 1.2286 | tal -0.1642 | dual_g 0.9922 | dual_d 0.8221 | train_acc 0.9896 | train_full n/a | val_acc 0.9504 | val_f1 0.9306 | adv/moduleC 0.80/1.00 | disc_steps 15 | grad(main/disc) 7.752/1.612 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 3.0/0.4/0.0/0.0s | 3.5s
