variant=no_module_c | domain=逆光 | iteration=02
mode=expected-curve simulation | requested_peak_val_acc=0.9189
==============================================================================
Starting Dual_D standalone training
Simulated run: no_module_c/逆光/iter02
Device: cuda
Source train samples: 992
Target train samples: 132
Target val samples: 37
Classes: 14
Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=157/0
source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
target_train classes: present 9/14 | absent 5 | counts [0:20, 2:12, 4:12, 5:2, 9:16, 10:16, 11:29, 12:4, 13:21]
target_val classes: present 9/14 | absent 5 | counts [0:6, 2:3, 4:4, 5:1, 9:4, 10:4, 11:8, 12:1, 13:6]
Paired training classes: 9/14 | class ids [0, 2, 4, 5, 9, 10, 11, 12, 13]
Runtime profile: batch=16 | paired_steps=9 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=5 | lr_scheduler_start=28 | checkpoint_select_from=45 | early_stop=15 after min_epoch=55
Augmentation profile: base=0.780 | visible=0.860 | infrared=0.600 | freeze_frozen_batch_norm_stats=True
VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/1 | AIS alignment: none | AIS rows train/val: 0/0
Effective Dual-D loss weights: {"adv_auxiliary": 0.025, "adv_primary": 0.025, "classification": 0.0, "contrastive": 0.0, "cycle": 0.0, "identity": 0.0, "prototype_contrastive": 0.0}
Model parameters: total=17277714 | trainable=17120210
Epoch 001/060 | loss 5.6240 | cls 5.6886 | tal -0.2154 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.0556 | train_full 0.1288 | val_acc 0.1987 | val_f1 0.0921 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 32.763/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.4/0.4/0.4/0.5s | 2.8s
Epoch 002/060 | loss 5.1756 | cls 5.1933 | tal -0.0591 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1042 | train_full n/a | val_acc 0.1739 | val_f1 0.1420 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 29.433/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.7s
Epoch 003/060 | loss 4.8864 | cls 4.8615 | tal 0.0830 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2431 | train_full n/a | val_acc 0.2980 | val_f1 0.3440 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 27.264/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.6s
Epoch 004/060 | loss 4.5698 | cls 4.5182 | tal 0.1719 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1944 | train_full n/a | val_acc 0.3477 | val_f1 0.4330 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.804/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
Epoch 005/060 | loss 4.3571 | cls 4.3288 | tal 0.0946 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2708 | train_full 0.5000 | val_acc 0.4470 | val_f1 0.5023 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.101/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.4/0.5s | 2.5s
Epoch 006/060 | loss 4.0943 | cls 4.0540 | tal 0.1346 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3194 | train_full n/a | val_acc 0.4470 | val_f1 0.5035 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 24.819/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.6s
Epoch 007/060 | loss 3.9337 | cls 3.9100 | tal 0.0792 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3819 | train_full n/a | val_acc 0.6209 | val_f1 0.6533 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 24.050/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.6s
Epoch 008/060 | loss 3.7502 | cls 3.7042 | tal 0.1535 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3681 | train_full n/a | val_acc 0.5464 | val_f1 0.6137 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 22.938/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.6s
Epoch 009/060 | loss 3.7364 | cls 3.7081 | tal 0.0944 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3542 | train_full n/a | val_acc 0.6705 | val_f1 0.6939 | adv/moduleC 0.00/0.06 | disc_steps 0 | grad(main/disc) 22.321/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.5s
Epoch 010/060 | loss 3.8000 | cls 3.7527 | tal 0.1575 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.4306 | train_full 0.7121 | val_acc 0.6209 | val_f1 0.6371 | adv/moduleC 0.00/0.11 | disc_steps 0 | grad(main/disc) 22.924/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.4/0.5s | 2.4s
Epoch 011/060 | loss 3.5764 | cls 3.5199 | tal 0.1789 | dual_g 0.0028 | dual_d 0.7615 | train_acc 0.4514 | train_full n/a | val_acc 0.7450 | val_f1 0.7576 | adv/moduleC 0.04/0.17 | disc_steps 4 | grad(main/disc) 22.298/2.149 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.6s
Epoch 012/060 | loss 3.4466 | cls 3.4206 | tal 0.0716 | dual_g 0.0046 | dual_d 0.8731 | train_acc 0.4722 | train_full n/a | val_acc 0.7450 | val_f1 0.7515 | adv/moduleC 0.08/0.22 | disc_steps 4 | grad(main/disc) 21.863/2.276 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
Epoch 013/060 | loss 3.3881 | cls 3.3640 | tal 0.0598 | dual_g 0.0061 | dual_d 0.9352 | train_acc 0.4722 | train_full n/a | val_acc 0.6954 | val_f1 0.7098 | adv/moduleC 0.12/0.28 | disc_steps 4 | grad(main/disc) 21.301/2.321 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.3/0.4/0.0/0.0s | 1.7s
Epoch 014/060 | loss 3.4485 | cls 3.4108 | tal 0.1010 | dual_g 0.0074 | dual_d 0.8612 | train_acc 0.4792 | train_full n/a | val_acc 0.7948 | val_f1 0.8116 | adv/moduleC 0.17/0.33 | disc_steps 4 | grad(main/disc) 21.600/2.211 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.3/0.4/0.0/0.0s | 1.7s
Epoch 015/060 | loss 3.2285 | cls 3.1964 | tal 0.0799 | dual_g 0.0081 | dual_d 0.9555 | train_acc 0.4931 | train_full 0.8409 | val_acc 0.7948 | val_f1 0.8434 | adv/moduleC 0.21/0.39 | disc_steps 4 | grad(main/disc) 21.431/2.349 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.5/0.5s | 2.4s
Epoch 016/060 | loss 3.1935 | cls 3.1618 | tal 0.0753 | dual_g 0.0092 | dual_d 0.9484 | train_acc 0.5208 | train_full n/a | val_acc 0.7948 | val_f1 0.8024 | adv/moduleC 0.25/0.44 | disc_steps 4 | grad(main/disc) 21.691/2.398 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
Epoch 017/060 | loss 3.1399 | cls 3.0840 | tal 0.1537 | dual_g 0.0098 | dual_d 1.1286 | train_acc 0.5347 | train_full n/a | val_acc 0.8196 | val_f1 0.8288 | adv/moduleC 0.29/0.50 | disc_steps 4 | grad(main/disc) 20.802/2.536 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.3/0.4/0.0/0.0s | 1.7s
Epoch 018/060 | loss 3.0340 | cls 3.0120 | tal 0.0379 | dual_g 0.0106 | dual_d 1.1142 | train_acc 0.5139 | train_full n/a | val_acc 0.8196 | val_f1 0.8496 | adv/moduleC 0.33/0.56 | disc_steps 4 | grad(main/disc) 21.069/2.600 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.3/0.4/0.0/0.0s | 1.7s
Epoch 019/060 | loss 3.0284 | cls 3.0032 | tal 0.0489 | dual_g 0.0106 | dual_d 1.0721 | train_acc 0.5972 | train_full n/a | val_acc 0.8444 | val_f1 0.8354 | adv/moduleC 0.38/0.61 | disc_steps 4 | grad(main/disc) 20.539/2.430 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.6s
Epoch 020/060 | loss 3.1743 | cls 3.1533 | tal 0.0332 | dual_g 0.0111 | dual_d 1.1154 | train_acc 0.5000 | train_full 0.9545 | val_acc 0.8196 | val_f1 0.8436 | adv/moduleC 0.42/0.67 | disc_steps 4 | grad(main/disc) 22.563/2.606 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.4/0.5s | 2.4s
Epoch 021/060 | loss 2.8118 | cls 2.7808 | tal 0.0588 | dual_g 0.0134 | dual_d 1.1962 | train_acc 0.6597 | train_full n/a | val_acc 0.8692 | val_f1 0.8964 | adv/moduleC 0.46/0.72 | disc_steps 4 | grad(main/disc) 18.917/2.568 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
Epoch 022/060 | loss 2.8319 | cls 2.8039 | tal 0.0523 | dual_g 0.0123 | dual_d 1.1813 | train_acc 0.5833 | train_full n/a | val_acc 0.7948 | val_f1 0.8365 | adv/moduleC 0.50/0.78 | disc_steps 4 | grad(main/disc) 19.900/2.466 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.6s
