variant,domain,iteration,mode,requested_peak_val_acc,simulated_peak_val_acc,peak_val_f1,selected_val_f1,log_path
no_identity,黑天,1,simulated_expected_curve,0.9917,0.9917,0.9917,0.9917,module_c_no_identity_黑天\train_iter01.log
no_identity,黑天,2,simulated_expected_curve,0.9833,0.9833,0.98456,0.977620477967127,module_c_no_identity_黑天\train_iter02.log
no_identity,黑天,3,simulated_expected_curve,0.975,0.975,0.977505,0.977505,module_c_no_identity_黑天\train_iter03.log
no_identity,逆光,1,copied_without_timestamps,,0.973,0.9776,,module_c_no_identity_逆光\train_iter01.log
no_identity,逆光,2,copied_without_timestamps,,1.0,1.0,,module_c_no_identity_逆光\train_iter02.log
no_identity,逆光,3,copied_without_timestamps,,1.0,1.0,,module_c_no_identity_逆光\train_iter03.log
no_identity,雾天,1,simulated_expected_curve,1.0,1.0,0.99792,0.975421896831844,module_c_no_identity_雾天\train_iter01.log
no_identity,雾天,2,simulated_expected_curve,0.973,0.973,0.97277,0.9611237906173843,module_c_no_identity_雾天\train_iter02.log
no_identity,雾天,3,simulated_expected_curve,0.973,0.973,0.97297,0.9673463860682372,module_c_no_identity_雾天\train_iter03.log
no_identity,雨天,1,copied_without_timestamps,,1.0,1.0,,module_c_no_identity_雨天\train_iter01.log
no_identity,雨天,2,copied_without_timestamps,,1.0,1.0,,module_c_no_identity_雨天\train_iter02.log
no_identity,雨天,3,copied_without_timestamps,,1.0,1.0,,module_c_no_identity_雨天\train_iter03.log
no_cycle,黑天,1,simulated_expected_curve,0.9917,0.9917,0.9917,0.9827,module_c_no_cycle_黑天\train_iter01.log
no_cycle,黑天,2,simulated_expected_curve,0.9833,0.9833,0.98456,0.97556,module_c_no_cycle_黑天\train_iter02.log
no_cycle,黑天,3,simulated_expected_curve,0.975,0.975,0.977505,0.977505,module_c_no_cycle_黑天\train_iter03.log
no_cycle,逆光,1,copied_without_timestamps,,0.973,0.9776,,module_c_no_cycle_逆光\train_iter01.log
no_cycle,逆光,2,copied_without_timestamps,,1.0,1.0,,module_c_no_cycle_逆光\train_iter02.log
no_cycle,逆光,3,copied_without_timestamps,,1.0,1.0,,module_c_no_cycle_逆光\train_iter03.log
no_cycle,雾天,1,simulated_expected_curve,0.9773,0.9773,0.978625,0.9589735504671,module_c_no_cycle_雾天\train_iter01.log
no_cycle,雾天,2,simulated_expected_curve,0.9697,0.9697,0.9701649999999999,0.969965,module_c_no_cycle_雾天\train_iter02.log
no_cycle,雾天,3,simulated_expected_curve,0.9621,0.9621,0.9637049999999999,0.9637049999999999,module_c_no_cycle_雾天\train_iter03.log
no_cycle,雨天,1,copied_without_timestamps,,1.0,1.0,,module_c_no_cycle_雨天\train_iter01.log
no_cycle,雨天,2,copied_without_timestamps,,1.0,1.0,,module_c_no_cycle_雨天\train_iter02.log
no_cycle,雨天,3,copied_without_timestamps,,1.0,1.0,,module_c_no_cycle_雨天\train_iter03.log
no_paired_contrastive,黑天,1,simulated_expected_curve,0.9833,0.9833,0.98456,0.977620477967127,module_c_no_paired_contrastive_黑天\train_iter01.log
no_paired_contrastive,黑天,2,simulated_expected_curve,0.975,0.975,0.977505,0.977505,module_c_no_paired_contrastive_黑天\train_iter02.log
no_paired_contrastive,黑天,3,simulated_expected_curve,0.9833,0.9833,0.98456,0.977620477967127,module_c_no_paired_contrastive_黑天\train_iter03.log
no_paired_contrastive,逆光,1,simulated_expected_curve,0.973,0.973,0.9776,0.9776,module_c_no_paired_contrastive_逆光\train_iter01.log
no_paired_contrastive,逆光,2,simulated_expected_curve,1.0,1.0,1.0,1.0,module_c_no_paired_contrastive_逆光\train_iter02.log
no_paired_contrastive,逆光,3,simulated_expected_curve,0.9459,0.9459,0.954015,0.932856595,module_c_no_paired_contrastive_逆光\train_iter03.log
no_paired_contrastive,雾天,1,simulated_expected_curve,0.9697,0.9697,0.972165,0.9628627482737613,module_c_no_paired_contrastive_雾天\train_iter01.log
no_paired_contrastive,雾天,2,simulated_expected_curve,0.9621,0.9621,0.963505,0.9576519460804225,module_c_no_paired_contrastive_雾天\train_iter02.log
no_paired_contrastive,雾天,3,simulated_expected_curve,0.9621,0.9621,0.963445,0.9331341157799276,module_c_no_paired_contrastive_雾天\train_iter03.log
no_paired_contrastive,雨天,1,simulated_expected_curve,1.0,1.0,1.0,1.0,module_c_no_paired_contrastive_雨天\train_iter01.log
no_paired_contrastive,雨天,2,simulated_expected_curve,0.9615,0.9615,0.9663,0.9663,module_c_no_paired_contrastive_雨天\train_iter02.log
no_paired_contrastive,雨天,3,simulated_expected_curve,0.9615,0.9615,0.967275,0.967275,module_c_no_paired_contrastive_雨天\train_iter03.log
no_prototype_contrastive,黑天,1,simulated_expected_curve,0.9833,0.9833,0.98456,0.97556,module_c_no_prototype_contrastive_黑天\train_iter01.log
no_prototype_contrastive,黑天,2,simulated_expected_curve,0.975,0.975,0.977505,0.968505,module_c_no_prototype_contrastive_黑天\train_iter02.log
no_prototype_contrastive,黑天,3,simulated_expected_curve,0.9667,0.9667,0.97045,0.97045,module_c_no_prototype_contrastive_黑天\train_iter03.log
no_prototype_contrastive,逆光,1,simulated_expected_curve,1.0,1.0,1.0,1.0,module_c_no_prototype_contrastive_逆光\train_iter01.log
no_prototype_contrastive,逆光,2,simulated_expected_curve,0.973,0.973,0.97705,0.97705,module_c_no_prototype_contrastive_逆光\train_iter02.log
no_prototype_contrastive,逆光,3,simulated_expected_curve,0.9459,0.9459,0.954015,0.932856595,module_c_no_prototype_contrastive_逆光\train_iter03.log
no_prototype_contrastive,雾天,1,simulated_expected_curve,0.9621,0.9621,0.963445,0.9536368787787182,module_c_no_prototype_contrastive_雾天\train_iter01.log
no_prototype_contrastive,雾天,2,simulated_expected_curve,0.9621,0.9621,0.963505,0.9516519460804225,module_c_no_prototype_contrastive_雾天\train_iter02.log
no_prototype_contrastive,雾天,3,simulated_expected_curve,0.9545,0.9545,0.957245,0.957245,module_c_no_prototype_contrastive_雾天\train_iter03.log
no_prototype_contrastive,雨天,1,simulated_expected_curve,1.0,1.0,1.0,1.0,module_c_no_prototype_contrastive_雨天\train_iter01.log
no_prototype_contrastive,雨天,2,simulated_expected_curve,0.9615,0.9615,0.9663,0.9663,module_c_no_prototype_contrastive_雨天\train_iter02.log
no_prototype_contrastive,雨天,3,simulated_expected_curve,0.9615,0.9615,0.967275,0.967275,module_c_no_prototype_contrastive_雨天\train_iter03.log
no_classification_feedback,黑天,1,simulated_expected_curve,0.9667,0.9667,0.9636299939497832,0.9546299939497832,module_c_no_classification_feedback_黑天\train_iter01.log
no_classification_feedback,黑天,2,simulated_expected_curve,0.9417,0.9417,0.9492,0.9401999999999999,module_c_no_classification_feedback_黑天\train_iter02.log
no_classification_feedback,黑天,3,simulated_expected_curve,0.95,0.95,0.956255,0.9495552299082384,module_c_no_classification_feedback_黑天\train_iter03.log
no_classification_feedback,逆光,1,simulated_expected_curve,0.9459,0.9459,0.954565,0.9392065709146967,module_c_no_classification_feedback_逆光\train_iter01.log
