epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.2781107766287665,5.268810680934361,3.1861856324332103,3.204038688114711,0.03100054817540305,0.0,0.0,15.279746191842216,0.0,1.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.10178571428571428,0.08571428571428572,0.12142857142857143,0.10535714285714286,0.0,0.0,0.0,0.0,1.8411650487354823,0.9725974542754037,0.34675642422267366,0.2603782968861716,2.1669588770185197,2.2135653495788574,6.348394121442523,0.0,0.0,0.0,0.0,0.0,2.7077252864837646,0.13636363636363635,0.025974025974025972,0.08333333333333333,0.03960396039603961,0.13636363636363635,0.13636363636363635,0.13636363636363635,2.7329806089401245,0.12878787878787878,0.07764572722127899,0.11439842209072978,0.055214870490518174,0.007030149337841643,0.03960396039603961,7e-05,3.5e-05,0.5,18.95948028564453,24.421875,3.524841547012329,0.596733808517456,0.6056900024414062,0.9352233409881592,5.662766933441162
2,4.286038943699428,4.2800461905343195,2.516793727874756,2.7126963138580322,0.019976090639829636,0.0,0.0,12.100092479160853,0.0,1.0,0.0,0.0,0.0,0.0,0.15535714285714286,0.23392857142857143,0.15535714285714286,0.1625,0.20357142857142857,0.0,0.0,0.0,0.0,1.8154187202453613,1.0089391129357475,0.34788280725479126,0.260417354958398,2.1286210332598006,2.2059876918792725,5.399432114192417,0.0,0.0,0.0,0.0,0.0,2.446356177330017,0.19696969696969696,0.10331790123456791,0.15207231040564373,0.08405349794238683,0.19696969696969696,0.19696969696969696,0.19696969696969696,2.420676827430725,0.2196969696969697,0.13566410421819927,,,,0.08405349794238683,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,3.0056285858154297,0.5925173759460449,0.6081092357635498,0.0,4.206538677215576
3,3.9280618599482944,3.9128201007843018,2.250990322657994,2.5566612652369907,0.05080557082380567,0.0,0.0,10.750153269086566,0.0,1.0,0.0,0.0,0.0,0.0,0.2357142857142857,0.3482142857142857,0.2357142857142857,0.26071428571428573,0.31607142857142856,0.0,0.0,0.0,0.0,1.8292714357376099,1.0780967048236303,0.34933083823748995,0.2608687622206552,2.125662326812744,2.186666965484619,4.740555831364223,0.0,0.0,0.0,0.0,0.0,2.149585247039795,0.32575757575757575,0.3224689245181048,0.2518755935422602,0.25148148899924977,0.32575757575757575,0.32575757575757575,0.32575757575757575,2.1417607069015503,0.3106060606060606,0.22826588262423617,,,,0.25148148899924977,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,3.1100716590881348,0.5930328369140625,0.6001918315887451,0.0,4.303571462631226
4,3.610125814165388,3.6196543829781667,2.0788104363850186,2.3705292429242815,-0.03176203795841762,0.0,0.0,9.885668209620885,0.0,1.0,0.0,0.0,0.0,0.0,0.26607142857142857,0.3982142857142857,0.26607142857142857,0.25892857142857145,0.3535714285714286,0.0,0.0,0.0,0.0,1.837250488145011,1.006823684488024,0.35018051096371244,0.260582834482193,2.105209078107561,2.1654306820460727,4.490952151162284,0.0,0.0,0.0,0.0,0.0,2.012387454509735,0.3939393939393939,0.44646248812915484,0.36714828381495046,0.3429861468444644,0.3939393939393939,0.3939393939393939,0.3939393939393939,1.97097647190094,0.38636363636363635,0.30671991975367785,,,,0.3429861468444644,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,3.2986695766448975,0.5941224098205566,0.6050920486450195,0.0,4.4981749057769775
5,3.30909640448434,3.3344732352665494,1.8670991829463415,2.2574986049107144,-0.08458947603191648,0.0,0.0,9.52051053728376,0.0,1.0,0.0,0.0,0.0,0.0,0.2892857142857143,0.475,0.2892857142857143,0.28035714285714286,0.46785714285714286,0.0,0.0,0.0,0.0,1.836998701095581,0.9686095373971122,0.3498033157416752,0.2615599163940975,2.096515962055751,2.150110755647932,4.315212249755859,0.0,0.0,0.0,0.0,0.0,1.8824005722999573,0.4393939393939394,0.39464515703489245,0.4149436982770316,0.368025707516174,0.4393939393939394,0.4393939393939394,0.4393939393939394,1.8482388854026794,0.4393939393939394,0.3316220216893889,0.46942800788954636,0.43826905323698423,-0.1890708650324035,0.368025707516174,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,3.106616497039795,0.588315486907959,0.5982911586761475,0.8614931106567383,5.155028581619263
6,3.5122643198285783,3.264399562563215,1.8128933906555176,2.23308641569955,0.00026921934581228664,0.24778395678315843,0.992096463839213,9.51734869820731,1.9441983302434285,1.0,0.0,3.0,0.05,0.1,0.32142857142857145,0.4785714285714286,0.32142857142857145,0.325,0.4660714285714286,0.992096463839213,1.1156038443247478,0.8685890634854635,0.24778395678315843,1.9009399924959456,0.9668979219027928,0.3472376763820648,0.2611351566655295,2.092832769666399,2.13801908493042,4.054689134870257,0.011111606045493059,0.0013056757494008967,0.008371331462902682,0.019242170665945326,0.20273445759500777,1.9036296606063843,0.4166666666666667,0.46922773837667453,0.44075769909103246,0.3913170599649729,0.4166666666666667,0.4166666666666667,0.4166666666666667,1.8747248649597168,0.44696969696969696,0.4007180624830766,,,,0.3913170599649729,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,3.147648811340332,0.5961356163024902,0.600231409072876,0.0,4.344310760498047
7,3.5164648464747836,3.0539722783224925,1.69586147580828,2.089401194027492,-0.03516855529908623,0.4730431352342878,0.9614551663398743,9.516362871442523,1.900090495745341,1.0,0.0,3.0,0.1,0.2,0.3625,0.55,0.3625,0.3892857142857143,0.5446428571428571,0.9614551663398743,1.06246813138326,0.8604422211647034,0.4730431352342878,1.9213292939322335,0.9766878655978611,0.34006101744515554,0.2590913900307247,2.0707277229854038,2.1164376395089284,3.8388355118887767,0.021763906148927554,0.00259091382447098,0.016565822330968722,0.038095876042331965,0.38388355714934214,1.8514766097068787,0.45454545454545453,0.602052052052052,0.4888990638990639,0.4322611266728914,0.45454545454545453,0.45454545454545453,0.45454545454545453,1.8280941247940063,0.45454545454545453,0.4207605937998095,,,,0.4322611266728914,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,3.2676005363464355,0.59269118309021,0.6061582565307617,0.0,4.466739177703857
8,3.581160375050136,2.9199280398232594,1.6237565279006958,1.9941101244517736,-0.08958707004785538,0.6881085208484105,0.9649249712626139,9.836705344063896,1.8992273410161336,1.0,0.0,3.0,0.15,0.3,0.42678571428571427,0.5857142857142857,0.42678571428571427,0.36607142857142855,0.5982142857142857,0.9649249712626139,1.1237942377726238,0.8060557047526041,0.6881085208484105,1.9117178406034196,0.9680607148579189,0.3320650713784354,0.2551383376121521,2.0512234142848422,2.0946847030094693,3.7074210984366283,0.03187824785709381,0.003827075008302927,0.024614681356719563,0.056556488786424906,0.5561131920133319,1.6915752291679382,0.5303030303030303,0.6982945370042144,0.5576414326414326,0.5300880568424428,0.5303030303030303,0.5303030303030303,0.5303030303030303,1.689547061920166,0.5606060606060606,0.5555865050383336,,,,0.5300880568424428,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,3.131471633911133,0.5952653884887695,0.6044125556945801,0.0,4.331439018249512
9,3.57408036504473,2.737270866121565,1.5158073902130127,1.8791746582303728,-0.11170483061245509,0.8703209842954364,0.9077707727750143,10.093438284737724,1.8471792538960774,1.0,0.0,3.0,0.2,0.4,0.4625,0.6125,0.4625,0.45357142857142857,0.6232142857142857,0.9077707727750143,0.9907980561256409,0.8247434496879578,0.8703209842954364,1.8189579248428345,1.0599285449300493,0.3230729103088379,0.25278754106589724,2.0077923195702687,2.064577681677682,3.486551080431257,0.0413533342736108,0.005055750720202923,0.03212467873735087,0.0743247919848987,0.6973102263041905,1.551796793937683,0.6742424242424242,0.7527915947809071,0.6539479039479039,0.6435146369815202,0.6742424242424242,0.6742424242424242,0.6742424242424242,1.5655304193496704,0.6136363636363636,0.6215115243370465,,,,0.6435146369815202,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.8748867511749268,0.5936496257781982,0.6053307056427002,0.0,4.074166297912598
10,3.623257943562099,2.6342851434435164,1.4715747833251953,1.7887852873120988,-0.13177897994007384,1.0285065174102783,0.8733277320861816,10.740478515625,1.7632121642430623,1.0,0.0,3.0,0.25,0.5,0.4982142857142857,0.6696428571428571,0.4982142857142857,0.49107142857142855,0.6857142857142857,0.8733277320861816,0.9865249594052633,0.7601305047671,1.0285065174102783,1.8289695807865687,1.0705858298710413,0.3158358931541443,0.25005804002285004,1.9774636030197144,2.032627650669643,3.2613308089120046,0.05053374171257019,0.006251451093703508,0.03954927144306047,0.0914682490485055,0.8153327022280011,1.4989752173423767,0.696969696969697,0.7687107500571737,0.7027336860670194,0.6742639426849952,0.696969696969697,0.696969696969697,0.696969696969697,1.4957436323165894,0.6666666666666666,0.6561968458822665,0.7080867850098619,0.717153217396834,-0.21701535643843334,0.6742639426849952,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,3.3702704906463623,0.5999524593353271,0.6168296337127686,0.8636903762817383,5.4510722160339355
