epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.681768973668416,5.639510869979858,3.1930400133132935,3.136501351992289,0.1408600683013598,0.0,0.0,16.800021648406982,0.0,1.0,0.0,0.0,0.0,0.0,0.12291666666666666,0.10625,0.12291666666666666,0.12708333333333333,0.10625,0.0,0.0,0.0,0.0,0.9503735403219858,0.38249553740024567,0.3656977166732152,0.2698175311088562,2.045773148536682,2.0939716498057046,6.356125195821126,0.0,0.0,0.0,0.0,0.0,2.811457633972168,0.06666666666666667,0.03451086956521739,0.08435314685314685,0.025054807391168183,0.06666666666666667,0.06666666666666667,0.06666666666666667,2.776352047920227,0.075,0.030594405594405592,0.08602150537634409,0.031078949299288283,0.04106182795698923,0.025054807391168183,0.0001,3.5e-05,0.35,18.95948028564453,24.421875,4.116479396820068,0.5787763595581055,0.5823161602020264,0.8288567066192627,6.106765508651733
2,4.418295741081238,4.401397148768107,2.4757349093755088,2.4687979221343994,0.05632840481121093,0.0,0.0,13.243377844492594,0.0,1.0,0.0,0.0,0.0,0.0,0.23958333333333334,0.2125,0.23958333333333334,0.21875,0.22708333333333333,0.0,0.0,0.0,0.0,1.0097801585992177,0.3721345017353694,0.3678945302963257,0.2718682587146759,2.02682493130366,2.092474341392517,4.932859500249227,0.0,0.0,0.0,0.0,0.0,2.3868396282196045,0.10833333333333334,0.2540322580645161,0.19071401159815793,0.11105811403508772,0.10833333333333334,0.10833333333333334,0.10833333333333334,2.369386672973633,0.10833333333333334,0.10871677440600191,,,,0.11105811403508772,0.0001,3.5e-05,0.35,18.956031799316406,24.421875,3.1624109745025635,0.5756962299346924,0.5850279331207275,0.0,4.323418140411377
3,3.6435399452845254,3.6394794384638467,2.0190161863962808,2.077517012755076,0.013534942797074715,0.0,0.0,11.326848030090332,0.0,1.0,0.0,0.0,0.0,0.0,0.33958333333333335,0.36666666666666664,0.33958333333333335,0.29583333333333334,0.3333333333333333,0.0,0.0,0.0,0.0,0.9736307660738627,0.38680997490882874,0.3717367698748906,0.27375491460164386,1.991875688234965,2.0633363723754883,4.277603944142659,0.0,0.0,0.0,0.0,0.0,2.547448754310608,0.08333333333333333,0.18214285714285713,0.22179878048780488,0.08107864357864357,0.08333333333333333,0.08333333333333333,0.08333333333333333,,,,,,,0.08107864357864357,0.0001,3.5e-05,0.35,18.956031799316406,24.421875,3.0324597358703613,0.5743803977966309,0.0,0.0,3.607125759124756
4,3.5101742347081504,3.293505827585856,1.825253148873647,1.8823752999305725,-0.027884817992647488,0.2250338320930799,0.0,10.905709425608316,0.0,1.0,0.0,0.0,0.0,0.1,0.40208333333333335,0.46041666666666664,0.40208333333333335,0.41875,0.44166666666666665,0.0,0.0,0.0,0.2250338320930799,0.9461141129334768,0.40338310102621716,0.3693014979362488,0.2729050914446513,1.9104199012120564,2.011155645052592,3.722191492716471,0.01181764854118228,0.0013645254463578265,0.007641679995382826,0.018100400144855183,0.18610958009958267,2.684531092643738,0.09166666666666666,0.0425376254180602,0.25,0.06671826625386997,0.09166666666666666,0.09166666666666666,0.09166666666666666,,,,,,,0.06671826625386997,0.0001,3.5e-05,0.35,18.956031799316406,24.421875,3.477574110031128,0.5812737941741943,0.0,0.0,4.059078216552734
5,3.259119470914205,2.890671133995056,1.712781548500061,1.5101149082183838,-0.10059887667496999,0.39862798651059467,0.0,10.306342124938965,0.0,1.0,0.0,0.0,0.0,0.2,0.6020833333333333,0.48541666666666666,0.6020833333333333,0.51875,0.4791666666666667,0.0,0.0,0.0,0.39862798651059467,0.9066344300905863,0.3956668972969055,0.35749468704064685,0.2687307844559352,1.8900615572929382,1.9609909653663635,3.226426879564921,0.022879661060869694,0.0026873078119630613,0.01512049309288462,0.03529783462484678,0.3226426939169566,2.2756789922714233,0.15,0.2813833570412517,0.32717391304347826,0.16928994918125354,0.15,0.15,0.15,2.3115170001983643,0.14166666666666666,0.15242747287238814,0.14193548387096774,0.15201480176888452,0.3768145161290323,0.16928994918125354,0.0001,3.5e-05,0.35,18.956031799316406,24.421875,3.0276100635528564,0.5755095481872559,0.5792505741119385,0.8514094352722168,5.03404688835144
6,3.0317935943603516,2.51643697420756,1.4620810548464458,1.3517383933067322,-0.09447044134140015,0.5436977744102478,0.8916383882363638,10.548134803771973,1.7173288861910503,1.0,0.0,6.0,0.05,0.3,0.6520833333333333,0.6125,0.6520833333333333,0.6333333333333333,0.5520833333333334,0.8916383882363638,0.8781348764896393,0.9051419099171957,0.5436977744102478,0.865584800640742,0.45532840490341187,0.3450551728407542,0.26389461755752563,1.8216087222099304,1.896502176920573,2.874917149543762,0.03312529747684797,0.003958419198170304,0.02185930497944355,0.0512055599441131,0.4312375883261363,1.6253642439842224,0.4666666666666667,0.6625548245614035,0.689517070946021,0.5154080847402482,0.4666666666666667,0.4666666666666667,0.4666666666666667,1.6105032563209534,0.48333333333333334,0.46210734783725393,,,,0.5154080847402482,0.0001,3.5e-05,0.35,18.956970691680908,24.421875,2.9445443153381348,0.5731992721557617,0.5818235874176025,0.0,4.099868059158325
7,2.9157628615697226,2.2630625565846763,1.3000727494557698,1.2346023718516033,-0.09456329854826133,0.6810693244139353,0.8526322642962137,10.542001088460287,1.6591407457987468,1.0,0.0,6.0,0.1,0.4,0.69375,0.6854166666666667,0.69375,0.7020833333333333,0.6416666666666667,0.8526322642962137,0.8266716500123342,0.8785929083824158,0.6810693244139353,0.9642722606658936,0.48057037095228833,0.3331203907728195,0.25975561141967773,1.7711009979248047,1.8353705207506816,2.668834368387858,0.042639411985874176,0.005195112122843663,0.028337617094318073,0.06607333694895108,0.533766895532608,1.287070631980896,0.65,0.6784541847041846,0.7963555532484483,0.6533696152752583,0.65,0.65,0.65,1.252572774887085,0.65,0.6615463737889368,,,,0.6533696152752583,0.0001,3.5e-05,0.35,18.956970691680908,24.421875,2.9718399047851562,0.5730376243591309,0.5865259170532227,0.0,4.131699323654175
8,2.836150844891866,2.072844982147217,1.2071062525113423,1.109921524922053,-0.04025511412570874,0.775382379690806,0.8463229735692342,10.211658954620361,1.5487395922342937,1.0,0.0,6.0,0.15,0.5,0.7479166666666667,0.725,0.7479166666666667,0.7395833333333334,0.7458333333333333,0.8463229735692342,0.8222541113694509,0.8703918159008026,0.775382379690806,0.9541656871636709,0.4748835663000743,0.32184045016765594,0.25633226831754047,1.709389825661977,1.7765345374743144,2.383380929629008,0.05149447172880173,0.006408306770026684,0.0341877955943346,0.07994405801097552,0.595845232407252,1.1813023090362549,0.6916666666666667,0.7018543524877512,0.7533387653350537,0.6604370216986316,0.6916666666666667,0.6916666666666667,0.6916666666666667,1.156156301498413,0.7083333333333334,0.6697120016972958,,,,0.6604370216986316,0.0001,3.5e-05,0.35,18.956970691680908,24.421875,3.142961025238037,0.573054313659668,0.5799438953399658,0.0,4.296248197555542
9,2.713499108950297,1.8640069166819255,1.0346027215321858,1.0633387863636017,-0.04312459068993727,0.862429549296697,0.795952320098877,9.153773625691732,1.4596621990203857,1.0,0.0,6.0,0.2,0.6,0.7895833333333333,0.7979166666666667,0.7895833333333333,0.7791666666666667,0.7833333333333333,0.795952320098877,0.7681345840295156,0.8237700661023458,0.862429549296697,1.0113938450813293,0.4919376422961553,0.31335095564524335,0.2538810620705287,1.636599024136861,1.7104403575261433,2.174947460492452,0.06016338368256887,0.007616431685164571,0.039278377468387284,0.09236378222703934,0.6524842580159506,1.1323024034500122,0.7416666666666667,0.7174708331834909,0.8337732157820971,0.7240160556976413,0.7416666666666667,0.7416666666666667,0.7416666666666667,1.1277750730514526,0.7666666666666667,0.7054546661318846,,,,0.7240160556976413,0.0001,3.5e-05,0.35,18.956970691680908,24.421875,3.293306350708008,0.5801150798797607,0.5878891944885254,0.0,4.461596250534058
10,2.6795873244603476,1.7671650052070618,0.9667343099912008,1.0261932611465454,-0.055182905246814094,0.9289771715799967,0.8143820762634277,9.162728627522787,1.4472287893295288,1.0,0.0,6.0,0.25,0.7,0.8020833333333334,0.825,0.8020833333333334,0.8020833333333334,0.81875,0.8143820762634277,0.7878788312276205,0.8408853312333425,0.9289771715799967,0.9873275061448415,0.48981382449467975,0.30403295656045276,0.24951366086800894,1.598274032274882,1.6457009116808574,1.9736714561780293,0.06810338298479716,0.008732978099336227,0.044751674557725586,0.10367915779352188,0.6907850007216135,1.2510815858840942,0.7416666666666667,0.7649833369656024,0.8462270762111695,0.7433727828080957,0.7416666666666667,0.7416666666666667,0.7416666666666667,1.2542187571525574,0.725,0.7264529425570616,0.7333333333333333,0.7224163179706253,0.06875000000000009,0.7433727828080957,0.0001,3.5e-05,0.35,18.956970691680908,24.421875,2.935612201690674,0.5696134567260742,0.58111572265625,0.8314709663391113,4.918137550354004
