epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.824244658152263,5.898317337036133,3.37038524945577,3.3705762227376304,-0.24690905958414078,0.0,0.0,17.729917526245117,0.0,1.0,0.0,0.0,0.0,0.0,0.04583333333333333,0.08333333333333333,0.04583333333333333,0.075,0.08333333333333333,0.0,0.0,0.0,0.0,0.887557864189148,1.5665876468022664,0.3545827269554138,0.2702501614888509,2.1603592236836753,2.1899433930714927,6.581909656524658,0.0,0.0,0.0,0.0,0.0,2.6784658432006836,0.1891891891891892,0.0707070707070707,0.19444444444444445,0.0997150997150997,0.1891891891891892,0.1891891891891892,0.18918918918918917,2.657402992248535,0.13513513513513514,0.05291005291005291,0.12121212121212122,0.06154568945266619,-0.04621212121212122,0.0997150997150997,7e-05,3.5e-05,0.5,18.95948028564453,24.421875,3.7808780670166016,0.6067037582397461,0.5823812484741211,0.8033981323242188,5.773687362670898
2,5.294760704040527,5.311989466349284,3.1264195442199707,2.9140931765238443,-0.057428975900014244,0.0,0.0,16.384931246439617,0.0,1.0,0.0,0.0,0.0,0.0,0.1125,0.10833333333333334,0.1125,0.11666666666666667,0.10416666666666667,0.0,0.0,0.0,0.0,0.99405970176061,1.7525383631388347,0.3544633686542511,0.2702249089876811,2.112382411956787,2.177963654200236,6.124301910400391,0.0,0.0,0.0,0.0,0.0,2.5595223903656006,0.16216216216216217,0.06888888888888889,0.16666666666666666,0.0896551724137931,0.16216216216216217,0.16216216216216217,0.16216216216216217,,,,,,,0.0896551724137931,7e-05,3.5e-05,0.5,18.957862854003906,24.421875,3.625070571899414,0.6048829555511475,0.0,0.0,4.230234861373901
3,4.786125818888347,4.757740020751953,2.772270917892456,2.647292216618856,0.09461891154448192,0.0,0.0,13.848745981852213,0.0,1.0,0.0,0.0,0.0,0.0,0.175,0.15833333333333333,0.175,0.20833333333333334,0.225,0.0,0.0,0.0,0.0,0.8755694627761841,1.7109272877375286,0.35204559564590454,0.26925693949063617,2.1519507567087808,2.172503391901652,5.3131974538167315,0.0,0.0,0.0,0.0,0.0,2.440581798553467,0.16216216216216217,0.12930756843800323,0.16666666666666666,0.11419753086419752,0.16216216216216217,0.16216216216216217,0.16216216216216217,2.4127089977264404,0.2702702702702703,0.19413919413919414,,,,0.11419753086419752,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,2.6068344116210938,0.5786123275756836,0.5712502002716064,0.0,3.7569382190704346
4,4.340389569600423,4.311033884684245,2.496878465016683,2.4188740253448486,0.09785217419266701,0.0,0.0,13.222107887268066,0.0,1.0,0.0,0.0,0.0,0.0,0.2708333333333333,0.25833333333333336,0.2708333333333333,0.24166666666666667,0.22916666666666666,0.0,0.0,0.0,0.0,0.9020320773124695,1.5016950766245525,0.35034874081611633,0.26768553256988525,2.070812145868937,2.154434601465861,5.03505293528239,0.0,0.0,0.0,0.0,0.0,2.3237900733947754,0.16216216216216217,0.09806397306397306,0.16666666666666666,0.11554103122730575,0.16216216216216217,0.16216216216216217,0.16216216216216217,2.2911038398742676,0.2702702702702703,0.21937321937321938,,,,0.11554103122730575,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,2.898369073867798,0.5538091659545898,0.5774567127227783,0.0,4.029987096786499
5,4.108910878499349,4.057308912277222,2.3274664084116616,2.3064566453297934,0.039224705348412194,0.0398344931503137,0.0,12.296561559041342,0.0,1.0,0.0,0.0,0.0,0.1,0.2833333333333333,0.2916666666666667,0.2833333333333333,0.3,0.2916666666666667,0.0,0.0,0.0,0.0398344931503137,0.8659226695696512,1.5591773986816406,0.3467955191930135,0.26720113555590314,2.048548936843872,2.1340928872426352,4.715771834055583,0.011097456949452559,0.0013360056715706985,0.008194196037948132,0.019206834957003593,0.0,2.2281947135925293,0.2702702702702703,0.16269841269841268,0.287037037037037,0.19753086419753085,0.2702702702702703,0.2702702702702703,0.2702702702702703,2.2010457515716553,0.24324324324324326,0.16415343915343916,0.24242424242424243,0.2807577583311933,0.05757575757575756,0.19753086419753085,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,2.984861373901367,0.555908203125,0.5625355243682861,0.8165392875671387,4.920158624649048
6,3.9431416193644204,3.875185012817383,2.276174306869507,2.132014274597168,-0.05068337917327881,0.08316166698932648,0.8556209802627563,11.617361386617025,1.9194457530975342,1.0,0.0,1.0,0.05,0.2,0.375,0.325,0.375,0.3333333333333333,0.325,0.8556209802627563,0.9050313234329224,0.8062106370925903,0.08316166698932648,0.9006567398707072,1.611366073290507,0.3403779864311218,0.2647796869277954,2.0460519790649414,2.1091788609822593,4.456489086151123,0.02178419257203738,0.002647796800980965,0.016368416448434193,0.03796521946787834,0.0,1.9162393808364868,0.3783783783783784,0.35993265993265994,0.34259259259259256,0.2756206756206756,0.3783783783783784,0.3783783783783784,0.37837837837837834,1.8625015020370483,0.4594594594594595,0.3703703703703704,,,,0.2756206756206756,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,3.445380687713623,0.5618605613708496,0.5827929973602295,0.0,4.590330123901367
7,3.660309632619222,3.554954687754313,2.0834223429361978,1.9620431264241536,-0.06427789231141408,0.12463819980621338,0.8467410206794739,11.181448618570963,1.886715292930603,1.0,0.0,1.0,0.1,0.3,0.35833333333333334,0.32916666666666666,0.35833333333333334,0.4375,0.3416666666666667,0.8467410206794739,0.7599164247512817,0.933565616607666,0.12463819980621338,0.9238371054331461,1.590376655260722,0.3284420867760976,0.26121748487154645,2.0166258811950684,2.081119934717814,4.237503369649251,0.03153044047454993,0.0039182621985673904,0.02419951061407725,0.05619023864467939,0.0,1.7250415086746216,0.4864864864864865,0.6873015873015873,0.6203703703703703,0.6069664902998236,0.4864864864864865,0.4864864864864865,0.4864864864864865,1.6721259355545044,0.5405405405405406,0.5529966329966329,,,,0.6069664902998236,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,3.2233643531799316,0.5825231075286865,0.5978524684906006,0.0,4.40404200553894
8,3.7864414850870767,3.59541654586792,2.1662086645762124,1.9056105216344197,0.08579435696204503,0.16528659065564474,0.8451794981956482,11.07702350616455,1.8089687824249268,1.0,0.0,1.0,0.15,0.4,0.42916666666666664,0.35,0.42916666666666664,0.42083333333333334,0.325,0.8451794981956482,0.7948980331420898,0.8954609632492065,0.16528659065564474,0.8635484178860983,1.6284128824869792,0.31619295477867126,0.258635938167572,2.007668972015381,2.0676576296488443,4.031122048695882,0.040472699950138726,0.0051727186267574625,0.03212270513176918,0.07443567117055257,0.0,1.5385304689407349,0.6486486486486487,0.8112535612535612,0.7407407407407407,0.7381091617933724,0.6486486486486487,0.6486486486486487,0.6486486486486487,1.517869472503662,0.6756756756756757,0.7434642517975852,,,,0.7381091617933724,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,3.421295404434204,0.5735890865325928,0.5673065185546875,0.0,4.56247878074646
9,3.618967294692993,3.382127523422241,2.0266302824020386,1.807329575220744,0.10879133145014445,0.20420236885547638,0.823123574256897,10.719294230143229,1.8517926931381226,1.0,0.0,1.0,0.2,0.5,0.49166666666666664,0.37083333333333335,0.49166666666666664,0.42916666666666664,0.3541666666666667,0.823123574256897,0.7583106160163879,0.8879364728927612,0.20420236885547638,0.9080621202786764,1.4486780563990276,0.30434949199358624,0.25530781348546344,2.004841446876526,2.0562163988749185,4.015977064768474,0.04869591693083445,0.0063826955544451875,0.040096828093131386,0.09252974142630895,0.0,1.3479126691818237,0.7567567567567568,0.8496913580246913,0.8148148148148148,0.8119929453262787,0.7567567567567568,0.7567567567567568,0.7567567567567567,1.333779215812683,0.7297297297297297,0.7918109668109669,,,,0.8119929453262787,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,3.0220870971679688,0.5736560821533203,0.5538146495819092,0.0,4.149855852127075
10,3.6413702964782715,3.346588055292765,1.9883482456207275,1.8109863996505737,0.18137667203942934,0.24036930004755655,0.8136243224143982,10.83176358540853,1.7288873195648193,1.0,0.0,1.0,0.25,0.6,0.43333333333333335,0.4375,0.43333333333333335,0.475,0.4666666666666667,0.8136243224143982,0.7758723497390747,0.8513762950897217,0.24036930004755655,0.9653083880742391,1.5806206464767456,0.29304811358451843,0.2528970539569855,1.9044171969095867,2.009893814722697,3.702855110168457,0.05626523743073145,0.00758691132068634,0.04570601383845011,0.10853426655133565,0.0,1.2130706310272217,0.8378378378378378,0.8907407407407406,0.8935185185185185,0.8777420110753444,0.8378378378378378,0.8378378378378378,0.8378378378378378,1.2303310632705688,0.7297297297297297,0.7773929773929773,0.7651515151515151,0.7927758675354536,-0.29015151515151516,0.8777420110753444,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.6299877166748047,0.5789248943328857,0.6412112712860107,0.7605535984039307,4.611003398895264
