epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.457043488820394,5.425610383351644,3.078054428100586,3.2604943116505942,0.10477711011966069,0.0,0.0,17.880090713500977,0.0,1.0,0.0,0.0,0.0,0.0,0.12916666666666668,0.10833333333333334,0.12916666666666668,0.0875,0.14166666666666666,0.0,0.0,0.0,0.0,0.4150783320267995,0.6698860128720602,0.34893475969632465,0.2716380258401235,1.7631729046503704,1.789129376411438,6.4112270673116045,0.0,0.0,0.0,0.0,0.0,3.0023038387298584,0.23076923076923078,0.06666666666666667,0.125,0.08695652173913045,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.962998628616333,0.2692307692307692,0.21269841269841272,0.3333333333333333,0.22017121455323704,-0.24583333333333332,0.08695652173913045,9e-05,3.5e-05,0.38888888888888884,18.95948028564453,24.421875,3.1642961502075195,0.512516975402832,0.5056431293487549,0.7094495296478271,4.893091201782227
2,4.741696834564209,4.769498189290364,2.6874612172444663,2.891718069712321,-0.09267115592956543,0.0,0.0,15.823480606079102,0.0,1.0,0.0,0.0,0.0,0.0,0.15833333333333333,0.21666666666666667,0.15833333333333333,0.14583333333333334,0.2125,0.0,0.0,0.0,0.0,0.38308624426523846,0.7312303185462952,0.34728317459424335,0.27175212899843854,1.746938149134318,1.8207013607025146,5.579177697499593,0.0,0.0,0.0,0.0,0.0,2.7509548664093018,0.07692307692307693,0.10714285714285714,0.10416666666666667,0.07037037037037037,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,0.07037037037037037,9e-05,3.5e-05,0.38888888888888884,18.957862854003906,24.421875,2.736085891723633,0.5097992420196533,0.0,0.0,3.2462387084960938
3,4.019295295079549,4.02963391939799,2.3313721815745034,2.358696699142456,-0.03446231782436371,0.0,0.0,13.318984031677246,0.0,1.0,0.0,0.0,0.0,0.0,0.2875,0.2625,0.2875,0.25833333333333336,0.2875,0.0,0.0,0.0,0.0,0.3914588391780853,0.7518855134646097,0.34589744607607525,0.27167340119679767,1.7562644084294636,1.810892939567566,4.845655759175618,0.0,0.0,0.0,0.0,0.0,2.470694065093994,0.15384615384615385,0.1425438596491228,0.2333333333333333,0.16666666666666666,0.15384615384615385,0.15384615384615385,0.15384615384615385,2.435237169265747,0.11538461538461539,0.15,,,,0.16666666666666666,9e-05,3.5e-05,0.38888888888888884,18.956031799316406,24.421875,2.685574531555176,0.4999356269836426,0.5324873924255371,0.0,3.71829891204834
4,3.5348249276479087,3.5407556692759194,2.1079119046529136,1.9900606870651245,-0.01976924141248067,0.0,0.0,12.048250516255697,0.0,1.0,0.0,0.0,0.0,0.0,0.3458333333333333,0.31666666666666665,0.3458333333333333,0.375,0.32916666666666666,0.0,0.0,0.0,0.0,0.3749641478061676,0.6355404456456503,0.34573941429456073,0.2727765440940857,1.7309221426645915,1.7838171323140461,4.515191237131755,0.0,0.0,0.0,0.0,0.0,2.403920888900757,0.23076923076923078,0.19999999999999998,0.25,0.16666666666666666,0.23076923076923078,0.23076923076923078,0.23076923076923078,,,,,,,0.16666666666666666,9e-05,3.5e-05,0.38888888888888884,18.956031799316406,24.421875,2.666212558746338,0.5304698944091797,0.0,0.0,3.19697642326355
5,3.3802314599355063,3.3551427523295083,1.998823920885722,1.8837759494781494,-0.03293783962726593,0.03497007365028063,0.0,11.124740918477377,0.0,1.0,0.0,0.0,0.0,0.1,0.4041666666666667,0.4,0.4041666666666667,0.37083333333333335,0.32916666666666666,0.0,0.0,0.0,0.03497007365028063,0.3895840843518575,0.7110313971837362,0.34167112906773883,0.272629052400589,1.7115435600280762,1.7585864067077637,3.828643798828125,0.010933476500213146,0.0013631452263022463,0.006846174442519744,0.015827277054389317,0.0,2.4004292488098145,0.23076923076923078,0.19999999999999998,0.25,0.16666666666666666,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.3148000240325928,0.2692307692307692,0.22413793103448276,0.2708333333333333,0.2476700160186399,0.10000000000000003,0.16666666666666666,9e-05,3.5e-05,0.38888888888888884,18.956031799316406,24.421875,2.6107330322265625,0.4807579517364502,0.4978010654449463,0.7105364799499512,4.300109148025513
6,3.1313346227010093,3.040668249130249,1.8047521511713664,1.7165502309799194,0.07436994463205338,0.0683553194006284,0.0,10.497026761372885,0.0,1.0,0.0,0.0,0.0,0.2,0.5,0.475,0.5,0.4375,0.475,0.0,0.0,0.0,0.0683553194006284,0.38574928045272827,0.6251778801282247,0.32946455478668213,0.26912279923756915,1.6491012175877888,1.74364173412323,3.654635747273763,0.02108573168516159,0.0026912279427051544,0.013192810428639254,0.03138554965456327,0.0,2.3236615657806396,0.3076923076923077,0.37121212121212116,0.4166666666666667,0.3395061728395061,0.3076923076923077,0.3076923076923077,0.3076923076923077,2.2152957916259766,0.3076923076923077,0.3395061728395061,,,,0.3395061728395061,9e-05,3.5e-05,0.38888888888888884,18.956031799316406,24.421875,2.789041757583618,0.5011641979217529,0.5096855163574219,0.0,3.8001863956451416
7,2.956019878387451,2.815621773401896,1.6017181475957234,1.6859772205352783,0.12904299795627594,0.10168522596359253,0.9396403431892395,10.105616887410482,1.8602502743403118,1.0,0.0,3.0,0.05555555555555555,0.3,0.49166666666666664,0.5375,0.49166666666666664,0.5,0.5291666666666667,0.9396403431892395,1.0149823029836018,0.8642983833948771,0.10168522596359253,0.391136775414149,0.6416892011960348,0.3157881697018941,0.2660953799883525,1.6414339542388916,1.6915796597798665,3.4306653340657554,0.030315664286414783,0.0039914304700990515,0.019697207336624462,0.04567265138030052,0.0,2.094385862350464,0.38461538461538464,0.25740740740740736,0.4583333333333333,0.3169082125603864,0.38461538461538464,0.38461538461538464,0.38461538461538464,,,,,,,0.3169082125603864,9e-05,3.5e-05,0.38888888888888884,18.956970691680908,24.421875,2.7726311683654785,0.4958620071411133,0.0,0.0,3.2688064575195312
8,2.9555931091308594,2.767607053120931,1.6401904026667278,1.5658563772837322,0.17824002106984457,0.13451394935448965,0.9057170152664185,9.691080411275228,1.8501853148142497,1.0,0.0,3.0,0.1111111111111111,0.4,0.5916666666666667,0.5458333333333333,0.5916666666666667,0.5541666666666667,0.55,0.9057170152664185,0.9924861987431844,0.8189478119214376,0.13451394935448965,0.3913031021753947,0.6870224277178446,0.3035256465276082,0.26314567526181537,1.614717721939087,1.6769662698109944,3.2487406730651855,0.038851283490657806,0.005262913492818673,0.025835484266281128,0.06037078176935514,0.0,1.9233020544052124,0.4230769230769231,0.2962962962962963,0.5,0.3525641025641026,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.8281117677688599,0.46153846153846156,0.3570795676058834,,,,0.3525641025641026,9e-05,3.5e-05,0.38888888888888884,18.956970691680908,24.421875,2.78229022026062,0.5387377738952637,0.4941287040710449,0.0,3.8154098987579346
9,2.84567658106486,2.626300017038981,1.5602713425954182,1.4805952310562134,0.17428728938102722,0.16709045072396597,0.8869472543398539,10.37588882446289,1.746968150138855,1.0,0.0,3.0,0.16666666666666666,0.5,0.6,0.5625,0.6,0.65,0.5416666666666666,0.8869472543398539,0.963050365447998,0.8108441630999247,0.16709045072396597,0.39504475394884747,0.7057990431785583,0.28840160369873047,0.2576540211836497,1.633421778678894,1.6758848428726196,3.0940194924672446,0.04614425574739774,0.006441350715855758,0.03266843408346176,0.0754148190220197,0.0,2.030214309692383,0.4230769230769231,0.24999999999999997,0.5,0.3277777777777778,0.4230769230769231,0.4230769230769231,0.4230769230769231,,,,,,,0.3277777777777778,9e-05,3.5e-05,0.38888888888888884,18.956970691680908,24.421875,2.605055570602417,0.4872715473175049,0.0,0.0,3.092683792114258
10,2.52981964747111,2.2722423871358237,1.3316339651743572,1.3064005374908447,0.20859578748544058,0.19499855240186056,0.8692162235577902,9.30766232808431,1.7354758580525715,1.0,0.0,3.0,0.2222222222222222,0.6,0.6666666666666666,0.6833333333333333,0.6666666666666666,0.6208333333333333,0.6083333333333333,0.8692162235577902,0.9462283849716187,0.7922040422757467,0.19499855240186056,0.45105603337287903,0.7508523265520731,0.2761915624141693,0.2553967237472534,1.5776231288909912,1.6129026412963867,2.7875863711039224,0.05302878096699715,0.007661901569614808,0.03786295528213183,0.08709674328565598,0.0,1.9062566757202148,0.46153846153846156,0.42063492063492064,0.5833333333333334,0.44327485380116954,0.46153846153846156,0.46153846153846156,0.46153846153846156,1.8642991781234741,0.5,0.5037037037037037,0.3854166666666667,0.44509379509379504,0.23541666666666666,0.44327485380116954,9e-05,3.5e-05,0.38888888888888884,18.956970691680908,24.421875,2.3871870040893555,0.4930546283721924,0.5310244560241699,0.7041618824005127,4.115710735321045
