epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.659685691197713,5.570685863494873,3.0030885537465415,3.2917917172114053,0.2966664619743824,0.0,0.0,16.502624988555908,0.0,1.0,0.0,0.0,0.0,0.0,0.075,0.10416666666666667,0.075,0.08125,0.11666666666666667,0.0,0.0,0.0,0.0,0.6328138510386149,0.5809504588445028,0.36417514085769653,0.2716949333747228,2.0374571084976196,2.0831157763799033,6.416813611984253,0.0,0.0,0.0,0.0,0.0,2.6368253231048584,0.18333333333333332,0.14344012204424103,0.20805972482801752,0.09848360451808727,0.18333333333333332,0.18333333333333332,0.18333333333333332,2.6213096380233765,0.2,0.11667147443009512,0.12473118279569892,0.060103426577201,-0.04348118279569892,0.09848360451808727,0.0001,3.5e-05,0.35,18.95948028564453,24.421875,4.5757763385772705,0.6718077659606934,0.6470005512237549,1.0152533054351807,6.910194635391235
2,4.418824752171834,4.347718556722005,2.367953578631083,2.5381604035695395,0.23702062169710794,0.0,0.0,12.270232836405436,0.0,1.0,0.0,0.0,0.0,0.0,0.21875,0.23333333333333334,0.21875,0.21458333333333332,0.27291666666666664,0.0,0.0,0.0,0.0,0.617114245891571,0.5040284941593806,0.3668830792109172,0.2719070663054784,2.012629290421804,2.0694940090179443,5.023170868555705,0.0,0.0,0.0,0.0,0.0,2.5070419311523438,0.09166666666666666,0.08798582351067219,0.23742378048780488,0.049996100031199746,0.09166666666666666,0.09166666666666666,0.09166666666666666,,,,,,,0.049996100031199746,0.0001,3.5e-05,0.35,18.956031799316406,24.421875,4.042940378189087,0.6208786964416504,0.0,0.0,4.664088487625122
3,3.679714481035868,3.641600569089254,1.9739327629407246,2.138035694758097,0.12704621131221452,0.0,0.0,10.607200145721436,0.0,1.0,0.0,0.0,0.0,0.0,0.31666666666666665,0.38333333333333336,0.31666666666666665,0.31875,0.36875,0.0,0.0,0.0,0.0,0.5656661589940389,0.4531676371892293,0.36872419714927673,0.2711108128229777,1.953413764635722,2.0303271214167276,4.225297848383586,0.0,0.0,0.0,0.0,0.0,2.2498443126678467,0.1,0.0992177522349936,0.24047256097560976,0.06944444444444445,0.1,0.1,0.10000000000000002,,,,,,,0.06944444444444445,0.0001,3.5e-05,0.35,18.956031799316406,24.421875,4.37628698348999,0.6149129867553711,0.0,0.0,4.991417169570923
4,3.460622708002726,3.2351537942886353,1.777634044488271,1.868615170319875,0.015331942432870468,0.22086934000253677,0.0,10.354854106903076,0.0,1.0,0.0,0.0,0.0,0.1,0.44375,0.48125,0.44375,0.44583333333333336,0.46458333333333335,0.0,0.0,0.0,0.22086934000253677,0.6142413218816122,0.44689231117566425,0.3648568739493688,0.2698209881782532,1.8687873284022014,1.9666452805201213,3.680379350980123,0.011675420527656874,0.0,0.00747514966254433,0.01769980664054553,0.18401896705230078,1.9919267296791077,0.20833333333333334,0.298194349510139,0.3014833953162426,0.17464429623350164,0.20833333333333334,0.20833333333333334,0.20833333333333334,1.9895310997962952,0.2,0.16602345692820747,,,,0.17464429623350164,0.0001,3.5e-05,0.35,18.956031799316406,24.421875,3.9552273750305176,0.6388976573944092,0.6410403251647949,0.0,5.235402584075928
5,3.287424325942993,2.862609028816223,1.6195985873540242,1.5936031341552734,0.013912775553762913,0.42064149181048077,0.0,9.715444564819336,0.0,1.0,0.0,0.0,0.0,0.2,0.54375,0.53125,0.54375,0.5479166666666667,0.5458333333333333,0.0,0.0,0.0,0.42064149181048077,0.6081345478693644,0.5130845954020818,0.35479263961315155,0.26629479229450226,1.8402472138404846,1.9158312678337097,3.48727818330129,0.02270672998080651,0.0,0.014721978300561508,0.034484961380561195,0.348727822303772,1.954236090183258,0.26666666666666666,0.6263480392156863,0.5401603908198553,0.41239160286495485,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.9793758392333984,0.25833333333333336,0.40105377079061294,0.26666666666666666,0.3742590441968132,0.28125000000000006,0.41239160286495485,0.0001,3.5e-05,0.35,18.956031799316406,24.421875,4.058563947677612,0.6564075946807861,0.6310100555419922,0.9854919910430908,6.331826448440552
6,2.9940230449040732,2.4581935008366904,1.4019483923912048,1.354160447915395,-0.01879586869229873,0.5414682428042094,0.9508134524027506,9.319329261779785,1.6712637344996135,1.0,0.0,6.0,0.05,0.3,0.65,0.6416666666666667,0.65,0.6354166666666666,0.6166666666666667,0.9508134524027506,0.783380518356959,1.1182463963826497,0.5414682428042094,0.6585408945878347,0.5257244755824407,0.3437340557575226,0.26248949269453686,1.789342999458313,1.848314146200816,2.900137980779012,0.03299846934775511,0.0,0.021472116000950336,0.04990448306004206,0.4350207100311915,1.603833794593811,0.5,0.6749946717817561,0.7039094422279735,0.574844096904793,0.5,0.5,0.5,1.6095350980758667,0.475,0.5682708650291417,,,,0.574844096904793,0.0001,3.5e-05,0.35,18.956970691680908,24.421875,3.859701633453369,0.6177308559417725,0.6473004817962646,0.0,5.125018119812012
7,2.9695653915405273,2.296915054321289,1.3112394014994304,1.263686756292979,-0.0032949764281511307,0.6736388703187307,0.8777328232924143,9.675137042999268,1.5941670536994934,1.0,0.0,6.0,0.1,0.4,0.7083333333333334,0.6916666666666667,0.7083333333333334,0.69375,0.6833333333333333,0.8777328232924143,0.7420190374056498,1.0134465992450714,0.6736388703187307,0.6922600964705149,0.5860319137573242,0.3316572904586792,0.2586338371038437,1.6971564491589863,1.7779614130655925,2.6777579387029014,0.042452135433753334,0.0,0.027154504631956417,0.06400660922129948,0.5355516076087952,1.455754041671753,0.55,0.7225227591036414,0.7269741293965843,0.6293166828578415,0.55,0.55,0.55,1.4584473967552185,0.55,0.643301268389184,,,,0.6293166828578415,0.0001,3.5e-05,0.35,18.956970691680908,24.421875,3.838611125946045,0.6484501361846924,0.6469752788543701,0.0,5.134330749511719
8,2.8959314028422036,2.1290871699651084,1.1765112181504567,1.2212512294451396,0.0055761336504171295,0.7651713788509369,0.8447512487570444,9.608286380767822,1.4451598326365154,1.0,0.0,6.0,0.15,0.5,0.7125,0.7395833333333334,0.7125,0.69375,0.7645833333333333,0.8447512487570444,0.7632067104180654,0.9262957572937012,0.7651713788509369,0.6999385058879852,0.6325910091400146,0.32219694058100384,0.2551264663537343,1.675336201985677,1.7254692713419597,2.381884972254435,0.051551509027679764,0.0,0.033506723741690315,0.07764612014094989,0.5954712430636088,1.346570611000061,0.625,0.7127232142857143,0.7228309148875162,0.6277099950299974,0.625,0.625,0.625,,,,,,,0.6277099950299974,0.0001,3.5e-05,0.35,18.956970691680908,24.421875,3.9927964210510254,0.6656076908111572,0.0,0.0,4.658701181411743
9,2.7956880728403726,1.957392930984497,1.117853621641795,1.0763324697812398,0.0005452186645319065,0.8381315867106119,0.8072424034277598,10.517904122670492,1.3676596482594807,1.0,0.0,6.0,0.2,0.6,0.7729166666666667,0.7395833333333334,0.7729166666666667,0.75,0.8041666666666667,0.8072424034277598,0.694632887840271,0.9198519190152487,0.8381315867106119,0.7642929454644521,0.6896164615948995,0.3121143678824107,0.2535512447357178,1.6051276723543804,1.6640656391779582,2.1321521202723184,0.05992595851421356,0.0,0.03852306492626667,0.08985954771439235,0.6396456559499105,1.1249717473983765,0.775,0.772001107842069,0.856183583118896,0.7596603543076994,0.775,0.775,0.775,1.1265469193458557,0.775,0.7346498140544427,,,,0.7596603543076994,0.0001,3.5e-05,0.35,18.956970691680908,24.421875,3.7990176677703857,0.6275873184204102,0.624213695526123,0.0,5.05104660987854
10,2.793618122736613,1.841460903485616,1.026989221572876,1.0441945393880208,0.016446457399676245,0.9472232858339945,0.7779279251893362,10.368965784708658,1.3158282836278279,1.0,0.0,6.0,0.25,0.7,0.7791666666666667,0.80625,0.7791666666666667,0.78125,0.7916666666666666,0.7779279251893362,0.734684944152832,0.8211709161599478,0.9472232858339945,0.7643866737683614,0.7176220715045929,0.30447123448054,0.25104688107967377,1.5607174237569172,1.6033591230710347,2.0609784722328186,0.06820155804355939,0.0,0.04370008905728658,0.10101162518064181,0.7213424543539683,1.007383942604065,0.85,0.8193639642141763,0.8954302590304711,0.8222997517668369,0.85,0.85,0.85,1.0033222436904907,0.8666666666666667,0.8421456693828951,0.8451612903225807,0.8259461572937352,-0.0639112903225807,0.8222997517668369,0.0001,3.5e-05,0.35,18.956970691680908,24.421875,3.8996334075927734,0.6491837501525879,0.6272940635681152,0.9564666748046875,6.132903099060059
