epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,6.1182541847229,6.162923336029053,3.5652712980906167,3.463536103566488,-0.14889760812123617,0.0,0.0,17.539168039957683,0.0,1.0,0.0,0.0,0.0,0.0,0.07083333333333333,0.05416666666666667,0.07083333333333333,0.09166666666666666,0.041666666666666664,0.0,0.0,0.0,0.0,1.2529934247334797,1.2627463738123577,0.37548865874608356,0.2759030759334564,2.2256875038146973,2.230492432912191,6.891199588775635,0.0,0.0,0.0,0.0,0.0,2.9120211601257324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.947878837585449,0.0,0.0,0.022727272727272728,0.020636472249375475,0.06893939393939394,0.0,7e-05,3.5e-05,0.5,18.95948028564453,24.421875,3.381727933883667,0.6017258167266846,0.576483964920044,0.7774059772491455,5.33765435218811
2,5.426519234975179,5.521579265594482,3.126572767893473,3.1933422088623047,-0.3168666660785675,0.0,0.0,15.776082038879395,0.0,1.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.11666666666666667,0.06666666666666667,0.07916666666666666,0.1375,0.0,0.0,0.0,0.0,1.4670666456222534,1.3690269390741985,0.3760046561559041,0.27371135354042053,2.195843060811361,2.2266527016957602,6.163453737894694,0.0,0.0,0.0,0.0,0.0,2.7551188468933105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,7e-05,3.5e-05,0.5,18.957862854003906,24.421875,2.7847883701324463,0.5501213073730469,0.0,0.0,3.3352270126342773
3,4.766270001729329,4.810805002848308,2.751081943511963,2.746297279993693,-0.14845013618469238,0.0,0.0,14.016425132751465,0.0,1.0,0.0,0.0,0.0,0.0,0.17083333333333334,0.16666666666666666,0.17083333333333334,0.19583333333333333,0.15833333333333333,0.0,0.0,0.0,0.0,1.4811882575352986,1.2739333311716716,0.37434911727905273,0.2736324965953827,2.1627028783162436,2.2196079095204673,5.677749315897624,0.0,0.0,0.0,0.0,0.0,2.592508554458618,0.1891891891891892,0.17956349206349206,0.1527777777777778,0.11560044893378224,0.1891891891891892,0.1891891891891892,0.18918918918918917,2.586636781692505,0.16216216216216217,0.11728395061728393,,,,0.11560044893378224,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,2.733339786529541,0.5429971218109131,0.6420631408691406,0.0,3.9186289310455322
4,4.435449600219727,4.477409362792969,2.587047735850016,2.5204822222391763,-0.13986643652121225,0.0,0.0,12.713793754577637,0.0,1.0,0.0,0.0,0.0,0.0,0.2125,0.225,0.2125,0.22083333333333333,0.175,0.0,0.0,0.0,0.0,1.5340375105539958,1.289907972017924,0.3770350118478139,0.2746342221895854,2.135232925415039,2.201157569885254,5.4433183670043945,0.0,0.0,0.0,0.0,0.0,2.464157819747925,0.21621621621621623,0.2687830687830688,0.1898148148148148,0.1396825396825397,0.21621621621621623,0.21621621621621623,0.21621621621621623,2.445878505706787,0.1891891891891892,0.12636165577342048,,,,0.1396825396825397,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,3.1242668628692627,0.5527956485748291,0.5481765270233154,0.0,4.225568532943726
5,4.108310381571452,4.168612798055013,2.3965818087259927,2.36270809173584,-0.2010084589322408,0.0,0.0,12.071189244588217,0.0,1.0,0.0,0.0,0.0,0.1,0.23333333333333334,0.21666666666666667,0.23333333333333334,0.26666666666666666,0.2375,0.0,0.0,0.0,0.0,1.4593689839045207,1.1315821409225464,0.3779044250647227,0.27510013182957965,2.1122661431630454,2.1761749585469565,4.772992928822835,0.0,0.0,0.0,0.0,0.0,2.247922658920288,0.32432432432432434,0.2255892255892256,0.2916666666666667,0.22037037037037036,0.32432432432432434,0.32432432432432434,0.32432432432432434,2.2622463703155518,0.35135135135135137,0.24177221954999734,0.3106060606060606,0.251320108101623,-0.043939393939393945,0.22037037037037036,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,3.109799861907959,0.5477156639099121,0.5295095443725586,0.7783770561218262,4.965711832046509
6,3.7267819245656333,3.7745362917582193,2.1541195710500083,2.1605555216471353,-0.17487523208061853,0.004708302052070697,0.7961969971656799,10.958009719848633,1.5515437126159668,1.0,0.0,1.0,0.05,0.2,0.37083333333333335,0.3416666666666667,0.37083333333333335,0.30833333333333335,0.25416666666666665,0.7961969971656799,0.7887970805168152,0.8035969138145447,0.004708302052070697,1.565568447113037,1.124889850616455,0.3776039679845174,0.2741761604944865,2.0960370699564614,2.180696487426758,4.610706329345703,0.0,0.0,0.0,0.0,0.0,2.114590644836426,0.35135135135135137,0.2777777777777778,0.4027777777777778,0.2888888888888889,0.35135135135135137,0.35135135135135137,0.35135135135135137,2.1038122177124023,0.40540540540540543,0.3370600414078675,,,,0.2888888888888889,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.6986279487609863,0.5813465118408203,0.6263484954833984,0.0,3.9066238403320312
7,3.7034014066060386,3.7494420210520425,2.15432075659434,2.12682843208313,-0.18430663148562113,0.009251412004232407,0.8309320211410522,10.940873781840006,1.6745110750198364,1.0,0.0,1.0,0.1,0.3,0.3416666666666667,0.35,0.3416666666666667,0.31666666666666665,0.3416666666666667,0.8309320211410522,0.8607482314109802,0.8011157512664795,0.009251412004232407,1.467057506243388,1.1762029727300007,0.377621332804362,0.2745631734530131,2.0692116419474282,2.1631316343943277,4.227774937947591,0.0,0.0,0.0,0.0,0.0,1.9003212451934814,0.4864864864864865,0.41746031746031753,0.5231481481481481,0.43403880070546735,0.4864864864864865,0.4864864864864865,0.4864864864864865,1.8842802047729492,0.5135135135135135,0.49876543209876545,,,,0.43403880070546735,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.5875158309936523,0.6089000701904297,0.5838024616241455,0.0,3.7805044651031494
8,3.5935872395833335,3.6355257829030356,2.0295111735661826,2.141352732976278,-0.18438817063967386,0.013377925381064415,0.812100350856781,11.048258463541666,1.6539316177368164,1.0,0.0,1.0,0.15,0.4,0.375,0.37916666666666665,0.375,0.375,0.425,0.812100350856781,0.8405556678771973,0.7836450338363647,0.013377925381064415,1.4822265307108562,1.0659496784210205,0.37805627783139545,0.2747550110022227,2.052891413370768,2.1434901555379233,4.210623900095622,0.0,0.0,0.0,0.0,0.0,1.6504547595977783,0.5945945945945946,0.5814814814814816,0.5925925925925926,0.5492063492063491,0.5945945945945946,0.5945945945945946,0.5945945945945946,1.6176408529281616,0.5405405405405406,0.5508818342151676,,,,0.5492063492063491,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,3.3354036808013916,0.5738170146942139,0.5829565525054932,0.0,4.492461204528809
9,3.3576643466949463,3.3999595642089844,1.9302242994308472,1.9596470197041829,-0.19497622549533844,0.016197585811217625,0.879064679145813,10.594045956929525,1.7295140027999878,1.0,0.0,1.0,0.2,0.5,0.4,0.44166666666666665,0.4,0.425,0.44166666666666665,0.879064679145813,0.8975090384483337,0.860620379447937,0.016197585811217625,1.3306279182434082,0.9833127856254578,0.3783000608285268,0.27526232600212097,2.016523321469625,2.113841931025187,4.012214024861653,0.0,0.0,0.0,0.0,0.0,1.4750070571899414,0.5945945945945946,0.6126984126984127,0.5925925925925926,0.5588621255287922,0.5945945945945946,0.5945945945945946,0.5945945945945946,1.4595277309417725,0.6486486486486487,0.6114638447971782,,,,0.5588621255287922,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,3.16154146194458,0.5963082313537598,0.6286613941192627,0.0,4.386800050735474
10,3.2420153617858887,3.277451833089193,1.8651907046635945,1.8830148379007976,-0.18757660438617071,0.020836441467205685,0.814145028591156,9.925098737080893,1.5505948066711426,1.0,0.0,1.0,0.25,0.6,0.4666666666666667,0.4791666666666667,0.4666666666666667,0.48333333333333334,0.4166666666666667,0.814145028591156,0.810368537902832,0.81792151927948,0.020836441467205685,1.398481806119283,0.9828258156776428,0.3785944978396098,0.27449556191762287,2.0203770796457925,2.09995698928833,3.6108994483947754,0.0,0.0,0.0,0.0,0.0,1.3365072011947632,0.7567567567567568,0.7046296296296297,0.7083333333333334,0.6933742183742184,0.7567567567567568,0.7567567567567568,0.7567567567567567,1.3272172212600708,0.7567567567567568,0.6995794329127664,0.8409090909090909,0.8541834692389572,-0.3575757575757576,0.6933742183742184,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,3.09365177154541,0.6019322872161865,0.6821117401123047,0.8177318572998047,5.19573974609375
