epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.2781107766287665,5.268810680934361,3.1861856324332103,3.204038688114711,0.03100054817540305,0.0,0.0,15.279746191842216,0.0,1.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.10178571428571428,0.08571428571428572,0.12142857142857143,0.10535714285714286,0.0,0.0,0.0,0.0,1.8411650487354823,0.9725974542754037,0.34675642422267366,0.2603782968861716,2.1669588770185197,2.2135653495788574,6.348394121442523,0.0,0.0,0.0,0.0,0.0,2.7077252864837646,0.13636363636363635,0.025974025974025972,0.08333333333333333,0.03960396039603961,0.13636363636363635,0.13636363636363635,0.13636363636363635,2.7329806089401245,0.12878787878787878,0.07764572722127899,0.11439842209072978,0.055214870490518174,0.007030149337841643,0.03960396039603961,7e-05,3.5e-05,0.5,18.95948028564453,24.421875,4.509054899215698,0.7260880470275879,0.7266767024993896,1.1397743225097656,7.101897954940796
2,4.286038943699428,4.2800461905343195,2.516793727874756,2.7126963138580322,0.019976090639829636,0.0,0.0,12.100092479160853,0.0,1.0,0.0,0.0,0.0,0.0,0.15535714285714286,0.23392857142857143,0.15535714285714286,0.1625,0.20357142857142857,0.0,0.0,0.0,0.0,1.8154187202453613,1.0089391129357475,0.34788280725479126,0.260417354958398,2.1286210332598006,2.2059876918792725,5.399432114192417,0.0,0.0,0.0,0.0,0.0,2.446356177330017,0.19696969696969696,0.10331790123456791,0.15207231040564373,0.08405349794238683,0.19696969696969696,0.19696969696969696,0.19696969696969696,2.420676827430725,0.2196969696969697,0.13566410421819927,,,,0.08405349794238683,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,4.0111072063446045,0.736901044845581,0.8991024494171143,0.0,5.647350311279297
3,3.9280618599482944,3.9128201007843018,2.250990322657994,2.5566612652369907,0.05080557082380567,0.0,0.0,10.750153269086566,0.0,1.0,0.0,0.0,0.0,0.0,0.2357142857142857,0.3482142857142857,0.2357142857142857,0.26071428571428573,0.31607142857142856,0.0,0.0,0.0,0.0,1.8292714357376099,1.0780967048236303,0.34933083823748995,0.2608687622206552,2.125662326812744,2.186666965484619,4.740555831364223,0.0,0.0,0.0,0.0,0.0,2.149585247039795,0.32575757575757575,0.3224689245181048,0.2518755935422602,0.25148148899924977,0.32575757575757575,0.32575757575757575,0.32575757575757575,2.1417607069015503,0.3106060606060606,0.22826588262423617,,,,0.25148148899924977,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,4.129142999649048,0.7370548248291016,0.7237577438354492,0.0,5.590233564376831
4,3.610125814165388,3.6196543829781667,2.0788104363850186,2.3705292429242815,-0.03176203795841762,0.0,0.0,9.885668209620885,0.0,1.0,0.0,0.0,0.0,0.0,0.26607142857142857,0.3982142857142857,0.26607142857142857,0.25892857142857145,0.3535714285714286,0.0,0.0,0.0,0.0,1.837250488145011,1.006823684488024,0.35018051096371244,0.260582834482193,2.105209078107561,2.1654306820460727,4.490952151162284,0.0,0.0,0.0,0.0,0.0,2.012387454509735,0.3939393939393939,0.44646248812915484,0.36714828381495046,0.3429861468444644,0.3939393939393939,0.3939393939393939,0.3939393939393939,1.97097647190094,0.38636363636363635,0.30671991975367785,,,,0.3429861468444644,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,4.207104921340942,0.7173185348510742,0.7381722927093506,0.0,5.662891864776611
5,3.30909640448434,3.3344732352665494,1.8670991829463415,2.2574986049107144,-0.08458947603191648,0.0,0.0,9.52051053728376,0.0,1.0,0.0,0.0,0.0,0.0,0.2892857142857143,0.475,0.2892857142857143,0.28035714285714286,0.46785714285714286,0.0,0.0,0.0,0.0,1.836998701095581,0.9686095373971122,0.3498033157416752,0.2615599163940975,2.096515962055751,2.150110755647932,4.315212249755859,0.0,0.0,0.0,0.0,0.0,1.8824005722999573,0.4393939393939394,0.39464515703489245,0.4149436982770316,0.368025707516174,0.4393939393939394,0.4393939393939394,0.4393939393939394,1.8482388854026794,0.4393939393939394,0.3316220216893889,0.46942800788954636,0.43826905323698423,-0.1890708650324035,0.368025707516174,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,4.246978521347046,0.7314558029174805,0.7461404800415039,1.1014015674591064,6.826309442520142
6,3.2680560861315047,3.262131895337786,1.8129886559077673,2.2294511795043945,0.003458001118685518,0.004886820513222899,1.0031095743179321,9.410141944885254,1.9551965792973836,1.0,0.0,3.0,0.05,0.1,0.3196428571428571,0.48035714285714287,0.3196428571428571,0.32142857142857145,0.4642857142857143,1.0031095743179321,1.1223552227020264,0.8838639060656229,0.004886820513222899,1.8563930988311768,0.936075678893498,0.348777711391449,0.26186807240758625,2.09347779410226,2.1381468091692244,4.05789658001491,0.0,0.0,0.0,0.0,0.0,1.9069294333457947,0.4166666666666667,0.46521295284014985,0.44102224935558265,0.3923110649874368,0.4166666666666667,0.4166666666666667,0.4166666666666667,1.8751042485237122,0.45454545454545453,0.4104608101568588,,,,0.3923110649874368,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,4.144068956375122,0.7157704830169678,0.7923858165740967,0.0,5.652509450912476
7,3.058320931025914,3.058147362300328,1.6995969329561507,2.0900775534766063,-0.029691929197204963,0.00908111355134419,1.0055921872456868,9.28700487954276,1.9388526280721028,1.0,0.0,3.0,0.1,0.2,0.3678571428571429,0.5535714285714286,0.3678571428571429,0.3964285714285714,0.5392857142857143,1.0055921872456868,1.0925143957138062,0.9186699390411377,0.00908111355134419,1.754826545715332,0.8397772056715829,0.3480301925114223,0.26242602722985403,2.0736332280295238,2.119076524462019,3.8624920504433766,0.0,0.0,0.0,0.0,0.0,1.860104262828827,0.4318181818181818,0.5604901740092658,0.4852496269162935,0.4335642384377929,0.4318181818181818,0.4318181818181818,0.4318181818181818,1.8560214042663574,0.4318181818181818,0.4206906077454969,,,,0.4335642384377929,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,4.2426536083221436,0.7398507595062256,0.7165520191192627,0.0,5.699348211288452
8,2.9262662955692837,2.9427690505981445,1.6309037889753069,2.018254280090332,-0.09552381134458951,0.012154407799243927,1.057627558708191,9.311924389430455,1.987583597501119,1.0,0.0,3.0,0.15,0.3,0.41785714285714287,0.5839285714285715,0.41785714285714287,0.35,0.5839285714285715,1.057627558708191,1.1682098309199016,0.9470453063646952,0.012154407799243927,1.5767111097063338,0.7384142535073417,0.3488279666219439,0.2631529229027884,2.0523128509521484,2.098292895725795,3.7551870346069336,0.0,0.0,0.0,0.0,0.0,1.698448657989502,0.5454545454545454,0.7005271894332782,0.57183896350563,0.5357062483112903,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.6820769309997559,0.553030303030303,0.5318327431846523,,,,0.5357062483112903,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,4.233346700668335,0.7604227066040039,0.7609777450561523,0.0,5.755038261413574
9,2.733454465866089,2.743867942265102,1.523378780909947,1.8776758228029524,-0.08372222685388156,0.014703205254461085,1.0399800141652424,9.248537199837822,1.9636715253194172,1.0,0.0,3.0,0.2,0.4,0.45714285714285713,0.6089285714285714,0.45714285714285713,0.41964285714285715,0.6017857142857143,1.0399800141652424,1.072901964187622,1.007058024406433,0.014703205254461085,1.3898854085377284,0.7105724045208522,0.3537551164627075,0.2661751253264291,2.021361470222473,2.078080109187535,3.5194074426378523,0.0,0.0,0.0,0.0,0.0,1.6245213150978088,0.6136363636363636,0.7138600921495659,0.6623253289919957,0.6376073912243118,0.6136363636363636,0.6136363636363636,0.6136363636363636,1.6017358303070068,0.5909090909090909,0.6133812390262339,,,,0.6376073912243118,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,3.911719799041748,0.7560882568359375,0.747122049331665,0.0,5.415210485458374
10,2.637530565261841,2.6681545121329173,1.4882367508752006,1.815258298601423,-0.15733910564865386,0.016577740599002157,1.0568078358968098,9.267029898507255,1.980083664258321,1.0,0.0,3.0,0.25,0.5,0.5017857142857143,0.6625,0.5017857142857143,0.475,0.6625,1.0568078358968098,1.1175254980723064,0.9960901935895284,0.016577740599002157,1.2562928540366036,0.6383060642651149,0.3612541215760367,0.2700610373701368,2.004520688738142,2.054565395627703,3.372574499675206,0.0,0.0,0.0,0.0,0.0,1.6131665706634521,0.6893939393939394,0.7331138179177394,0.7158899742233076,0.6814870931537597,0.6893939393939394,0.6893939393939394,0.6893939393939394,1.6020565629005432,0.5909090909090909,0.5981857702310711,0.6942800788954635,0.7087781432342504,-0.21928007889546353,0.6814870931537597,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,4.376410722732544,0.7508783340454102,0.7513420581817627,1.1297533512115479,7.008702278137207
11,2.523360695157732,2.5455447946275984,1.3948369707380022,1.770319870540074,-0.13014605534928186,0.01685975625046662,1.1283055146535237,9.978938375200544,1.9779198567072551,1.0,0.0,3.0,0.3,0.6,0.5053571428571428,0.6910714285714286,0.5053571428571428,0.49107142857142855,0.6625,1.1283055146535237,1.185083270072937,1.0715277989705403,0.01685975625046662,1.0959423865590776,0.5097486930234092,0.36950635484286715,0.2749702036380768,1.9972072669437952,2.037037338529314,3.322554349899292,0.0,0.0,0.0,0.0,0.0,1.4912691116333008,0.7424242424242424,0.7467372134038801,0.7685083435083436,0.7210984373503114,0.7424242424242424,0.7424242424242424,0.7424242424242424,1.422879159450531,0.7196969696969697,0.7280879614212947,,,,0.7210984373503114,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,4.171447515487671,0.7342967987060547,0.7421610355377197,0.0,5.648189067840576
12,2.3818119253431047,2.4044035502842496,1.3591305017471313,1.6081124884741647,-0.13806954239095962,0.0188292640128306,1.1455798943837483,8.93441377367292,1.9843472639719646,1.0,0.0,3.0,0.35,0.7,0.5946428571428571,0.7053571428571429,0.5946428571428571,0.5392857142857143,0.6875,1.1455798943837483,1.182929277420044,1.108230471611023,0.0188292640128306,1.0766609907150269,0.4604217920984541,0.37931470785822186,0.28131118416786194,1.9514326368059431,1.9936751638139998,3.1033616747174944,0.0,0.0,0.0,0.0,0.0,1.377785861492157,0.7348484848484849,0.7630149447693307,0.8002408085741419,0.7475315915667999,0.7348484848484849,0.7348484848484849,0.7348484848484848,1.312415361404419,0.7575757575757576,0.7656762990096323,,,,0.7475315915667999,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,4.039304494857788,0.7326154708862305,0.7514209747314453,0.0,5.52361273765564
