epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,6.1598005294799805,6.155029773712158,3.656830072402954,3.3309327761332193,0.015902673204739887,0.0,0.0,17.410016377766926,0.0,1.0,0.0,0.0,0.0,0.0,0.07083333333333333,0.05,0.07083333333333333,0.08333333333333333,0.0875,0.0,0.0,0.0,0.0,0.9258826772371928,0.7752687136332194,0.35523731509844464,0.26707805196444195,2.178420384724935,2.2144645849863687,7.089180151621501,0.0,0.0,0.0,0.0,0.0,2.786517381668091,0.1891891891891892,0.04761904761904762,0.12037037037037039,0.06045751633986929,0.1891891891891892,0.1891891891891892,0.18918918918918917,2.673889398574829,0.21621621621621623,0.06917562724014337,0.11363636363636363,0.03625730994152047,-0.030303030303030304,0.06045751633986929,7e-05,3.5e-05,0.5,18.95948028564453,24.421875,3.0144240856170654,0.5562841892242432,0.5563063621520996,0.7460298538208008,4.87336540222168
2,5.321816444396973,5.300983905792236,3.1776445706685386,2.8311189810434976,0.06944188972314198,0.0,0.0,15.556743621826172,0.0,1.0,0.0,0.0,0.0,0.0,0.1875,0.1125,0.1875,0.10833333333333334,0.1,0.0,0.0,0.0,0.0,0.8986924091974894,0.8647876580556234,0.3569803535938263,0.26757850249608356,2.13504687945048,2.2015838623046875,6.248507817586263,0.0,0.0,0.0,0.0,0.0,2.591397285461426,0.16216216216216217,0.04027777777777777,0.08796296296296297,0.054843304843304845,0.16216216216216217,0.16216216216216217,0.16216216216216217,,,,,,,0.054843304843304845,7e-05,3.5e-05,0.5,18.957862854003906,24.421875,2.4648373126983643,0.5558578968048096,0.0,0.0,3.0209736824035645
3,5.015894730885823,4.961180845896403,2.887920697530111,2.7643469969431558,0.18237943947315216,0.0,0.0,13.7375119527181,0.0,1.0,0.0,0.0,0.0,0.0,0.20416666666666666,0.12916666666666668,0.20416666666666666,0.13333333333333333,0.14583333333333334,0.0,0.0,0.0,0.0,1.061056097348531,0.8199262221654257,0.3562443057696025,0.267007311185201,2.125321944554647,2.199509938557943,5.45301087697347,0.0,0.0,0.0,0.0,0.0,2.3942384719848633,0.1891891891891892,0.06349206349206349,0.10648148148148147,0.07793880837359098,0.1891891891891892,0.1891891891891892,0.18918918918918917,2.2845873832702637,0.21621621621621623,0.12524366471734893,,,,0.07793880837359098,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,2.710197687149048,0.5622067451477051,0.5781545639038086,0.0,3.850799798965454
4,4.434090773264567,4.409572601318359,2.5886890093485513,2.427844762802124,0.08172736316919327,0.0,0.0,12.613585789998373,0.0,1.0,0.0,0.0,0.0,0.0,0.24166666666666667,0.24166666666666667,0.24166666666666667,0.25833333333333336,0.1875,0.0,0.0,0.0,0.0,0.9382771650950114,0.8128324747085571,0.356542428334554,0.26635947823524475,2.0594403743743896,2.1708149909973145,5.2966562906901045,0.0,0.0,0.0,0.0,0.0,2.280919313430786,0.2702702702702703,0.30439560439560437,0.21296296296296294,0.224317738791423,0.2702702702702703,0.2702702702702703,0.2702702702702703,2.1673078536987305,0.2702702702702703,0.2245564892623716,,,,0.224317738791423,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,2.593933343887329,0.5640354156494141,0.5659101009368896,0.0,3.724167823791504
5,4.386994520823161,4.09479554494222,2.4036028385162354,2.2549235820770264,0.07120128224293391,0.2708386282126109,0.0,11.695381164550781,0.0,1.0,0.0,0.0,0.0,0.1,0.30833333333333335,0.24583333333333332,0.30833333333333335,0.32083333333333336,0.2708333333333333,0.0,0.0,0.0,0.2708386282126109,0.9226561983426412,0.7106040318806967,0.35626499851544696,0.26647905508677167,2.050304969151815,2.1426309744517007,4.77644141515096,0.011400480444232622,0.0013323952443897724,0.0,0.0192836777617534,0.23882207771142325,2.1553750038146973,0.32432432432432434,0.4212962962962963,0.375,0.36262626262626263,0.32432432432432434,0.32432432432432434,0.32432432432432434,2.053284168243408,0.2972972972972973,0.3469215969215969,0.29545454545454547,0.22742537075381472,0.02537878787878789,0.36262626262626263,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,2.891061782836914,0.5632779598236084,0.5715410709381104,0.7506709098815918,4.776872634887695
6,4.364024003346761,3.862171173095703,2.3629989624023438,1.9988962809244792,0.026015563557545345,0.49404821793238324,0.8160121440887451,11.255840619405111,1.7169263362884521,1.0,0.0,1.0,0.05,0.2,0.4041666666666667,0.29583333333333334,0.4041666666666667,0.35833333333333334,0.2875,0.8160121440887451,0.7874900698661804,0.8445342183113098,0.49404821793238324,0.9280318021774292,0.7035733660062155,0.356324036916097,0.26598148544629413,2.027449687321981,2.1272150675455728,4.27438481648763,0.022804740195473034,0.002659814820314447,0.0,0.03828986858328184,0.4274384876092275,2.0445377826690674,0.40540540540540543,0.2876543209876543,0.42129629629629634,0.336355148119854,0.40540540540540543,0.40540540540540543,0.40540540540540543,,,,,,,0.336355148119854,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.5323164463043213,0.5647709369659424,0.0,0.0,3.0974268913269043
7,4.4979807535807295,3.7379650274912515,2.1360713640848794,2.1358582973480225,0.07060757279396057,0.7388335665067037,0.8035361766815186,11.334580421447754,1.679741621017456,1.0,0.0,1.0,0.1,0.3,0.35833333333333334,0.3875,0.35833333333333334,0.4375,0.3416666666666667,0.8035361766815186,0.7758690118789673,0.8312034010887146,0.7388335665067037,0.8390350739161173,0.6704303820927938,0.3531328042348226,0.2647113899389903,2.0181633631388345,2.1126460234324136,4.257583697636922,0.0339007501800855,0.003970670669029157,0.0,0.05704144388437271,0.6386375824610392,1.7915081977844238,0.43243243243243246,0.4895061728395062,0.46759259259259256,0.4567340067340067,0.43243243243243246,0.43243243243243246,0.43243243243243246,1.7564008235931396,0.4864864864864865,0.4900753567420235,,,,0.4567340067340067,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.881901979446411,0.5658364295959473,0.5756487846374512,0.0,4.0236382484436035
8,4.260189215342204,3.2963496843973794,1.932741602261861,1.8181441227595012,0.07590616370240848,0.9410677154858907,0.8198360800743103,10.44151782989502,1.6502896547317505,1.0,0.0,1.0,0.15,0.4,0.4625,0.42916666666666664,0.4625,0.37916666666666665,0.4375,0.8198360800743103,0.8218975067138672,0.8177746534347534,0.9410677154858907,0.8694822589556376,0.7454164822896322,0.35154033700625104,0.2629585067431132,2.0062350034713745,2.0995119412740073,4.033753554026286,0.04499716560045878,0.005259170041730006,0.0,0.07558242479960124,0.8067507346471151,1.596399188041687,0.5675675675675675,0.586437908496732,0.5787037037037037,0.5249904148454873,0.5675675675675675,0.5675675675675675,0.5675675675675675,1.5652997493743896,0.5405405405405406,0.5063492063492064,,,,0.5249904148454873,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.668509006500244,0.5676600933074951,0.5710358619689941,0.0,3.807487964630127
9,4.53709077835083,3.383357604344686,1.978766679763794,1.8727879126866658,0.08336285501718521,1.1287243763605754,0.8442685008049011,10.825209935506185,1.6476173400878906,1.0,0.0,1.0,0.2,0.5,0.475,0.4041666666666667,0.475,0.4708333333333333,0.37083333333333335,0.8442685008049011,0.8615369200706482,0.827000081539154,1.1287243763605754,0.8701502879460653,0.6748125155766805,0.3482864995797475,0.26106057564417523,2.025627930959066,2.0937771002451577,3.8457491397857666,0.05572583774725596,0.0065265145773688955,0.0,0.09421997268994649,0.9614372849464417,1.4016153812408447,0.6216216216216216,0.625,0.6203703703703703,0.5675805675805675,0.6216216216216216,0.6216216216216216,0.6216216216216216,1.3714241981506348,0.6756756756756757,0.6486772486772487,,,,0.5675805675805675,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.589536190032959,0.5688931941986084,0.5780956745147705,0.0,3.736859083175659
10,4.416762193044026,3.0865373611450195,1.8720189730326335,1.619357943534851,0.043635121236244835,1.3171343803405762,0.8518404960632324,10.429625511169434,1.6867485046386719,1.0,0.0,1.0,0.25,0.6,0.5375,0.43333333333333335,0.5375,0.475,0.4125,0.8518404960632324,0.802329957485199,0.9013509750366211,1.3171343803405762,0.8497999509175619,0.7216251293818156,0.34441959857940674,0.2594337860743205,1.9896937608718872,2.055229425430298,3.7283012866973877,0.06612856189409892,0.007783013395965099,0.0,0.11098239322503407,1.1184904177983601,1.2619534730911255,0.7027027027027027,0.8728395061728395,0.7777777777777777,0.7580246913580247,0.7027027027027027,0.7027027027027027,0.7027027027027027,1.2410998344421387,0.7567567567567568,0.8074074074074074,0.7575757575757576,0.8066402797520712,-0.2825757575757576,0.7580246913580247,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.6379497051239014,0.5669078826904297,0.5646111965179443,0.7515230178833008,4.521291017532349
11,4.368017037709554,2.925030469894409,1.6696434020996094,1.67384938398997,0.034321958820025124,1.432689944903056,0.8220844268798828,10.541817665100098,1.6198325157165527,1.0,0.0,1.0,0.3,0.7,0.5,0.5458333333333333,0.5,0.575,0.45,0.8220844268798828,0.8164260387420654,0.8277427554130554,1.432689944903056,0.8300830721855164,0.7143618067105612,0.34160218636194867,0.25849974155426025,1.9522826274236043,2.031825224558512,3.4368626276652017,0.07651889324188232,0.009047491165498892,0.0,0.12800498803456625,1.2029019196828206,1.1440246105194092,0.7567567567567568,0.8856060606060606,0.8194444444444443,0.8134642409152213,0.7567567567567568,0.7567567567567568,0.7567567567567567,1.1188911199569702,0.8378378378378378,0.8822751322751323,,,,0.8134642409152213,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,3.099867105484009,0.5585155487060547,0.5639939308166504,0.0,4.222671747207642
