epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,6.1598005294799805,6.155029773712158,3.656830072402954,3.3309327761332193,0.015902673204739887,0.0,0.0,17.410016377766926,0.0,1.0,0.0,0.0,0.0,0.0,0.07083333333333333,0.05,0.07083333333333333,0.08333333333333333,0.0875,0.0,0.0,0.0,0.0,0.9258826772371928,0.7752687136332194,0.35523731509844464,0.26707805196444195,2.178420384724935,2.2144645849863687,7.089180151621501,0.0,0.0,0.0,0.0,0.0,2.786517381668091,0.1891891891891892,0.04761904761904762,0.12037037037037039,0.06045751633986929,0.1891891891891892,0.1891891891891892,0.18918918918918917,2.673889398574829,0.21621621621621623,0.06917562724014337,0.11363636363636363,0.03625730994152047,-0.030303030303030304,0.06045751633986929,7e-05,3.5e-05,0.5,18.95948028564453,24.421875,3.0029728412628174,0.5437791347503662,0.5502257347106934,0.736830472946167,4.834129095077515
2,5.321816444396973,5.300983905792236,3.1776445706685386,2.8311189810434976,0.06944188972314198,0.0,0.0,15.556743621826172,0.0,1.0,0.0,0.0,0.0,0.0,0.1875,0.1125,0.1875,0.10833333333333334,0.1,0.0,0.0,0.0,0.0,0.8986924091974894,0.8647876580556234,0.3569803535938263,0.26757850249608356,2.13504687945048,2.2015838623046875,6.248507817586263,0.0,0.0,0.0,0.0,0.0,2.591397285461426,0.16216216216216217,0.04027777777777777,0.08796296296296297,0.054843304843304845,0.16216216216216217,0.16216216216216217,0.16216216216216217,,,,,,,0.054843304843304845,7e-05,3.5e-05,0.5,18.957862854003906,24.421875,2.4560601711273193,0.5403561592102051,0.0,0.0,2.996711492538452
3,5.015894730885823,4.961180845896403,2.887920697530111,2.7643469969431558,0.18237943947315216,0.0,0.0,13.7375119527181,0.0,1.0,0.0,0.0,0.0,0.0,0.20416666666666666,0.12916666666666668,0.20416666666666666,0.13333333333333333,0.14583333333333334,0.0,0.0,0.0,0.0,1.061056097348531,0.8199262221654257,0.3562443057696025,0.267007311185201,2.125321944554647,2.199509938557943,5.45301087697347,0.0,0.0,0.0,0.0,0.0,2.3942384719848633,0.1891891891891892,0.06349206349206349,0.10648148148148147,0.07793880837359098,0.1891891891891892,0.1891891891891892,0.18918918918918917,2.2845873832702637,0.21621621621621623,0.12524366471734893,,,,0.07793880837359098,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,2.708449602127075,0.5417978763580322,0.5478696823120117,0.0,3.798367738723755
4,4.434090773264567,4.409572601318359,2.5886890093485513,2.427844762802124,0.08172736316919327,0.0,0.0,12.613585789998373,0.0,1.0,0.0,0.0,0.0,0.0,0.24166666666666667,0.24166666666666667,0.24166666666666667,0.25833333333333336,0.1875,0.0,0.0,0.0,0.0,0.9382771650950114,0.8128324747085571,0.356542428334554,0.26635947823524475,2.0594403743743896,2.1708149909973145,5.2966562906901045,0.0,0.0,0.0,0.0,0.0,2.280919313430786,0.2702702702702703,0.30439560439560437,0.21296296296296294,0.224317738791423,0.2702702702702703,0.2702702702702703,0.2702702702702703,2.1673078536987305,0.2702702702702703,0.2245564892623716,,,,0.224317738791423,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,2.5926969051361084,0.5463509559631348,0.5385839939117432,0.0,3.677927017211914
5,4.375892798105876,4.094775517781575,2.40358829498291,2.254916270573934,0.07120098421971004,0.2597569326559703,0.0,11.697389284769693,0.0,1.0,0.0,0.0,0.0,0.1,0.30833333333333335,0.24583333333333332,0.30833333333333335,0.32083333333333336,0.2708333333333333,0.0,0.0,0.0,0.2597569326559703,0.9226646622021993,0.7106162508328756,0.356264591217041,0.26647884647051495,2.0503287315368652,2.142662525177002,4.776454925537109,0.011400467405716578,0.001332394196651876,0.008201315378149351,0.0,0.23882275323073068,2.155353307723999,0.32432432432432434,0.4212962962962963,0.375,0.36262626262626263,0.32432432432432434,0.32432432432432434,0.32432432432432434,2.053218126296997,0.2972972972972973,0.3469215969215969,0.29545454545454547,0.22742537075381472,0.02537878787878789,0.36262626262626263,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,2.887450933456421,0.5405533313751221,0.5480430126190186,0.7382605075836182,4.714626312255859
6,4.34199062983195,3.8621932665506997,2.3629687627156577,1.998966097831726,0.026014603674411774,0.47199298938115436,0.816007137298584,11.260391235351562,1.7167755365371704,1.0,0.0,1.0,0.05,0.2,0.4041666666666667,0.29583333333333334,0.4041666666666667,0.35833333333333334,0.2875,0.816007137298584,0.7875136733055115,0.8445005416870117,0.47199298938115436,0.9280298352241516,0.7035837570826212,0.35631996393203735,0.2659790317217509,2.027545770009359,2.1273772716522217,4.274530410766602,0.022804478804270428,0.0026597902178764343,0.016220367203156155,0.0,0.42745304107666016,2.0443921089172363,0.40540540540540543,0.2876543209876543,0.42129629629629634,0.336355148119854,0.40540540540540543,0.40540540540540543,0.40540540540540543,,,,,,,0.336355148119854,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.517437696456909,0.5477471351623535,0.0,0.0,3.0655312538146973
7,4.463895797729492,3.7345968882242837,2.1329822540283203,2.1354862054189048,0.06870549668868382,0.7086873849232992,0.8022326231002808,11.340339342753092,1.6785169839859009,1.0,0.0,1.0,0.1,0.3,0.35833333333333334,0.375,0.35833333333333334,0.4375,0.3375,0.8022326231002808,0.7560691833496094,0.8483960628509521,0.7086873849232992,0.8387411038080851,0.6738956967989603,0.3532646695772807,0.26463623841603595,2.0184309482574463,2.112921953201294,4.275260130564372,0.03391340747475624,0.003969543458273013,0.024221171935399372,0.0,0.6412890354792277,1.7911269664764404,0.43243243243243246,0.4895061728395062,0.46759259259259256,0.4567340067340067,0.43243243243243246,0.43243243243243246,0.43243243243243246,1.7555782794952393,0.5135135135135135,0.5194163860830527,,,,0.4567340067340067,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.655224561691284,0.5401210784912109,0.5406262874603271,0.0,3.7362256050109863
8,4.222025076548259,3.3022889296213784,1.9377208948135376,1.8194241523742676,0.07056273892521858,0.8985674579938253,0.8236144185066223,10.542261441548666,1.6528525352478027,1.0,0.0,1.0,0.15,0.4,0.4625,0.4125,0.4625,0.37083333333333335,0.4083333333333333,0.8236144185066223,0.8375842571258545,0.8096445798873901,0.8985674579938253,0.8698919415473938,0.7469755212465922,0.3515525261561076,0.2630470196406047,2.005451281865438,2.0996487140655518,4.038660128911336,0.044998725255330406,0.005260940330723922,0.03208722174167633,0.0,0.8077320257822672,1.5938633680343628,0.5945945945945946,0.7197712418300655,0.6064814814814814,0.5817805383022775,0.5945945945945946,0.5945945945945946,0.5945945945945946,1.5612404346466064,0.5945945945945946,0.5955371520588914,,,,0.5817805383022775,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.6623809337615967,0.5500035285949707,0.5584795475006104,0.0,3.7711637020111084
9,4.477777481079102,3.38179620107015,1.9773787260055542,1.8725566466649373,0.0725201244155566,1.0742252469062805,0.8461337089538574,10.835938771565756,1.6494430303573608,1.0,0.0,1.0,0.2,0.5,0.4708333333333333,0.4083333333333333,0.4708333333333333,0.4708333333333333,0.37083333333333335,0.8461337089538574,0.8629213571548462,0.8293460607528687,1.0742252469062805,0.867989162604014,0.6690011819203695,0.34831446409225464,0.26112423340479535,2.0243123372395835,2.093456745147705,3.842886765797933,0.05573031306266785,0.006528106052428484,0.04048624510566393,0.0,0.9607216914494833,1.4079948663711548,0.6216216216216216,0.625,0.6203703703703703,0.5675805675805675,0.6216216216216216,0.6216216216216216,0.6216216216216216,,,,,,,0.5675805675805675,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.454409599304199,0.547346830368042,0.0,0.0,3.0020899772644043
10,4.356591860453288,3.08647886912028,1.8731011946996052,1.617836833000183,0.04832879329721133,1.255614161491394,0.8501976132392883,10.495493570963541,1.6801092624664307,1.0,0.0,1.0,0.25,0.6,0.5416666666666666,0.4375,0.5416666666666666,0.475,0.4166666666666667,0.8501976132392883,0.8062843680381775,0.8941108584403992,1.255614161491394,0.8471333185831705,0.7225244045257568,0.34435102343559265,0.25942198435465497,1.9879549344380696,2.0540971755981445,3.7342352867126465,0.06611539671818416,0.007782659338166316,0.04771091789007187,0.0,1.1202706495920818,1.2636348009109497,0.7027027027027027,0.8728395061728395,0.7777777777777777,0.7580246913580247,0.7027027027027027,0.7027027027027027,0.7027027027027027,1.243384838104248,0.7567567567567568,0.8074074074074074,0.7575757575757576,0.8062157093784316,-0.2825757575757576,0.7580246913580247,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.6616127490997314,0.543764591217041,0.5513699054718018,0.7292966842651367,4.486300468444824
