constraint,domain,iteration,seed,metric,higher_is_better,full_metric_mean,ablated_metric_mean,mechanism_gain,full_secondary_mean,ablated_secondary_mean,full_val_f1,ablated_val_f1,f1_gain,paired_target_samples,paired_source_samples
cycle,逆光,1,45,Target cycle cosine error,False,0.04038373352476467,0.06655358902131962,0.026169855496554956,0.04049021863245818,0.06641331524462994,1.0,1.0,0.0,37,512
cycle,逆光,2,46,Target cycle cosine error,False,0.04443808980362292,0.06215783579395839,0.01771974599033547,0.04460783745294207,0.062229290855240975,0.980246913580247,1.0,-0.01975308641975304,37,512
cycle,逆光,3,47,Target cycle cosine error,False,0.045525526205049814,0.0609035440043227,0.015378017799272885,0.04600507972004097,0.06120236583514186,1.0,0.9615988949322283,0.038401105067771724,37,512
cycle,雨天,1,51,Target cycle cosine error,False,0.031923766005299656,0.05170957877708045,0.019785812771780792,0.03075802967898565,0.05013045468192845,0.8618233618233617,0.8874643874643874,-0.02564102564102566,26,512
cycle,雨天,2,52,Target cycle cosine error,False,0.030821919245683765,0.04003725158953321,0.009215332343849445,0.029831123575132897,0.037976829015417865,0.8552188552188551,0.7625000000000001,0.09271885521885503,26,512
cycle,雨天,3,53,Target cycle cosine error,False,0.03755012473268229,0.05508580369097433,0.017535678958292042,0.03701345931285581,0.053874592041846386,0.9629629629629629,1.0,-0.03703703703703709,26,512
cycle,雾天,1,48,Target cycle cosine error,False,0.027875360609873903,0.06992603938406458,0.04205067877419068,0.025498344797452388,0.0651976002793599,0.9830499893991956,0.9787780943336499,0.0042718950655457055,132,512
cycle,雾天,2,49,Target cycle cosine error,False,0.029867834838474817,0.06611772056451211,0.036249885726037295,0.027261017825858793,0.060340990853883156,0.968654159937453,0.9651398545363552,0.0035143054010977615,132,512
cycle,雾天,3,50,Target cycle cosine error,False,0.02688015942871826,0.07508259548934436,0.0482024360606261,0.025538378161120964,0.07032396822683071,0.9830499893991956,0.9773454686287616,0.005704520770434041,132,512
cycle,黑天,1,42,Target cycle cosine error,False,0.031594062883144675,0.06824877670499806,0.03665471382185338,0.03053608751804279,0.06527450427515723,0.9367649893965683,0.9236149267399267,0.013150062656641537,120,512
cycle,黑天,2,43,Target cycle cosine error,False,0.017572033659680658,0.0635794886183157,0.046007454958635036,0.01706951439924901,0.05923797833711318,0.9259125520577818,0.9303342490842491,-0.0044216970264673305,120,512
cycle,黑天,3,44,Target cycle cosine error,False,0.021901448119008238,0.05935692075793153,0.03745547263892329,0.01980277245805748,0.05275977990156511,0.9644283185949852,0.9644283185949852,0.0,120,512
identity,逆光,1,45,Target identity cosine error,False,0.03059261285100933,0.031050042853901436,0.00045743000289210495,0.03089766528707269,0.03126507150473115,1.0,1.0,0.0,37,512
identity,逆光,2,46,Target identity cosine error,False,0.03066509948423844,0.03157324518382911,0.0009081456995906727,0.030827357491220654,0.031631431843743466,0.980246913580247,0.980246913580247,0.0,37,512
identity,逆光,3,47,Target identity cosine error,False,0.0313213752446147,0.03088248328005757,-0.00043889196455713236,0.031548745530754346,0.031071962579737857,1.0,0.9775533108866442,0.02244668911335579,37,512
identity,雨天,1,51,Target identity cosine error,False,0.024374138168530166,0.02516203391872256,0.0007878957501923946,0.023668885433257843,0.024428898762831636,0.8618233618233617,0.8824138824138824,-0.02059052059052069,26,512
