variant,domain,runs,target_raw_silhouette_mean,target_raw_silhouette_std,target_translated_silhouette_mean,target_translated_silhouette_std,target_silhouette_gain_mean,target_silhouette_gain_std,source_target_raw_class_centroid_distance_mean,source_target_raw_class_centroid_distance_std,source_target_translated_class_centroid_distance_mean,source_target_translated_class_centroid_distance_std,class_centroid_alignment_gain_mean,class_centroid_alignment_gain_std,source_target_raw_coral_mean,source_target_raw_coral_std,source_target_translated_coral_mean,source_target_translated_coral_std,coral_alignment_gain_mean,coral_alignment_gain_std,source_target_raw_prototype_diagonal_mean,source_target_raw_prototype_diagonal_std,source_target_translated_prototype_diagonal_mean,source_target_translated_prototype_diagonal_std,prototype_diagonal_gain_mean,prototype_diagonal_gain_std,source_target_raw_prototype_margin_mean,source_target_raw_prototype_margin_std,source_target_translated_prototype_margin_mean,source_target_translated_prototype_margin_std,prototype_margin_gain_mean,prototype_margin_gain_std,source_target_raw_prototype_top1_mean,source_target_raw_prototype_top1_std,source_target_translated_prototype_top1_mean,source_target_translated_prototype_top1_std,prototype_top1_gain_mean,prototype_top1_gain_std,source_cycle_cosine_error_mean,source_cycle_cosine_error_std,target_cycle_cosine_error_mean,target_cycle_cosine_error_std,cycle_cosine_error_mean,cycle_cosine_error_std,source_identity_cosine_error_mean,source_identity_cosine_error_std,target_identity_cosine_error_mean,target_identity_cosine_error_std,identity_cosine_error_mean,identity_cosine_error_std
full,逆光,3,0.33055137190121103,0.0338770778715294,0.3364306339834861,0.03842486905939226,0.0058792620822750346,0.004615240877888555,0.8001489716892441,0.04731400545180795,0.799128711844484,0.05030295729545459,0.0010202598447601001,0.0031181907082990616,0.002230181145983854,0.00026915268095225486,0.0023451925320829396,0.00025944617162030665,-0.00011501138609908601,1.1760482671925565e-05,0.1998510261376699,0.04731399975297357,0.2008712887763977,0.05030295485163306,0.001020262638727824,0.003118199729262865,0.116654338936011,0.02970985323529936,0.12591983129580817,0.030323448719877022,0.00926549235979716,0.0036718504710048145,0.8333333333333334,0.14433756729740643,0.8333333333333334,0.14433756729740643,0.0,0.0,0.04683489117867682,0.004230817786023511,0.03996296722046154,0.0018413567417646462,0.04339892919956918,0.0025382513734464227,0.03344702476096893,0.0006896753097243392,0.027655402766775503,0.0011187377122812096,0.03055121376387222,0.0003259462235266276
full,雨天,3,0.4161864091776351,0.02530332351809867,0.4244672622691182,0.034003831521698905,0.008280853091483112,0.010839168388000767,0.8553422292073568,0.02096544205630528,0.8457775712013245,0.028501693837429395,0.009564658006032309,0.0075414777440438825,0.0036458019256143384,0.0009143636151973955,0.003722572042114105,0.0008917036729620306,-7.677011649976689e-05,2.2762743507804047e-05,0.1446577807267507,0.020965437181313086,0.15422241389751434,0.02850170922013131,0.009564633170763651,0.007541496522972456,0.1584118256966273,0.04870991750714791,0.1591389278570811,0.04677486860030669,0.0007271021604537964,0.0025789184936990013,1.0,0.0,1.0,0.0,0.0,0.0,0.028090241656484462,0.007788727927844382,0.05111036072975996,0.0034471317064756596,0.03960030119312221,0.0036167409610382306,0.022428860682113187,0.003226804021972475,0.039091331685651515,0.005588136747977152,0.03076009618388235,0.0013352796406031313
full,雾天,3,0.28187035761749196,0.035614622992020485,0.30045362375757473,0.03931304295293364,0.018583266140082766,0.0038131793312756097,0.6390825519959131,0.032914943786413506,0.619808253645897,0.03816093258445912,0.019274298350016223,0.00525268374533448,0.001118513810597624,0.0001086521681845035,0.001156666865183257,0.00011149863937658039,-3.815305458563315e-05,9.719941427950402e-06,0.3609174390633901,0.03291498215873006,0.38019174337387085,0.038160923712966824,0.019274304310480755,0.005252637416402763,0.17363285273313522,0.06458643771266506,0.19193274776140848,0.06829987187984692,0.018299895028273266,0.004978070260086996,0.9333333333333333,0.11547005383792514,0.9333333333333333,0.11547005383792514,0.0,0.0,0.024208736056587195,0.003676089815610546,0.03638635671515626,0.003994703704588965,0.030297546385871725,0.0035684476816997576,0.02461630768433154,0.0017245364389799171,0.03501368688202267,0.0023647742001096156,0.029814997283177106,0.0006093549621006553
full,黑天,3,0.34734801970265483,0.04974175900870924,0.361477195197007,0.05276361799034451,0.014129175494352164,0.0037757764457319646,0.571506050725778,0.10018772946570235,0.5343458379308382,0.09693773303698146,0.037160212794939675,0.0044809606761452925,0.001244608571026553,0.0001859337579684915,0.0012715547360732584,0.0001773488136225476,-2.6946165046705455e-05,8.757155628991896e-06,0.4284939666589101,0.10018777822800244,0.4656541645526886,0.09693768497396492,0.03716019789377848,0.004480984762290569,0.296276718378067,0.055679872717931574,0.3147367338339488,0.06261736270360026,0.018460015455881756,0.009750233312847932,1.0,0.0,1.0,0.0,0.0,0.0,0.021098430185517672,0.006331303466158434,0.02889333485027774,0.008370343981190236,0.024995882517897708,0.00708596034280679,0.02623245809420899,0.0010031548153147478,0.03676922755490253,0.0019553674895565207,0.03150084282455576,0.0005093679252372892
no_classification_feedback,逆光,3,0.29258145768007027,0.051278892170445074,0.29118001855691633,0.056247102626737495,-0.0014014391231539174,0.004977624362841369,0.807356076159825,0.053105204139328496,0.8019728545720378,0.06231687213013613,0.005383221587787072,0.009436601647594684,0.002156174338452119,0.0005563492881543212,0.002180211654131463,0.0005519768779825137,-2.4037315679343895e-05,5.446598011022773e-06,0.19264393548170725,0.05310518017729476,0.19802714884281158,0.06231684510056392,0.005383213361104329,0.009436597420464208,0.09635451808571815,0.039571881475330875,0.10706448554992676,0.040086056149846186,0.010709967464208603,0.002029743538381126,0.8333333333333334,0.14433756729740643,0.8333333333333334,0.14433756729740643,0.0,0.0,0.01609078180566454,0.0028653575194354424,0.014330795632058742,0.003142212678616635,0.015210788718861641,0.0030023850850426094,0.03868859436207274,0.002269121762491849,0.03350687672515519,0.0032845294550886586,0.036097735543613965,0.0027679523537871456
no_classification_feedback,雨天,3,0.4032086323296832,0.06077666544780236,0.4051321995971581,0.058854243361916456,0.0019235672674749644,0.00856088340777804,0.8723803398509821,0.05756479956292986,0.8496142129103342,0.07107295935165546,0.022766126940647762,0.013722765468770886,0.0035434040344007015,0.0012836277402148812,0.003563528672992894,0.0012793355551396544,-2.0124638592192705e-05,1.4689775932046384e-05,0.12761968995134035,0.05756482524571609,0.15038579454024634,0.07107296320061426,0.02276610458890597,0.013722741518485678,0.13871474067370096,0.03373086945472801,0.13455048203468323,0.03259230026444278,-0.004164258639017741,0.0022651166260980434,0.8333333333333334,0.28867513459481287,0.8333333333333334,0.28867513459481287,0.0,0.0,0.008895535861458234,0.004342223628085757,0.02031354621311794,0.009461781306901939,0.014604541037288088,0.006717262820605414,0.026221148402452033,0.009308389797501607,0.049182757915291905,0.014029762632013365,0.03770195315887197,0.010887730928237542
no_classification_feedback,雾天,3,0.2645614069044948,0.029524730508041944,0.26153377151466023,0.029319207066141707,-0.0030276353898346007,0.0009713993653146168,0.6577381422122319,0.02120469634191209,0.6303354899088541,0.04268150084240273,0.027402652303377795,0.02243493505754965,0.0010351801277487614,0.00020991168778267247,0.0010294465991012166,0.00020749995812229305,5.733528647544675e-06,2.714284922655832e-06,0.3422618905703227,0.021204710709168368,0.3696645001570384,0.042681517147634684,0.027402609586715698,0.022434933912665052,0.20265826086203256,0.041431999050033926,0.20203960438569388,0.03170458734077579,-0.0006186564763387045,0.014059540357502032,1.0,0.0,1.0,0.0,0.0,0.0,0.003182139938958577,8.389456105851293e-05,0.005181184040155243,0.0001312279104185462,0.00418166198955691,7.987102374028138e-05,0.06372188633746345,0.0023364519919854064,0.090572855412619,0.009111759625673775,0.07714737087504123,0.004930517478890458
no_classification_feedback,黑天,3,0.34580441226583186,0.0435788031126899,0.3474476532716808,0.042597237303086795,0.0016432410058489315,0.0016227360564250051,0.5578712721665701,0.08675759258786031,0.49897050112485886,0.10562562082063823,0.058900771041711174,0.019591745125444555,0.0011763981243148036,0.00010054627188070658,0.0011572441241715476,9.857105218606813e-05,1.915400014325617e-05,7.834045249728123e-06,0.4421287377675374,0.0867575898011177,0.5010295311609904,0.10562563569773858,0.058900793393452965,0.019591717662557982,0.3167763650417328,0.07082588898295282,0.32512588302294415,0.07216964223855277,0.008349517981211344,0.0050834615501616585,1.0,0.0,1.0,0.0,0.0,0.0,0.0031107815990687915,0.0014156393216253264,0.004895803591576669,0.0010760880157852696,0.004003292595322731,0.0011755135553812935,0.05889249947708883,0.002734484689161137,0.07083099679251696,0.009461383508555363,0.06486174813480289,0.006096081873995896
no_cycle,逆光,3,0.29605890609082586,0.05109625889455492,0.30095677504130913,0.06166172694978485,0.004897868950483257,0.010591525497396467,0.845971658360213,0.04731988553384886,0.8477280614897609,0.04838113105555105,-0.0017564031295478344,0.002663780686375759,0.0022725308561693416,0.00022254132874397357,0.0023645555003191285,0.0002220201870362604,-9.202464414978706e-05,6.608270193344086e-06,0.15402834117412567,0.04731989485452807,0.1522719462712606,0.048381147860487986,-0.001756394902865092,0.002663815251065403,0.07430063684781392,0.055751374670871684,0.08087747916579247,0.05866146100537424,0.006576842317978541,0.003936439557522289,0.75,0.0,0.75,0.0,0.0,0.0,0.0651895593560507,0.004772501084662742,0.0621440743354437,0.0059235815637758175,0.0636668168457472,0.005328417034102959,0.034213779165897545,0.003361849830537025,0.031009527869276517,0.001566090517833875,0.03261165351758703,0.0023868538359023304
no_cycle,雨天,3,0.4075838633123643,0.07490479844804139,0.4144817035176692,0.09019637493464659,0.006897840205304891,0.0168467778601918,0.8775326761727532,0.08903029405169392,0.8749747329081098,0.0905276200076222,0.002557943264643351,0.018694997013218688,0.0049491135671306885,0.0034498469752563665,0.005037137105583422,0.003410877772446784,-8.802353845273365e-05,3.973549149518269e-05,0.12246732724209626,0.08903030502916323,0.125025258709987,0.09052761614754597,0.0025579314678907394,0.018694978451287998,0.1507599006096522,0.06311957668367738,0.1477136860291163,0.06798247335817771,-0.0030462145805358887,0.004976374310062463,1.0,0.0,1.0,0.0,0.0,0.0,0.040022731528065264,0.009789337399353719,0.08078508646814965,0.0019402274471624617,0.06040390899810746,0.004972642592915054,0.022185320448305044,0.005720165198645654,0.042742362893184074,0.0018579881180964348,0.03246384167074456,0.0021466699613779928
