epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.48663786479405,5.423674310956683,2.8378591196877614,3.0421355111258372,0.20987853886825697,0.0,0.0,15.084054810660225,0.0,1.0,0.0,0.0,0.0,0.0,0.14130434782608695,0.14440993788819875,0.14130434782608695,0.14751552795031056,0.14130434782608695,0.0,0.0,0.0,0.0,0.5935197217123849,0.5469707335744586,0.3644131634916578,0.27139869758061,2.0346067122050693,2.08202634538923,5.864047731672015,0.0,0.0,0.0,0.0,0.0,2.3537395000457764,0.19166666666666668,0.14328640109890112,0.288344277673546,0.10371304974765681,0.19166666666666668,0.19166666666666668,0.19166666666666668,2.3532146215438843,0.175,0.09492422899680963,0.13333333333333333,0.06410296505609765,0.014182194616977228,0.10371304974765681,0.00013,3.5e-05,0.2692307692307692,21.770931243896484,28.185546875,4.426067590713501,0.6084113121032715,0.6210894584655762,0.8567104339599609,6.5125892162323
2,3.6926839351654053,3.6886402538844516,1.9564716815948486,2.0378452709742954,0.013478938756244523,0.0,0.0,10.40184279850551,0.0,1.0,0.0,0.0,0.0,0.0,0.35093167701863354,0.38354037267080743,0.35093167701863354,0.36024844720496896,0.36335403726708076,0.0,0.0,0.0,0.0,0.5795930964606149,0.4685036667755672,0.3679421288626535,0.2711880888257708,1.9691268375941686,2.0300216504505704,4.096549817493984,0.0,0.0,0.0,0.0,0.0,2.277238607406616,0.09166666666666666,0.024004683840749413,0.25,0.04296875,0.09166666666666666,0.09166666666666666,0.09166666666666666,,,,,,,0.04296875,0.00013,3.5e-05,0.2692307692307692,21.772159576416016,28.185546875,3.8174960613250732,0.607325553894043,0.0,0.0,4.425112009048462
3,3.001521485192435,3.02035083089556,1.6451243162155151,1.6179134845733643,-0.06276444398931094,0.0,0.0,9.635704040527344,0.0,1.0,0.0,0.0,0.0,0.0,0.5186335403726708,0.5093167701863354,0.5186335403726708,0.4673913043478261,0.5217391304347826,0.0,0.0,0.0,0.0,0.6198843376977103,0.5039095750876835,0.36906696217400686,0.2721454160554068,1.8801778044019426,1.9428174495697021,3.2352467945643832,0.0,0.0,0.0,0.0,0.0,2.3655365705490112,0.11666666666666667,0.17495888157894737,0.2561141304347826,0.10942760942760943,0.11666666666666667,0.11666666666666667,0.11666666666666667,2.2469009160995483,0.11666666666666667,0.11811713451564937,,,,0.10942760942760943,0.00013,3.5e-05,0.2692307692307692,21.772022247314453,28.185546875,4.082772970199585,0.6167004108428955,0.6191456317901611,0.0,5.318852663040161
4,2.384924922670637,2.381578343255179,1.309402346611023,1.2613835505076818,-0.11750838373388563,0.0385991388133594,0.0,8.56155286516462,0.0,1.0,0.0,0.0,0.0,0.125,0.656832298136646,0.6366459627329193,0.656832298136646,0.6475155279503105,0.6521739130434783,0.0,0.0,0.0,0.0385991388133594,0.6555824364934649,0.5195648499897548,0.3493425931249346,0.26599849121911184,1.808441059929984,1.8560987540653773,2.7091007573263988,0.013973703341824668,0.0016624906067071216,0.00904220502291407,0.013920740224421024,0.0,1.834216058254242,0.30833333333333335,0.492808519982433,0.473468819753947,0.33344426406926403,0.30833333333333335,0.30833333333333335,0.30833333333333335,1.7685317397117615,0.35,0.3556690604865047,,,,0.33344426406926403,0.00013,3.5e-05,0.2692307692307692,21.772159576416016,28.185546875,3.7279372215270996,0.6152029037475586,0.6199283599853516,0.0,4.963338613510132
5,2.042451058115278,1.9867833512169975,1.0841648067746843,1.0619041408811296,-0.04957449755498341,0.07054007053375244,0.0,8.487497057233538,0.0,1.0,0.0,0.0,0.0,0.25,0.75,0.7546583850931677,0.75,0.7593167701863354,0.7453416149068323,0.0,0.0,0.0,0.07054007053375244,0.659102065222604,0.5228079983166286,0.29975720814296175,0.25331864612443106,1.703039186341422,1.7575079032352992,2.204075881413051,0.02398057627890791,0.0031664831497307333,0.017030392108219012,0.02636261789926461,0.0,1.4444923996925354,0.44166666666666665,0.6908459595959595,0.6504810086961466,0.5560934276451518,0.44166666666666665,0.44166666666666665,0.44166666666666665,1.382712185382843,0.49166666666666664,0.5796930559861595,0.4946236559139785,0.5890727522574682,0.26469311427235687,0.5560934276451518,0.00013,3.5e-05,0.2692307692307692,21.772159576416016,28.185546875,3.527669906616211,0.617297887802124,0.6192531585693359,0.8825886249542236,5.647105932235718
6,1.8277607645307268,1.7433799164635795,0.9274519681930542,0.9599152207374573,-0.05168310206915651,0.09988576280219215,0.9007227080208915,8.199078014918737,1.5333518981933594,1.0,0.0,7.0,0.05,0.375,0.7934782608695652,0.827639751552795,0.7934782608695652,0.782608695652174,0.7996894409937888,0.9007227080208915,0.7921194008418492,1.0093260066849845,0.09988576280219215,0.6923795001847404,0.5767707909856524,0.259406504886491,0.2454062274524144,1.6419580153056554,1.6580102273396082,1.9609918934958321,0.031128779585872377,0.004601366884474244,0.024629369910274233,0.037305231605257304,0.0,1.431781530380249,0.55,0.6517548798798799,0.7690753870996448,0.5997507355344884,0.55,0.55,0.55,1.3277288675308228,0.6333333333333333,0.6535460938907691,,,,0.5997507355344884,0.00013,3.5e-05,0.2692307692307692,21.772114276885986,28.185546875,3.9101204872131348,0.6119892597198486,0.6228930950164795,0.0,5.145294189453125
7,1.6417001485824585,1.540474227496556,0.8393866079194205,0.8248089381626674,-0.0833166694002492,0.12622091280562536,0.8649203181266785,6.969830649239676,1.4217255796704973,1.0,0.0,7.0,0.1,0.5,0.8416149068322981,0.84472049689441,0.8416149068322981,0.8090062111801242,0.8555900621118012,0.8649203181266785,0.7817824568067279,0.9480581794466291,0.12622091280562536,0.656520528452737,0.5829724669456482,0.2312585072857993,0.24393987442765916,1.5698445013591222,1.5795314311981201,1.7139462062290736,0.0370013602077961,0.006098496993737561,0.03139688926083701,0.047385942190885544,0.0,1.1079307794570923,0.775,0.7748505171299289,0.8435823356124258,0.7536116037602312,0.775,0.775,0.775,1.0762123465538025,0.8166666666666667,0.7813843680932289,,,,0.7536116037602312,0.00013,3.5e-05,0.2692307692307692,21.773098468780518,28.185546875,3.9005286693573,0.608062744140625,0.6172707080841064,0.0,5.1261515617370605
8,1.5084221703665597,1.3773102079119002,0.7464776379721505,0.7421559691429138,-0.059733103694660325,0.1490318924188614,0.829940642629351,6.3650117601667136,1.3639966760362898,1.0,0.0,7.0,0.15,0.625,0.8742236024844721,0.8757763975155279,0.8742236024844721,0.8881987577639752,0.8804347826086957,0.829940642629351,0.7223820175443377,0.9374992677143642,0.1490318924188614,0.6641480922698975,0.5709860154560634,0.20897647951330459,0.24556595938546316,1.4882167066846574,1.489940983908517,1.4996655668531145,0.041795296860592704,0.007673936230795724,0.037205418305737634,0.055872789451054165,0.0,0.7669366002082825,0.8666666666666667,0.8171573091542603,0.9014113703104955,0.8440820466508063,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.7474609911441803,0.875,0.847627307770192,,,,0.8440820466508063,0.00013,3.5e-05,0.2692307692307692,21.772907733917236,28.185546875,3.783381938934326,0.6101443767547607,0.6235480308532715,0.0,5.017370223999023
9,1.4234623057501656,1.2556251968656267,0.6700242417199271,0.6889422535896301,-0.021632088082177297,0.17432673062597,0.8303893634251186,6.396463871002197,1.360851185662406,1.0,0.0,7.0,0.2,0.75,0.9145962732919255,0.9083850931677019,0.9145962732919255,0.9145962732919255,0.9037267080745341,0.8303893634251186,0.7606445295470101,0.9001342058181763,0.17432673062597,0.7129114440509251,0.6586989504950387,0.19115368170397623,0.25179964091096607,1.472080111503601,1.449859585080828,1.4347086974552699,0.045876881905964444,0.009442487066345555,0.04416240219558988,0.06524368481976646,0.0,0.9072761535644531,0.875,0.8469540875790875,0.909853335953548,0.8514226696792486,0.875,0.875,0.875,0.9200156927108765,0.85,0.8087326346685393,,,,0.8514226696792486,0.00013,3.5e-05,0.2692307692307692,21.773098468780518,28.185546875,3.910332679748535,0.6183888912200928,0.6265659332275391,0.0,5.155577898025513
10,1.309007167816162,1.1251419612339564,0.6074900456837246,0.609002241066524,-0.02628709681864296,0.19175133109092712,0.8696365697043282,6.111140864236014,1.346957496234349,0.8571428571428571,0.0,7.0,0.25,0.875,0.937888198757764,0.9503105590062112,0.937888198757764,0.9394409937888198,0.9347826086956522,0.8696365697043282,0.8023884807314191,0.9368846416473389,0.19175133109092712,0.6584556698799133,0.6488022378512791,0.17495687944548471,0.25980581981795176,1.3823935644967216,1.3633261578423637,1.313248770577567,0.04898792664919581,0.011366504244506359,0.048383774501936774,0.0715746209025383,0.0,0.7090120613574982,0.9083333333333333,0.8639434689706429,0.9314701073052081,0.8848643685703399,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.6896847188472748,0.9083333333333333,0.8900132275132275,0.9182795698924732,0.9169300881306098,0.021161423896346676,0.8848643685703399,0.00013,3.5e-05,0.2692307692307692,21.772961139678955,28.185546875,3.6861672401428223,0.6203210353851318,0.6206095218658447,0.8893618583679199,5.816759347915649
