epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.17413604259491,5.1414947509765625,2.600183844566345,2.675063967704773,0.1088043050840497,0.0,0.0,16.768325567245483,0.0,1.0,0.0,0.0,0.0,0.0,0.17119565217391305,0.18478260869565216,0.17119565217391305,0.20652173913043478,0.18206521739130435,0.0,0.0,0.0,0.0,1.3452251255512238,0.9595969170331955,0.3504445180296898,0.2608633413910866,1.770187795162201,1.797012597322464,5.298812985420227,0.0,0.0,0.0,0.0,0.0,2.191788673400879,0.07692307692307693,0.05416666666666667,0.05416666666666667,0.05128205128205129,0.07692307692307693,0.07692307692307693,0.07692307692307693,2.1022255420684814,0.11538461538461539,0.07142857142857142,0.07291666666666667,0.059608665269042634,0.13360507246376813,0.05128205128205129,0.00018,5e-05,0.2777777777777778,21.770931243896484,28.18359375,3.397284984588623,0.3828141689300537,0.3770914077758789,0.5746362209320068,4.73215126991272
2,3.624748468399048,3.6046767234802246,1.877297282218933,1.8182942271232605,0.06690589524805546,0.0,0.0,11.453284978866577,0.0,1.0,0.0,0.0,0.0,0.0,0.45652173913043476,0.35597826086956524,0.45652173913043476,0.46195652173913043,0.38858695652173914,0.0,0.0,0.0,0.0,1.338686317205429,0.854189470410347,0.34857936203479767,0.2595472037792206,1.7646799981594086,1.7938575148582458,3.676313042640686,0.0,0.0,0.0,0.0,0.0,2.1128618717193604,0.19230769230769232,0.07109557109557109,0.2916666666666667,0.11111111111111112,0.19230769230769232,0.19230769230769232,0.19230769230769232,2.120974063873291,0.2692307692307692,0.27994227994227994,,,,0.11111111111111112,0.00018,5e-05,0.2777777777777778,21.771968841552734,28.18359375,3.1030664443969727,0.3768935203552246,0.38594794273376465,0.0,3.866217851638794
3,2.8074340224266052,2.752795398235321,1.507768988609314,1.3105540871620178,0.18212858214974403,0.0,0.0,9.696909427642822,0.0,1.0,0.0,0.0,0.0,0.0,0.6331521739130435,0.5679347826086957,0.6331521739130435,0.6222826086956522,0.5108695652173914,0.0,0.0,0.0,0.0,1.3365743160247803,0.8163516670465469,0.3495468869805336,0.25935354828834534,1.723241001367569,1.7767881751060486,2.93997859954834,0.0,0.0,0.0,0.0,0.0,2.040806770324707,0.23076923076923078,0.2675438596491228,0.30833333333333335,0.18932178932178934,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.1030232906341553,0.19230769230769232,0.11025641025641025,,,,0.18932178932178934,0.00018,5e-05,0.2777777777777778,21.772159576416016,28.18359375,2.7791285514831543,0.3794281482696533,0.37883996963500977,0.0,3.537684917449951
4,2.4935561418533325,2.273136854171753,1.2773562669754028,1.0481900721788406,0.16954923421144485,0.1695544794201851,0.0,8.34742259979248,0.0,1.0,0.0,0.0,0.0,0.125,0.7608695652173914,0.6358695652173914,0.7608695652173914,0.7228260869565217,0.6793478260869565,0.0,0.0,0.0,0.1695544794201851,1.3507876098155975,0.7611014097929001,0.3501480370759964,0.2577303349971771,1.7077032625675201,1.741351455450058,2.3415201902389526,0.0,0.001610814593732357,0.008538516005501151,0.01306013553403318,0.14634501188993454,2.234393358230591,0.15384615384615385,0.1818181818181818,0.25,0.13888888888888887,0.15384615384615385,0.15384615384615385,0.15384615384615385,,,,,,,0.13888888888888887,0.00018,5e-05,0.2777777777777778,21.770793914794922,28.18359375,2.920830726623535,0.38347911834716797,0.0,0.0,3.3046040534973145
5,2.1080580055713654,1.8230762779712677,1.037560909986496,0.8268582820892334,0.04090128745883703,0.2727113589644432,0.0,8.071280121803284,0.0,1.0,0.0,0.0,0.0,0.25,0.8532608695652174,0.7635869565217391,0.8532608695652174,0.8505434782608695,0.779891304347826,0.0,0.0,0.0,0.2727113589644432,1.4853751957416534,0.8393121808767319,0.3508657217025757,0.25623519718647003,1.616489201784134,1.6839441061019897,1.824674904346466,0.0,0.003202939929906279,0.016164891654625535,0.02525916090235114,0.22808436304330826,2.236060857772827,0.15384615384615385,0.12962962962962962,0.25,0.1285714285714286,0.15384615384615385,0.15384615384615385,0.15384615384615385,2.2671031951904297,0.11538461538461539,0.08888888888888889,0.13541666666666666,0.11870262972168523,0.7151268115942029,0.1285714285714286,0.00018,5e-05,0.2777777777777778,21.771968841552734,28.18359375,2.8602540493011475,0.37792181968688965,0.38480448722839355,0.5819432735443115,4.2051942348480225
6,1.9503450393676758,1.5883758962154388,0.8588559776544571,0.7679157108068466,-0.020699020475149155,0.3681788966059685,0.0,8.459673166275024,0.0,1.0,0.0,0.0,0.0,0.375,0.8668478260869565,0.8342391304347826,0.8668478260869565,0.8777173913043478,0.845108695652174,0.0,0.0,0.0,0.3681788966059685,1.6183495223522186,0.8820614963769913,0.3492639437317848,0.2540754899382591,1.5450641214847565,1.599984347820282,1.6226099133491516,0.0,0.004763915785588324,0.023175961803644896,0.035999649204313755,0.3042393624782562,1.8036129474639893,0.46153846153846156,0.4305555555555556,0.4875,0.37886427298192005,0.46153846153846156,0.46153846153846156,0.46153846153846156,1.7478864192962646,0.38461538461538464,0.2962962962962963,,,,0.37886427298192005,0.00018,5e-05,0.2777777777777778,21.772159576416016,28.18359375,3.0020952224731445,0.37958383560180664,0.38498854637145996,0.0,3.766934871673584
7,1.7378143668174744,1.3326919376850128,0.7286858856678009,0.6357958763837814,-0.05828990414738655,0.42260944098234177,0.0,6.996349573135376,0.0,1.0,0.0,0.0,0.0,0.5,0.9402173913043478,0.9021739130434783,0.9402173913043478,0.9429347826086957,0.907608695652174,0.0,0.0,0.0,0.42260944098234177,1.6388035416603088,0.8496729582548141,0.34789663553237915,0.25136157870292664,1.4500256478786469,1.505225509405136,1.368672490119934,0.0,0.006284039583988488,0.029000512324273586,0.045156764797866344,0.3421681225299835,1.316861867904663,0.5769230769230769,0.6157407407407408,0.6333333333333333,0.5507936507936507,0.5769230769230769,0.5769230769230769,0.5769230769230769,1.2192598581314087,0.6153846153846154,0.6515151515151515,,,,0.5507936507936507,0.00018,5e-05,0.2777777777777778,21.770793914794922,28.18359375,3.017606735229492,0.3830580711364746,0.3848536014556885,0.0,3.785820960998535
8,1.6054134666919708,1.1637520492076874,0.6432905048131943,0.5478542894124985,-0.1210508905351162,0.4779767021536827,0.0,5.653949975967407,0.0,0.75,0.0,0.0,0.0,0.625,0.9646739130434783,0.9211956521739131,0.9646739130434783,0.9483695652173914,0.9211956521739131,0.0,0.0,0.0,0.4779767021536827,1.7867872416973114,0.8723253309726715,0.345780685544014,0.24944192171096802,1.393181324005127,1.4350673854351044,1.2209186553955078,0.0,0.0077950600534677505,0.034829532727599144,0.05381502956151962,0.3815370798110962,1.2237688302993774,0.6538461538461539,0.8148148148148149,0.6749999999999999,0.6284632034632034,0.6538461538461539,0.6538461538461539,0.6538461538461539,1.182763934135437,0.7307692307692307,0.7206349206349207,,,,0.6284632034632034,0.00018,5e-05,0.2777777777777778,21.771968841552734,28.18359375,3.1696670055389404,0.3867805004119873,0.38777780532836914,0.0,3.9445207118988037
9,1.5586887896060944,1.0711823105812073,0.6007066518068314,0.4952375367283821,-0.15627561323344707,0.5343891829252243,0.8348207771778107,5.312667965888977,1.5769695937633514,0.5,0.0,4.0,0.05,0.75,0.9945652173913043,0.9402173913043478,0.9945652173913043,0.9945652173913043,0.9375,0.8348207771778107,0.9375831931829453,0.7320583462715149,0.5343891829252243,1.7908932268619537,0.8682887554168701,0.34400227665901184,0.2477051056921482,1.3062624335289001,1.334480732679367,1.1232191026210785,0.0,0.009288941510021687,0.03918787185102701,0.0600516339763999,0.42120716720819473,1.0670515298843384,0.7307692307692307,0.8472222222222222,0.7416666666666667,0.6943722943722944,0.7307692307692307,0.7307692307692307,0.7307692307692306,1.0229918956756592,0.7692307692307693,0.7573352573352573,,,,0.6943722943722944,0.00018,5e-05,0.2777777777777778,21.773098468780518,28.18359375,3.010262966156006,0.38498735427856445,0.44367170333862305,0.0,3.839224338531494
10,1.5283663868904114,0.9925729483366013,0.5414084792137146,0.4749100059270859,-0.11930145882070065,0.5715838670730591,0.8126253634691238,4.489434242248535,1.498098075389862,0.25,0.0,4.0,0.1,0.875,0.9918478260869565,0.970108695652174,0.9918478260869565,0.9918478260869565,0.9619565217391305,0.8126253634691238,0.9207691252231598,0.7044815868139267,0.5715838670730591,1.6351426839828491,0.9703103601932526,0.33927953243255615,0.245062455534935,1.2224721014499664,1.232099860906601,1.0154778063297272,0.0,0.010721482103690505,0.04278652369976044,0.06468524131923914,0.4442715346813202,0.7496271729469299,0.8461538461538461,0.861111111111111,0.8791666666666668,0.8285714285714286,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.7566478252410889,0.8461538461538461,0.8285714285714286,0.9479166666666666,0.9410816035816035,0.04393115942028991,0.8285714285714286,0.00018,5e-05,0.2777777777777778,21.771732807159424,28.18359375,2.741248607635498,0.3895890712738037,0.38090085983276367,0.5911967754364014,4.1032679080963135
