epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.284817616144816,5.285783847173055,3.1517770687739053,3.283087650934855,-0.0032208592941363654,0.0,0.0,14.629359086354574,0.0,1.0,0.0,0.0,0.0,0.0,0.09782608695652174,0.1105072463768116,0.09782608695652174,0.10326086956521739,0.12681159420289856,0.0,0.0,0.0,0.0,1.8692060510317485,0.9769269526004791,0.34611664215723675,0.2599894603093465,2.184370994567871,2.216654102007548,6.409417788187663,0.0,0.0,0.0,0.0,0.0,2.680905818939209,0.13636363636363635,0.024691358024691357,0.08333333333333333,0.0380952380952381,0.13636363636363635,0.13636363636363635,0.13636363636363635,2.6986613273620605,0.11363636363636363,0.06038647342995169,0.11439842209072978,0.06773105368610986,-0.011137552525512392,0.0380952380952381,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,3.572162389755249,0.6002616882324219,0.6065325736999512,0.8341963291168213,5.613482713699341
2,4.319237232208252,4.332144419352214,2.5250291426976523,2.7801774740219116,-0.04302371533898016,0.0,0.0,11.815649032592773,0.0,1.0,0.0,0.0,0.0,0.0,0.14492753623188406,0.24094202898550723,0.14492753623188406,0.16485507246376813,0.22282608695652173,0.0,0.0,0.0,0.0,1.9094549814860027,0.9260682264963785,0.34594763318697613,0.2606406857570012,2.1502811113993325,2.2103613217671714,5.4222768147786455,0.0,0.0,0.0,0.0,0.0,2.529248595237732,0.15151515151515152,0.0923294646412926,0.1152557319223986,0.08000563677718259,0.15151515151515152,0.15151515151515152,0.15151515151515152,2.5502127408981323,0.16666666666666666,0.11966479263100038,,,,0.08000563677718259,7e-05,3.5e-05,0.5,21.772159576416016,28.18359375,3.087827205657959,0.6079127788543701,0.6100451946258545,0.0,4.30605673789978
3,3.959391633669535,3.9805554946263633,2.24747896194458,2.6662716468175254,-0.07054633181542158,0.0,0.0,10.365043481191,0.0,1.0,0.0,0.0,0.0,0.0,0.19021739130434784,0.34057971014492755,0.19021739130434784,0.1956521739130435,0.32065217391304346,0.0,0.0,0.0,0.0,1.8880213101704915,0.9785877565542856,0.3469368169705073,0.26122259100278217,2.1491490602493286,2.1922020514806113,4.9583390553792315,0.0,0.0,0.0,0.0,0.0,2.323410987854004,0.20454545454545456,0.16204340321987382,0.1835537918871252,0.13765491884135952,0.20454545454545456,0.20454545454545456,0.20454545454545456,2.3544862270355225,0.17424242424242425,0.10674674674674674,,,,0.13765491884135952,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,3.124664068222046,0.6021358966827393,0.6106655597686768,0.0,4.337750673294067
4,3.664853811264038,3.681475520133972,2.0863069693247476,2.454105536142985,-0.055405670776963234,0.0,0.0,9.521564642588297,0.0,1.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.3822463768115942,0.2608695652173913,0.2572463768115942,0.34057971014492755,0.0,0.0,0.0,0.0,1.885590394337972,1.0095915993054707,0.3488784631093343,0.26109540462493896,2.114729364713033,2.1744585037231445,4.676672299702962,0.0,0.0,0.0,0.0,0.0,2.154968500137329,0.3181818181818182,0.21766160570508397,0.2686236602903269,0.2104480955592014,0.3181818181818182,0.3181818181818182,0.3181818181818182,2.172068953514099,0.2878787878787879,0.22717364905889495,,,,0.2104480955592014,7e-05,3.5e-05,0.5,21.772159576416016,28.18359375,3.2562904357910156,0.612250804901123,0.6120882034301758,0.0,4.480916976928711
5,3.415694991747538,3.439982255299886,1.9320961634318035,2.3198248147964478,-0.08095759836335976,0.0,0.0,8.843112309773764,0.0,1.0,0.0,0.0,0.0,0.0,0.2753623188405797,0.4329710144927536,0.2753623188405797,0.25181159420289856,0.391304347826087,0.0,0.0,0.0,0.0,1.8491025964419048,1.0343960225582123,0.3487362116575241,0.26176509261131287,2.1221134265263877,2.1621564626693726,4.317448139190674,0.0,0.0,0.0,0.0,0.0,2.00246661901474,0.3712121212121212,0.4933418433418433,0.36151811151811153,0.3409143655221493,0.3712121212121212,0.3712121212121212,0.3712121212121212,2.0125675201416016,0.36363636363636365,0.29062745078196284,0.4358974358974359,0.41691072716080335,-0.18408584169453734,0.3409143655221493,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,3.2401509284973145,0.6078379154205322,0.623445987701416,0.8555006980895996,5.327266216278076
6,3.4456791480382285,3.227564215660095,1.8004769881566365,2.195518891016642,-0.06368716495732467,0.2372211515903473,0.9672350287437439,8.633310317993164,1.898656686147054,1.0,0.0,3.0,0.05,0.1,0.35507246376811596,0.5072463768115942,0.35507246376811596,0.27898550724637683,0.483695652173913,0.9672350287437439,1.09902028242747,0.8354497750600179,0.2372211515903473,1.7753249605496724,1.0123057961463928,0.34832508365313214,0.26124239961306256,2.12027907371521,2.1442036231358848,4.193804899851481,0.0,0.0013062119445142646,0.008481116654972235,0.012865221903969845,0.2096902479728063,1.900339961051941,0.45454545454545453,0.680267588162325,0.4764177180843847,0.4695338263019129,0.45454545454545453,0.45454545454545453,0.45454545454545453,1.912540078163147,0.3712121212121212,0.3513727013727014,,,,0.4695338263019129,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,2.973233938217163,0.6073436737060547,0.6199848651885986,0.0,4.2008585929870605
7,3.513608535130819,3.0967812140782676,1.7281392415364583,2.1056031783421836,-0.07756644239028294,0.44009724756081897,0.9465214212735494,8.900022983551025,1.836374282836914,1.0,0.0,3.0,0.1,0.2,0.3967391304347826,0.5507246376811594,0.3967391304347826,0.34782608695652173,0.4963768115942029,0.9465214212735494,1.088122288386027,0.8049205342928568,0.44009724756081897,1.749859889348348,1.017070045073827,0.3473372608423233,0.26134487489859265,2.093845804532369,2.1327985922495523,3.854551831881205,0.0,0.0026134486543014646,0.016750766895711422,0.025593583472073078,0.3854551911354065,1.780314564704895,0.48484848484848486,0.6679895754973154,0.5111484194817528,0.5045076404109626,0.48484848484848486,0.48484848484848486,0.48484848484848486,1.7973181009292603,0.44696969696969696,0.46654636038112457,,,,0.5045076404109626,7e-05,3.5e-05,0.5,21.771870136260986,28.18359375,3.147777795791626,0.612060546875,0.6125960350036621,0.0,4.372720718383789
8,3.5025816758473716,2.884413719177246,1.5965077479680378,1.9813937743504841,-0.06903413621087869,0.6388782064119974,0.9432903130849203,9.085716088612875,1.842855175336202,1.0,0.0,3.0,0.15,0.3,0.41304347826086957,0.605072463768116,0.41304347826086957,0.41847826086956524,0.5471014492753623,0.9432903130849203,1.0302363236745198,0.8563443024953207,0.6388782064119974,1.809596319993337,1.0639161666234334,0.3446647773186366,0.2607046415408452,2.0719580252965293,2.0940802097320557,3.7154982487360635,0.0,0.003910569435295959,0.02486349642276764,0.03769344215591749,0.5573247571786245,1.6542826890945435,0.5681818181818182,0.7441288196190157,0.6127967711301044,0.6012457702923498,0.5681818181818182,0.5681818181818182,0.5681818181818182,1.6748943328857422,0.5151515151515151,0.549104652027949,,,,0.6012457702923498,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,3.4401869773864746,0.610588788986206,0.6216118335723877,0.0,4.672691106796265
9,3.5496326287587485,2.7886051336924234,1.5865203142166138,1.8493613799413045,-0.15613098442554474,0.8078668216864268,0.9334124724070231,9.380218187967936,1.765148679415385,1.0,0.0,3.0,0.2,0.4,0.47644927536231885,0.6159420289855072,0.47644927536231885,0.463768115942029,0.5960144927536232,0.9334124724070231,1.027451475461324,0.8393734892209371,0.8078668216864268,1.7370295921961467,1.0768722295761108,0.3439692159493764,0.2597477932771047,2.028216520945231,2.063324729601542,3.5050164063771567,0.0,0.005194955738261342,0.03245146572589874,0.049519794061779976,0.7010032931963602,1.5369057059288025,0.5984848484848485,0.732950419224929,0.6419990503323837,0.6197056030389364,0.5984848484848485,0.5984848484848485,0.5984848484848485,1.5617148280143738,0.5909090909090909,0.6160830439474138,,,,0.6197056030389364,7e-05,3.5e-05,0.5,21.771870136260986,28.18359375,3.273721694946289,0.6103324890136719,0.6061615943908691,0.0,4.490516662597656
10,3.6004573504130044,2.690964619318644,1.4960623780886333,1.8383111357688904,-0.13932045424977937,0.9512888888518015,0.906256894270579,10.57981014251709,1.7345316807428997,1.0,0.0,3.0,0.25,0.5,0.47282608695652173,0.6612318840579711,0.47282608695652173,0.4963768115942029,0.6213768115942029,0.906256894270579,1.0010887781778972,0.811424990495046,0.9512888888518015,1.7880859573682149,1.0547576248645782,0.34226855138937634,0.2587575813134511,1.9820412397384644,2.0255806843439736,3.278147339820862,0.0,0.00646893959492445,0.039640823379158974,0.06076741901536783,0.8195368349552155,1.4592881798744202,0.6363636363636364,0.7909722222222223,0.6949260615927283,0.6835042497574467,0.6363636363636364,0.6363636363636364,0.6363636363636364,1.4798767566680908,0.6212121212121212,0.6605334321581462,0.6331360946745562,0.6925632370276591,-0.13675928308035334,0.6835042497574467,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,3.253056287765503,0.6145741939544678,0.6182489395141602,0.8571631908416748,5.343343019485474
