epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.4833604494730634,5.478837013244629,3.331254561742147,3.3039732774098716,0.015077590942382812,0.0,0.0,15.109577496846518,0.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.09420289855072464,0.08333333333333333,0.09420289855072464,0.11594202898550725,0.0,0.0,0.0,0.0,0.8898952404657999,0.7879616022109985,0.35461175441741943,0.26670363545417786,2.149613539377848,2.2128763993581138,6.664450804392497,0.0,0.0,0.0,0.0,0.0,2.8078370094299316,0.21621621621621623,0.056878306878306875,0.13425925925925927,0.07189542483660132,0.21621621621621623,0.21621621621621623,0.21621621621621623,2.706725835800171,0.21621621621621623,0.06980994152046784,0.12878787878787878,0.04007665113820333,-0.034584980237154145,0.07189542483660132,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,3.29593563079834,0.470090389251709,0.48316383361816406,0.7231523990631104,4.972660303115845
2,4.945017496744792,4.92531140645345,3.0675458908081055,2.8581008116404214,0.06568705663084984,0.0,0.0,13.147578875223795,0.0,1.0,0.0,0.0,0.0,0.0,0.19927536231884058,0.12318840579710146,0.19927536231884058,0.17028985507246377,0.13405797101449277,0.0,0.0,0.0,0.0,0.8737188577651978,0.8336283167203268,0.3580942253271739,0.2686915496985118,2.130030711491903,2.1918079058329263,5.91380516688029,0.0,0.0,0.0,0.0,0.0,2.6133222579956055,0.1891891891891892,0.04641812865497076,0.10648148148148147,0.06407407407407407,0.1891891891891892,0.1891891891891892,0.18918918918918917,,,,,,,0.06407407407407407,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,2.789119243621826,0.47440671920776367,0.0,0.0,3.2638182640075684
3,4.322873433430989,4.30599323908488,2.630436658859253,2.577779769897461,0.05626732110977173,0.0,0.0,11.092907587687174,0.0,1.0,0.0,0.0,0.0,0.0,0.23550724637681159,0.2427536231884058,0.23550724637681159,0.213768115942029,0.19927536231884058,0.0,0.0,0.0,0.0,0.8845956722895304,0.8159784277280172,0.3596245050430298,0.268554945786794,2.106269041697184,2.1743528842926025,5.388747215270996,0.0,0.0,0.0,0.0,0.0,2.4327809810638428,0.21621621621621623,0.05228758169934641,0.12037037037037036,0.07265700483091787,0.21621621621621623,0.21621621621621623,0.21621621621621623,,,,,,,0.07265700483091787,7e-05,3.5e-05,0.5,21.772022247314453,28.18359375,2.8133316040039062,0.4719276428222656,0.0,0.0,3.285529136657715
4,3.902639468510946,3.8845913410186768,2.405419031778971,2.2756497065226235,0.06016038109858831,0.0,0.0,10.322171529134115,0.0,1.0,0.0,0.0,0.0,0.0,0.32608695652173914,0.3007246376811594,0.32608695652173914,0.31521739130434784,0.25,0.0,0.0,0.0,0.0,0.8654016455014547,0.8447153369585673,0.35910147428512573,0.26916825771331787,2.0768531958262124,2.1508668263753257,4.970515410105388,0.0,0.0,0.0,0.0,0.0,2.2989661693573,0.24324324324324326,0.06127450980392157,0.1388888888888889,0.08454106280193237,0.24324324324324326,0.24324324324324326,0.24324324324324326,2.232349395751953,0.24324324324324326,0.13043478260869568,,,,0.08454106280193237,7e-05,3.5e-05,0.5,21.772159576416016,28.18359375,3.086472511291504,0.4778735637664795,0.4863109588623047,0.0,4.050947189331055
5,3.7452539602915444,3.710883935292562,2.2341936429341636,2.271831512451172,0.11456673840681712,0.0,0.0,9.801973342895508,0.0,1.0,0.0,0.0,0.0,0.0,0.35507246376811596,0.2971014492753623,0.35507246376811596,0.32971014492753625,0.26811594202898553,0.0,0.0,0.0,0.0,0.8859509229660034,0.7874528964360555,0.35947100321451825,0.26835232973098755,2.0382981300354004,2.1227289835611978,4.761547088623047,0.0,0.0,0.0,0.0,0.0,2.175774097442627,0.35135135135135137,0.3076275576275576,0.2638888888888889,0.25714749837556855,0.35135135135135137,0.35135135135135137,0.35135135135135137,2.1171960830688477,0.40540540540540543,0.32065095398428733,0.3106060606060606,0.26792176792176786,0.019104084321475645,0.25714749837556855,7e-05,3.5e-05,0.5,21.770793914794922,28.18359375,2.730374813079834,0.4721710681915283,0.4794912338256836,0.7325327396392822,4.414873123168945
6,3.846077044804891,3.5855961640675864,2.1861570676167807,2.1529831886291504,0.022072874009609222,0.2538589934508006,0.7976711988449097,9.339129447937012,1.654732346534729,1.0,0.0,1.0,0.05,0.1,0.35507246376811596,0.31521739130434784,0.35507246376811596,0.391304347826087,0.2898550724637681,0.7976711988449097,0.7585694789886475,0.8367729187011719,0.2538589934508006,0.8274800380071005,0.6995562712351481,0.3593783676624298,0.2673197587331136,2.0296622117360434,2.091294209162394,4.3804030418396,0.011500108366211256,0.0,0.008118649634222189,0.012547765237589678,0.21902015308539072,2.033069610595703,0.43243243243243246,0.3875661375661375,0.45370370370370366,0.3982683982683983,0.43243243243243246,0.43243243243243246,0.43243243243243246,1.9728631973266602,0.5135135135135135,0.4725977725977726,,,,0.3982683982683983,7e-05,3.5e-05,0.5,21.771870136260986,28.18359375,2.832566499710083,0.4752190113067627,0.4883756637573242,0.0,3.7964484691619873
7,3.818610986073812,3.3228556315104165,2.004432042439779,2.0283440351486206,0.034889367719491325,0.4852886001269023,0.7778497338294983,9.277620315551758,1.5444279909133911,1.0,0.0,1.0,0.1,0.2,0.37318840579710144,0.40217391304347827,0.37318840579710144,0.36231884057971014,0.35144927536231885,0.7778497338294983,0.7636150121688843,0.7920844554901123,0.4852886001269023,0.7715121905008951,0.7349248131116232,0.35729362567265827,0.26624104380607605,1.9798927704493205,2.0516385237375894,4.166904767354329,0.02286679297685623,0.0,0.015839142724871635,0.024619662513335545,0.41669047872225445,1.8399808406829834,0.4864864864864865,0.4636363636363636,0.49537037037037035,0.45217864923747275,0.4864864864864865,0.4864864864864865,0.4864864864864865,1.7777912616729736,0.5135135135135135,0.46978468154938746,,,,0.45217864923747275,7e-05,3.5e-05,0.5,21.772961139678955,28.18359375,2.7397303581237793,0.4703102111816406,0.4830930233001709,0.0,3.693425416946411
8,3.8412156105041504,3.1318076451619468,1.9403549035390217,1.833004355430603,0.0462518185377121,0.6955324212710062,0.7756621837615967,9.0848175684611,1.5770113468170166,1.0,0.0,1.0,0.15,0.3,0.4963768115942029,0.4601449275362319,0.4963768115942029,0.4746376811594203,0.39492753623188404,0.7756621837615967,0.8034893274307251,0.7478350400924683,0.6955324212710062,0.7913257479667664,0.7309106389681498,0.35569676756858826,0.2652948200702667,1.9685668150583904,2.025000015894572,3.9554731845855713,0.034146891285975776,0.0,0.023622801527380943,0.03644999861717224,0.5933210055033366,1.6301758289337158,0.5405405405405406,0.6851851851851851,0.537037037037037,0.5382275132275133,0.5405405405405406,0.5405405405405406,0.5405405405405406,1.5746809244155884,0.5675675675675675,0.5646825396825397,,,,0.5382275132275133,7e-05,3.5e-05,0.5,21.77309799194336,28.18359375,2.8809726238250732,0.4732193946838379,0.4843137264251709,0.0,3.838806629180908
9,3.894331614176432,3.0147527058919272,1.8630842765172322,1.7717976570129395,0.02004772921403249,0.8735645214716593,0.8282958269119263,9.268137296040853,1.55845046043396,1.0,0.0,1.0,0.2,0.4,0.5036231884057971,0.4855072463768116,0.5036231884057971,0.4927536231884058,0.4963768115942029,0.8282958269119263,0.8015132546424866,0.8550783395767212,0.8735645214716593,0.7994375030199686,0.6695109804471334,0.3514763315518697,0.2632397909959157,1.904021938641866,1.9764212767283122,3.701972325642904,0.04498897244532903,0.0,0.030464352418979008,0.047434110194444656,0.7403944532076517,1.4532535076141357,0.6216216216216216,0.7358024691358024,0.611111111111111,0.6148148148148149,0.6216216216216216,0.6216216216216216,0.6216216216216216,1.4111489057540894,0.6486486486486487,0.6359788359788361,,,,0.6148148148148149,7e-05,3.5e-05,0.5,21.771732330322266,28.18359375,2.7957096099853516,0.4781785011291504,0.4788222312927246,0.0,3.752997398376465
10,3.933006922403971,2.846842050552368,1.8253458738327026,1.5715325673421223,0.06254151587684949,1.0674025217692058,0.7960830926895142,8.890998840332031,1.5393187999725342,1.0,0.0,1.0,0.25,0.5,0.6014492753623188,0.4891304347826087,0.6014492753623188,0.572463768115942,0.43478260869565216,0.7960830926895142,0.7982727289199829,0.7938934564590454,1.0674025217692058,0.8263293902079264,0.6793089509010315,0.34787148237228394,0.26158108313878375,1.918880025545756,1.963217814763387,3.6051783561706543,0.05565943568944931,0.0,0.038377600411574044,0.05889653290311495,0.9012945890426636,1.3038151264190674,0.7297297297297297,0.8166666666666667,0.7962962962962963,0.7774571107904441,0.7297297297297297,0.7297297297297297,0.7297297297297297,1.2725098133087158,0.8108108108108109,0.8596686537863008,0.7954545454545454,0.8483779200592886,-0.2229907773386034,0.7774571107904441,7e-05,3.5e-05,0.5,21.771870136260986,28.18359375,3.185640335083008,0.4724404811859131,0.4836463928222656,0.7275915145874023,4.869629383087158
11,3.932955582936605,2.74727455774943,1.6907151142756145,1.6254760026931763,0.05800033609072367,1.1682809193929036,0.854588508605957,8.486509958902994,1.6081444025039673,1.0,0.0,1.0,0.3,0.6,0.572463768115942,0.5289855072463768,0.572463768115942,0.5434782608695652,0.5362318840579711,0.854588508605957,0.8335545063018799,0.8756225109100342,1.1682809193929036,0.8127647240956625,0.710252563158671,0.344978670279185,0.26084505518277484,1.9167389074961345,1.933756947517395,3.234787623087565,0.06623590489228566,0.0,0.04600173359115919,0.06961524734894435,0.9704363346099854,1.1712802648544312,0.7837837837837838,0.843939393939394,0.837962962962963,0.817164244615225,0.7837837837837838,0.7837837837837838,0.7837837837837838,1.1446324586868286,0.8378378378378378,0.8638447971781305,,,,0.817164244615225,7e-05,3.5e-05,0.5,21.772961139678955,28.18359375,2.9688799381256104,0.4788680076599121,0.47585225105285645,0.0,3.9238827228546143
12,3.953059514363607,2.5456164677937827,1.5742623408635457,1.4943910042444866,0.05347969631354014,1.3913991451263428,0.7879636287689209,9.121682167053223,1.4154661893844604,1.0,0.0,1.0,0.35,0.7,0.6485507246376812,0.605072463768116,0.6485507246376812,0.6159420289855072,0.6340579710144928,0.7879636287689209,0.8065422773361206,0.7693849205970764,1.3913991451263428,0.8296872774759928,0.7517540454864502,0.3418218195438385,0.25918882091840106,1.8516173362731934,1.9026403824488323,3.3248635133107505,0.07656809190909068,0.0,0.05184528728326162,0.07991089671850204,1.1637022097905476,1.0865732431411743,0.8918918918918919,0.9222222222222223,0.9120370370370371,0.9013628346961681,0.8918918918918919,0.8918918918918919,0.8918918918918919,1.0648348331451416,0.918918918918919,0.9298528631861964,,,,0.9013628346961681,7e-05,3.5e-05,0.5,21.77309799194336,28.18359375,3.2195229530334473,0.4793095588684082,0.4649984836578369,0.0,4.164119720458984
13,3.950258811314901,2.4633551438649497,1.4801438649495442,1.5126327673594158,0.03508317843079567,1.4763787587483723,0.8468451499938965,8.990757624308268,1.555881381034851,1.0,0.0,1.0,0.4,0.8,0.6195652173913043,0.6485507246376812,0.6195652173913043,0.5978260869565217,0.6123188405797102,0.8468451499938965,0.7879570722579956,0.9057332873344421,1.4763787587483723,0.82403697570165,0.6992416183153788,0.33780912558237713,0.25804170966148376,1.8446138699849446,1.879191279411316,3.0483620961507163,0.0864791398247083,0.0,0.05902764697869619,0.09020118167002995,1.2193448543548584,1.0473147630691528,0.8918918918918919,0.9407407407407408,0.9120370370370371,0.9108866442199776,0.8918918918918919,0.8918918918918919,0.8918918918918919,1.0245009660720825,0.9459459459459459,0.9615988949322283,,,,0.9108866442199776,7e-05,3.5e-05,0.5,21.771732330322266,28.18359375,2.96014142036438,0.48047447204589844,0.4896531105041504,0.0,3.9305481910705566
14,4.019129037857056,2.390786329905192,1.4900533358256023,1.3857431014378865,0.046568709115187325,1.6143722534179688,0.8353338241577148,9.52959124247233,1.569301962852478,1.0,0.0,1.0,0.45,0.9,0.7028985507246377,0.6485507246376812,0.7028985507246377,0.6594202898550725,0.6376811594202898,0.8353338241577148,0.7627856731414795,0.9078819751739502,1.6143722534179688,0.81000288327535,0.6815354029337565,0.3349296748638153,0.2573842406272888,1.795024832089742,1.826393961906433,2.9581658045450845,0.09645974387725194,0.0,0.06462088972330093,0.09862527747948964,1.3311745723088582,0.99843829870224,0.8648648648648649,0.8999999999999999,0.8842592592592592,0.8593875260541928,0.8648648648648649,0.8648648648648649,0.8648648648648649,,,,,,,0.8593875260541928,7e-05,3.5e-05,0.5,21.771870136260986,28.18359375,3.1222035884857178,0.47599339485168457,0.0,0.0,3.5984890460968018
15,4.031145016352336,2.3328804175059,1.4399198691050212,1.3737855752309163,0.06389907623330753,1.679094910621643,0.8589746952056885,10.51003615061442,1.5994538068771362,1.0,0.0,1.0,0.5,1.0,0.7028985507246377,0.6594202898550725,0.7028985507246377,0.6702898550724637,0.6739130434782609,0.8589746952056885,0.8559918403625488,0.8619576096534729,1.679094910621643,0.8020923336346945,0.712725818157196,0.33008334040641785,0.2565510670344035,1.8056989113489788,1.8152753512064617,2.731628894805908,0.10562666753927867,0.0,0.07222795734802882,0.10891651858886083,1.365814447402954,0.9377249479293823,0.918918918918919,0.9277777777777777,0.9398148148148149,0.9260541927208593,0.918918918918919,0.918918918918919,0.918918918918919,0.92335045337677,0.918918918918919,0.9260541927208593,0.9318181818181818,0.94241562304192,-0.261528326745718,0.9260541927208593,7e-05,3.5e-05,0.5,21.772961139678955,28.18359375,2.9740028381347656,0.4722440242767334,0.4790382385253906,0.7250237464904785,4.650563478469849
