epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.284817616144816,5.285783847173055,3.1517770687739053,3.283087650934855,-0.0032208592941363654,0.0,0.0,14.629359086354574,0.0,1.0,0.0,0.0,0.0,0.0,0.09782608695652174,0.1105072463768116,0.09782608695652174,0.10326086956521739,0.12681159420289856,0.0,0.0,0.0,0.0,1.8692060510317485,0.9769269526004791,0.34611664215723675,0.2599894603093465,2.184370994567871,2.216654102007548,6.409417788187663,0.0,0.0,0.0,0.0,0.0,2.680905818939209,0.13636363636363635,0.024691358024691357,0.08333333333333333,0.0380952380952381,0.13636363636363635,0.13636363636363635,0.13636363636363635,2.6986613273620605,0.11363636363636363,0.06038647342995169,0.11439842209072978,0.06773105368610986,-0.011137552525512392,0.0380952380952381,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,3.590543508529663,0.6016836166381836,0.6511001586914062,0.8717410564422607,5.71539568901062
2,4.319237232208252,4.332144419352214,2.5250291426976523,2.7801774740219116,-0.04302371533898016,0.0,0.0,11.815649032592773,0.0,1.0,0.0,0.0,0.0,0.0,0.14492753623188406,0.24094202898550723,0.14492753623188406,0.16485507246376813,0.22282608695652173,0.0,0.0,0.0,0.0,1.9094549814860027,0.9260682264963785,0.34594763318697613,0.2606406857570012,2.1502811113993325,2.2103613217671714,5.4222768147786455,0.0,0.0,0.0,0.0,0.0,2.529248595237732,0.15151515151515152,0.0923294646412926,0.1152557319223986,0.08000563677718259,0.15151515151515152,0.15151515151515152,0.15151515151515152,2.5502127408981323,0.16666666666666666,0.11966479263100038,,,,0.08000563677718259,7e-05,3.5e-05,0.5,21.772159576416016,28.18359375,3.046666383743286,0.6019630432128906,0.6103661060333252,0.0,4.259276390075684
3,3.959391633669535,3.9805554946263633,2.24747896194458,2.6662716468175254,-0.07054633181542158,0.0,0.0,10.365043481191,0.0,1.0,0.0,0.0,0.0,0.0,0.19021739130434784,0.34057971014492755,0.19021739130434784,0.1956521739130435,0.32065217391304346,0.0,0.0,0.0,0.0,1.8880213101704915,0.9785877565542856,0.3469368169705073,0.26122259100278217,2.1491490602493286,2.1922020514806113,4.9583390553792315,0.0,0.0,0.0,0.0,0.0,2.323410987854004,0.20454545454545456,0.16204340321987382,0.1835537918871252,0.13765491884135952,0.20454545454545456,0.20454545454545456,0.20454545454545456,2.3544862270355225,0.17424242424242425,0.10674674674674674,,,,0.13765491884135952,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,3.045510768890381,0.6046857833862305,0.6186702251434326,0.0,4.269150972366333
4,3.664853811264038,3.681475520133972,2.0863069693247476,2.454105536142985,-0.055405670776963234,0.0,0.0,9.521564642588297,0.0,1.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.3822463768115942,0.2608695652173913,0.2572463768115942,0.34057971014492755,0.0,0.0,0.0,0.0,1.885590394337972,1.0095915993054707,0.3488784631093343,0.26109540462493896,2.114729364713033,2.1744585037231445,4.676672299702962,0.0,0.0,0.0,0.0,0.0,2.154968500137329,0.3181818181818182,0.21766160570508397,0.2686236602903269,0.2104480955592014,0.3181818181818182,0.3181818181818182,0.3181818181818182,2.172068953514099,0.2878787878787879,0.22717364905889495,,,,0.2104480955592014,7e-05,3.5e-05,0.5,21.772159576416016,28.18359375,3.219975233078003,0.608489990234375,0.6087527275085449,0.0,4.437488555908203
5,3.415694991747538,3.439982255299886,1.9320961634318035,2.3198248147964478,-0.08095759836335976,0.0,0.0,8.843112309773764,0.0,1.0,0.0,0.0,0.0,0.0,0.2753623188405797,0.4329710144927536,0.2753623188405797,0.25181159420289856,0.391304347826087,0.0,0.0,0.0,0.0,1.8491025964419048,1.0343960225582123,0.3487362116575241,0.26176509261131287,2.1221134265263877,2.1621564626693726,4.317448139190674,0.0,0.0,0.0,0.0,0.0,2.00246661901474,0.3712121212121212,0.4933418433418433,0.36151811151811153,0.3409143655221493,0.3712121212121212,0.3712121212121212,0.3712121212121212,2.0125675201416016,0.36363636363636365,0.29062745078196284,0.4358974358974359,0.41691072716080335,-0.18408584169453734,0.3409143655221493,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,3.223101854324341,0.6023542881011963,0.6135990619659424,0.8505778312683105,5.28995943069458
6,3.4554911851882935,3.2275905211766562,1.800477385520935,2.195558786392212,-0.06368993564198415,0.24700769037008286,0.9673587679862976,8.637584845225016,1.8989028533299763,1.0,0.0,3.0,0.05,0.1,0.35507246376811596,0.5072463768115942,0.35507246376811596,0.27898550724637683,0.483695652173913,0.9673587679862976,1.0990981260935466,0.8356193900108337,0.24700769037008286,1.775053600470225,1.011850893497467,0.3467643956343333,0.26096293826897937,2.1202402114868164,2.144170880317688,4.1937631368637085,0.011096461365620295,0.0,0.008480961124102274,0.01286502555012703,0.20968815932671228,1.900795042514801,0.45454545454545453,0.680267588162325,0.4764177180843847,0.4695338263019129,0.45454545454545453,0.45454545454545453,0.45454545454545453,1.9129142761230469,0.3712121212121212,0.3513727013727014,,,,0.4695338263019129,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,2.9617974758148193,0.6093549728393555,0.6135649681091309,0.0,4.185001611709595
7,3.531512896219889,3.094369371732076,1.725790838400523,2.105505426724752,-0.07436661422252655,0.4594535281260808,0.9405074715614319,8.877549807230631,1.8317865133285522,1.0,0.0,3.0,0.1,0.2,0.39492753623188404,0.5543478260869565,0.39492753623188404,0.34601449275362317,0.5054347826086957,0.9405074715614319,1.085605502128601,0.7954094608624777,0.4594535281260808,1.7479340235392253,1.0100810031096141,0.3404061645269394,0.260137602686882,2.0942676067352295,2.1329142649968467,3.856653650601705,0.021785995302100975,0.0,0.01675414169828097,0.025594971763590973,0.385665367046992,1.7811911702156067,0.4772727272727273,0.6955013066855172,0.5074447157780491,0.5013755570445283,0.4772727272727273,0.4772727272727273,0.4772727272727273,1.798066258430481,0.44696969696969696,0.46605323230037193,,,,0.5013755570445283,7e-05,3.5e-05,0.5,21.771870136260986,28.18359375,3.1462531089782715,0.6089589595794678,0.6084403991699219,0.0,4.363938331604004
8,3.5410163402557373,2.8954639037450156,1.6035298903783162,1.9875909090042114,-0.07363603869453073,0.6676432887713114,0.9382675687472025,9.125367800394693,1.8424824873606365,1.0,0.0,3.0,0.15,0.3,0.4076086956521739,0.5996376811594203,0.4076086956521739,0.4148550724637681,0.5579710144927537,0.9382675687472025,1.0270448724428813,0.8494903047879537,0.6676432887713114,1.804852823416392,1.0473628640174866,0.33128686745961505,0.2584647585948308,2.0745186805725098,2.0955466826756797,3.721676786740621,0.03180353964368502,0.0,0.024894223858912785,0.037719838321208954,0.5582515498002371,1.6466094851493835,0.5757575757575758,0.7404008596991053,0.6493047076380409,0.6345276927713931,0.5757575757575758,0.5757575757575758,0.5757575757575758,1.6595106720924377,0.5378787878787878,0.5676448058329591,,,,0.6345276927713931,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,3.3531720638275146,0.6057322025299072,0.6103520393371582,0.0,4.569551706314087
9,3.6045964558919272,2.8064313729604087,1.5886033177375793,1.8735817273457844,-0.166090818742911,0.8479922910531362,0.9262358546257019,9.498858769734701,1.7569315830866497,1.0,0.0,3.0,0.2,0.4,0.4583333333333333,0.592391304347826,0.4583333333333333,0.4492753623188406,0.5905797101449275,0.9262358546257019,1.0208199421564739,0.83165176709493,0.8479922910531362,1.7447110215822856,1.0667004982630413,0.3238020787636439,0.2567364424467087,2.0343814492225647,2.068468928337097,3.523361921310425,0.04144666778544585,0.0,0.03255010520418485,0.049643254528443016,0.7046723961830139,1.5605238676071167,0.5757575757575758,0.7092999592999593,0.6396180979514312,0.6176770624738104,0.5757575757575758,0.5757575757575758,0.5757575757575758,,,,,,,0.6176770624738104,7e-05,3.5e-05,0.5,21.771870136260986,28.18359375,3.215327262878418,0.6122121810913086,0.0,0.0,3.82783842086792
10,3.657549182573954,2.700735251108805,1.495857834815979,1.8536576231320698,-0.1452582577864329,1.0003914137681325,0.8984001477559408,10.66753657658895,1.729386528333028,1.0,0.0,3.0,0.25,0.5,0.463768115942029,0.6539855072463768,0.463768115942029,0.4855072463768116,0.6231884057971014,0.8984001477559408,0.9880018631617228,0.8087984522183737,1.0003914137681325,1.777497390906016,1.033235063155492,0.31633785367012024,0.2549363672733307,1.9876635670661926,2.0314594507217407,3.2979455391565957,0.05061405524611473,0.0,0.03975327064593633,0.06094378170867761,0.8244863847891489,1.446397840976715,0.6666666666666666,0.8003756274589608,0.7237552570885906,0.7052198888308093,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.4706506133079529,0.6666666666666666,0.7120992972974837,0.650887573964497,0.7033801487623719,-0.16538032758768545,0.7052198888308093,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,3.2086822986602783,0.6047055721282959,0.6147665977478027,0.8464357852935791,5.2748658657073975
11,3.6987123489379883,2.5716310342152915,1.4477081100145976,1.7291123072306316,-0.14343545710047087,1.1701119939486186,0.8925743500391642,10.57781982421875,1.698390285174052,1.0,0.0,3.0,0.3,0.6,0.5271739130434783,0.6757246376811594,0.5271739130434783,0.5543478260869565,0.6630434782608695,0.8925743500391642,0.9910089572270712,0.7941397229830424,1.1701119939486186,1.7892556587855022,0.9995579421520233,0.31098248561223346,0.25213011105855304,1.9565210938453674,1.989990472793579,3.208415389060974,0.05970863811671734,0.0,0.04695650624732176,0.07163965453704198,0.9625246524810791,1.4285688400268555,0.6515151515151515,0.8135273368606701,0.7086080586080588,0.7023914290549134,0.6515151515151515,0.6515151515151515,0.6515151515151515,,,,,,,0.7023914290549134,7e-05,3.5e-05,0.5,21.771870136260986,28.18359375,3.002624273300171,0.6135203838348389,0.0,0.0,3.6164350509643555
12,3.6390761931737265,2.397343158721924,1.337139407793681,1.6310827334721882,-0.144920880595843,1.2852093577384949,0.8189291755358378,10.804540793100992,1.640490214029948,1.0,0.0,3.0,0.35,0.7,0.5905797101449275,0.717391304347826,0.5905797101449275,0.5597826086956522,0.7047101449275363,0.8189291755358378,0.9042256871859232,0.7336326837539673,1.2852093577384949,1.676037847995758,1.02644681930542,0.3048199911912282,0.2508494108915329,1.9453872044881184,1.9579923351605732,2.991764942804972,0.06827968110640843,0.0,0.05447084394594034,0.08223567654689153,1.0471177001794179,1.4524114727973938,0.6515151515151515,0.8186047586047587,0.7226088726088727,0.6917081722050665,0.6515151515151515,0.6515151515151515,0.6515151515151515,,,,,,,0.6917081722050665,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,3.260906934738159,0.6103248596191406,0.0,0.0,3.871464252471924
