epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.5016984939575195,5.474371910095215,2.9540878704616,2.9650399003710066,0.09108871966600418,0.0,0.0,16.06857463291713,0.0,1.0,0.0,0.0,0.0,0.0,0.14440993788819875,0.13043478260869565,0.14440993788819875,0.13354037267080746,0.14906832298136646,0.0,0.0,0.0,0.0,0.9550035170146397,0.32884542856897625,0.36705812386104036,0.2704093967165266,2.0444298131125316,2.09487898009164,5.926416397094727,0.0,0.0,0.0,0.0,0.0,2.3581202030181885,0.25833333333333336,0.11243796526054592,0.13704588094832,0.12037991939307728,0.25833333333333336,0.25833333333333336,0.25833333333333336,2.321130394935608,0.24166666666666667,0.13400842793257653,0.3010752688172043,0.14861306520673098,-0.16753489614639686,0.12037991939307728,0.00013,3.5e-05,0.2692307692307692,21.770931243896484,28.18359375,4.950828552246094,0.6098859310150146,0.6224260330200195,0.9011387825012207,7.084562301635742
2,3.7063638823372975,3.69206098147801,2.023144466536386,1.9634312220982142,0.04767627056155886,0.0,0.0,10.849288395472936,0.0,1.0,0.0,0.0,0.0,0.0,0.3695652173913043,0.34627329192546585,0.3695652173913043,0.35093167701863354,0.31211180124223603,0.0,0.0,0.0,0.0,0.9851516740662711,0.3259505501815251,0.3705369361809322,0.27363288402557373,1.9907492228916712,2.049435888017927,4.106003897530692,0.0,0.0,0.0,0.0,0.0,2.555418372154236,0.11666666666666667,0.10444793301936159,0.24657012195121952,0.0596722754074838,0.11666666666666667,0.11666666666666667,0.11666666666666667,,,,,,,0.0596722754074838,0.00013,3.5e-05,0.2692307692307692,21.772159576416016,28.18359375,3.7887654304504395,0.6125326156616211,0.0,0.0,4.4015772342681885
3,2.90577837399074,2.915044512067522,1.5855764491217477,1.564079999923706,-0.03088700505239623,0.0,0.0,9.718153544834681,0.0,1.0,0.0,0.0,0.0,0.0,0.5481366459627329,0.515527950310559,0.5481366459627329,0.5232919254658385,0.5062111801242236,0.0,0.0,0.0,0.0,0.8982207689966474,0.30450476493154255,0.3720025420188904,0.2744795935494559,1.8937170335224696,1.9659932681492396,3.243774482182094,0.0,0.0,0.0,0.0,0.0,2.641873836517334,0.09166666666666666,0.02446493945367502,0.25,0.04350117096018735,0.09166666666666666,0.09166666666666666,0.09166666666666666,,,,,,,0.04350117096018735,0.00013,3.5e-05,0.2692307692307692,21.772022247314453,28.18359375,3.882539987564087,0.6176419258117676,0.0,0.0,4.500402450561523
4,2.3292717252458846,2.345979690551758,1.3030703919274467,1.226952110018049,-0.05569310912064144,0.0,0.0,8.741309029715401,0.0,1.0,0.0,0.0,0.0,0.125,0.6661490683229814,0.6692546583850931,0.6661490683229814,0.6785714285714286,0.6444099378881988,0.0,0.0,0.0,0.0,0.8825090612683978,0.2936876288482121,0.36934361287525724,0.27286687919071745,1.8284169435501099,1.8919679607663835,2.57066661970956,0.0,0.0,0.0,0.0,0.0,2.101220726966858,0.15833333333333333,0.31800213675213673,0.3152604718981972,0.18081583888035502,0.15833333333333333,0.15833333333333333,0.15833333333333333,2.1862974166870117,0.13333333333333333,0.15959821428571427,,,,0.18081583888035502,0.00013,3.5e-05,0.2692307692307692,21.772159576416016,28.18359375,3.5540578365325928,0.6160216331481934,0.6146175861358643,0.0,4.784930467605591
5,1.982519234929766,2.0080925737108504,1.1162081616265433,1.0492757303374154,-0.08524458908608981,0.0,0.0,8.222433090209961,0.0,1.0,0.0,0.0,0.0,0.25,0.7437888198757764,0.7282608695652174,0.7437888198757764,0.7282608695652174,0.7360248447204969,0.0,0.0,0.0,0.0,0.9133570109094892,0.3247558517115457,0.36839241215160917,0.2725501911980765,1.7591453279767717,1.808583038193839,2.229867935180664,0.0,0.0,0.0,0.0,0.0,1.204008400440216,0.5833333333333334,0.7216228803614388,0.7517263522532611,0.6345712933147283,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.1772630214691162,0.6166666666666667,0.6591456710382542,0.5956989247311828,0.6409693122221766,0.1325619448340346,0.6345712933147283,0.00013,3.5e-05,0.2692307692307692,21.772159576416016,28.18359375,3.9358553886413574,0.6145596504211426,0.6267445087432861,0.8915402889251709,6.0690178871154785
6,1.6396789721080236,1.6812582186290197,0.9446330836841038,0.8666177647454398,-0.14568369729178293,0.002125891490972468,1.0015554428100586,8.04094580241612,1.771653175354004,1.0,0.0,7.0,0.05,0.375,0.8338509316770186,0.8354037267080745,0.8338509316770186,0.7950310559006211,0.7919254658385093,1.0015554428100586,0.8702259915215629,1.132884877068656,0.002125891490972468,0.8923674396106175,0.32242765171187265,0.36981359124183655,0.2733532701219831,1.6934534311294556,1.715759379523141,1.9127554041998727,0.0,0.0,0.0,0.0,0.0,1.0927359461784363,0.725,0.720148149839646,0.8290713130983545,0.697464514890144,0.725,0.725,0.7250000000000001,1.1026884317398071,0.7583333333333333,0.7261851862301155,,,,0.697464514890144,0.00013,3.5e-05,0.2692307692307692,21.772114276885986,28.18359375,3.9859530925750732,0.7690670490264893,0.629755973815918,0.0,5.3850486278533936
7,1.4645935978208269,1.504679730960301,0.8158004369054522,0.8104462027549744,-0.1455888066973005,0.0035905089961098774,1.044439707483564,7.242374556405204,1.7179013660975866,1.0,0.0,7.0,0.1,0.5,0.8540372670807453,0.8571428571428571,0.8540372670807453,0.8245341614906833,0.8307453416149069,1.044439707483564,0.9186039226395744,1.1702754838126046,0.0035905089961098774,0.7509713258062091,0.27488837923322407,0.3737319622720991,0.2749805748462677,1.6315693003790719,1.664899366242545,1.7682176998683385,0.0,0.0,0.0,0.0,0.0,1.2370936274528503,0.575,0.7590780929596719,0.750314124502221,0.659906967172834,0.575,0.575,0.575,,,,,,,0.659906967172834,0.00013,3.5e-05,0.2692307692307692,21.773098468780518,28.18359375,4.1143858432769775,0.6121485233306885,0.0,0.0,4.726809501647949
8,1.2812872954777308,1.311110189982823,0.7199244499206543,0.6955126353672573,-0.11546794857297625,0.004817468912473747,1.1046860728945052,6.303691864013672,1.689743161201477,1.0,0.0,7.0,0.15,0.625,0.8975155279503105,0.9021739130434783,0.8975155279503105,0.8757763975155279,0.8944099378881988,1.1046860728945052,0.9938954200063433,1.215476700237819,0.004817468912473747,0.6638565063476562,0.2537566125392914,0.3801118390900748,0.28180842314447674,1.6186393669673376,1.5948852811540877,1.5298603773117065,0.0,0.0,0.0,0.0,0.0,0.9809189438819885,0.7666666666666667,0.7496084797555386,0.8494695919139186,0.7443157863827999,0.7666666666666667,0.7666666666666667,0.7666666666666667,1.0189712345600128,0.7833333333333333,0.7476108607902087,,,,0.7443157863827999,0.00013,3.5e-05,0.2692307692307692,21.772907733917236,28.18359375,3.668133497238159,0.6125345230102539,0.632035493850708,0.0,4.912925958633423
9,1.187930873462132,1.2268135717936925,0.6529445477894374,0.6751399891717094,-0.14840520599058696,0.005638834222086838,1.1342195953641618,6.025166920253208,1.6545826877866472,0.8571428571428571,0.0,7.0,0.2,0.75,0.8990683229813664,0.9161490683229814,0.8990683229813664,0.9083850931677019,0.9316770186335404,1.1342195953641618,1.0482174839292253,1.220221723828997,0.005638834222086838,0.5604190698691777,0.24512864649295807,0.39061250005449566,0.29127571412495207,1.531062126159668,1.5274546657289778,1.3867927619389124,0.0,0.0,0.0,0.0,0.0,0.8279469609260559,0.8,0.7583004385964912,0.8766328448857611,0.7816654495293734,0.8,0.8,0.8000000000000002,0.8198559284210205,0.8083333333333333,0.7765376984126984,,,,0.7816654495293734,0.00013,3.5e-05,0.2692307692307692,21.773098468780518,28.18359375,4.082305908203125,0.6157796382904053,0.6252076625823975,0.0,5.323570489883423
10,1.0409783465521676,1.0792877674102783,0.5907537766865322,0.5747458764484951,-0.14907984222684587,0.006414567652557578,1.1639116321291243,5.118811743600028,1.659891196659633,0.7142857142857143,0.0,7.0,0.25,0.875,0.9611801242236024,0.9425465838509317,0.9611801242236024,0.937888198757764,0.9301242236024845,1.1639116321291243,1.0684835740498133,1.259339690208435,0.006414567652557578,0.5203423798084259,0.21275106285299575,0.40514140469687326,0.3029724104063852,1.5153335162571497,1.4723951135362898,1.2865989889417375,0.0,0.0,0.0,0.0,0.0,0.9782860279083252,0.75,0.7480269529182573,0.8618579855987066,0.7654665685272825,0.75,0.75,0.75,0.9726163148880005,0.775,0.7670862204530936,0.8193548387096774,0.8221544010010817,0.11853336004808657,0.7654665685272825,0.00013,3.5e-05,0.2692307692307692,21.772961139678955,28.18359375,3.4569036960601807,0.6108143329620361,0.617915153503418,0.8786277770996094,5.564586639404297
