run_dir,run,variant,domain,iteration,seed,metrics_path,epochs,best_epoch,best_val_acc,best_val_precision,best_val_recall,best_val_f1,best_train_full_acc,generalization_gap,feature_embeddings,result_path,best_train_dual_d_prototype_contrastive,best_train_dual_d_identity,best_train_dual_d_adv_primary,best_train_dual_d_cycle,best_train_dual_d_generator_total,best_train_acc_target_like,best_train_acc_source_like,best_train_dual_d_contrastive,best_train_dual_d_classification_feedback,best_train_dual_d_adv_auxiliary
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_逆光_20260828_191632,module_c_full_逆光_20260828_191632/metrics_iter01,full,逆光,1,45,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_逆光_20260828_191632\metrics_iter01.csv,60,57.0,0.972972972972973,0.9777777777777779,0.9814814814814815,0.9775533108866442,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_逆光_20260828_191632\feature_embeddings_iter01.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_逆光_20260828_191632\result_summary_iter01.json,1.4878652095794678,0.24773097783327103,0.913808137178421,0.3039897680282593,1.1984272599220276,0.875,0.8532608695652174,1.51548171043396,2.2922857999801636,0.9833136200904846
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_逆光_20260828_191632,module_c_full_逆光_20260828_191632/metrics_iter02,full,逆光,2,46,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_逆光_20260828_191632\metrics_iter02.csv,42,27.0,0.918918918918919,0.9341269841269842,0.9398148148148149,0.9298528631861964,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_逆光_20260828_191632\feature_embeddings_iter02.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_逆光_20260828_191632\result_summary_iter02.json,1.7716082334518433,0.2544150650501251,0.8875266313552856,0.31861312687397003,1.5462480783462524,0.6739130434782609,0.6086956521739131,1.7497128248214722,3.0475815534591675,1.4305808544158936
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_逆光_20260828_191632,module_c_full_逆光_20260828_191632/metrics_iter03,full,逆光,3,47,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_逆光_20260828_191632\metrics_iter03.csv,50,35.0,0.9459459459459459,0.961904761904762,0.9675925925925927,0.9615988949322283,0.9696969696969697,0.02375102375102378,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_逆光_20260828_191632\feature_embeddings_iter03.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_逆光_20260828_191632\result_summary_iter03.json,1.630900502204895,0.24815955758094788,0.7642870247364044,0.3136845976114273,1.3384861946105957,0.7771739130434783,0.7445652173913043,1.613789439201355,2.6313459873199463,0.6890164911746979
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_雨天_20260828_191632,module_c_full_雨天_20260828_191632/metrics_iter01,full,雨天,1,48,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_雨天_20260828_191632\metrics_iter01.csv,60,47.0,0.9615384615384616,0.9666666666666667,0.9791666666666666,0.9703703703703704,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_雨天_20260828_191632\feature_embeddings_iter01.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_雨天_20260828_191632\result_summary_iter01.json,0.9359999299049377,0.23419047892093658,1.0638667941093445,0.2731657177209854,1.2840503454208374,0.9619565217391305,0.9945652173913043,1.0044872760772705,1.6575352549552917,0.5656754076480865
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_雨天_20260828_191632,module_c_full_雨天_20260828_191632/metrics_iter02,full,雨天,2,49,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_雨天_20260828_191632\metrics_iter02.csv,54,39.0,0.6538461538461539,0.6226851851851851,0.7999999999999999,0.678917378917379,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_雨天_20260828_191632\feature_embeddings_iter02.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_雨天_20260828_191632\result_summary_iter02.json,1.2353140115737915,0.24391034245491028,0.556778073310852,0.3135884702205658,1.5123885869979858,0.9021739130434783,0.9293478260869565,1.2766067385673523,1.9731190204620361,0.7305285930633545
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_雨天_20260828_191632,module_c_full_雨天_20260828_191632/metrics_iter03,full,雨天,3,50,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_雨天_20260828_191632\metrics_iter03.csv,54,39.0,0.5769230769230769,0.580026455026455,0.7333333333333333,0.6025641025641025,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_雨天_20260828_191632\feature_embeddings_iter03.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_雨天_20260828_191632\result_summary_iter03.json,1.2713981866836548,0.24691708385944366,1.088854193687439,0.32166193425655365,1.5386046171188354,0.8804347826086957,0.9184782608695652,1.3049545288085938,1.9758397340774536,0.8502470254898071
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_黑天_20260828_191632,module_c_full_黑天_20260828_191632/metrics_iter01,full,黑天,1,42,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_黑天_20260828_191632\metrics_iter01.csv,48,30.0,0.9583333333333334,0.9515086206896551,0.955666615992703,0.9482646008961798,0.9634408602150538,0.005107526881720448,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_黑天_20260828_191632\feature_embeddings_iter01.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_黑天_20260828_191632\result_summary_iter01.json,0.8791013658046722,0.21923177689313889,0.39437895516554516,0.2379757488767306,1.0216203133265178,0.9873188405797102,0.9818840579710145,0.9972592989603678,1.6254472533861797,0.4383748968442281
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_黑天_20260828_191632,module_c_full_黑天_20260828_191632/metrics_iter02,full,黑天,2,43,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_黑天_20260828_191632\metrics_iter02.csv,60,47.0,0.9333333333333333,0.8751948051948052,0.9471473648302917,0.901725980956249,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_黑天_20260828_191632\feature_embeddings_iter02.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_黑天_20260828_191632\result_summary_iter02.json,0.6371062298615774,0.22452266017595926,0.47661878168582916,0.2044244334101677,0.9544243017832438,0.9963768115942029,0.9963768115942029,0.770569235086441,1.563347299893697,0.29651207228501636
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_黑天_20260828_191632,module_c_full_黑天_20260828_191632/metrics_iter03,full,黑天,3,44,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_黑天_20260828_191632\metrics_iter03.csv,60,48.0,0.9666666666666667,0.9539262820512822,0.9676573426573427,0.9573678980593874,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_黑天_20260828_191632\feature_embeddings_iter03.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_黑天_20260828_191632\result_summary_iter03.json,0.7768945097923279,0.22482183078924814,0.43283548454443616,0.21883374204238257,0.9813527961572012,0.9945652173913043,0.9873188405797102,0.8935754001140594,1.575310508410136,0.4263920436302821
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_逆光_20260828_222304,module_c_no_classification_feedback_逆光_20260828_222304/metrics_iter01,no_classification_feedback,逆光,1,45,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_逆光_20260828_222304\metrics_iter01.csv,60,57.0,0.972972972972973,0.9777777777777779,0.9814814814814815,0.9775533108866442,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_逆光_20260828_222304\feature_embeddings_iter01.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_逆光_20260828_222304\result_summary_iter01.json,1.4948537349700928,0.25276979804039,0.6004530489444733,0.20466695725917816,0.192951001226902,0.875,0.842391304347826,1.5252888798713684,2.3383830785751343,0.6449460387229919
