epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.501550753911336,5.440644820531209,3.2676158348719277,3.3431216875712075,0.20302012749016285,0.0,0.0,15.396599451700846,0.0,1.0,0.0,0.0,0.0,0.0,0.09420289855072464,0.10507246376811594,0.09420289855072464,0.10869565217391304,0.10507246376811594,0.0,0.0,0.0,0.0,0.912187268336614,0.3629646400610606,0.36605361600716907,0.2689787894487381,2.0550352533658347,2.100779175758362,6.648205121358235,0.0,0.0,0.0,0.0,0.0,2.9324536323547363,0.025,0.004629629629629629,0.03409090909090909,0.008152173913043478,0.025,0.025,0.025000000000000005,2.8800028562545776,0.041666666666666664,0.015243902439024392,0.060215053763440864,0.0232567923175658,0.04848059841047218,0.008152173913043478,0.008152173913043478,1,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,4.541381359100342,0.5466110706329346,0.581472635269165,0.8083596229553223,6.478121519088745
2,4.464094718297322,4.386338233947754,2.6363612016042075,2.692272424697876,0.25918849060932797,0.0,0.0,11.988322575887045,0.0,1.0,0.0,0.0,0.0,0.0,0.19384057971014493,0.20108695652173914,0.19384057971014493,0.16847826086956522,0.17753623188405798,0.0,0.0,0.0,0.0,0.979775607585907,0.3348080317179362,0.3691103706757228,0.2705320318539937,2.0427648623784385,2.1005857388178506,5.435670057932536,0.0,0.0,0.0,0.0,0.0,2.42508602142334,0.21666666666666667,0.13447065940713854,0.12078660668599694,0.11906725482674851,0.21666666666666667,0.21666666666666667,0.21666666666666667,2.3675665855407715,0.23333333333333334,0.1694057694057694,,,,0.11906725482674851,0.11906725482674851,1,7e-05,3.5e-05,0.5,21.772159576416016,28.18359375,3.1613576412200928,0.5395045280456543,0.5489120483398438,0.0,4.250065326690674
3,3.8702810605367026,3.7945899963378906,2.286714275677999,2.3198088804880777,0.25230324765046436,0.0,0.0,10.538467407226562,0.0,1.0,0.0,0.0,0.0,0.0,0.2826086956521739,0.30434782608695654,0.2826086956521739,0.2554347826086957,0.322463768115942,0.0,0.0,0.0,0.0,1.0185551444689434,0.34751813610394794,0.36971748371918994,0.27100303769111633,2.0128552118937173,2.064089377721151,4.657281955083211,0.0,0.0,0.0,0.0,0.0,2.405104398727417,0.09166666666666666,0.21772608125819137,0.21227134146341464,0.10707521645021645,0.09166666666666666,0.09166666666666666,0.09166666666666666,,,,,,,0.10707521645021645,0.10707521645021645,1,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,3.410841703414917,0.5476882457733154,0.0,0.0,3.9587974548339844
4,3.4127231438954673,3.392244060834249,2.0366064310073853,2.08559650182724,0.06826378343005975,0.0,0.0,9.705314000447592,0.0,1.0,0.0,0.0,0.0,0.0,0.35688405797101447,0.40398550724637683,0.35688405797101447,0.29528985507246375,0.35507246376811596,0.0,0.0,0.0,0.0,1.0110743542512257,0.35120928287506104,0.36950790882110596,0.27107059955596924,1.9600618879000347,2.0141727129618325,4.3037205537160235,0.0,0.0,0.0,0.0,0.0,2.629526734352112,0.058333333333333334,0.08662280701754385,0.1875,0.07783882783882785,0.058333333333333334,0.058333333333333334,0.058333333333333334,,,,,,,0.07783882783882785,0.07783882783882785,1,7e-05,3.5e-05,0.5,21.772159576416016,28.18359375,3.1489412784576416,0.5471603870391846,0.0,0.0,3.6963326930999756
5,3.0294776360193887,3.030828317006429,1.7789830764134724,1.9259157578150432,-0.004502207816888888,0.0,0.0,8.946740945180258,0.0,1.0,0.0,0.0,0.0,0.0,0.4420289855072464,0.5235507246376812,0.4420289855072464,0.4311594202898551,0.44021739130434784,0.0,0.0,0.0,0.0,0.9414581656455994,0.35883639256159466,0.36950255433718365,0.27163077394167584,1.9306466182072957,1.9698848327000935,3.888853589693705,0.0,0.0,0.0,0.0,0.0,2.228313446044922,0.1,0.30603070175438596,0.26992341897233196,0.15535605267748126,0.1,0.1,0.10000000000000002,2.2324639558792114,0.1,0.14816964285714285,0.11612903225806452,0.17366701611073948,0.31503038803179056,0.15535605267748126,0.15535605267748126,1,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,3.6750288009643555,0.5469541549682617,0.5511627197265625,0.9413371086120605,5.714731693267822
6,2.9678008556365967,2.754453102747599,1.6562870542208354,1.6894862453142803,0.013632676564157009,0.20925796777009964,0.9271187980969747,8.98182471593221,1.7929247617721558,1.0,0.0,3.0,0.05,0.1,0.5271739130434783,0.5543478260869565,0.5271739130434783,0.5,0.5144927536231884,0.9271187980969747,0.8767691651980082,0.9774684309959412,0.20925796777009964,0.9543340106805166,0.36265966792901355,0.3657164126634598,0.2705172101656596,1.8770947058995564,1.9244970679283142,3.496847073237101,0.01170292558769385,0.0013525860267691314,0.007508379096786181,0.011546982607493797,0.1748423551519712,1.880640983581543,0.325,0.6202380952380953,0.44861874825422016,0.37283979669987977,0.325,0.325,0.325,1.8740649819374084,0.31666666666666665,0.3126874181102122,,,,0.37283979669987977,0.37283979669987977,1,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,3.3921751976013184,0.5517711639404297,0.5598163604736328,0.0,4.5040552616119385
7,2.925288279851278,2.550278902053833,1.549461305141449,1.5397193829218547,-0.0243545879299442,0.382315735022227,0.9344227313995361,8.692367553710938,1.7311760981877644,1.0,0.0,3.0,0.1,0.2,0.6213768115942029,0.5851449275362319,0.6213768115942029,0.5670289855072463,0.605072463768116,0.9344227313995361,0.8846115072568258,0.9842339754104614,0.382315735022227,0.9543648858865103,0.36415162682533264,0.35811563829580945,0.2675531556208928,1.8042486310005188,1.8504472772280376,3.154666264851888,0.022919401836891968,0.0026755314708376923,0.014433989766985178,0.022205367373923462,0.31546663244565326,1.6460018157958984,0.5,0.6783340745511798,0.6415761410293488,0.5388397728158367,0.5,0.5,0.5,1.631837785243988,0.49166666666666664,0.5262977977369049,,,,0.5388397728158367,0.5388397728158367,1,7e-05,3.5e-05,0.5,21.771870136260986,28.18359375,3.812734842300415,0.5507581233978271,0.5524477958679199,0.0,4.916218042373657
8,2.877489924430847,2.3425331910451255,1.384508530298869,1.4738841652870178,-0.011536067351698875,0.5384175380071005,0.9420430064201355,8.687139193216959,1.6696807543436687,1.0,0.0,3.0,0.15,0.3,0.6612318840579711,0.7101449275362319,0.6612318840579711,0.644927536231884,0.6938405797101449,0.9420430064201355,0.8943554162979126,0.9897305965423584,0.5384175380071005,0.9658878147602081,0.3917604684829712,0.3484351138273875,0.2639333705107371,1.7724353671073914,1.80738099416097,2.933860103289286,0.03344977212448915,0.003959000421067079,0.021269224894543488,0.03253285648922125,0.4400790333747864,1.560733675956726,0.5333333333333333,0.6345928922059707,0.7281259964849572,0.5730978509495919,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.5546376705169678,0.55,0.5823939514249235,,,,0.5730978509495919,0.5730978509495919,1,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,3.700566530227661,0.5539710521697998,0.5568623542785645,0.0,4.8116774559021
9,2.833562175432841,2.171753704547882,1.284843921661377,1.3644766211509705,-0.016128680668771267,0.6666470766067505,0.9342811902364095,8.362717390060425,1.6583983500798543,1.0,0.0,3.0,0.2,0.4,0.7246376811594203,0.7572463768115942,0.7246376811594203,0.7246376811594203,0.7192028985507246,0.9342811902364095,0.8829479217529297,0.9856144785881042,0.6666470766067505,0.9829590916633606,0.3961089849472046,0.3382577101389567,0.2601690888404846,1.7146886189778645,1.7427705923716228,2.6961585680643716,0.04329698905348778,0.005203381646424532,0.02743501930187146,0.04182649403810501,0.5392317175865173,1.4661678075790405,0.6583333333333333,0.6770207314615211,0.7920739123019079,0.6561631958792233,0.6583333333333333,0.6583333333333333,0.6583333333333333,1.4752903580665588,0.6083333333333333,0.5988490346886932,,,,0.6561631958792233,0.6561631958792233,1,7e-05,3.5e-05,0.5,21.771870136260986,28.18359375,3.324570417404175,0.5515038967132568,0.5553586483001709,0.0,4.431712627410889
10,2.8564122120539346,2.078052520751953,1.2419768571853638,1.286270300547282,-0.025993690825998783,0.7861578663190206,0.9057855804761251,8.325140476226807,1.5624155203501384,1.0,0.0,3.0,0.25,0.5,0.7463768115942029,0.7681159420289855,0.7463768115942029,0.7644927536231884,0.7572463768115942,0.9057855804761251,0.873207668463389,0.938363512357076,0.7861578663190206,0.9415097932020823,0.40176691114902496,0.3293849031130473,0.2571053405602773,1.675641655921936,1.6928146680196126,2.5239107608795166,0.05270158313214779,0.006427633576095104,0.03351283259689808,0.05078443884849548,0.6309776902198792,1.3763569593429565,0.6833333333333333,0.7005932075024367,0.8095601376354293,0.684211956521739,0.6833333333333333,0.6833333333333333,0.6833333333333333,1.3634279370307922,0.7,0.6880532503029644,0.6516129032258065,0.6588140895932846,0.11287985039738191,0.684211956521739,0.684211956521739,1,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,3.7111170291900635,0.5513060092926025,0.5526080131530762,0.8039703369140625,5.619304418563843
