epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.88844108581543,5.897810459136963,3.626104712486267,3.494931936264038,-0.031231418251991272,0.0,0.0,15.918065071105957,0.0,1.0,0.0,0.0,0.0,0.0,0.059782608695652176,0.05434782608695652,0.059782608695652176,0.09782608695652174,0.04891304347826087,0.0,0.0,0.0,0.0,1.1631154119968414,1.2891356348991394,0.37653684616088867,0.27753955125808716,2.221731185913086,2.2333240509033203,6.97146463394165,0.0,0.0,0.0,0.0,0.0,2.9843711853027344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0213282108306885,0.0,0.0,0.022727272727272728,0.02227342549923195,0.07509881422924902,0.0,-inf,3,6e-05,3e-05,0.5,21.770549774169922,28.18359375,3.1060352325439453,0.5082266330718994,0.48003196716308594,0.7571055889129639,4.851712703704834
2,5.245667219161987,5.356563329696655,3.1256736516952515,3.4321380853652954,-0.3696533143520355,0.0,0.0,14.853808879852295,0.0,1.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.09239130434782608,0.06521739130434782,0.07065217391304347,0.11956521739130435,0.0,0.0,0.0,0.0,1.4579365849494934,1.3612276911735535,0.37592893838882446,0.2752581983804703,2.213919997215271,2.243575096130371,6.9394450187683105,0.0,0.0,0.0,0.0,0.0,2.876952648162842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,-inf,3,6e-05,3e-05,0.5,21.770201683044434,28.18359375,2.5850815773010254,0.49521923065185547,0.0,0.0,3.0805423259735107
3,5.046506881713867,5.127015829086304,3.0934715270996094,3.1285297870635986,-0.2683631032705307,0.0,0.0,13.610643863677979,0.0,1.0,0.0,0.0,0.0,0.0,0.059782608695652176,0.11956521739130435,0.059782608695652176,0.11413043478260869,0.15760869565217392,0.0,0.0,0.0,0.0,1.529797613620758,1.3109268546104431,0.37590090930461884,0.2751922905445099,2.215590238571167,2.2306846380233765,6.281128406524658,0.0,0.0,0.0,0.0,0.0,2.7682271003723145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.810549259185791,0.02702702702702703,0.037037037037037035,,,,0.0,0.0,3,6e-05,3e-05,0.5,21.770931243896484,28.18359375,2.595259189605713,0.5088043212890625,0.5452165603637695,0.0,3.6497373580932617
4,4.747851610183716,4.807287693023682,2.870189666748047,2.980150818824768,-0.1981208473443985,0.0,0.0,12.695281028747559,0.0,1.0,0.0,0.0,0.0,0.0,0.10869565217391304,0.1956521739130435,0.10869565217391304,0.125,0.16847826086956522,0.0,0.0,0.0,0.0,1.355825662612915,1.282774269580841,0.3781851530075073,0.2759411185979843,2.1994317770004272,2.240783452987671,5.824809312820435,0.0,0.0,0.0,0.0,0.0,2.663207769393921,0.08108108108108109,0.04938271604938271,0.06481481481481481,0.054131054131054124,0.08108108108108109,0.08108108108108109,0.08108108108108109,,,,,,,0.054131054131054124,0.0,3,6e-05,3e-05,0.5,21.771968841552734,28.18359375,2.3924407958984375,0.5185751914978027,0.0,0.0,2.911309003829956
5,4.515726327896118,4.608278751373291,2.76187527179718,2.8406206369400024,-0.3085081875324249,0.0,0.0,11.771125316619873,0.0,1.0,0.0,0.0,0.0,0.0,0.11413043478260869,0.15760869565217392,0.11413043478260869,0.19021739130434784,0.14130434782608695,0.0,0.0,0.0,0.0,1.4635559916496277,1.2547392845153809,0.3759003132581711,0.27471020817756653,2.165058135986328,2.2441169023513794,5.392680644989014,0.0,0.0,0.0,0.0,0.0,2.5531232357025146,0.10810810810810811,0.044444444444444446,0.09259259259259259,0.059523809523809534,0.10810810810810811,0.10810810810810811,0.10810810810810811,2.5591726303100586,0.16216216216216217,0.07894736842105263,0.07575757575757576,0.05444674638561363,0.11445981554677208,0.059523809523809534,0.0,3,6e-05,3e-05,0.5,21.771778106689453,28.18359375,2.9914021492004395,0.5226786136627197,0.522031307220459,0.770606279373169,4.806982517242432
6,4.213847637176514,4.297770261764526,2.5987539291381836,2.6138713359832764,-0.2797415480017662,0.0,0.0,11.157533645629883,0.0,1.0,0.0,0.0,0.0,0.0,0.16847826086956522,0.16847826086956522,0.16847826086956522,0.20108695652173914,0.17391304347826086,0.0,0.0,0.0,0.0,1.482631802558899,1.279707431793213,0.3773486912250519,0.27444085478782654,2.171180486679077,2.2171223163604736,5.402233123779297,0.0,0.0,0.0,0.0,0.0,2.453793525695801,0.13513513513513514,0.14529914529914528,0.12037037037037036,0.09398004815961472,0.13513513513513514,0.13513513513513514,0.13513513513513514,2.462810754776001,0.21621621621621623,0.13148148148148148,,,,0.09398004815961472,0.054131054131054124,3,6e-05,3e-05,0.5,21.771968841552734,28.18359375,2.597519874572754,0.5196735858917236,0.5221371650695801,0.0,3.639580488204956
7,4.117893934249878,4.196485757827759,2.507045030593872,2.5991395711898804,-0.2619727700948715,0.0,0.0,10.565287113189697,0.0,1.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.2608695652173913,0.21739130434782608,0.1956521739130435,0.23369565217391305,0.0,0.0,0.0,0.0,1.4280315041542053,1.1980344653129578,0.3771500587463379,0.27435052394866943,2.14308500289917,2.2214142084121704,5.169079542160034,0.0,0.0,0.0,0.0,0.0,2.335277795791626,0.35135135135135137,0.21728395061728392,0.3101851851851852,0.23184223184223185,0.35135135135135137,0.35135135135135137,0.35135135135135137,2.364485502243042,0.2972972972972973,0.19195619195619196,,,,0.23184223184223185,0.059523809523809534,3,6e-05,3e-05,0.5,21.770793914794922,28.18359375,2.2374420166015625,0.5157413482666016,0.5191309452056885,0.0,3.272656202316284
8,3.8694701194763184,3.9466640949249268,2.390776515007019,2.3936734199523926,-0.25731320679187775,0.0,0.0,10.094269275665283,0.0,1.0,0.0,0.0,0.0,0.0,0.30978260869565216,0.2608695652173913,0.30978260869565216,0.28804347826086957,0.2826086956521739,0.0,0.0,0.0,0.0,1.457524061203003,1.1499512195587158,0.3760242313146591,0.27354124188423157,2.1320868730545044,2.172403931617737,4.864663124084473,0.0,0.0,0.0,0.0,0.0,2.2299981117248535,0.32432432432432434,0.21203703703703702,0.2824074074074074,0.22105672105672106,0.32432432432432434,0.32432432432432434,0.32432432432432434,2.2646119594573975,0.32432432432432434,0.21608679386457164,,,,0.22105672105672106,0.09398004815961472,3,6e-05,3e-05,0.5,21.770137786865234,28.18359375,2.425884962081909,0.5211129188537598,0.5183258056640625,0.0,3.465667724609375
9,3.809318780899048,3.8677873611450195,2.368722915649414,2.30625319480896,-0.27432769536972046,0.023829743266105652,0.7954370975494385,10.092461585998535,1.641611933708191,1.0,0.0,1.0,0.05,0.08333333333333333,0.29347826086956524,0.266304347826087,0.29347826086956524,0.2391304347826087,0.31521739130434784,0.7954370975494385,0.8322080373764038,0.7586661577224731,0.023829743266105652,1.3016413450241089,1.301050066947937,0.37597595155239105,0.27330395579338074,2.067155361175537,2.166025400161743,4.708645582199097,0.007519518956542015,0.0007971365412231535,0.0025839441223070025,0.009025106206536293,0.0,2.119123935699463,0.35135135135135137,0.31968810916179335,0.3101851851851852,0.26259518259518255,0.35135135135135137,0.35135135135135137,0.35135135135135137,2.1582860946655273,0.35135135135135137,0.2541871921182266,,,,0.26259518259518255,0.22105672105672106,3,6e-05,3e-05,0.5,21.770931243896484,28.18359375,2.3222804069519043,0.513946533203125,0.5171520709991455,0.0,3.3536720275878906
10,3.5966577529907227,3.6486964225769043,2.1203917264938354,2.3512380123138428,-0.3326846957206726,0.047766778618097305,0.804333508014679,9.896332740783691,1.726920247077942,1.0,0.0,1.0,0.1,0.16666666666666666,0.31521739130434784,0.3804347826086957,0.31521739130434784,0.3423913043478261,0.358695652173913,0.804333508014679,0.8985032439231873,0.7101637721061707,0.047766778618097305,1.572806179523468,1.162948727607727,0.37222884595394135,0.271633118391037,2.097216248512268,2.1411352157592773,4.521711826324463,0.014889153651893139,0.0015845265588723123,0.00524304062128067,0.017842793837189674,0.0,2.009340286254883,0.4594594594594595,0.4329805996472663,0.49537037037037035,0.4402356902356902,0.4594594594594595,0.4594594594594595,0.4594594594594595,2.0426573753356934,0.4594594594594595,0.4123456790123457,0.4696969696969697,0.4382583170254403,-0.12730566534914362,0.4402356902356902,0.22105672105672106,3,6e-05,3e-05,0.5,21.772907257080078,28.18359375,2.3506526947021484,0.5191082954406738,0.5215024948120117,0.7768256664276123,4.1684205532073975
