epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.501550753911336,5.440644820531209,3.2676158348719277,3.3431216875712075,0.20302012749016285,0.0,0.0,15.396599451700846,0.0,1.0,0.0,0.0,0.0,0.0,0.09420289855072464,0.10507246376811594,0.09420289855072464,0.10869565217391304,0.10507246376811594,0.0,0.0,0.0,0.0,0.912187268336614,0.3629646400610606,0.36605361600716907,0.2689787894487381,2.0550352533658347,2.100779175758362,6.648205121358235,0.0,0.0,0.0,0.0,0.0,2.9324536323547363,0.025,0.004629629629629629,0.03409090909090909,0.008152173913043478,0.025,0.025,0.025000000000000005,2.8800028562545776,0.041666666666666664,0.015243902439024392,0.060215053763440864,0.0232567923175658,0.04848059841047218,0.008152173913043478,0.008152173913043478,1,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,4.600417852401733,0.6062757968902588,0.60829758644104,0.8665308952331543,6.6818437576293945
2,4.464094718297322,4.386338233947754,2.6363612016042075,2.692272424697876,0.25918849060932797,0.0,0.0,11.988322575887045,0.0,1.0,0.0,0.0,0.0,0.0,0.19384057971014493,0.20108695652173914,0.19384057971014493,0.16847826086956522,0.17753623188405798,0.0,0.0,0.0,0.0,0.979775607585907,0.3348080317179362,0.3691103706757228,0.2705320318539937,2.0427648623784385,2.1005857388178506,5.435670057932536,0.0,0.0,0.0,0.0,0.0,2.42508602142334,0.21666666666666667,0.13447065940713854,0.12078660668599694,0.11906725482674851,0.21666666666666667,0.21666666666666667,0.21666666666666667,2.3675665855407715,0.23333333333333334,0.1694057694057694,,,,0.11906725482674851,0.11906725482674851,1,7e-05,3.5e-05,0.5,21.772159576416016,28.18359375,3.2429957389831543,0.6058475971221924,0.6124286651611328,0.0,4.461545944213867
3,3.8702810605367026,3.7945899963378906,2.286714275677999,2.3198088804880777,0.25230324765046436,0.0,0.0,10.538467407226562,0.0,1.0,0.0,0.0,0.0,0.0,0.2826086956521739,0.30434782608695654,0.2826086956521739,0.2554347826086957,0.322463768115942,0.0,0.0,0.0,0.0,1.0185551444689434,0.34751813610394794,0.36971748371918994,0.27100303769111633,2.0128552118937173,2.064089377721151,4.657281955083211,0.0,0.0,0.0,0.0,0.0,2.405104398727417,0.09166666666666666,0.21772608125819137,0.21227134146341464,0.10707521645021645,0.09166666666666666,0.09166666666666666,0.09166666666666666,,,,,,,0.10707521645021645,0.10707521645021645,1,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,3.3936688899993896,0.608757734298706,0.0,0.0,4.002700328826904
4,3.4127231438954673,3.392244060834249,2.0366064310073853,2.08559650182724,0.06826378343005975,0.0,0.0,9.705314000447592,0.0,1.0,0.0,0.0,0.0,0.0,0.35688405797101447,0.40398550724637683,0.35688405797101447,0.29528985507246375,0.35507246376811596,0.0,0.0,0.0,0.0,1.0110743542512257,0.35120928287506104,0.36950790882110596,0.27107059955596924,1.9600618879000347,2.0141727129618325,4.3037205537160235,0.0,0.0,0.0,0.0,0.0,2.629526734352112,0.058333333333333334,0.08662280701754385,0.1875,0.07783882783882785,0.058333333333333334,0.058333333333333334,0.058333333333333334,,,,,,,0.07783882783882785,0.07783882783882785,1,7e-05,3.5e-05,0.5,21.772159576416016,28.18359375,3.0998451709747314,0.6062602996826172,0.0,0.0,3.7063333988189697
5,3.0294776360193887,3.030828317006429,1.7789830764134724,1.9259157578150432,-0.004502207816888888,0.0,0.0,8.946740945180258,0.0,1.0,0.0,0.0,0.0,0.0,0.4420289855072464,0.5235507246376812,0.4420289855072464,0.4311594202898551,0.44021739130434784,0.0,0.0,0.0,0.0,0.9414581656455994,0.35883639256159466,0.36950255433718365,0.27163077394167584,1.9306466182072957,1.9698848327000935,3.888853589693705,0.0,0.0,0.0,0.0,0.0,2.228313446044922,0.1,0.30603070175438596,0.26992341897233196,0.15535605267748126,0.1,0.1,0.10000000000000002,2.2324639558792114,0.1,0.14816964285714285,0.11612903225806452,0.17366701611073948,0.31503038803179056,0.15535605267748126,0.15535605267748126,1,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,3.6218371391296387,0.7562305927276611,0.6156668663024902,0.8814349174499512,5.875439882278442
6,2.795447905858358,2.757026473681132,1.6566032965977986,1.6929588715235393,0.01409569631020228,0.03419275023043156,0.9294245839118958,8.865066846211752,1.7991047700246174,1.0,0.0,3.0,0.05,0.1,0.5380434782608695,0.5543478260869565,0.5380434782608695,0.5018115942028986,0.5144927536231884,0.9294245839118958,0.8757843176523844,0.9830648303031921,0.03419275023043156,0.9465856949488322,0.3598335087299347,0.3594771772623062,0.26901979247728985,1.8774814208348591,1.9247036774953206,3.504306117693583,0.011503270206352076,0.0013450989305662613,0.007509926101192832,0.011548222042620182,0.0,1.883536696434021,0.31666666666666665,0.5966831345737595,0.4455699677664153,0.3649809333572356,0.31666666666666665,0.31666666666666665,0.31666666666666665,1.8759011030197144,0.30833333333333335,0.30513270430549844,,,,0.3649809333572356,0.3649809333572356,1,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,3.577383041381836,0.5991196632385254,0.6097044944763184,0.0,4.7864954471588135
7,2.6158613363901773,2.559223254521688,1.553646167119344,1.5470417141914368,-0.027919114256898563,0.06501385569572449,0.9501442511876425,8.485932985941568,1.7586371898651123,1.0,0.0,3.0,0.1,0.2,0.6177536231884058,0.5869565217391305,0.6177536231884058,0.5634057971014492,0.6105072463768116,0.9501442511876425,0.90199214220047,0.9982963800430298,0.06501385569572449,0.9138497610886892,0.3537690043449402,0.33247601489226025,0.261785551905632,1.8069564302762349,1.85210120677948,3.18861186504364,0.02127846609801054,0.0026178554786990085,0.014455652174850305,0.02222521509975195,0.0,1.6116280555725098,0.48333333333333334,0.6532386363636363,0.6367327606557457,0.533266813686843,0.48333333333333334,0.48333333333333334,0.48333333333333334,1.5938960909843445,0.5,0.5241583946221042,,,,0.533266813686843,0.533266813686843,1,7e-05,3.5e-05,0.5,21.771870136260986,28.18359375,3.699777603149414,0.6081182956695557,0.600823163986206,0.0,4.9089882373809814
8,2.4442912340164185,2.3559045791625977,1.3896862467130024,1.4864898522694905,-0.01693293172866106,0.09346652279297511,0.9698481957117716,8.313052733739218,1.706886847813924,1.0,0.0,3.0,0.15,0.3,0.6630434782608695,0.6992753623188406,0.6630434782608695,0.6304347826086957,0.6757246376811594,0.9698481957117716,0.9206638932228088,1.0190324783325195,0.09346652279297511,0.8922124405701956,0.37253958483537036,0.3041218121846517,0.2547589639822642,1.7724149425824482,1.8078066110610962,2.9783899386723838,0.029195694563289482,0.0038213843557362757,0.02126897933582465,0.03254051754872004,0.0,1.550747036933899,0.5416666666666666,0.6480184837092731,0.731174776972762,0.5854225262012036,0.5416666666666666,0.5416666666666666,0.5416666666666666,1.5592915415763855,0.525,0.5738956395489971,,,,0.5854225262012036,0.5854225262012036,1,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,3.669153928756714,0.6033916473388672,0.6062486171722412,0.0,4.879073619842529
9,2.3102239767710366,2.199788212776184,1.302461604277293,1.3805025418599446,-0.027734067601462204,0.11875594779849052,0.9715610345204672,7.711951653162639,1.7072898546854656,1.0,0.0,3.0,0.2,0.4,0.7083333333333334,0.7518115942028986,0.7083333333333334,0.7047101449275363,0.7155797101449275,0.9715610345204672,0.906790574391683,1.0363314946492512,0.11875594779849052,0.8919487694899241,0.36400868992010754,0.27934255202611286,0.24882076680660248,1.7139397263526917,1.7420395414034526,2.763532598813375,0.035755847891171776,0.004976415308192372,0.027423036595185597,0.04180894916256269,0.0,1.5071747303009033,0.5916666666666667,0.6638716297727518,0.7464043114891471,0.6147330823241949,0.5916666666666667,0.5916666666666667,0.5916666666666667,1.5340590476989746,0.525,0.5423733675754486,,,,0.6147330823241949,0.6147330823241949,1,7e-05,3.5e-05,0.5,21.771870136260986,28.18359375,3.2679343223571777,0.6068606376647949,0.612675666809082,0.0,4.487756729125977
10,2.2368563413619995,2.098693033059438,1.2525971333185832,1.3016859889030457,-0.01430497970432043,0.14245480795701346,0.9503036737442017,7.735798358917236,1.6241422891616821,1.0,0.0,3.0,0.25,0.5,0.7445652173913043,0.7663043478260869,0.7445652173913043,0.75,0.7518115942028986,0.9503036737442017,0.8978981971740723,1.002709150314331,0.14245480795701346,0.8203759491443634,0.3517072945833206,0.2595921407143275,0.24545749525229135,1.6821178595225017,1.6961848338445027,2.5833475987116494,0.04153474234044552,0.006136437489961584,0.03364235659440359,0.050885544468959175,0.0,1.3284112215042114,0.6916666666666667,0.7112179487179489,0.8012618512187706,0.6884518327916215,0.6916666666666667,0.6916666666666667,0.6916666666666667,1.3395233154296875,0.6666666666666666,0.6789123442257218,0.7053763440860215,0.7046128873041271,0.044623655913978544,0.6884518327916215,0.6884518327916215,1,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,3.622849702835083,0.6072170734405518,0.6030035018920898,0.8537986278533936,5.687168598175049
