epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.758066654205322,5.725640296936035,3.4973552227020264,3.428131103515625,0.10808727145195007,0.0,0.0,17.29453754425049,0.0,1.0,0.0,0.0,0.0,0.0,0.05434782608695652,0.059782608695652176,0.05434782608695652,0.08695652173913043,0.09782608695652174,0.0,0.0,0.0,0.0,1.6056879758834839,1.1767340004444122,0.3452080190181732,0.2602674812078476,1.7846633195877075,1.8081293106079102,6.766551971435547,0.0,0.0,0.0,0.0,0.0,3.0508928298950195,0.038461538461538464,0.016666666666666666,0.03333333333333333,0.022222222222222223,0.038461538461538464,0.038461538461538464,0.038461538461538464,3.055490493774414,0.0,0.0,0.0625,0.03571428571428571,0.024456521739130432,0.022222222222222223,-inf,5,9e-05,3.5e-05,0.38888888888888884,21.770549774169922,28.18359375,2.667728900909424,0.416567325592041,0.40497350692749023,0.6207835674285889,4.110373020172119
2,5.0512919425964355,5.062461853027344,3.0458675622940063,3.102453112602234,-0.03723315894603729,0.0,0.0,15.68509292602539,0.0,1.0,0.0,0.0,0.0,0.0,0.05434782608695652,0.14673913043478262,0.05434782608695652,0.08152173913043478,0.09239130434782608,0.0,0.0,0.0,0.0,1.7595612406730652,0.9221957623958588,0.3448943942785263,0.25897443294525146,1.761076033115387,1.7998772859573364,6.23440957069397,0.0,0.0,0.0,0.0,0.0,2.886475086212158,0.038461538461538464,0.011111111111111112,0.03333333333333333,0.016666666666666666,0.038461538461538464,0.038461538461538464,0.038461538461538464,,,,,,,0.016666666666666666,-inf,5,9e-05,3.5e-05,0.38888888888888884,21.770201683044434,28.18359375,1.9624860286712646,0.408679723739624,0.0,0.0,2.371410846710205
3,4.603719234466553,4.6538245677948,2.8321683406829834,2.8025482892990112,-0.1670181229710579,0.0,0.0,13.87367582321167,0.0,1.0,0.0,0.0,0.0,0.0,0.16847826086956522,0.18478260869565216,0.16847826086956522,0.125,0.16847826086956522,0.0,0.0,0.0,0.0,1.919437050819397,0.9150033295154572,0.344420924782753,0.2594471275806427,1.7535277605056763,1.7995878458023071,5.607194662094116,0.0,0.0,0.0,0.0,0.0,2.7712934017181396,0.07692307692307693,0.017543859649122806,0.06666666666666667,0.027777777777777776,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,0.027777777777777776,-inf,5,9e-05,3.5e-05,0.38888888888888884,21.770931243896484,28.18359375,2.3277933597564697,0.4052555561065674,0.0,0.0,2.733278512954712
4,4.111048698425293,4.164196252822876,2.5229790210723877,2.524949550628662,-0.17715884000062943,0.0,0.0,12.222595691680908,0.0,1.0,0.0,0.0,0.0,0.0,0.22282608695652173,0.22282608695652173,0.22282608695652173,0.22826086956521738,0.266304347826087,0.0,0.0,0.0,0.0,2.0232959985733032,0.8734172284603119,0.34311598539352417,0.260809525847435,1.7567251920700073,1.7962614297866821,4.902887344360352,0.0,0.0,0.0,0.0,0.0,2.6743595600128174,0.11538461538461539,0.0992063492063492,0.15,0.10897435897435898,0.11538461538461539,0.11538461538461539,0.11538461538461539,,,,,,,0.10897435897435898,-inf,5,9e-05,3.5e-05,0.38888888888888884,21.771968841552734,28.18359375,2.464322805404663,0.4071059226989746,0.0,0.0,2.8716604709625244
5,3.5760821104049683,3.603213310241699,2.1306713819503784,2.2654494047164917,-0.0904373750090599,0.0,0.0,10.945178985595703,0.0,1.0,0.0,0.0,0.0,0.0,0.266304347826087,0.375,0.266304347826087,0.2717391304347826,0.32065217391304346,0.0,0.0,0.0,0.0,1.9049836993217468,0.9595741331577301,0.3420068174600601,0.26158466935157776,1.7454971671104431,1.7839769124984741,4.661859512329102,0.0,0.0,0.0,0.0,0.0,2.64062762260437,0.11538461538461539,0.0984848484848485,0.15,0.10802469135802469,0.11538461538461539,0.11538461538461539,0.11538461538461539,2.525946855545044,0.11538461538461539,0.13580246913580246,0.19791666666666666,0.12108262108262108,0.07382246376811594,0.10802469135802469,0.016666666666666666,5,9e-05,3.5e-05,0.38888888888888884,21.771778106689453,28.18359375,2.1290040016174316,0.4082930088043213,0.4104039669036865,0.6113302707672119,3.5593130588531494
6,3.3560136556625366,3.378506064414978,2.0117071866989136,2.1027677059173584,-0.07497470825910568,0.0,0.0,10.23279333114624,0.0,1.0,0.0,0.0,0.0,0.0,0.3695652173913043,0.3695652173913043,0.3695652173913043,0.30978260869565216,0.3641304347826087,0.0,0.0,0.0,0.0,1.7269389033317566,0.867904782295227,0.3432449847459793,0.26274310052394867,1.7100062370300293,1.7671467065811157,4.317840099334717,0.0,0.0,0.0,0.0,0.0,2.6508357524871826,0.11538461538461539,0.11944444444444445,0.15833333333333333,0.12761904761904763,0.11538461538461539,0.11538461538461539,0.11538461538461539,,,,,,,0.12761904761904763,0.016666666666666666,5,9e-05,3.5e-05,0.38888888888888884,21.771968841552734,28.18359375,2.4548637866973877,0.414719820022583,0.0,0.0,2.8698818683624268
7,3.39851176738739,3.169098973274231,1.9247552156448364,1.9143749475479126,-0.01596078649163246,0.23420104384422302,0.0,9.675592422485352,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.42391304347826086,0.4673913043478261,0.42391304347826086,0.391304347826087,0.4076086956521739,0.0,0.0,0.0,0.23420104384422302,1.9052056074142456,0.8790230751037598,0.343491867184639,0.2624194025993347,1.6818112134933472,1.7489479780197144,4.108343124389648,0.0,0.0008747313695494086,0.003503773594275117,0.007287283660843968,0.22253525257110596,2.660287380218506,0.15384615384615385,0.2309941520467836,0.24166666666666667,0.1638888888888889,0.15384615384615385,0.15384615384615385,0.15384615384615385,2.5579833984375,0.23076923076923078,0.27857142857142864,,,,0.1638888888888889,0.027777777777777776,5,9e-05,3.5e-05,0.38888888888888884,21.770793914794922,28.18359375,2.6290535926818848,0.40552377700805664,0.4139065742492676,0.0,3.448723316192627
8,3.464795231819153,3.0406954288482666,1.821362555027008,1.8758968114852905,-0.08641163818538189,0.4500232934951782,0.0,9.183456420898438,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.483695652173913,0.47282608695652173,0.483695652173913,0.3804347826086957,0.5271739130434783,0.0,0.0,0.0,0.4500232934951782,1.7504807114601135,1.0322750806808472,0.34450656175613403,0.26358741521835327,1.6876007318496704,1.740360140800476,3.939058780670166,0.0,0.0017572494689375162,0.00703167007304728,0.01450300170108676,0.4267313629388809,2.682332754135132,0.15384615384615385,0.22354497354497352,0.24166666666666667,0.15523349436392916,0.15384615384615385,0.15384615384615385,0.15384615384615385,2.5853917598724365,0.19230769230769232,0.3074074074074074,,,,0.15523349436392916,0.10802469135802469,5,9e-05,3.5e-05,0.38888888888888884,21.770137786865234,28.18359375,2.274374485015869,0.40053343772888184,0.4118044376373291,0.0,3.087002992630005
9,3.5385138988494873,2.947503924369812,1.7543745636940002,1.8355838060379028,-0.10965516418218613,0.6239067316055298,1.0501869916915894,9.455626487731934,2.0539188385009766,1.0,0.0,1.0,0.05,0.25,0.4891304347826087,0.5054347826086957,0.4891304347826087,0.4782608695652174,0.5652173913043478,1.0501869916915894,1.1611980199813843,0.9391759037971497,0.6239067316055298,1.8561471700668335,1.0413535237312317,0.34510478377342224,0.2638207674026489,1.6308093667030334,1.7020905017852783,3.6027913093566895,0.0,0.0026382076321169734,0.010192558635026217,0.021276132203638554,0.5854535698890686,2.657349109649658,0.11538461538461539,0.11363636363636365,0.20833333333333334,0.10683760683760683,0.11538461538461539,0.11538461538461539,0.11538461538461539,,,,,,,0.10683760683760683,0.10683760683760683,5,9e-05,3.5e-05,0.38888888888888884,21.770931243896484,28.18359375,2.247584819793701,0.4066803455352783,0.0,0.0,2.654545783996582
10,3.643610715866089,2.865706443786621,1.763373851776123,1.6958963871002197,-0.08454477787017822,0.8032678365707397,1.072232723236084,8.952228546142578,2.1586461067199707,1.0,0.0,1.0,0.1,0.3333333333333333,0.5543478260869565,0.5271739130434783,0.5543478260869565,0.47282608695652173,0.5271739130434783,1.072232723236084,1.2687970399856567,0.8756684064865112,0.8032678365707397,1.822396159172058,0.9955596029758453,0.3432946354150772,0.26343581080436707,1.6519380807876587,1.7075650095939636,3.457273483276367,0.0,0.0035124776186421514,0.013766151387244463,0.02845941763371229,0.7490759193897247,2.6010146141052246,0.19230769230769232,0.13333333333333333,0.2916666666666667,0.16666666666666666,0.19230769230769232,0.19230769230769232,0.19230769230769232,2.536005735397339,0.23076923076923078,0.2967171717171717,0.13541666666666666,0.11544159544159545,0.3374094202898551,0.16666666666666666,0.10683760683760683,5,9e-05,3.5e-05,0.38888888888888884,21.772907257080078,28.18359375,2.1298129558563232,0.40714550018310547,0.41754770278930664,0.6144061088562012,3.5691866874694824
11,3.6575427055358887,2.682539939880371,1.5974999070167542,1.6692923307418823,-0.08122358098626137,0.999369889497757,1.0094618797302246,9.126496315002441,1.9958592653274536,1.0,0.0,1.0,0.15,0.4166666666666667,0.483695652173913,0.5978260869565217,0.483695652173913,0.5163043478260869,0.6032608695652174,1.0094618797302246,1.1569316387176514,0.8619922399520874,0.999369889497757,1.9768389463424683,0.9772621691226959,0.34379106760025024,0.2626715302467346,1.6352638006210327,1.6867464780807495,3.4320884943008423,0.0,0.004377858946099877,0.017033997923135757,0.03514055162668228,0.9295240044593811,2.546985387802124,0.19230769230769232,0.09953703703703703,0.2916666666666667,0.14393939393939392,0.19230769230769232,0.19230769230769232,0.19230769230769232,,,,,,,0.14393939393939392,0.10683760683760683,5,9e-05,3.5e-05,0.38888888888888884,21.772716522216797,28.18359375,2.676710844039917,0.4106612205505371,0.0,0.0,3.087613105773926
12,3.6487858295440674,2.5445308685302734,1.5502071380615234,1.529728889465332,-0.014242492616176605,1.1085277199745178,1.0711007118225098,9.131017208099365,2.104851484298706,1.0,0.0,1.0,0.2,0.5,0.625,0.6358695652173914,0.625,0.5163043478260869,0.6032608695652174,1.0711007118225098,1.2418556213378906,0.9003459215164185,1.1085277199745178,1.8477027416229248,1.0069479048252106,0.3443664163351059,0.2634865939617157,1.610435128211975,1.6567504405975342,3.1525567770004272,0.0,0.0052697318606078625,0.02013043873012066,0.041418761014938354,1.0245808959007263,2.5129292011260986,0.23076923076923078,0.1037037037037037,0.3333333333333333,0.15584415584415587,0.23076923076923078,0.23076923076923078,0.23076923076923078,,,,,,,0.15584415584415587,0.10683760683760683,5,9e-05,3.5e-05,0.38888888888888884,21.772907257080078,28.18359375,2.355168104171753,0.4095451831817627,0.0,0.0,2.764946699142456
13,3.702339291572571,2.488025188446045,1.5128294825553894,1.50030118227005,-0.0502509493380785,1.229389488697052,0.9582602977752686,9.050548553466797,1.962506890296936,1.0,0.0,1.0,0.25,0.5833333333333334,0.6413043478260869,0.657608695652174,0.6413043478260869,0.6358695652173914,0.6304347826086957,0.9582602977752686,1.1089756488800049,0.8075449466705322,1.229389488697052,1.752100944519043,1.0560799539089203,0.343228816986084,0.2611648440361023,1.5785366892814636,1.626138985157013,2.9849272966384888,0.0,0.0060938464011996984,0.02302032709121704,0.047429054975509644,1.1317849159240723,2.4494717121124268,0.23076923076923078,0.1111111111111111,0.3333333333333333,0.16317016317016317,0.23076923076923078,0.23076923076923078,0.23076923076923078,,,,,,,0.16317016317016317,0.10683760683760683,5,9e-05,3.5e-05,0.38888888888888884,21.771732330322266,28.18359375,2.6184983253479004,0.40450143814086914,0.0,0.0,3.023238182067871
14,3.6954718828201294,2.354102373123169,1.4311846494674683,1.4198734760284424,-0.05154168978333473,1.3568320870399475,0.9483693838119507,9.028212070465088,1.8735722303390503,1.0,0.0,1.0,0.3,0.6666666666666666,0.6902173913043478,0.6467391304347826,0.6902173913043478,0.7119565217391305,0.7228260869565217,0.9483693838119507,1.0521717071533203,0.844567060470581,1.3568320870399475,1.792191505432129,1.1097909808158875,0.34276534616947174,0.2602049708366394,1.5580959916114807,1.6002968549728394,2.871840000152588,0.0,0.006938799284398556,0.025968268513679504,0.05334323272109032,1.2444639801979065,2.3948376178741455,0.23076923076923078,0.12037037037037036,0.3333333333333333,0.1717171717171717,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.3232421875,0.23076923076923078,0.1581196581196581,,,,0.1717171717171717,0.14393939393939392,5,9e-05,3.5e-05,0.38888888888888884,21.771076202392578,28.18359375,2.128980875015259,0.40865302085876465,0.4091050624847412,0.0,2.9469845294952393
15,3.8295910358428955,2.309043765068054,1.4507511258125305,1.320450246334076,-0.022243959829211235,1.5272204279899597,0.9752514362335205,9.248860359191895,1.8634899854660034,1.0,0.0,1.0,0.35,0.75,0.7445652173913043,0.6521739130434783,0.7445652173913043,0.625,0.7336956521739131,0.9752514362335205,1.130775809288025,0.8197270035743713,1.5272204279899597,1.9015406966209412,1.1402623653411865,0.3456462323665619,0.26065893471241,1.5306609869003296,1.5722488164901733,2.8713897466659546,0.0,0.0078197680413723,0.028699894435703754,0.05895933322608471,1.3998025059700012,2.3282017707824707,0.15384615384615385,0.09696969696969697,0.25,0.12535612535612536,0.15384615384615385,0.15384615384615385,0.15384615384615385,2.245023250579834,0.15384615384615385,0.11428571428571428,0.19791666666666666,0.1917356077385147,0.42708333333333337,0.12535612535612536,0.12535612535612536,5,9e-05,3.5e-05,0.38888888888888884,21.771869659423828,28.18359375,2.3507046699523926,0.40828585624694824,0.41887712478637695,0.606374979019165,3.784560441970825
