epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.262557506561279,5.197985649108887,3.1093109051386514,3.2133458852767944,0.21523954843481383,0.0,0.0,15.15078353881836,0.0,1.0,0.0,0.0,0.0,0.0,0.09782608695652174,0.10144927536231885,0.09782608695652174,0.07971014492753623,0.1213768115942029,0.0,0.0,0.0,0.0,0.44804580012957257,0.5316271036863327,0.36318114896615344,0.2675916502873103,2.0569276412328086,2.0858479738235474,6.424583117167155,0.0,0.0,0.0,0.0,0.0,2.70697283744812,0.06666666666666667,0.04457720588235294,0.03154825026511135,0.030171582803161748,0.06666666666666667,0.06666666666666667,0.06666666666666667,2.787010073661804,0.058333333333333334,0.05736430133989608,0.08817204301075268,0.04004563113312897,-0.008461898083216457,0.030171582803161748,0.030171582803161748,1,7e-05,3.5e-05,0.5,21.776508331298828,28.181640625,4.589760780334473,0.5895326137542725,0.6207690238952637,0.8287138938903809,6.629082918167114
2,4.332851409912109,4.297683397928874,2.5367116928100586,2.7091873486836753,0.11722701912124951,0.0,0.0,12.003281275431315,0.0,1.0,0.0,0.0,0.0,0.0,0.19384057971014493,0.21920289855072464,0.19384057971014493,0.18659420289855072,0.25,0.0,0.0,0.0,0.0,0.43462056418259937,0.5853731433550516,0.3612058311700821,0.26726093391577405,2.021199365456899,2.0625210205713906,5.3634421825408936,0.0,0.0,0.0,0.0,0.0,2.2528514862060547,0.19166666666666668,0.15827616357277374,0.19550007477499526,0.15624274099883856,0.19166666666666668,0.19166666666666668,0.19166666666666668,2.3082038164138794,0.18333333333333332,0.1148780487804878,,,,0.15624274099883856,0.15624274099883856,1,7e-05,3.5e-05,0.5,21.778301239013672,28.181640625,3.2111337184906006,0.5775759220123291,0.5910398960113525,0.0,4.380037307739258
3,3.5844945907592773,3.578213930130005,2.111606995264689,2.2563183705012,0.020935514320929844,0.0,0.0,10.311280886332193,0.0,1.0,0.0,0.0,0.0,0.0,0.32065217391304346,0.3804347826086957,0.32065217391304346,0.29891304347826086,0.32608695652173914,0.0,0.0,0.0,0.0,0.4015665998061498,0.5463923911253611,0.36136292417844135,0.2669303963581721,1.9869618813196819,2.0274990797042847,4.500481287638347,0.0,0.0,0.0,0.0,0.0,2.169159412384033,0.19166666666666668,0.09522493272493272,0.2889713679745493,0.12304880791722897,0.19166666666666668,0.19166666666666668,0.19166666666666668,,,,,,,0.12304880791722897,0.12304880791722897,1,7e-05,3.5e-05,0.5,21.778491973876953,28.181640625,3.372375965118408,0.5820357799530029,0.0,0.0,3.9547057151794434
4,3.304312308629354,3.297757863998413,1.9922892451286316,2.008413334687551,0.021848272532224655,0.0,0.0,9.775797684987387,0.0,1.0,0.0,0.0,0.0,0.0,0.4003623188405797,0.42391304347826086,0.4003623188405797,0.35688405797101447,0.4492753623188406,0.0,0.0,0.0,0.0,0.4025648931662242,0.5502643485864004,0.3612976322571437,0.2663748264312744,1.945420781771342,1.992642839749654,4.070240179697673,0.0,0.0,0.0,0.0,0.0,2.106029450893402,0.2,0.12531001984126983,0.29440615058324493,0.13541964485493374,0.2,0.2,0.20000000000000004,,,,,,,0.13541964485493374,0.13541964485493374,1,7e-05,3.5e-05,0.5,21.777355194091797,28.181640625,3.417091131210327,0.5870635509490967,0.0,0.0,4.004385232925415
5,2.942938288052877,2.949206988016764,1.7738959391911824,1.8081708550453186,-0.02089556058247884,0.0,0.0,9.187116146087646,0.0,1.0,0.0,0.0,0.0,0.0,0.4945652173913043,0.4945652173913043,0.4945652173913043,0.4420289855072464,0.4891304347826087,0.0,0.0,0.0,0.0,0.4439304669698079,0.5496477484703064,0.3619028876225154,0.2671557118495305,1.8980623682339985,1.9582908153533936,3.7002824544906616,0.0,0.0,0.0,0.0,0.0,1.9241011142730713,0.23333333333333334,0.29141134085213033,0.3500265111346766,0.20932917747456442,0.23333333333333334,0.23333333333333334,0.23333333333333334,2.0264761447906494,0.16666666666666666,0.17290192211760305,0.2860215053763441,0.22799568646924245,0.15600748013090232,0.20932917747456442,0.20932917747456442,1,7e-05,3.5e-05,0.5,21.777355194091797,28.181640625,3.4202582836151123,0.5891003608703613,0.5961432456970215,0.8426222801208496,5.448375701904297
6,2.9378980000813804,2.7252697547276816,1.6064870754877727,1.721204141775767,0.06459629535675049,0.1932493249575297,0.9558780193328857,8.929813702901205,1.9639285802841187,1.0,0.0,3.0,0.05,0.1,0.5217391304347826,0.605072463768116,0.5217391304347826,0.46195652173913043,0.5289855072463768,0.9558780193328857,0.8981705904006958,1.0135854880015056,0.1932493249575297,0.417614221572876,0.5716293851534525,0.3619592636823654,0.26658665637175244,1.8613122701644897,1.9117386142412822,3.4253907203674316,0.0,0.001332933238397042,0.0074452494736760855,0.011470431772371134,0.17126953850189844,1.706369936466217,0.425,0.45342261904761905,0.604334972203477,0.45006677808895124,0.425,0.425,0.425,1.7933693528175354,0.325,0.4057785188202152,,,,0.45006677808895124,0.45006677808895124,1,7e-05,3.5e-05,0.5,21.7782940864563,28.181640625,3.7059991359710693,0.584557294845581,0.573725700378418,0.0,4.8645570278167725
7,2.968012968699137,2.582484761873881,1.4933029413223267,1.675664484500885,0.06439890091617902,0.36620857814947766,0.9005815386772156,8.988166888554892,1.8619255622227986,1.0,0.0,3.0,0.1,0.2,0.5778985507246377,0.6557971014492754,0.5778985507246377,0.572463768115942,0.6684782608695652,0.9005815386772156,0.8480745951334635,0.9530884822209676,0.36620857814947766,0.4527919292449951,0.5697919974724451,0.3600038985411326,0.2636171331008275,1.819298764069875,1.8669808506965637,3.23035196463267,0.0,0.0026361712953075767,0.014554390994211039,0.022403770436843235,0.32303520043691,1.5126897096633911,0.5,0.594446693974726,0.717112752041172,0.5552732006427359,0.5,0.5,0.5,1.6052939295768738,0.43333333333333335,0.5150986604319148,,,,0.5552732006427359,0.5552732006427359,1,7e-05,3.5e-05,0.5,21.7782940864563,28.18359375,3.5158228874206543,0.5858392715454102,0.5973575115203857,0.0,4.699286937713623
8,2.944707194964091,2.3998640378316245,1.3740699688593547,1.5781447490056355,0.09596381584803264,0.5160540839036306,0.9371888041496277,9.030255794525146,1.8212862412134807,1.0,0.0,3.0,0.15,0.3,0.605072463768116,0.6956521739130435,0.605072463768116,0.6086956521739131,0.7246376811594203,0.9371888041496277,0.9201866984367371,0.9541909495989481,0.5160540839036306,0.43163997928301495,0.6285005311171213,0.3575976639986038,0.26270325978597003,1.7750913898150127,1.8212666114171345,3.016425848007202,0.0,0.003940548747777939,0.02130109692613284,0.03278279739121596,0.45246390004952747,1.4583237767219543,0.5166666666666667,0.6561662974706454,0.6957980160525229,0.5848103730058107,0.5166666666666667,0.5166666666666667,0.5166666666666667,1.5424113273620605,0.4583333333333333,0.5459568217239049,,,,0.5848103730058107,0.5848103730058107,1,7e-05,3.5e-05,0.5,21.7782940864563,28.18359375,3.7264227867126465,0.587655782699585,0.5939154624938965,0.0,4.908271551132202
9,2.8064229091008506,2.161030570665995,1.2435300946235657,1.4115392963091533,0.057716337343057,0.6280774374802908,0.9046496152877808,8.573704560597738,1.759224573771159,1.0,0.0,3.0,0.2,0.4,0.7119565217391305,0.7844202898550725,0.7119565217391305,0.6793478260869565,0.7463768115942029,0.9046496152877808,0.8469677766164144,0.9623314738273621,0.6280774374802908,0.45138124624888104,0.6613118648529053,0.35548582673072815,0.2603728026151657,1.7381445566813152,1.7614801327387493,2.724976420402527,0.0,0.005207456027468045,0.0278103140493234,0.04227552314599355,0.5449952880541483,1.3690645694732666,0.5666666666666667,0.682244875008033,0.7622776216360522,0.6398714631178474,0.5666666666666667,0.5666666666666667,0.5666666666666667,1.4367200136184692,0.5166666666666667,0.6142223572755773,,,,0.6398714631178474,0.6398714631178474,1,7e-05,3.5e-05,0.5,21.7782940864563,28.18359375,3.231746196746826,0.5871050357818604,0.5833003520965576,0.0,4.402418375015259
10,2.8791248401006064,2.110632379849752,1.247564395268758,1.3277970751126607,0.07959523797035217,0.7446138759454092,0.8439736564954122,9.16822862625122,1.6678938070933025,1.0,0.0,3.0,0.25,0.5,0.7264492753623188,0.782608695652174,0.7264492753623188,0.7010869565217391,0.7880434782608695,0.8439736564954122,0.80416339635849,0.8837839365005493,0.7446138759454092,0.48711995780467987,0.6439393560091654,0.3540203819672267,0.25815704961617786,1.6905384063720703,1.7031057278315227,2.573436975479126,0.0,0.006453926442191005,0.03381076703468958,0.051093170419335365,0.6433592438697815,1.2204349637031555,0.675,0.6697997416020671,0.7893046110835082,0.6688688633348076,0.675,0.675,0.675,1.2820411920547485,0.6,0.6256536939648895,0.6817204301075269,0.6860250965005391,0.019366526414212215,0.6688688633348076,0.6688688633348076,1,7e-05,3.5e-05,0.5,21.7782940864563,28.18359375,3.51206374168396,0.5681028366088867,0.5873692035675049,0.82840895652771,5.4962475299835205
