epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.628506183624268,5.639688491821289,3.364338994026184,3.500537633895874,-0.03727421164512634,0.0,0.0,15.348660469055176,0.0,1.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.10869565217391304,0.06521739130434782,0.09239130434782608,0.11413043478260869,0.0,0.0,0.0,0.0,0.8784632086753845,0.7704565227031708,0.35315966606140137,0.26634863018989563,2.163938879966736,2.2120437622070312,6.793856143951416,0.0,0.0,0.0,0.0,0.0,2.8903920650482178,0.16216216216216217,0.03958333333333333,0.10648148148148148,0.04633378317588844,0.16216216216216217,0.16216216216216217,0.16216216216216217,2.790760040283203,0.16216216216216217,0.0459030459030459,0.09848484848484848,0.02205258693808312,-0.0060935441370224,0.04633378317588844,-inf,3,6e-05,3e-05,0.5,21.770549774169922,28.18359375,2.945650815963745,0.5125932693481445,0.5239663124084473,0.7626636028289795,4.745201110839844
2,5.385321617126465,5.358090400695801,3.2753114700317383,3.204275369644165,0.09077097475528717,0.0,0.0,14.096084117889404,0.0,1.0,0.0,0.0,0.0,0.0,0.11413043478260869,0.11956521739130435,0.11413043478260869,0.09782608695652174,0.10326086956521739,0.0,0.0,0.0,0.0,0.8950546383857727,0.8434158563613892,0.3582342863082886,0.2681616097688675,2.1591286659240723,2.201707124710083,6.447821140289307,0.0,0.0,0.0,0.0,0.0,2.776665210723877,0.21621621621621623,0.056878306878306875,0.13425925925925927,0.07189542483660132,0.21621621621621623,0.21621621621621623,0.21621621621621623,,,,,,,0.07189542483660132,-inf,3,6e-05,3e-05,0.5,21.770201683044434,28.18359375,2.35715913772583,0.5046024322509766,0.0,0.0,2.8620755672454834
3,5.247203588485718,5.266735076904297,3.1634042263031006,3.235893726348877,-0.06510497257113457,0.0,0.0,13.248773097991943,0.0,1.0,0.0,0.0,0.0,0.0,0.10326086956521739,0.09239130434782608,0.10326086956521739,0.13043478260869565,0.16304347826086957,0.0,0.0,0.0,0.0,0.8787409961223602,0.7615160644054413,0.3570003807544708,0.2681530714035034,2.143899440765381,2.200774908065796,6.179699420928955,0.0,0.0,0.0,0.0,0.0,2.67531418800354,0.21621621621621623,0.05722779635823114,0.125,0.07589855865717936,0.21621621621621623,0.21621621621621623,0.21621621621621623,2.5710277557373047,0.24324324324324326,0.07897435897435896,,,,0.07589855865717936,0.04633378317588844,3,6e-05,3e-05,0.5,21.770931243896484,28.18359375,2.4085915088653564,0.5077965259552002,0.5059988498687744,0.0,3.4226443767547607
4,4.788712024688721,4.823054552078247,3.037393093109131,2.7471715211868286,-0.11447552964091301,0.0,0.0,12.334111213684082,0.0,1.0,0.0,0.0,0.0,0.0,0.16847826086956522,0.13043478260869565,0.16847826086956522,0.17391304347826086,0.18478260869565216,0.0,0.0,0.0,0.0,0.9098007380962372,0.8033605515956879,0.35758474469184875,0.2691839784383774,2.14832603931427,2.19931697845459,5.7409827709198,0.0,0.0,0.0,0.0,0.0,2.5653645992279053,0.24324324324324326,0.061111111111111116,0.1388888888888889,0.08361204013377926,0.24324324324324326,0.24324324324324326,0.24324324324324326,2.4643821716308594,0.24324324324324326,0.08024691358024691,,,,0.08361204013377926,0.07189542483660132,3,6e-05,3e-05,0.5,21.771968841552734,28.18359375,2.5932624340057373,0.5050456523895264,0.5110900402069092,0.0,3.609692335128784
5,4.4644787311553955,4.508026599884033,2.793815493583679,2.637248158454895,-0.14515898376703262,0.0,0.0,11.458186149597168,0.0,1.0,0.0,0.0,0.0,0.0,0.14673913043478262,0.16304347826086957,0.14673913043478262,0.16304347826086957,0.19021739130434784,0.0,0.0,0.0,0.0,0.9233345985412598,0.76456019282341,0.3579556494951248,0.26900964975357056,2.1030226945877075,2.198875308036804,5.520403623580933,0.0,0.0,0.0,0.0,0.0,2.4762158393859863,0.24324324324324326,0.0707070707070707,0.1388888888888889,0.09047619047619047,0.24324324324324326,0.24324324324324326,0.24324324324324326,2.3662290573120117,0.24324324324324326,0.08529741863075196,0.18181818181818182,0.06756498470948012,-0.018774703557312256,0.09047619047619047,0.07589855865717936,3,6e-05,3e-05,0.5,21.771778106689453,28.18359375,2.5822646617889404,0.509920597076416,0.5134067535400391,0.7578761577606201,4.363779306411743
6,4.249146223068237,4.278595685958862,2.6397194862365723,2.5213481187820435,-0.09816503524780273,0.0,0.0,11.011262893676758,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.19021739130434784,0.25,0.22826086956521738,0.1956521739130435,0.0,0.0,0.0,0.0,0.8451430201530457,0.8306056261062622,0.35996025800704956,0.26887600123882294,2.1066282987594604,2.17657470703125,5.2225542068481445,0.0,0.0,0.0,0.0,0.0,2.3931665420532227,0.24324324324324326,0.09161793372319689,0.1435185185185185,0.10444444444444444,0.24324324324324326,0.24324324324324326,0.24324324324324326,2.293802499771118,0.2702702702702703,0.1446886446886447,,,,0.10444444444444444,0.08361204013377926,3,6e-05,3e-05,0.5,21.771968841552734,28.18359375,2.5775108337402344,0.5110363960266113,0.5213601589202881,0.0,3.610201597213745
7,4.084607005119324,4.10288405418396,2.421781063079834,2.5863122940063477,-0.06092345714569092,0.0,0.0,10.493669509887695,0.0,1.0,0.0,0.0,0.0,0.0,0.22826086956521738,0.28804347826086957,0.22826086956521738,0.20652173913043478,0.2391304347826087,0.0,0.0,0.0,0.0,0.9335001409053802,0.7407398223876953,0.35884034633636475,0.2690170258283615,2.0760133266448975,2.1642900705337524,5.134048700332642,0.0,0.0,0.0,0.0,0.0,2.3204331398010254,0.24324324324324326,0.08456510809451986,0.1435185185185185,0.10209758035844992,0.24324324324324326,0.24324324324324326,0.24324324324324326,2.223954916000366,0.32432432432432434,0.3066008418792553,,,,0.10209758035844992,0.09047619047619047,3,6e-05,3e-05,0.5,21.770793914794922,28.18359375,2.59979510307312,0.4905412197113037,0.5206835269927979,0.0,3.611320734024048
8,3.957850217819214,3.9636361598968506,2.4056758880615234,2.396862030029297,-0.0192863866686821,0.0,0.0,10.450931072235107,0.0,1.0,0.0,0.0,0.0,0.0,0.266304347826087,0.2391304347826087,0.266304347826087,0.29347826086956524,0.2391304347826087,0.0,0.0,0.0,0.0,0.9331944584846497,0.7250978052616119,0.35845141112804413,0.2679251581430435,2.071793794631958,2.1387829780578613,4.853641986846924,0.0,0.0,0.0,0.0,0.0,2.2415828704833984,0.35135135135135137,0.3743145743145744,0.3472222222222222,0.3157185894027999,0.35135135135135137,0.35135135135135137,0.35135135135135137,2.146261215209961,0.3783783783783784,0.36718269653052266,,,,0.3157185894027999,0.10209758035844992,3,6e-05,3e-05,0.5,21.770137786865234,28.18359375,2.530032157897949,0.5060694217681885,0.5106494426727295,0.0,3.547048568725586
9,3.9342660903930664,3.7700620889663696,2.2937954664230347,2.2711795568466187,-0.05959855392575264,0.18208356201648712,0.867660641670227,10.109556674957275,1.7688108682632446,1.0,0.0,1.0,0.05,0.08333333333333333,0.33695652173913043,0.30434782608695654,0.33695652173913043,0.33152173913043476,0.33695652173913043,0.867660641670227,0.8949666023254395,0.8403546810150146,0.18208356201648712,0.9006783962249756,0.7170994579792023,0.3589403033256531,0.2685032933950424,1.9947029948234558,2.1235225200653076,4.60390567779541,0.007178806001320481,0.0,0.002493378589861095,0.008848011028021574,0.1611367017030716,2.1356968879699707,0.40540540540540543,0.360990860990861,0.412037037037037,0.3577206381127949,0.40540540540540543,0.40540540540540543,0.40540540540540543,,,,,,,0.3577206381127949,0.10209758035844992,3,6e-05,3e-05,0.5,21.770931243896484,28.18359375,2.476261615753174,0.5185604095458984,0.0,0.0,2.995159864425659
10,3.88920795917511,3.5309088230133057,2.0622661113739014,2.2594504356384277,0.031832803040742874,0.34874914586544037,0.7685335874557495,9.315994262695312,1.562132716178894,1.0,0.0,1.0,0.1,0.16666666666666666,0.32608695652173914,0.3804347826086957,0.32608695652173914,0.32608695652173914,0.34782608695652173,0.7685335874557495,0.7831097841262817,0.7539573907852173,0.34874914586544037,0.8723067045211792,0.687368780374527,0.3575151860713959,0.2671077251434326,2.0158238410949707,2.095778465270996,4.389502048492432,0.014300607144832611,0.0,0.005039559444412589,0.017464821226894855,0.30726513266563416,2.0180938243865967,0.4594594594594595,0.39783950617283953,0.4490740740740741,0.3943121693121693,0.4594594594594595,0.4594594594594595,0.4594594594594595,1.9446580410003662,0.5135135135135135,0.48255524431995017,0.4090909090909091,0.367425192915389,-0.08300395256916998,0.3943121693121693,0.3157185894027999,3,6e-05,3e-05,0.5,21.772907257080078,28.18359375,2.61299204826355,0.4988417625427246,0.5037825107574463,0.7654874324798584,4.381372928619385
