epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.233595371246338,5.316918849945068,3.296234130859375,3.1087456941604614,-0.2777448147535324,0.0,0.0,15.64375638961792,0.0,1.0,0.0,0.0,0.0,0.0,0.10326086956521739,0.02717391304347826,0.10326086956521739,0.08152173913043478,0.09239130434782608,0.0,0.0,0.0,0.0,0.5004427582025528,1.2640764117240906,0.3540344834327698,0.2634458839893341,1.776051938533783,1.798543632030487,6.500226020812988,0.0,0.0,0.0,0.0,0.0,2.858497142791748,0.07692307692307693,0.015151515151515152,0.16666666666666666,0.02777777777777778,0.07692307692307693,0.07692307692307693,0.07692307692307693,2.8537418842315674,0.11538461538461539,0.08333333333333333,0.0625,0.03724279835390947,0.019021739130434784,0.02777777777777778,-inf,5,9e-05,3.5e-05,0.38888888888888884,21.770549774169922,28.18359375,2.947814702987671,0.40772247314453125,0.41278553009033203,0.6197378635406494,4.388375282287598
2,4.7042155265808105,4.780214309692383,2.9762206077575684,2.7753746509552,-0.2533291429281235,0.0,0.0,13.911336421966553,0.0,1.0,0.0,0.0,0.0,0.0,0.16847826086956522,0.14673913043478262,0.16847826086956522,0.19021739130434784,0.1358695652173913,0.0,0.0,0.0,0.0,0.5241647958755493,1.1404958367347717,0.35144801437854767,0.26387739181518555,1.75739324092865,1.7903403043746948,5.948684930801392,0.0,0.0,0.0,0.0,0.0,2.6968836784362793,0.07692307692307693,0.015873015873015872,0.16666666666666666,0.028985507246376805,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,0.028985507246376805,-inf,5,9e-05,3.5e-05,0.38888888888888884,21.770201683044434,28.18359375,1.9917404651641846,0.4122467041015625,0.0,0.0,2.4042413234710693
3,4.312034606933594,4.3578855991363525,2.6780951023101807,2.584293246269226,-0.15283610671758652,0.0,0.0,12.622495651245117,0.0,1.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.1956521739130435,0.17391304347826086,0.23369565217391305,0.1793478260869565,0.0,0.0,0.0,0.0,0.46318693459033966,1.0486705899238586,0.3506219983100891,0.2654825448989868,1.7613602876663208,1.7837566137313843,5.325674533843994,0.0,0.0,0.0,0.0,0.0,2.510626792907715,0.19230769230769232,0.07777777777777778,0.26666666666666666,0.11064425770308123,0.19230769230769232,0.19230769230769232,0.19230769230769232,,,,,,,0.11064425770308123,-inf,5,9e-05,3.5e-05,0.38888888888888884,21.770931243896484,28.18359375,2.450157880783081,0.4156320095062256,0.0,0.0,2.8660178184509277
4,4.0056716203689575,4.020397663116455,2.4641683101654053,2.394199013710022,-0.04908662475645542,0.0,0.0,11.7621169090271,0.0,1.0,0.0,0.0,0.0,0.0,0.22826086956521738,0.2554347826086957,0.22826086956521738,0.266304347826087,0.22826086956521738,0.0,0.0,0.0,0.0,0.5173026025295258,1.0603189170360565,0.35199031233787537,0.2641395628452301,1.7355477809906006,1.7886900901794434,4.819190979003906,0.0,0.0,0.0,0.0,0.0,2.369490623474121,0.23076923076923078,0.0846153846153846,0.3,0.12962962962962962,0.23076923076923078,0.23076923076923078,0.23076923076923078,,,,,,,0.12962962962962962,-inf,5,9e-05,3.5e-05,0.38888888888888884,21.771968841552734,28.18359375,2.0598247051239014,0.40948057174682617,0.0,0.0,2.4695346355438232
5,3.7114272117614746,3.7365870475769043,2.3558037281036377,2.1242820024490356,-0.08386626467108727,0.0,0.0,10.621949195861816,0.0,1.0,0.0,0.0,0.0,0.0,0.358695652173913,0.30434782608695654,0.358695652173913,0.3532608695652174,0.32608695652173914,0.0,0.0,0.0,0.0,0.5068233758211136,0.9742350578308105,0.35145607590675354,0.2645908445119858,1.730515718460083,1.76578688621521,4.434460163116455,0.0,0.0,0.0,0.0,0.0,2.314479351043701,0.23076923076923078,0.07638888888888888,0.25,0.11666666666666665,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.4146761894226074,0.23076923076923078,0.14285714285714285,0.2604166666666667,0.16661176987263945,0.09284420289855072,0.11666666666666665,0.02777777777777778,5,9e-05,3.5e-05,0.38888888888888884,21.771778106689453,28.18359375,2.3976874351501465,0.41104745864868164,0.4149627685546875,0.6134378910064697,3.837395668029785
6,3.4160921573638916,3.455803394317627,2.110351800918579,2.069925546646118,-0.13237084075808525,0.0,0.0,10.000890254974365,0.0,1.0,0.0,0.0,0.0,0.0,0.3641304347826087,0.33152173913043476,0.3641304347826087,0.4076086956521739,0.358695652173913,0.0,0.0,0.0,0.0,0.5116067081689835,0.9448367953300476,0.3523740917444229,0.26323558390140533,1.7123329043388367,1.7536923289299011,4.020579099655151,0.0,0.0,0.0,0.0,0.0,2.335153102874756,0.23076923076923078,0.07060185185185185,0.25,0.10966810966810965,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.460559844970703,0.23076923076923078,0.13032581453634084,,,,0.10966810966810965,0.028985507246376805,5,9e-05,3.5e-05,0.38888888888888884,21.771968841552734,28.18359375,2.3615119457244873,0.4038584232330322,0.41440773010253906,0.0,3.1800591945648193
7,3.3767014741897583,3.1813266277313232,2.011045455932617,1.8004325032234192,-0.1466483436524868,0.2393692582845688,0.0,9.622480869293213,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.4673913043478261,0.3532608695652174,0.4673913043478261,0.46195652173913043,0.45108695652173914,0.0,0.0,0.0,0.2393692582845688,0.5908530056476593,0.9330986738204956,0.3528054803609848,0.26399894058704376,1.6940381526947021,1.7502514123916626,4.067357063293457,0.008232127875089645,0.0,0.0035292463144287467,0.0072927146684378386,0.22031517326831818,2.380621910095215,0.23076923076923078,0.06753812636165578,0.25,0.10606060606060606,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.526854991912842,0.23076923076923078,0.1259259259259259,,,,0.10606060606060606,0.10606060606060606,5,9e-05,3.5e-05,0.38888888888888884,21.770793914794922,28.18359375,2.527127981185913,0.4090850353240967,0.40801382064819336,0.0,3.344501495361328
8,3.4663068056106567,3.0960936546325684,1.9266226887702942,1.7991861701011658,-0.23057013750076294,0.43938426673412323,0.0,9.382623672485352,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.4945652173913043,0.4076086956521739,0.4945652173913043,0.4891304347826087,0.4076086956521739,0.0,0.0,0.0,0.43938426673412323,0.5951813161373138,0.9866510629653931,0.350631982088089,0.26236143708229065,1.692662537097931,1.7267536520957947,3.706883668899536,0.01636282540857792,0.0,0.007052761036902666,0.014389614574611187,0.4015790671110153,2.4226601123809814,0.19230769230769232,0.03787878787878788,0.16666666666666666,0.06172839506172839,0.19230769230769232,0.19230769230769232,0.19230769230769232,,,,,,,0.06172839506172839,0.06172839506172839,5,9e-05,3.5e-05,0.38888888888888884,21.770137786865234,28.18359375,2.2355079650878906,0.4113004207611084,0.0,0.0,2.647139549255371
9,3.513144373893738,2.914674758911133,1.821420431137085,1.6819297075271606,-0.18426629900932312,0.6537495255470276,0.8057881593704224,9.170682907104492,1.6709351539611816,1.0,0.0,1.0,0.05,0.25,0.483695652173913,0.5163043478260869,0.483695652173913,0.5380434782608695,0.44021739130434784,0.8057881593704224,0.7765917778015137,0.8349844813346863,0.6537495255470276,0.5582364797592163,0.7904768884181976,0.34848372638225555,0.261849045753479,1.6513028740882874,1.7017247676849365,3.666095018386841,0.024393861182034016,0.0,0.010320642963051796,0.021271560341119766,0.595740407705307,2.479975700378418,0.19230769230769232,0.03968253968253968,0.16666666666666666,0.0641025641025641,0.19230769230769232,0.19230769230769232,0.19230769230769232,,,,,,,0.0641025641025641,0.06172839506172839,5,9e-05,3.5e-05,0.38888888888888884,21.770931243896484,28.18359375,2.818528175354004,0.4122140407562256,0.0,0.0,3.2309696674346924
10,3.578234314918518,2.8133630752563477,1.820024311542511,1.5282135009765625,-0.11279235407710075,0.7987090051174164,0.7902721762657166,9.24120283126831,1.6143798828125,1.0,0.0,1.0,0.1,0.3333333333333333,0.657608695652174,0.44565217391304346,0.657608695652174,0.592391304347826,0.4782608695652174,0.7902721762657166,0.7818057537078857,0.7987385988235474,0.7987090051174164,0.670966386795044,0.8728500604629517,0.34634654223918915,0.2603099048137665,1.632368564605713,1.6885501742362976,3.3231059312820435,0.03232567757368088,0.0,0.01360307214781642,0.028142504394054413,0.7200062870979309,2.4673962593078613,0.19230769230769232,0.034722222222222224,0.16666666666666666,0.0574712643678161,0.19230769230769232,0.19230769230769232,0.19230769230769232,2.636617660522461,0.23076923076923078,0.11965811965811964,0.23958333333333334,0.12897196261682242,0.3528079710144927,0.0574712643678161,0.0574712643678161,5,9e-05,3.5e-05,0.38888888888888884,21.772907257080078,28.18359375,2.453054904937744,0.41446495056152344,0.4152514934539795,0.6237888336181641,3.906815528869629
