epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.233595371246338,5.316918849945068,3.296234130859375,3.1087456941604614,-0.2777448147535324,0.0,0.0,15.64375638961792,0.0,1.0,0.0,0.0,0.0,0.0,0.10326086956521739,0.02717391304347826,0.10326086956521739,0.08152173913043478,0.09239130434782608,0.0,0.0,0.0,0.0,0.5004427582025528,1.2640764117240906,0.3540344834327698,0.2634458839893341,1.776051938533783,1.798543632030487,6.500226020812988,0.0,0.0,0.0,0.0,0.0,2.858497142791748,0.07692307692307693,0.015151515151515152,0.16666666666666666,0.02777777777777778,0.07692307692307693,0.07692307692307693,0.07692307692307693,2.8537418842315674,0.11538461538461539,0.08333333333333333,0.0625,0.03724279835390947,0.019021739130434784,0.02777777777777778,-inf,5,9e-05,3.5e-05,0.38888888888888884,21.770549774169922,28.18359375,2.943758726119995,0.42444634437561035,0.42614126205444336,0.6176168918609619,4.412274599075317
2,4.7042155265808105,4.780214309692383,2.9762206077575684,2.7753746509552,-0.2533291429281235,0.0,0.0,13.911336421966553,0.0,1.0,0.0,0.0,0.0,0.0,0.16847826086956522,0.14673913043478262,0.16847826086956522,0.19021739130434784,0.1358695652173913,0.0,0.0,0.0,0.0,0.5241647958755493,1.1404958367347717,0.35144801437854767,0.26387739181518555,1.75739324092865,1.7903403043746948,5.948684930801392,0.0,0.0,0.0,0.0,0.0,2.6968836784362793,0.07692307692307693,0.015873015873015872,0.16666666666666666,0.028985507246376805,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,0.028985507246376805,-inf,5,9e-05,3.5e-05,0.38888888888888884,21.770201683044434,28.18359375,1.8945472240447998,0.4320380687713623,0.0,0.0,2.326815366744995
3,4.312034606933594,4.3578855991363525,2.6780951023101807,2.584293246269226,-0.15283610671758652,0.0,0.0,12.622495651245117,0.0,1.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.1956521739130435,0.17391304347826086,0.23369565217391305,0.1793478260869565,0.0,0.0,0.0,0.0,0.46318693459033966,1.0486705899238586,0.3506219983100891,0.2654825448989868,1.7613602876663208,1.7837566137313843,5.325674533843994,0.0,0.0,0.0,0.0,0.0,2.510626792907715,0.19230769230769232,0.07777777777777778,0.26666666666666666,0.11064425770308123,0.19230769230769232,0.19230769230769232,0.19230769230769232,,,,,,,0.11064425770308123,-inf,5,9e-05,3.5e-05,0.38888888888888884,21.770931243896484,28.18359375,2.4233882427215576,0.42401885986328125,0.0,0.0,2.847628593444824
4,4.0056716203689575,4.020397663116455,2.4641683101654053,2.394199013710022,-0.04908662475645542,0.0,0.0,11.7621169090271,0.0,1.0,0.0,0.0,0.0,0.0,0.22826086956521738,0.2554347826086957,0.22826086956521738,0.266304347826087,0.22826086956521738,0.0,0.0,0.0,0.0,0.5173026025295258,1.0603189170360565,0.35199031233787537,0.2641395628452301,1.7355477809906006,1.7886900901794434,4.819190979003906,0.0,0.0,0.0,0.0,0.0,2.369490623474121,0.23076923076923078,0.0846153846153846,0.3,0.12962962962962962,0.23076923076923078,0.23076923076923078,0.23076923076923078,,,,,,,0.12962962962962962,-inf,5,9e-05,3.5e-05,0.38888888888888884,21.771968841552734,28.18359375,1.9783928394317627,0.4258081912994385,0.0,0.0,2.4044272899627686
5,3.7114272117614746,3.7365870475769043,2.3558037281036377,2.1242820024490356,-0.08386626467108727,0.0,0.0,10.621949195861816,0.0,1.0,0.0,0.0,0.0,0.0,0.358695652173913,0.30434782608695654,0.358695652173913,0.3532608695652174,0.32608695652173914,0.0,0.0,0.0,0.0,0.5068233758211136,0.9742350578308105,0.35145607590675354,0.2645908445119858,1.730515718460083,1.76578688621521,4.434460163116455,0.0,0.0,0.0,0.0,0.0,2.314479351043701,0.23076923076923078,0.07638888888888888,0.25,0.11666666666666665,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.4146761894226074,0.23076923076923078,0.14285714285714285,0.2604166666666667,0.16661176987263945,0.09284420289855072,0.11666666666666665,0.02777777777777778,5,9e-05,3.5e-05,0.38888888888888884,21.771778106689453,28.18359375,2.3812763690948486,0.4887197017669678,0.42893528938293457,0.6175172328948975,3.916696786880493
6,3.4160921573638916,3.455803394317627,2.110351800918579,2.069925546646118,-0.13237084075808525,0.0,0.0,10.000890254974365,0.0,1.0,0.0,0.0,0.0,0.0,0.3641304347826087,0.33152173913043476,0.3641304347826087,0.4076086956521739,0.358695652173913,0.0,0.0,0.0,0.0,0.5116067081689835,0.9448367953300476,0.3523740917444229,0.26323558390140533,1.7123329043388367,1.7536923289299011,4.020579099655151,0.0,0.0,0.0,0.0,0.0,2.335153102874756,0.23076923076923078,0.07060185185185185,0.25,0.10966810966810965,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.460559844970703,0.23076923076923078,0.13032581453634084,,,,0.10966810966810965,0.028985507246376805,5,9e-05,3.5e-05,0.38888888888888884,21.771968841552734,28.18359375,2.3359508514404297,0.42644572257995605,0.4282093048095703,0.0,3.190882921218872
7,3.1387200355529785,3.181701898574829,2.01119601726532,1.8007782697677612,-0.14327295497059822,0.0,0.0,9.497797966003418,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.4673913043478261,0.3532608695652174,0.4673913043478261,0.46195652173913043,0.45108695652173914,0.0,0.0,0.0,0.0,0.5906348526477814,0.9329079687595367,0.3530886471271515,0.26412054896354675,1.6941152811050415,1.750307321548462,4.068434000015259,0.0,0.0,0.0,0.0,0.0,2.3808655738830566,0.23076923076923078,0.06753812636165578,0.25,0.10606060606060606,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.526921510696411,0.23076923076923078,0.1259259259259259,,,,0.10606060606060606,0.10606060606060606,5,9e-05,3.5e-05,0.38888888888888884,21.770793914794922,28.18359375,2.514671564102173,0.42908358573913574,0.4268686771392822,0.0,3.370889902114868
8,3.0300257205963135,3.0992122888565063,1.9281538724899292,1.8016282320022583,-0.23062172532081604,0.0,0.0,9.13667106628418,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.4891304347826087,0.4076086956521739,0.4891304347826087,0.483695652173913,0.4076086956521739,0.0,0.0,0.0,0.0,0.594048023223877,0.9861061275005341,0.35244356095790863,0.2631392180919647,1.6932558417320251,1.7271225452423096,3.715731382369995,0.0,0.0,0.0,0.0,0.0,2.4211878776550293,0.19230769230769232,0.03787878787878788,0.16666666666666666,0.06172839506172839,0.19230769230769232,0.19230769230769232,0.19230769230769232,,,,,,,0.06172839506172839,0.06172839506172839,5,9e-05,3.5e-05,0.38888888888888884,21.770137786865234,28.18359375,2.174614429473877,0.4266479015350342,0.0,0.0,2.601548194885254
9,2.8669657707214355,2.921268939971924,1.8244962096214294,1.6873425841331482,-0.18771260976791382,0.002010589581914246,0.8096387982368469,8.743283748626709,1.680862545967102,1.0,0.0,1.0,0.05,0.25,0.483695652173913,0.5108695652173914,0.483695652173913,0.5271739130434783,0.43478260869565216,0.8096387982368469,0.7818965911865234,0.8373810052871704,0.002010589581914246,0.5536825656890869,0.7867104709148407,0.3523666560649872,0.263481467962265,1.652742087841034,1.7026681303977966,3.686149001121521,0.0,0.0,0.0,0.0,0.0,2.4702677726745605,0.19230769230769232,0.03968253968253968,0.16666666666666666,0.0641025641025641,0.19230769230769232,0.19230769230769232,0.19230769230769232,,,,,,,0.0641025641025641,0.06172839506172839,5,9e-05,3.5e-05,0.38888888888888884,21.770931243896484,28.18359375,2.7956624031066895,0.4239315986633301,0.0,0.0,3.219869375228882
10,2.7946484088897705,2.8254975080490112,1.825378179550171,1.5386451482772827,-0.11785927042365074,0.004508746555075049,0.8044740557670593,8.62012004852295,1.6291935443878174,1.0,0.0,1.0,0.1,0.3333333333333333,0.6467391304347826,0.45108695652173914,0.6467391304347826,0.5978260869565217,0.4673913043478261,0.8044740557670593,0.8003585338592529,0.8085895776748657,0.004508746555075049,0.6527628302574158,0.8501527011394501,0.3529554754495621,0.263107106089592,1.6360889673233032,1.6908494234085083,3.3616182804107666,0.0,0.0,0.0,0.0,0.0,2.446805238723755,0.19230769230769232,0.034722222222222224,0.16666666666666666,0.0574712643678161,0.19230769230769232,0.19230769230769232,0.19230769230769232,2.624054431915283,0.23076923076923078,0.11965811965811964,0.23958333333333334,0.13315696649029982,0.35824275362318836,0.0574712643678161,0.0574712643678161,5,9e-05,3.5e-05,0.38888888888888884,21.772907257080078,28.18359375,2.280174970626831,0.4233686923980713,0.4315357208251953,0.618945837020874,3.754279851913452
11,2.63455331325531,2.662204146385193,1.6231436133384705,1.5985546708106995,-0.11265447735786438,0.0061455222312361,0.7998658418655396,8.524932384490967,1.5736290216445923,1.0,0.0,1.0,0.15,0.4166666666666667,0.5978260869565217,0.6086956521739131,0.5978260869565217,0.5760869565217391,0.5380434782608695,0.7998658418655396,0.7776782512664795,0.8220534920692444,0.0061455222312361,0.568597674369812,0.797074019908905,0.35433371365070343,0.2627986818552017,1.6237053275108337,1.6709162592887878,3.236205816268921,0.0,0.0,0.0,0.0,0.0,2.5324153900146484,0.19230769230769232,0.03333333333333333,0.16666666666666666,0.05555555555555556,0.19230769230769232,0.19230769230769232,0.19230769230769232,,,,,,,0.05555555555555556,0.05555555555555556,5,9e-05,3.5e-05,0.38888888888888884,21.772716522216797,28.18359375,2.0261402130126953,0.425673246383667,0.0,0.0,2.452040672302246
