epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.414484262466431,5.3207582632700605,3.111937085787455,3.398186445236206,0.31241998511056107,0.0,0.0,14.575032552083334,0.0,1.0,0.0,0.0,0.0,0.0,0.07065217391304347,0.10507246376811594,0.07065217391304347,0.06884057971014493,0.08333333333333333,0.0,0.0,0.0,0.0,0.5941588679949442,0.5673687011003494,0.36433472235997516,0.27160656948884326,2.052340269088745,2.0838458140691123,6.509044885635376,0.0,0.0,0.0,0.0,0.0,2.65528404712677,0.20833333333333334,0.1611498257839721,0.15343574108818012,0.10475820763087842,0.20833333333333334,0.20833333333333334,0.20833333333333334,2.6871670484542847,0.25833333333333336,0.14137564498259664,0.15268817204301074,0.07248760330578512,-0.08384759233286582,0.10475820763087842,0.10475820763087842,1,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,4.025182723999023,0.5746181011199951,0.5915095806121826,0.8644607067108154,6.056071519851685
2,4.274785121281941,4.231435974438985,2.4163936376571655,2.792372941970825,0.1444971263408661,0.0,0.0,11.199067115783691,0.0,1.0,0.0,0.0,0.0,0.0,0.161231884057971,0.27717391304347827,0.161231884057971,0.17391304347826086,0.27717391304347827,0.0,0.0,0.0,0.0,0.5699805617332458,0.4957136958837509,0.36548211177190143,0.27101097504297894,2.0155811111132302,2.065616726875305,5.260392904281616,0.0,0.0,0.0,0.0,0.0,2.49714457988739,0.14166666666666666,0.11739864864864866,0.2682926829268293,0.0737524888003982,0.14166666666666666,0.14166666666666666,0.14166666666666666,,,,,,,0.0737524888003982,0.0737524888003982,1,7e-05,3.5e-05,0.5,21.772159576416016,28.18359375,3.2832558155059814,0.5833969116210938,0.0,0.0,3.866931438446045
3,3.7276463508605957,3.7375208536783853,2.187637766202291,2.3844356139500937,-0.032914836735775076,0.0,0.0,9.691201527913412,0.0,1.0,0.0,0.0,0.0,0.0,0.27355072463768115,0.34601449275362317,0.27355072463768115,0.26811594202898553,0.36231884057971014,0.0,0.0,0.0,0.0,0.557788203159968,0.4760928551355998,0.3665971557299296,0.2706098407506943,1.9860315720240276,2.032357176144918,4.5355424880981445,0.0,0.0,0.0,0.0,0.0,2.2906750440597534,0.10833333333333334,0.1444534632034632,0.24528025328330208,0.06976964411557435,0.10833333333333334,0.10833333333333334,0.10833333333333334,,,,,,,0.06976964411557435,0.06976964411557435,1,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,3.4275217056274414,0.587712287902832,0.0,0.0,4.0154619216918945
4,3.293489138285319,3.312502463658651,1.980450967947642,2.0493101278940835,-0.06337772977227966,0.0,0.0,9.13349692026774,0.0,1.0,0.0,0.0,0.0,0.0,0.38405797101449274,0.4003623188405797,0.38405797101449274,0.3079710144927536,0.41304347826086957,0.0,0.0,0.0,0.0,0.5884503821531931,0.5024509380261103,0.3682372470696767,0.27131415406862897,1.9248822728792827,1.986684004465739,4.10300346215566,0.0,0.0,0.0,0.0,0.0,2.0929625034332275,0.16666666666666666,0.34212758191265513,0.2891302262159897,0.14484037869900784,0.16666666666666666,0.16666666666666666,0.16666666666666666,2.0340179800987244,0.175,0.1515965790965791,,,,0.14484037869900784,0.14484037869900784,1,7e-05,3.5e-05,0.5,21.772159576416016,28.18359375,3.650047540664673,0.5894124507904053,0.5956778526306152,0.0,4.835382699966431
5,2.966187000274658,3.00613009929657,1.7814818421999614,1.8840743899345398,-0.1331436944504579,0.0,0.0,8.380842924118042,0.0,1.0,0.0,0.0,0.0,0.0,0.45471014492753625,0.4963768115942029,0.45471014492753625,0.411231884057971,0.5108695652173914,0.0,0.0,0.0,0.0,0.6029641032218933,0.5547267198562622,0.3690660943587621,0.271047443151474,1.8894552787144978,1.9324987332026164,3.7602794965108237,0.0,0.0,0.0,0.0,0.0,1.9342886209487915,0.275,0.5224174347158218,0.5284159581581374,0.3784920366704885,0.275,0.275,0.275,1.8578239679336548,0.31666666666666665,0.428841398383784,0.2645161290322581,0.36269957999174557,0.14671575502571294,0.3784920366704885,0.3784920366704885,1,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,3.3363895416259766,0.5912594795227051,0.5920617580413818,0.8496248722076416,5.369637489318848
6,2.7901633183161416,2.8284266789754233,1.6590813199679058,1.7989929715792339,-0.13440009454886118,0.0020566850434988737,0.8483507831891378,8.503089586893717,1.5405571858088176,1.0,0.0,3.0,0.05,0.1,0.5108695652173914,0.572463768115942,0.5108695652173914,0.4692028985507246,0.5905797101449275,0.8483507831891378,0.7299643158912659,0.9667372504870096,0.0020566850434988737,0.6182840367158254,0.5569645414749781,0.3689226061105728,0.27157525221506756,1.8580444852511089,1.8953503966331482,3.5177546739578247,0.0,0.0,0.0,0.0,0.0,1.87124103307724,0.3333333333333333,0.694937275985663,0.6358731571980512,0.4803179255884635,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.7716282606124878,0.4,0.5262302557803256,,,,0.4803179255884635,0.4803179255884635,1,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,3.8207008838653564,0.5843257904052734,0.5958335399627686,0.0,5.001147508621216
7,2.5492289463678994,2.5840705235799155,1.5045602520306904,1.6607850392659504,-0.12990629052122435,0.004130385350435972,0.8514730334281921,7.98526914914449,1.5286829868952434,1.0,0.0,3.0,0.1,0.2,0.5742753623188406,0.6431159420289855,0.5742753623188406,0.5416666666666666,0.625,0.8514730334281921,0.7745855649312338,0.9283605217933655,0.004130385350435972,0.6059820751349131,0.5741279870271683,0.36783704658349353,0.27137964963912964,1.8391045331954956,1.859728713830312,3.3278741439183555,0.0,0.0,0.0,0.0,0.0,1.7356497049331665,0.38333333333333336,0.6930127164502164,0.6648666981216027,0.5282006738867515,0.38333333333333336,0.38333333333333336,0.38333333333333336,1.6509039402008057,0.425,0.5592332836809004,,,,0.5282006738867515,0.5282006738867515,1,7e-05,3.5e-05,0.5,21.771870136260986,28.18359375,3.889896869659424,0.5900664329528809,0.596198558807373,0.0,5.07645058631897
8,2.383924206097921,2.421910842259725,1.4275728265444438,1.5297508637110393,-0.14620579282442728,0.005875088041648269,0.8538500666618347,8.316339254379272,1.5068360567092896,1.0,0.0,3.0,0.15,0.3,0.6068840579710145,0.6648550724637681,0.6068840579710145,0.5869565217391305,0.6865942028985508,0.8538500666618347,0.7824504574139913,0.9252496957778931,0.005875088041648269,0.5591133236885071,0.5599510918060938,0.3685425619284312,0.2731245259443919,1.7858140269915264,1.815946102142334,3.097986419995626,0.0,0.0,0.0,0.0,0.0,1.4814802408218384,0.6,0.6902426338281601,0.7754380594220202,0.6583616780045352,0.6,0.6,0.6,1.3894070386886597,0.7083333333333334,0.7096641502129307,,,,0.6583616780045352,0.6583616780045352,1,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,3.7113544940948486,0.5843403339385986,0.6129767894744873,0.0,4.908940553665161
9,2.262011686960856,2.289277712504069,1.344628393650055,1.4533066948254902,-0.11504924048980077,0.0072487695918728905,0.9666217565536499,7.966432889302571,1.6638057231903076,1.0,0.0,3.0,0.2,0.4,0.6612318840579711,0.7119565217391305,0.6612318840579711,0.6340579710144928,0.6739130434782609,0.9666217565536499,0.8682846625645956,1.0649588505427043,0.0072487695918728905,0.5208957840998968,0.5146427005529404,0.36944261689980823,0.27603447437286377,1.7420405546824138,1.7700626651446025,2.9189401070276895,0.0,0.0,0.0,0.0,0.0,1.4466449618339539,0.6583333333333333,0.715518835739424,0.7951179421056145,0.6712924189978291,0.6583333333333333,0.6583333333333333,0.6583333333333333,1.3786309361457825,0.7333333333333333,0.7246275496275497,,,,0.6712924189978291,0.6712924189978291,1,7e-05,3.5e-05,0.5,21.771870136260986,28.18359375,3.2982077598571777,0.5878665447235107,0.5982542037963867,0.0,4.484617471694946
10,2.1839362382888794,2.189878980318705,1.2946753700574238,1.3772363464037578,-0.04752572503639385,0.00831497871937851,0.9867773254712423,8.003191073735556,1.6592851479848225,1.0,0.0,3.0,0.25,0.5,0.7028985507246377,0.7336956521739131,0.7028985507246377,0.6467391304347826,0.7282608695652174,0.9867773254712423,0.9087128837903341,1.0648417870203655,0.00831497871937851,0.49897069732348126,0.4513126015663147,0.3723269651333491,0.2788946082194646,1.733626087506612,1.7499138514200847,2.79649023214976,0.0,0.0,0.0,0.0,0.0,1.3571528196334839,0.675,0.6563014029046638,0.801720234299105,0.6527490252714038,0.675,0.675,0.675,1.2948793768882751,0.7416666666666667,0.7093615980754799,0.6602150537634408,0.6626597141933054,-0.013475923328658213,0.6527490252714038,0.6527490252714038,1,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,3.705059289932251,0.5890018939971924,0.5919919013977051,0.909296989440918,5.795648574829102
