epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.414484262466431,5.3207582632700605,3.111937085787455,3.398186445236206,0.31241998511056107,0.0,0.0,14.575032552083334,0.0,1.0,0.0,0.0,0.0,0.0,0.07065217391304347,0.10507246376811594,0.07065217391304347,0.06884057971014493,0.08333333333333333,0.0,0.0,0.0,0.0,0.5941588679949442,0.5673687011003494,0.36433472235997516,0.27160656948884326,2.052340269088745,2.0838458140691123,6.509044885635376,0.0,0.0,0.0,0.0,0.0,2.65528404712677,0.20833333333333334,0.1611498257839721,0.15343574108818012,0.10475820763087842,0.20833333333333334,0.20833333333333334,0.20833333333333334,2.6871670484542847,0.25833333333333336,0.14137564498259664,0.15268817204301074,0.07248760330578512,-0.08384759233286582,0.10475820763087842,0.10475820763087842,1,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,4.044433832168579,0.5842673778533936,0.5930280685424805,0.8298966884613037,6.051931858062744
2,4.274785121281941,4.231435974438985,2.4163936376571655,2.792372941970825,0.1444971263408661,0.0,0.0,11.199067115783691,0.0,1.0,0.0,0.0,0.0,0.0,0.161231884057971,0.27717391304347827,0.161231884057971,0.17391304347826086,0.27717391304347827,0.0,0.0,0.0,0.0,0.5699805617332458,0.4957136958837509,0.36548211177190143,0.27101097504297894,2.0155811111132302,2.065616726875305,5.260392904281616,0.0,0.0,0.0,0.0,0.0,2.49714457988739,0.14166666666666666,0.11739864864864866,0.2682926829268293,0.0737524888003982,0.14166666666666666,0.14166666666666666,0.14166666666666666,,,,,,,0.0737524888003982,0.0737524888003982,1,7e-05,3.5e-05,0.5,21.772159576416016,28.18359375,3.397947072982788,0.5856418609619141,0.0,0.0,3.983863115310669
3,3.7276463508605957,3.7375208536783853,2.187637766202291,2.3844356139500937,-0.032914836735775076,0.0,0.0,9.691201527913412,0.0,1.0,0.0,0.0,0.0,0.0,0.27355072463768115,0.34601449275362317,0.27355072463768115,0.26811594202898553,0.36231884057971014,0.0,0.0,0.0,0.0,0.557788203159968,0.4760928551355998,0.3665971557299296,0.2706098407506943,1.9860315720240276,2.032357176144918,4.5355424880981445,0.0,0.0,0.0,0.0,0.0,2.2906750440597534,0.10833333333333334,0.1444534632034632,0.24528025328330208,0.06976964411557435,0.10833333333333334,0.10833333333333334,0.10833333333333334,,,,,,,0.06976964411557435,0.06976964411557435,1,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,3.577080249786377,0.593881368637085,0.0,0.0,4.171190500259399
4,3.293489138285319,3.312502463658651,1.980450967947642,2.0493101278940835,-0.06337772977227966,0.0,0.0,9.13349692026774,0.0,1.0,0.0,0.0,0.0,0.0,0.38405797101449274,0.4003623188405797,0.38405797101449274,0.3079710144927536,0.41304347826086957,0.0,0.0,0.0,0.0,0.5884503821531931,0.5024509380261103,0.3682372470696767,0.27131415406862897,1.9248822728792827,1.986684004465739,4.10300346215566,0.0,0.0,0.0,0.0,0.0,2.0929625034332275,0.16666666666666666,0.34212758191265513,0.2891302262159897,0.14484037869900784,0.16666666666666666,0.16666666666666666,0.16666666666666666,2.0340179800987244,0.175,0.1515965790965791,,,,0.14484037869900784,0.14484037869900784,1,7e-05,3.5e-05,0.5,21.772159576416016,28.18359375,3.7972848415374756,0.5880615711212158,0.5977487564086914,0.0,4.983327865600586
5,2.966187000274658,3.00613009929657,1.7814818421999614,1.8840743899345398,-0.1331436944504579,0.0,0.0,8.380842924118042,0.0,1.0,0.0,0.0,0.0,0.0,0.45471014492753625,0.4963768115942029,0.45471014492753625,0.411231884057971,0.5108695652173914,0.0,0.0,0.0,0.0,0.6029641032218933,0.5547267198562622,0.3690660943587621,0.271047443151474,1.8894552787144978,1.9324987332026164,3.7602794965108237,0.0,0.0,0.0,0.0,0.0,1.9342886209487915,0.275,0.5224174347158218,0.5284159581581374,0.3784920366704885,0.275,0.275,0.275,1.8578239679336548,0.31666666666666665,0.428841398383784,0.2645161290322581,0.36269957999174557,0.14671575502571294,0.3784920366704885,0.3784920366704885,1,7e-05,3.5e-05,0.5,21.770931243896484,28.18359375,3.384676218032837,0.591839075088501,0.5947175025939941,0.8528463840484619,5.4243903160095215
6,2.9889405965805054,2.8271365960439048,1.6585453152656555,1.7978328466415405,-0.13434229915340742,0.20210673163334528,0.8360189994176229,8.649155934651693,1.5234489838282268,1.0,0.0,3.0,0.05,0.1,0.5090579710144928,0.572463768115942,0.5090579710144928,0.4692028985507246,0.5869565217391305,0.8360189994176229,0.7191563447316488,0.952881654103597,0.20210673163334528,0.6323520839214325,0.5716049124797186,0.3666590452194214,0.2703718493382136,1.8573252161343892,1.8948607444763184,3.5109138091405234,0.011733090039342642,0.0013518592071098585,0.0,0.011369164567440748,0.17554569244384766,1.8508588671684265,0.3333333333333333,0.6510671316268813,0.6334871550771604,0.4814051526073014,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.7731783390045166,0.4,0.5262302557803256,,,,0.4814051526073014,0.4814051526073014,1,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,4.042383670806885,0.5921733379364014,0.5846872329711914,0.0,5.219523191452026
7,2.921431382497152,2.579037149747213,1.5026789903640747,1.6559357245763142,-0.13236582900087038,0.3821040093898773,0.8061166008313497,8.274881521860758,1.4752814769744873,1.0,0.0,3.0,0.1,0.2,0.5760869565217391,0.6376811594202898,0.5760869565217391,0.5471014492753623,0.6286231884057971,0.8061166008313497,0.7339564561843872,0.8782767653465271,0.3821040093898773,0.6657809714476267,0.6400478730599085,0.35777348776658374,0.26590681076049805,1.8348487814267476,1.8564132849375408,3.2970007260640464,0.02289750458051761,0.0026590680548300347,0.0,0.022276959692438442,0.3297000726064046,1.6772648096084595,0.425,0.7197420634920635,0.6794835102596237,0.5655611684416156,0.425,0.425,0.425,1.6372877359390259,0.4166666666666667,0.5560458971110274,,,,0.5655611684416156,0.5655611684416156,1,7e-05,3.5e-05,0.5,21.771870136260986,28.18359375,3.708343505859375,0.5819895267486572,0.5965383052825928,0.0,4.887150764465332
8,2.899843414624532,2.4098729292551675,1.4216049710909526,1.520412305990855,-0.14258643488089243,0.5327464540799459,0.7677836815516154,8.775527795155844,1.3934557437896729,1.0,0.0,3.0,0.15,0.3,0.6123188405797102,0.6684782608695652,0.6123188405797102,0.592391304347826,0.6920289855072463,0.7677836815516154,0.7014762361844381,0.8340911269187927,0.5327464540799459,0.6767484843730927,0.6941063900788625,0.3477044701576233,0.26150011519591015,1.776837408542633,1.8081588943799336,3.0380030473073325,0.03337963049610456,0.003922501695342362,0.0,0.03254685861368974,0.45570047696431476,1.4179245829582214,0.6416666666666667,0.7188707770557616,0.7852828673182598,0.6897806495423385,0.6416666666666667,0.6416666666666667,0.6416666666666667,1.3938079476356506,0.6916666666666667,0.699247075045582,,,,0.6897806495423385,0.6897806495423385,1,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,3.9715092182159424,0.5904850959777832,0.5946438312530518,0.0,5.156917095184326
9,2.9634838501612344,2.3240824937820435,1.3869020144144695,1.4418161511421204,-0.10285305728514989,0.6702572604020437,0.7786966959635416,8.9530078570048,1.3656795422236125,1.0,0.0,3.0,0.2,0.4,0.6757246376811594,0.717391304347826,0.6757246376811594,0.6612318840579711,0.7065217391304348,0.7786966959635416,0.6900945901870728,0.8672988216082255,0.6702572604020437,0.6949852506319681,0.6752354602018992,0.3375028222799301,0.2582137882709503,1.7162554065386455,1.7484407424926758,2.85169247786204,0.04320036309460799,0.005164275644347072,0.0,0.041962578892707825,0.570338507493337,1.3628024458885193,0.7333333333333333,0.7335163318619201,0.8182896934719576,0.7146643185246128,0.7333333333333333,0.7333333333333333,0.7333333333333333,1.359822928905487,0.7166666666666667,0.7085969210098466,,,,0.7146643185246128,0.7146643185246128,1,7e-05,3.5e-05,0.5,21.771870136260986,28.18359375,3.3843936920166016,0.592634916305542,0.6012082099914551,0.0,4.5785112380981445
10,2.9457132816314697,2.1637797753016152,1.2825905680656433,1.3556757767995198,-0.05149394211669763,0.7973816990852356,0.7978687087694804,8.864274024963379,1.4201456705729167,1.0,0.0,3.0,0.25,0.5,0.7137681159420289,0.7463768115942029,0.7137681159420289,0.6992753623188406,0.7536231884057971,0.7978687087694804,0.7244682709376017,0.8712691267331442,0.7973816990852356,0.7214672962824503,0.6351433793703715,0.3272126267353694,0.2548711846272151,1.7039557695388794,1.718698501586914,2.700898369153341,0.052354019756118454,0.006371779677768548,0.0,0.05156095325946808,0.6752245922883352,1.3184725642204285,0.675,0.679300910087355,0.7939601656297044,0.6486005063107466,0.675,0.675,0.675,1.3141878843307495,0.6666666666666666,0.6603703954496207,0.6623655913978495,0.6575888159162623,0.036909770920991125,0.6486005063107466,0.6486005063107466,1,7e-05,3.5e-05,0.5,21.773098468780518,28.18359375,3.877930164337158,0.5918538570404053,0.6001365184783936,0.8625154495239258,5.932758569717407
