run_dir,run,variant,domain,iteration,seed,metrics_path,epochs,best_epoch,best_val_acc,best_val_precision,best_val_recall,best_val_f1,best_train_full_acc,generalization_gap,feature_embeddings,result_path,best_train_dual_d_cycle,best_train_dual_d_contrastive,best_train_dual_d_generator_total,best_train_dual_d_adv_primary,best_train_dual_d_adv_auxiliary,best_train_dual_d_prototype_contrastive,best_train_acc_target_like,best_train_acc_source_like,best_train_dual_d_identity,best_train_dual_d_classification_feedback
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_逆光_20260829_145908,module_c_full_逆光_20260829_145908/metrics_iter01,full,逆光,1,45,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_逆光_20260829_145908/metrics_iter01.csv,55,37.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_逆光_20260829_145908/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_逆光_20260829_145908/result_summary_iter01.json,0.2546221911907196,1.2221254706382751,0.4022635221481323,0.6055086851119995,0.5714124217629433,1.1732670366764069,0.9510869565217391,0.970108695652174,0.22820045426487923,1.4817960262298584
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_逆光_20260829_145908,module_c_full_逆光_20260829_145908/metrics_iter02,full,逆光,2,46,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_逆光_20260829_145908/metrics_iter02.csv,45,23.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_逆光_20260829_145908/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_逆光_20260829_145908/result_summary_iter02.json,0.2782580256462097,1.5221071541309357,0.49817781150341034,0.7179755866527557,1.1274659931659698,1.5058722496032715,0.8913043478260869,0.9320652173913043,0.24039093032479286,1.7854198515415192
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_逆光_20260829_145908,module_c_full_逆光_20260829_145908/metrics_iter03,full,逆光,3,47,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_逆光_20260829_145908/metrics_iter03.csv,52,34.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_逆光_20260829_145908/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_逆光_20260829_145908/result_summary_iter03.json,0.2557867169380188,1.2008935511112213,0.38696930557489395,0.5074564889073372,0.4212295636534691,1.1210933327674866,0.9592391304347826,0.9918478260869565,0.2290673367679119,1.4459256529808044
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_雨天_20260829_145908,module_c_full_雨天_20260829_145908/metrics_iter01,full,雨天,1,48,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_雨天_20260829_145908/metrics_iter01.csv,50,29.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_雨天_20260829_145908/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_雨天_20260829_145908/result_summary_iter01.json,0.27677395939826965,0.8693890124559402,0.7386084347963333,0.7991853505373001,0.5571861639618874,0.8002540767192841,0.9918478260869565,1.0,0.23159607872366905,1.0854728519916534
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_雨天_20260829_145908,module_c_full_雨天_20260829_145908/metrics_iter02,full,雨天,2,49,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_雨天_20260829_145908/metrics_iter02.csv,50,29.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_雨天_20260829_145908/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_雨天_20260829_145908/result_summary_iter02.json,0.2723405063152313,0.9065621048212051,0.7436708211898804,0.37911123037338257,0.4556751325726509,0.8244726955890656,1.0,1.0,0.230891615152359,1.110316276550293
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_雨天_20260829_145908,module_c_full_雨天_20260829_145908/metrics_iter03,full,雨天,3,50,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_雨天_20260829_145908/metrics_iter03.csv,50,27.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_雨天_20260829_145908/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_雨天_20260829_145908/result_summary_iter03.json,0.27813033759593964,0.948257714509964,0.7474545836448669,0.6570238471031189,0.4818549007177353,0.8892014771699905,0.9972826086956522,0.9972826086956522,0.2295602336525917,1.1023544073104858
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_黑天_20260829_145908,module_c_full_黑天_20260829_145908/metrics_iter01,full,黑天,1,42,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_黑天_20260829_145908/metrics_iter01.csv,60,60.0,0.9833333333333333,0.9910714285714286,0.9772727272727273,0.9828703703703704,0.989247311827957,0.005913978494623717,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_黑天_20260829_145908/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_黑天_20260829_145908/result_summary_iter01.json,0.20286400119463602,0.6212524871031443,0.8809642195701599,0.30324692527453107,0.3252311895291011,0.49148936072985333,1.0,0.9963768115942029,0.20519870271285376,1.2782466014226277
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_黑天_20260829_145908,module_c_full_黑天_20260829_145908/metrics_iter02,full,黑天,2,43,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_黑天_20260829_145908/metrics_iter02.csv,60,59.0,0.9416666666666667,0.9196428571428572,0.9620288248337029,0.9360497835497835,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_黑天_20260829_145908/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_黑天_20260829_145908/result_summary_iter02.json,0.1908596232533455,0.6386951208114624,0.8863591452439626,0.4760204652945201,0.2935037910938263,0.5061793426672617,0.9963768115942029,1.0,0.21603367726008096,1.2818897565205891
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_黑天_20260829_145908,module_c_full_黑天_20260829_145908/metrics_iter03,full,黑天,3,44,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_黑天_20260829_145908/metrics_iter03.csv,60,50.0,0.9666666666666667,0.9481271043771043,0.9753451082321708,0.9593827614267866,0.9913978494623656,0.02473118279569897,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_黑天_20260829_145908/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_full_黑天_20260829_145908/result_summary_iter03.json,0.20513230562210083,0.7475885848204294,0.9081278244654337,0.4159345229466756,0.4449582000573476,0.6212981839974722,1.0,1.0,0.21814759820699692,1.2943747440973918
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_classification_feedback_逆光_20260829_182253,module_c_no_classification_feedback_逆光_20260829_182253/metrics_iter01,no_classification_feedback,逆光,1,45,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_classification_feedback_逆光_20260829_182253/metrics_iter01.csv,55,37.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_classification_feedback_逆光_20260829_182253/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_classification_feedback_逆光_20260829_182253/result_summary_iter01.json,0.19463761150836945,1.2327619194984436,0.16888446360826492,0.5030773803591728,0.42933934926986694,1.1925776898860931,0.9429347826086957,0.9646739130434783,0.25054022669792175,1.5325410962104797
