variant,domain,runs,target_raw_silhouette_mean,target_raw_silhouette_std,target_translated_silhouette_mean,target_translated_silhouette_std,target_silhouette_gain_mean,target_silhouette_gain_std,source_target_raw_class_centroid_distance_mean,source_target_raw_class_centroid_distance_std,source_target_translated_class_centroid_distance_mean,source_target_translated_class_centroid_distance_std,class_centroid_alignment_gain_mean,class_centroid_alignment_gain_std,source_target_raw_coral_mean,source_target_raw_coral_std,source_target_translated_coral_mean,source_target_translated_coral_std,coral_alignment_gain_mean,coral_alignment_gain_std,source_target_raw_prototype_diagonal_mean,source_target_raw_prototype_diagonal_std,source_target_translated_prototype_diagonal_mean,source_target_translated_prototype_diagonal_std,prototype_diagonal_gain_mean,prototype_diagonal_gain_std,source_target_raw_prototype_margin_mean,source_target_raw_prototype_margin_std,source_target_translated_prototype_margin_mean,source_target_translated_prototype_margin_std,prototype_margin_gain_mean,prototype_margin_gain_std,source_target_raw_prototype_top1_mean,source_target_raw_prototype_top1_std,source_target_translated_prototype_top1_mean,source_target_translated_prototype_top1_std,prototype_top1_gain_mean,prototype_top1_gain_std,source_cycle_cosine_error_mean,source_cycle_cosine_error_std,target_cycle_cosine_error_mean,target_cycle_cosine_error_std,cycle_cosine_error_mean,cycle_cosine_error_std,source_identity_cosine_error_mean,source_identity_cosine_error_std,target_identity_cosine_error_mean,target_identity_cosine_error_std,identity_cosine_error_mean,identity_cosine_error_std
full,逆光,3,0.34136979412370777,0.049029665861939443,0.351146088653066,0.05120629164141564,0.009776294529358243,0.0026916718033217126,0.731242846145674,0.05569578414589764,0.7230366415999554,0.05811835399235938,0.008206204545718632,0.003588201169236104,0.002184719248681751,0.0004465087956397957,0.002272520334874783,0.0004157257357274716,-8.780108619303201e-05,3.1192771001634954e-05,0.2687571744124095,0.055695781641652606,0.27696335315704346,0.05811834721757654,0.008206178744633993,0.0035882090839328257,0.0976651373008887,0.05068506057323699,0.10992563267548879,0.05550128131635328,0.012260495374600092,0.004827529888808784,0.8888888888888888,0.1111111111111111,0.9629629629629629,0.06415002990995845,0.07407407407407407,0.12830005981991682,0.0330597231457801,0.0032496242978482625,0.035070910710684355,0.0023736467210013204,0.03406531692823223,0.002801390583647623,0.025855886069909198,0.0016082422897105407,0.02809616693538632,0.0012891653230250044,0.026976026502647757,0.0007111711036151693
full,雨天,3,0.4715688019921071,0.024199731977431405,0.489184776342041,0.01866278562877823,0.017615974349933877,0.005968629507775588,0.8384992376797729,0.04501870176473904,0.8393970724816123,0.039411650136024025,-0.00089783480183947,0.005804206629089614,0.0030812700534484975,0.0008556628675914937,0.003191025066092962,0.0008579578045091542,-0.00010975501264446448,3.958357300545585e-05,0.16150076438983282,0.045018738966612765,0.16060291975736618,0.039411644607402756,-0.0008978446324666342,0.005804241296129816,0.07918152833978336,0.023980099994570167,0.08795378978053729,0.028128461235365405,0.008772261440753937,0.005251254131320168,0.9444444444444444,0.0962250448649376,0.9444444444444444,0.0962250448649376,0.0,0.0,0.03271154659365827,0.008105166664294752,0.05179223510330034,0.001938130444436634,0.0422518908484793,0.00489032102616072,0.02315324004022241,0.005210945171241086,0.03572342752077785,0.0032080881919442543,0.029438333780500134,0.004169345197785416
full,黑天,3,0.3885372365448009,0.01675524047092824,0.40493018481524334,0.014952741904254132,0.016392948270442464,0.00318654387298015,0.5536232851445675,0.02858344390859662,0.5349998287856579,0.02500869814058719,0.018623456358909607,0.005089437790359144,0.001083920582160178,0.00020258234135675304,0.0011108226680694147,0.00020902093441537716,-2.6902085909236628e-05,6.439036618340559e-06,0.44637670119603473,0.02858344918344916,0.4650001923243205,0.025008728186817503,0.018623491128285725,0.005089403937428711,0.26627666254838306,0.03950530483005686,0.28325260678927106,0.0424900250229477,0.01697594424088796,0.0030641803082124474,1.0,0.0,1.0,0.0,0.0,0.0,0.01924573657796282,0.0011251565600480101,0.026964154957435225,0.004680695911869711,0.02310494576769902,0.002362843206895231,0.024938797802072296,0.0006194918344153266,0.03352419264085211,0.002981874068726486,0.029231495221462202,0.001473088255487405
no_classification_feedback,逆光,3,0.33412992994221236,0.04781701357115381,0.3358069128578347,0.05058925257255877,0.0016769829156223492,0.0032708185991974434,0.7687785890367296,0.06449199574717374,0.7458190771716613,0.07691860523246219,0.022959511865068356,0.012439662532478385,0.002451582980759742,0.0007538690658784266,0.0024577496365815418,0.0007739705430468353,-6.166655821799947e-06,4.5847832068893234e-05,0.23122142255306244,0.06449200643459349,0.2541809181372325,0.07691860410034168,0.022959495584170025,0.012439651701365961,0.08810556679964066,0.04960157682340376,0.10503812010089557,0.058041981085579473,0.01693255330125491,0.008587445629270227,0.8888888888888888,0.1111111111111111,0.9629629629629629,0.06415002990995845,0.07407407407407407,0.12830005981991682,0.018513781123901243,0.003779541296131053,0.019960407767439223,0.003690848669348629,0.019237094445670233,0.003734782989725654,0.028707800423017554,0.004048500268437203,0.031321908563556065,0.0031968152618561015,0.03001485449328681,0.003581533432593331
no_classification_feedback,雨天,3,0.46334252652766444,0.022251722729122167,0.45878269243881187,0.02490977003844035,-0.004559834088852559,0.004694364851096631,0.8451991704189115,0.028113713991807874,0.8539048932078812,0.038557775893789795,-0.008705722788969675,0.012403467007837041,0.0022948720958400233,0.0010796803101590863,0.00230263589071725,0.0010977535599600932,-7.763794877226797e-06,2.6086046432805914e-05,0.1548008273045222,0.02811371143153733,0.14609509954849878,0.0385577905228475,-0.008705727756023407,0.0124034440451526,0.07179014757275581,0.01169856029520568,0.061332939813534416,0.018800087848034476,-0.010457207759221395,0.008021262676897576,0.7777777777777778,0.09622504486493767,0.7777777777777778,0.09622504486493767,0.0,0.0,0.006072349183582529,0.0026136564309617747,0.008197823604691585,0.0019588927003529157,0.007135086394137057,0.0022862549441040633,0.04624473971235079,0.005231620746748501,0.06342761365940403,0.011446574894997728,0.054836176685877404,0.008338134672124277
no_classification_feedback,黑天,3,0.3126065448744841,0.059908955507673604,0.3142491393526658,0.0596297630717857,0.0016425944781816952,0.0030379172014885435,0.6686626765877008,0.0827556783386885,0.6506523772453269,0.10842326868574984,0.018010299342374008,0.025671107443441296,0.0011753708168129474,0.0003628027962424231,0.0011599940657707217,0.000365601602651091,1.537675104222555e-05,9.409673196606676e-06,0.3313373227914174,0.08275568224684927,0.34934760133425397,0.10842325445633952,0.018010278542836506,0.02567108901284344,0.19975345333417258,0.07203965830155828,0.2003144919872284,0.07035934429975399,0.0005610386530558268,0.0016807162398781346,0.9166666666666666,0.14433756729740643,0.9166666666666666,0.14433756729740643,0.0,0.0,0.004162683473311049,0.002879366434465998,0.00558253099339061,0.0022495278760558193,0.004872607233350829,0.0025611860592624947,0.062005549102460616,0.006867061338666518,0.07576271713752755,0.010737349540736154,0.06888413311999408,0.008343291076331937
no_cycle,逆光,3,0.365338342567332,0.06782318767739809,0.38120278856035883,0.07382149153666565,0.015864445993026832,0.005998305048239557,0.7106867039369212,0.07455940389926694,0.7044942601135484,0.07685684841344699,0.006192443823372844,0.0027027916540684578,0.001797582349954611,0.00012211238214425243,0.0019157835586724398,0.0001375379202861015,-0.0001182012087178289,1.5464938934467827e-05,0.28931329150994617,0.074559402243241,0.29550573726495105,0.07685682209684573,0.006192445755004883,0.0027027642061974084,0.12159526596466701,0.06473587790502847,0.13914001733064651,0.07456722420518555,0.01754475136597951,0.009865878816091425,0.9259259259259259,0.06415002990995845,0.9629629629629629,0.06415002990995845,0.037037037037037056,0.06415002990995845,0.06262302353284667,0.00471906452025609,0.06387061047373545,0.005220102792770058,0.06324681700329106,0.0049552724744238615,0.031411052898411486,0.002524462449117497,0.03194393321518887,0.0008548252497704219,0.03167749305680018,0.0011980095236947047
no_cycle,雨天,3,0.4899112320459246,0.018272286038715113,0.5117253710132048,0.01681716418683819,0.02181413896728024,0.004928246200300133,0.8337300677473346,0.029773289462146035,0.8421781876434883,0.014658209321735926,-0.008448119896153608,0.016082572164764497,0.0030272962895598527,0.000501813645483374,0.003119677251475776,0.0004990473190133645,-9.238096191592305e-05,2.8003003780978968e-05,0.1662699431180954,0.029773307128391418,0.15782180925210318,0.014658193128574328,-0.008448133865992228,0.016082601775206845,0.06301718577742577,0.0061385776059361035,0.07417578250169754,0.0028663207473380165,0.011158596724271774,0.007604400447819801,0.8333333333333334,0.0,0.8333333333333334,0.0,0.0,0.0,0.05495346086566879,0.006727258314564521,0.0838922724076133,0.001939011583958944,0.06942286663664105,0.004164240156686201,0.02897095274740757,0.00365456858712731,0.04211974871449317,0.002299021084627018,0.035545350730950366,0.0028412763883247888
no_cycle,黑天,3,0.35863921407424076,0.050855726764299225,0.38930953043483946,0.051278635467258436,0.030670316360598655,0.001367817947873203,0.6167588699609041,0.04835560390068114,0.6014589481055737,0.034412186798432644,0.015299921855330467,0.014501087098002149,0.0010719261998537938,5.6736452129642665e-05,0.0011291264915664265,5.836727100255539e-05,-5.720029171263258e-05,8.800002099252664e-06,0.38324113686879474,0.0483556055288133,0.39854104320208233,0.0344121892965233,0.015299906333287558,0.01450108622322612,0.22409976522127786,0.02004056064579875,0.2507557024558385,0.029069465782308977,0.02665593723456065,0.009097550742881964,1.0,0.0,1.0,0.0,0.0,0.0,0.06221317520677268,0.0051087896736252145,0.0834218585375745,0.0013160812546773287,0.07281751687217358,0.0019029650940166345,0.032037057062650066,0.004114707044680524,0.04413247157640222,0.0008985145829163391,0.03808476431952614,0.0017565951404133427
no_identity,逆光,3,0.34922548186274577,0.05701360365389842,0.3610881943117587,0.06132281454583618,0.011862712449012935,0.004702463205954527,0.7242328810195128,0.07111042506692973,0.7157235560869729,0.07433836869520836,0.008509324932539938,0.0034821913307756104,0.0017362703091877358,0.00019280446187630666,0.0018320744965749742,0.0002145420214308662,-9.580418738723837e-05,2.194775681073811e-05,0.27576711277167004,0.0711104143867694,0.28427645067373913,0.07433835782712023,0.008509337902069092,0.00348219688523274,0.11085475236177444,0.060501331395520455,0.12560096507271132,0.06750206176069269,0.014746212710936865,0.007000738446372144,0.9629629629629629,0.06415002990995845,0.9629629629629629,0.06415002990995845,0.0,0.0,0.03427146323208587,0.003085334858387266,0.035024799123770316,0.0028108698178133016,0.034648131177928095,0.002884106022842215,0.0300138451924569,0.0013922204027721687,0.03122926159442179,0.0013222280091471424,0.030621553393439346,0.0010934647476333556
