epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,6.017071843147278,6.0484620332717896,3.1748178005218506,3.1929378509521484,-0.10463395342230797,0.0,0.0,18.723639488220215,0.0,1.0,0.0,0.0,0.0,0.0,0.11684782608695653,0.07608695652173914,0.11684782608695653,0.10326086956521739,0.11684782608695653,0.0,0.0,0.0,0.0,1.0536588281393051,1.085252359509468,0.37013373523950577,0.2636977806687355,1.7675187587738037,1.799123764038086,6.45859956741333,0.0,0.0,0.0,0.0,0.0,2.9484951496124268,0.15384615384615385,0.08333333333333333,0.3333333333333333,0.13095238095238096,0.15384615384615385,0.15384615384615385,0.15384615384615385,2.933887243270874,0.11538461538461539,0.14619883040935672,0.08333333333333333,0.06298276886512182,0.019927536231884063,0.13095238095238096,-inf,3,False,0.0001,3e-05,0.3,21.770931243896484,28.18359375,3.4304685592651367,0.41271400451660156,0.4193761348724365,0.6172635555267334,4.880146265029907
2,4.041395783424377,4.1316657066345215,2.134366810321808,2.2192210853099823,-0.300899863243103,0.0,0.0,13.13043999671936,0.0,1.0,0.0,0.0,0.0,0.0,0.3070652173913043,0.32065217391304346,0.3070652173913043,0.27717391304347827,0.27717391304347827,0.0,0.0,0.0,0.0,1.1400226354599,1.076109230518341,0.370384119451046,0.2647136524319649,1.736197292804718,1.7952319383621216,4.528128802776337,0.0,0.0,0.0,0.0,0.0,2.5584564208984375,0.07692307692307693,0.015151515151515152,0.16666666666666666,0.02777777777777778,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,0.02777777777777778,-inf,3,False,0.0001,3e-05,0.3,21.771968841552734,28.18359375,2.7305212020874023,0.4133775234222412,0.0,0.0,3.144139289855957
3,3.1707261204719543,3.3270784616470337,1.7031479179859161,1.8043673634529114,-0.521174430847168,0.0,0.0,10.526909589767456,0.0,1.0,0.0,0.0,0.0,0.0,0.42391304347826086,0.5,0.42391304347826086,0.4375,0.48641304347826086,0.0,0.0,0.0,0.0,1.1636642217636108,0.9704645127058029,0.3669367954134941,0.26453330367803574,1.6675484478473663,1.7536484599113464,3.5842787623405457,0.0,0.0,0.0,0.0,0.0,2.4894442558288574,0.11538461538461539,0.18000000000000002,0.20833333333333334,0.09135802469135802,0.11538461538461539,0.11538461538461539,0.11538461538461539,2.4318532943725586,0.19230769230769232,0.10694444444444444,,,,0.09135802469135802,0.02777777777777778,3,False,0.0001,3e-05,0.3,21.772159576416016,28.18359375,2.9068634510040283,0.41089463233947754,0.41207456588745117,0.0,3.73006534576416
4,2.9673011302948,2.8508747816085815,1.5216048955917358,1.4769665896892548,-0.545972153544426,0.28021806478500366,0.0,9.454102039337158,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.5815217391304348,0.5625,0.5815217391304348,0.5978260869565217,0.5978260869565217,0.0,0.0,0.0,0.28021806478500366,1.1401177942752838,0.9065604358911514,0.3658236861228943,0.26402536779642105,1.6627048552036285,1.7045830190181732,3.103252410888672,0.005226052715443075,0.000565768641536124,0.0035629388294182718,0.004870237200520933,0.26599306613206863,2.597120761871338,0.07692307692307693,0.015151515151515152,0.16666666666666666,0.02777777777777778,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,0.02777777777777778,0.02777777777777778,3,False,0.0001,3e-05,0.3,21.770793914794922,28.18359375,3.458195924758911,0.4093146324157715,0.0,0.0,3.867793321609497
5,2.696381151676178,2.388983964920044,1.3045038282871246,1.2049779295921326,-0.519144631922245,0.4631406366825104,0.0,8.415613770484924,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.7038043478260869,0.6766304347826086,0.7038043478260869,0.7255434782608695,0.6521739130434783,0.0,0.0,0.0,0.4631406366825104,1.110578715801239,0.866653710603714,0.3609936460852623,0.2623652294278145,1.5974875390529633,1.6546419858932495,2.5398370027542114,0.01031410414725542,0.0011244223569519818,0.0068463749485090375,0.009455096907913685,0.4354006424546242,2.6465179920196533,0.07692307692307693,0.020833333333333332,0.16666666666666666,0.037037037037037035,0.07692307692307693,0.07692307692307693,0.07692307692307693,2.6745052337646484,0.07692307692307693,0.041666666666666664,0.07291666666666667,0.03196347031963471,0.6526268115942029,0.037037037037037035,0.02777777777777778,3,False,0.0001,3e-05,0.3,21.771968841552734,28.18359375,3.2593579292297363,0.4096198081970215,0.41344428062438965,0.6047194004058838,4.687411546707153
6,2.588103473186493,2.0795588195323944,1.1441507935523987,1.0393423438072205,-0.44397353380918503,0.6417367160320282,0.7951985001564026,8.44111704826355,1.6366941332817078,1.0,0.0,2.0,0.06666666666666667,0.42857142857142855,0.779891304347826,0.75,0.779891304347826,0.7717391304347826,0.7364130434782609,0.7951985001564026,0.8040492832660675,0.7863477170467377,0.6417367160320282,1.1091268360614777,0.9088922441005707,0.35802940279245377,0.26136624068021774,1.5609747469425201,1.5990351140499115,2.3266475796699524,0.015344117768108845,0.0016802115133032203,0.010034837760031223,0.013706014957278967,0.5982808321714401,2.2533841133117676,0.23076923076923078,0.09788359788359786,0.3333333333333333,0.14423076923076922,0.23076923076923078,0.23076923076923078,0.23076923076923078,,,,,,,0.14423076923076922,0.02777777777777778,3,False,0.0001,3e-05,0.3,21.773098468780518,28.18359375,2.928903818130493,0.40999460220336914,0.0,0.0,3.339134931564331
7,2.506316363811493,1.8703100383281708,1.0289526581764221,0.9348415732383728,-0.399268239736557,0.75578673183918,0.7844922542572021,7.80278754234314,1.5825054049491882,1.0,0.0,2.0,0.13333333333333333,0.5714285714285714,0.8396739130434783,0.8070652173913043,0.8396739130434783,0.7989130434782609,0.8125,0.7844922542572021,0.7781886756420135,0.7907958328723907,0.75578673183918,1.0986101925373077,0.8520923107862473,0.35574178397655487,0.26128702610731125,1.516584426164627,1.5454148054122925,2.0339548587799072,0.020328101702034473,0.0022396029671654105,0.012999294558539987,0.017661883030086756,0.6973559707403183,2.418757200241089,0.23076923076923078,0.10714285714285714,0.3333333333333333,0.15277777777777776,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.4256417751312256,0.23076923076923078,0.18095238095238098,,,,0.15277777777777776,0.037037037037037035,3,False,0.0001,3e-05,0.3,21.771732330322266,28.18359375,2.9617207050323486,0.41278648376464844,0.41739964485168457,0.0,3.7921512126922607
8,2.4205971360206604,1.6997475326061249,0.8936518877744675,0.8956618458032608,-0.4111780524253845,0.8442029654979706,0.8000072538852692,8.455022811889648,1.4998268485069275,1.0,0.0,2.0,0.2,0.7142857142857143,0.8641304347826086,0.8614130434782609,0.8641304347826086,0.8260869565217391,0.8586956521739131,0.8000072538852692,0.7670720815658569,0.8329424560070038,0.8442029654979706,1.177327036857605,0.8775800317525864,0.35271894931793213,0.25894836336374283,1.4651840925216675,1.49264258146286,1.7989831566810608,0.025194211397320032,0.0027744467952288687,0.015698401490226388,0.02132346574217081,0.7709928005933762,1.8386435508728027,0.3076923076923077,0.30185185185185187,0.35000000000000003,0.24423076923076922,0.3076923076923077,0.3076923076923077,0.3076923076923077,1.8140225410461426,0.34615384615384615,0.27777777777777785,,,,0.24423076923076922,0.14423076923076922,3,False,0.0001,3e-05,0.3,21.772907733917236,28.18359375,3.065129280090332,0.41379737854003906,0.42163753509521484,0.0,3.900855779647827
9,2.4641963839530945,1.6144399344921112,0.912013590335846,0.7804737240076065,-0.3725454807281494,0.9615201652050018,0.7976412177085876,9.272335767745972,1.5083436965942383,1.0,0.0,2.0,0.26666666666666666,0.8571428571428571,0.8940217391304348,0.8586956521739131,0.8940217391304348,0.9103260869565217,0.842391304347826,0.7976412177085876,0.7878983020782471,0.8073841333389282,0.9615201652050018,1.0498095452785492,0.8668224364519119,0.34853579103946686,0.25638921558856964,1.4282794296741486,1.448861002922058,1.7012448906898499,0.029874497093260288,0.0032964327838271856,0.01836359268054366,0.024837616365402937,0.8749259859323502,1.7996758222579956,0.3076923076923077,0.2740740740740741,0.39999999999999997,0.25335775335775335,0.3076923076923077,0.3076923076923077,0.3076923076923077,1.7734622955322266,0.34615384615384615,0.2916666666666667,,,,0.25335775335775335,0.15277777777777776,3,False,0.0001,3e-05,0.3,21.773098468780518,28.18359375,2.6884968280792236,0.41233372688293457,0.4217824935913086,0.0,3.5228986740112305
10,2.4461910724639893,1.5003103911876678,0.8472930490970612,0.7255748361349106,-0.3704507201910019,1.0570159256458282,0.7657716274261475,10.523957252502441,1.4916796684265137,1.0,0.0,2.0,0.3333333333333333,1.0,0.9483695652173914,0.8858695652173914,0.9483695652173914,0.9211956521739131,0.875,0.7657716274261475,0.7468912303447723,0.7846520245075226,1.0570159256458282,1.1025360822677612,0.8133247792720795,0.34583426266908646,0.2556752935051918,1.376122534275055,1.3880457878112793,1.5957036018371582,0.03458342794328928,0.0038351293769665062,0.020641837269067764,0.027760914992541075,0.9574221968650818,1.5863397121429443,0.38461538461538464,0.2777777777777778,0.4666666666666666,0.3068783068783069,0.38461538461538464,0.38461538461538464,0.38461538461538464,1.5510238409042358,0.38461538461538464,0.31054131054131057,0.4895833333333333,0.4177315793594863,0.43161231884057977,0.3068783068783069,0.24423076923076922,3,False,0.0001,3e-05,0.3,21.771732330322266,28.18359375,2.928377389907837,0.40880823135375977,0.41353940963745117,0.6153008937835693,4.366349935531616
