epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.878297805786133,5.889283061027527,3.1949808597564697,2.9936693906784058,-0.03661807160824537,0.0,0.0,18.815360069274902,0.0,1.0,0.0,0.0,0.0,0.0,0.10869565217391304,0.08423913043478261,0.10869565217391304,0.09782608695652174,0.13858695652173914,0.0,0.0,0.0,0.0,1.674076408147812,1.0461617857217789,0.34434592723846436,0.2597780302166939,1.780509114265442,1.8152733445167542,6.187292098999023,0.0,0.0,0.0,0.0,0.0,2.8335139751434326,0.038461538461538464,0.010416666666666666,0.03333333333333333,0.015873015873015872,0.038461538461538464,0.038461538461538464,0.038461538461538464,2.7591490745544434,0.11538461538461539,0.06249999999999999,0.14583333333333334,0.10533610533610534,-0.0480072463768116,0.015873015873015872,-inf,3,False,0.0001,3e-05,0.3,21.770931243896484,28.18359375,3.418992757797241,0.4819483757019043,0.47557663917541504,0.6869876384735107,5.063807010650635
2,4.237027227878571,4.26662003993988,2.2955999970436096,2.1900223195552826,-0.0986431073397398,0.0,0.0,14.10408902168274,0.0,1.0,0.0,0.0,0.0,0.0,0.2798913043478261,0.2798913043478261,0.2798913043478261,0.2798913043478261,0.29347826086956524,0.0,0.0,0.0,0.0,1.8884992897510529,0.907382920384407,0.3437458202242851,0.2611432299017906,1.7472234666347504,1.8083751797676086,4.644116997718811,0.0,0.0,0.0,0.0,0.0,2.5958216190338135,0.11538461538461539,0.057539682539682536,0.15,0.0811965811965812,0.11538461538461539,0.11538461538461539,0.11538461538461539,,,,,,,0.0811965811965812,-inf,3,False,0.0001,3e-05,0.3,21.771968841552734,28.18359375,2.768810510635376,0.47003173828125,0.0,0.0,3.239070177078247
3,3.3735410571098328,3.3872628808021545,1.8044510781764984,1.7586798965930939,-0.04573924792930484,0.0,0.0,10.97886848449707,0.0,1.0,0.0,0.0,0.0,0.0,0.49728260869565216,0.48097826086956524,0.49728260869565216,0.42934782608695654,0.4048913043478261,0.0,0.0,0.0,0.0,1.845474749803543,0.9790672212839127,0.34526733309030533,0.2628646641969681,1.7153684496879578,1.7683071196079254,3.7004544138908386,0.0,0.0,0.0,0.0,0.0,2.590257167816162,0.11538461538461539,0.075,0.20833333333333334,0.09722222222222222,0.11538461538461539,0.11538461538461539,0.11538461538461539,2.5476503372192383,0.15384615384615385,0.22727272727272727,,,,0.09722222222222222,0.015873015873015872,3,False,0.0001,3e-05,0.3,21.772159576416016,28.18359375,3.0177361965179443,0.470095157623291,0.4720289707183838,0.0,3.9600796699523926
4,2.840278744697571,2.847711205482483,1.5326973497867584,1.4611265361309052,-0.0709685841575265,0.013858164893463254,0.0,10.112236261367798,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.6032608695652174,0.5543478260869565,0.6032608695652174,0.5733695652173914,0.5434782608695652,0.0,0.0,0.0,0.013858164893463254,1.8629877269268036,1.00382699072361,0.340549573302269,0.2620558813214302,1.638987421989441,1.7218273878097534,3.2344090342521667,0.004864994087256491,0.0005615482950815931,0.0035121157416142523,0.0049195068422704935,0.0,2.7813313007354736,0.11538461538461539,0.1851851851851852,0.20833333333333334,0.09999999999999999,0.11538461538461539,0.11538461538461539,0.11538461538461539,2.7830731868743896,0.11538461538461539,0.10175438596491228,,,,0.09999999999999999,0.0811965811965812,3,False,0.0001,3e-05,0.3,21.770793914794922,28.18359375,2.98665189743042,0.4759559631347656,0.48017382621765137,0.0,3.943046808242798
5,2.5011985898017883,2.4923049211502075,1.3710607588291168,1.2458268404006958,-0.05965641513466835,0.026790590956807137,0.0,8.925400733947754,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.7336956521739131,0.6086956521739131,0.7336956521739131,0.6983695652173914,0.5896739130434783,0.0,0.0,0.0,0.026790590956807137,1.727335512638092,1.0520068258047104,0.3232712000608444,0.2581147998571396,1.6150320172309875,1.6671374440193176,2.801502525806427,0.009236319921910763,0.0011062062403652817,0.006921565509401262,0.009526499547064304,0.0,2.6987438201904297,0.19230769230769232,0.10294117647058824,0.2916666666666667,0.13508771929824562,0.19230769230769232,0.19230769230769232,0.19230769230769232,2.689962863922119,0.23076923076923078,0.15824915824915825,0.09375,0.0670995670995671,0.6046195652173914,0.13508771929824562,0.09722222222222222,3,False,0.0001,3e-05,0.3,21.771968841552734,28.18359375,3.00803279876709,0.47516584396362305,0.4755535125732422,0.6794295310974121,4.638486623764038
6,2.203499436378479,2.1828821301460266,1.2017319202423096,1.090166911482811,-0.07296687737107277,0.042507365345954895,1.026982605457306,8.046574592590332,1.9706098437309265,1.0,0.0,2.0,0.06666666666666667,0.42857142857142855,0.7744565217391305,0.7255434782608695,0.7744565217391305,0.7771739130434783,0.6956521739130435,1.026982605457306,1.125925064086914,0.9280401170253754,0.042507365345954895,1.9121006727218628,1.049438938498497,0.3023381382226944,0.25295278429985046,1.576326072216034,1.6148588955402374,2.367945611476898,0.012957348953932524,0.0016261250420939177,0.010133524658158422,0.013841647189110518,0.0,2.4530675411224365,0.23076923076923078,0.10000000000000002,0.3333333333333333,0.1507936507936508,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.425921678543091,0.23076923076923078,0.15873015873015872,,,,0.1507936507936508,0.09999999999999999,3,False,0.0001,3e-05,0.3,21.773098468780518,28.18359375,3.002075433731079,0.4796903133392334,0.484114408493042,0.0,3.966150999069214
7,1.9244315326213837,1.8898898363113403,1.04480442404747,0.938983827829361,-0.07436945475637913,0.05685252416878939,1.022304654121399,7.6045249700546265,1.9312065839767456,1.0,0.0,2.0,0.13333333333333333,0.5714285714285714,0.842391304347826,0.8097826086956522,0.842391304347826,0.8179347826086957,0.7853260869565217,1.022304654121399,1.098818600177765,0.9457907676696777,0.05685252416878939,1.8362591862678528,1.0872761011123657,0.28322604298591614,0.24880782514810562,1.5083620250225067,1.5584299564361572,2.1174214482307434,0.016184345353394747,0.002132638415787369,0.012928816955536604,0.017810627818107605,0.0,2.1401939392089844,0.2692307692307692,0.12499999999999999,0.3666666666666667,0.1803030303030303,0.2692307692307692,0.2692307692307692,0.2692307692307692,2.10258150100708,0.34615384615384615,0.3574074074074074,,,,0.1803030303030303,0.13508771929824562,3,False,0.0001,3e-05,0.3,21.771732330322266,28.18359375,3.1329946517944336,0.4790515899658203,0.4861609935760498,0.0,4.098528861999512
8,1.8284103870391846,1.7942017316818237,1.00499427318573,0.8768971711397171,-0.12139701470732689,0.07062778994441032,1.0000454783439636,7.716916561126709,1.9150537252426147,1.0,0.0,2.0,0.2,0.7142857142857143,0.8614130434782609,0.8152173913043478,0.8614130434782609,0.8967391304347826,0.8233695652173914,1.0000454783439636,1.071401834487915,0.928689181804657,0.07062778994441032,1.7616060972213745,1.0794070065021515,0.26615461707115173,0.24661420658230782,1.4713189005851746,1.5292384326457977,1.932371735572815,0.019011044409126043,0.002642295090481639,0.015764130977913737,0.02184626366943121,0.0,1.8114216327667236,0.23076923076923078,0.24603174603174602,0.2833333333333333,0.17592592592592593,0.23076923076923078,0.23076923076923078,0.23076923076923078,1.7810394763946533,0.2692307692307692,0.29259259259259257,,,,0.17592592592592593,0.1507936507936508,3,False,0.0001,3e-05,0.3,21.772907733917236,28.18359375,2.703871726989746,0.4741683006286621,0.479339599609375,0.0,3.6576485633850098
9,1.6980704069137573,1.6336693465709686,0.9610659927129745,0.7473370879888535,-0.06267992500215769,0.08320502191781998,0.9797380566596985,7.070794224739075,1.905109703540802,1.0,0.0,2.0,0.26666666666666666,0.8571428571428571,0.9293478260869565,0.8478260869565217,0.9293478260869565,0.9103260869565217,0.845108695652174,0.9797380566596985,1.0408050417900085,0.9186710119247437,0.08320502191781998,1.7321348786354065,1.0466322153806686,0.25359123572707176,0.24426629021763802,1.4390576481819153,1.4586718380451202,1.8169510662555695,0.02173639228567481,0.0031405665795318782,0.01850216928869486,0.025005802046507597,0.0,1.6109199523925781,0.5,0.5216931216931217,0.6666666666666666,0.5349715099715099,0.5,0.5,0.5,1.5431078672409058,0.46153846153846156,0.5016381766381767,,,,0.5349715099715099,0.17592592592592593,3,False,0.0001,3e-05,0.3,21.773098468780518,28.18359375,3.0072364807128906,0.48016858100891113,0.4793510437011719,0.0,3.9670493602752686
10,1.5650853514671326,1.5138691067695618,0.8522814363241196,0.7350974529981613,-0.14502771943807602,0.09472456760704517,1.0153643786907196,6.780100226402283,1.9010487794876099,1.0,0.0,2.0,0.3333333333333333,1.0,0.9266304347826086,0.8804347826086957,0.9266304347826086,0.9211956521739131,0.8641304347826086,1.0153643786907196,1.0735558867454529,0.9571728110313416,0.09472456760704517,1.5947576463222504,1.0020228326320648,0.2429056204855442,0.24326572939753532,1.402286320924759,1.4219428598880768,1.685371220111847,0.024290562607347965,0.0036489858757704496,0.02103429427370429,0.02843885635957122,0.0,1.523885726928711,0.5384615384615384,0.5583333333333333,0.7000000000000001,0.5694444444444444,0.5384615384615384,0.5384615384615384,0.5384615384615384,1.4911818504333496,0.5384615384615384,0.5677609427609428,0.5104166666666666,0.5601240580407247,0.41077898550724645,0.5694444444444444,0.17592592592592593,3,False,0.0001,3e-05,0.3,21.771732330322266,28.18359375,2.987548351287842,0.4736030101776123,0.4848918914794922,0.6762104034423828,4.622572422027588
